Stock,RS,Volume SMA 5,Volume SMA 20,Volume SMA 5 Rank,Volume SMA 20 Rank
0001.HK,,7958555.8,6477438.05,267.0,335.0
0002.HK,,3060487.2,3330134.5,533.0,529.0
0003.HK,,66994942.4,36125530.75,31.0,71.0
0004.HK,,1094358.0,1762063.45,805.0,704.0
0005.HK,,7593715.6,13055784.65,278.0,174.0
0006.HK,,2860554.6,2520838.45,546.0,609.0
0007.HK,,0.0,0.0,2448.5,2491.5
0008.HK,,9055856.6,10014393.05,241.0,235.0
0009.HK,,,,,
0010.HK,,1045614.4,831882.7,818.0,926.0
0012.HK,,6620765.0,7141830.35,315.0,307.0
0013.HK,,7044632.6,4375557.2,293.0,453.0
0014.HK,,2272810.8,1328169.7,605.0,783.0
0016.HK,,4125483.2,4403969.75,446.0,450.0
0017.HK,,3350971.6,3980860.35,511.0,478.0
0018.HK,,89200.0,672940.0,1613.0,998.0
0019.HK,,967171.8,1188158.75,834.0,822.0
0020.HK,,718337994.8,502334044.95,2.0,2.0
0021.HK,,3610020.0,2510265.0,483.0,612.0
0022.HK,,131840.0,69899.95,1470.0,1788.0
0023.HK,,2363367.8,2702051.3,591.0,585.0
0025.HK,,4800.0,11219.15,2202.5,2222.0
0026.HK,,1280.0,2080.15,2283.0,2352.0
0027.HK,,10774893.0,12805880.35,202.0,181.0
0028.HK,,49200.0,36250.0,1779.0,1991.0
0029.HK,,61600.0,48241.95,1723.0,1914.0
0030.HK,,18800.0,325400.0,2017.5,1254.0
0031.HK,,4400646.0,6146057.5,423.0,355.0
0032.HK,,8189.4,11360.15,2144.0,2221.0
0033.HK,,0.0,0.0,2448.5,2491.5
0034.HK,,130200.0,229213.0,1476.0,1394.0
0035.HK,,577761.0,719645.0,989.0,970.0
0036.HK,,0.0,0.0,2448.5,2491.5
0037.HK,,213600.0,445500.0,1325.0,1150.0
0038.HK,,1624516.8,3001471.4,703.0,555.0
0039.HK,,0.0,0.0,2448.5,2491.5
0040.HK,,22600.0,38758.15,1973.0,1972.0
0041.HK,,162721.6,142131.55,1406.0,1564.0
