Stock,RS,Volume SMA 5,Volume SMA 20,Volume SMA 5 Rank,Volume SMA 20 Rank
0001.HK,,6939284.4,6812903.0,64.0,64.0
0002.HK,,3748370.4,3427839.3,76.0,78.0
0003.HK,,26348965.2,25433581.65,24.0,25.0
0005.HK,,16841393.4,13454189.4,36.0,45.0
0006.HK,,2549983.8,2491456.9,79.0,79.0
0012.HK,,6980120.2,7117491.85,63.0,63.0
0016.HK,,3815890.2,4216313.0,75.0,71.0
0017.HK,,3458259.6,3703430.35,77.0,74.0
0027.HK,,18881735.0,17308137.0,31.0,33.0
0066.HK,,5270598.2,5059216.85,69.0,66.0
0101.HK,,10619518.0,7425329.05,52.0,60.0
0175.HK,,56417092.2,46886151.4,15.0,19.0
0241.HK,,95507973.2,120027168.8,8.0,8.0
0267.HK,,14766111.4,15630725.7,38.0,37.0
0285.HK,,10751152.0,14042412.4,51.0,39.0
0288.HK,,45251160.0,38108758.4,19.0,20.0
0291.HK,,11850716.4,10515670.95,47.0,53.0
0316.HK,,865163.4,944193.55,81.0,81.0
0322.HK,,14240758.8,15964415.75,40.0,35.0
0386.HK,,119964341.8,168102196.55,6.0,5.0
0388.HK,,3207128.2,4025512.8,78.0,73.0
0669.HK,,5681464.6,4984995.7,67.0,68.0
0688.HK,,14314193.2,16564958.6,39.0,34.0
0700.HK,,26338992.2,34742627.3,25.0,21.0
0762.HK,,31078365.4,21187735.3,22.0,29.0
0823.HK,,7106305.2,8973637.55,62.0,56.0
0836.HK,,13801296.0,13998708.3,43.0,40.0
0857.HK,,88737096.6,85514052.35,10.0,12.0
0868.HK,,9312805.4,7818722.9,56.0,59.0
0881.HK,,9075861.6,7319823.05,57.0,62.0
0883.HK,,84703202.4,76053707.65,11.0,13.0
0939.HK,,400362991.0,264495689.0,1.0,1.0
0941.HK,,18513505.0,13628624.8,32.0,43.0
0960.HK,,11675734.8,14926940.0,48.0,38.0
0968.HK,,54733358.6,58454499.6,16.0,16.0
0981.HK,,129758299.0,139221720.85,5.0,6.0
0992.HK,,103323475.8,121638079.65,7.0,7.0
1038.HK,,1801348.4,1273394.45,80.0,80.0
1044.HK,,6136955.6,3621931.35,66.0,76.0
1088.HK,,10438025.2,11770009.65,53.0,49.0
1093.HK,,75461238.6,101419674.5,12.0,11.0
1099.HK,,4663482.8,4677739.9,71.0,70.0
1109.HK,,14122741.4,17953501.15,41.0,31.0
1113.HK,,3818043.4,3688754.45,74.0,75.0
1177.HK,,60057930.0,115208371.35,14.0,9.0
1209.HK,,5381121.6,4876543.95,68.0,69.0
1211.HK,,23625925.6,23415208.25,26.0,26.0
1299.HK,,18334979.8,22696653.3,33.0,27.0
1378.HK,,36677565.6,52710966.9,21.0,18.0
1398.HK,,246365214.4,175048118.7,3.0,4.0
1810.HK,,328202212.6,243550220.35,2.0,2.0
1876.HK,,42343906.6,19896011.2,20.0,30.0
1928.HK,,19045630.6,17655980.0,30.0,32.0
1929.HK,,14120460.8,13541816.3,42.0,44.0
1997.HK,,4161333.8,4172087.2,73.0,72.0
2015.HK,,16039830.2,11843897.5,37.0,48.0
2020.HK,,8761633.2,7369033.0,58.0,61.0
2269.HK,,23530656.0,30793948.0,28.0,22.0
2313.HK,,6584662.4,8282861.25,65.0,58.0
2318.HK,,28423076.8,29451546.4,23.0,23.0
2319.HK,,23563270.0,25615088.0,27.0,24.0
2331.HK,,22916384.2,22114743.4,29.0,28.0
2359.HK,,4594482.4,5876999.35,72.0,65.0
2382.HK,,17582820.6,15925042.95,35.0,36.0
2388.HK,,13408738.0,13637726.9,44.0,42.0
2628.HK,,47338847.2,59568594.1,17.0,15.0
2688.HK,,7797396.0,4997639.65,59.0,67.0
2899.HK,,46172921.4,53958281.5,18.0,17.0
3690.HK,,62247991.4,61856348.25,13.0,14.0
3692.HK,,10178420.2,12176343.9,54.0,47.0
3968.HK,,12574702.4,10789263.35,45.0,52.0
3988.HK,,211043647.2,204438069.45,4.0,3.0
6618.HK,,7279785.0,9294222.1,61.0,55.0
6690.HK,,18064765.2,13899950.1,34.0,41.0
6862.HK,,10090492.4,12747359.8,55.0,46.0
9618.HK,,12401409.2,10132884.9,46.0,54.0
9633.HK,,11041298.6,8720372.05,50.0,57.0
9888.HK,,11601700.6,10861194.55,49.0,51.0
9961.HK,,4927664.2,3494018.35,70.0,77.0
9988.HK,,89296093.8,115103673.65,9.0,10.0
9999.HK,,7724270.8,11185080.2,60.0,50.0
