Stock,RS,Volume SMA 5,Volume SMA 20,Volume SMA 5 Rank,Volume SMA 20 Rank
BHST,100.0,8480.0,9785.0,6111.5,6058.0
TSSI,99.9849420268032,976140.0,1111410.0,2072.0,1688.0
WGS,99.96988405360638,718320.0,542095.0,2462.0,2554.0
DRUG,99.95482608040957,77740.0,155615.0,4737.0,3974.0
EMP,99.93976810721277,1789172.0,1551023.0,1395.0,1318.0
QUBT,99.92471013401595,158071820.0,69002835.0,8.0,18.0
RCAT,99.90965216081915,22448500.0,12068550.0,102.0,167.0
SEZL,99.89459418762235,229940.0,134600.0,3691.0,4135.0
LENZ,99.87953621442554,293940.0,154805.0,3451.0,3985.0
KULR,99.86447824122872,80472740.0,74303880.0,19.0,15.0
DOGZ,99.84942026803192,225980.0,172065.0,3713.5,3860.0
WAVE,99.83436229483512,138540.0,134560.0,4218.0,4136.0
MNPR,99.8193043216383,99260.0,101190.0,4514.0,4410.0
BBLGW,99.8042463484415,0.0,30.0,6622.0,6606.0
SKGRW,99.78918837524469,6920.0,50785.0,6179.0,5016.0
SOUN,99.77413040204789,137403560.0,105369350.0,10.0,6.0
DAVE,99.75907242885108,583900.0,533895.0,2711.0,2576.0
VSSYW,99.74401445565427,12900.0,5770.0,5931.5,6247.0
RGTI,99.72895648245746,224714400.0,163408320.0,5.0,3.0
NXL,99.71389850926066,619160.0,541870.0,2643.0,2555.0
AENT,99.69884053606386,81460.0,75860.0,4707.0,4672.0
UAMY,99.68378256286704,7472580.0,8313935.0,343.0,261.0
APP,99.66872458967023,7222700.0,6869615.0,358.0,335.0
KINS,99.65366661647343,383260.0,419000.0,3187.0,2852.0
CADL,99.63860864327661,6789740.0,9655240.0,379.0,221.0
LSF,99.62355067007981,108360.0,104195.0,4448.0,4377.0
SMMT,99.608492696883,3304060.0,2224925.0,786.0,969.0
QMCO,99.59343472368619,9078480.0,8091335.0,283.0,270.0
ROOT,99.57837675048938,357540.0,387245.0,3235.0,2951.0
SWVL,99.56331877729258,33600.0,33485.0,5399.0,5342.0
MESO,99.54826080409576,1472660.0,552840.0,1608.0,2526.0
