Stock,RS,Volume SMA 5,Volume SMA 20,Volume SMA 5 Rank,Volume SMA 20 Rank
8239.HK,100.0,357870.8,1095528.85,1458.0,1169.0
0147.HK,99.961962723469,85340000.0,106369962.0,39.0,32.0
0080.HK,99.923925446938,85318000.0,36865912.5,40.0,121.0
8365.HK,99.885888170407,3378280.0,4645930.0,730.0,665.0
1228.HK,99.847850893876,11907835.4,12362212.9,355.0,364.0
2197.HK,99.809813617345,45943781.8,34003459.15,76.0,131.0
8087.HK,99.771776340814,142285.0,193366.8,1767.0,1768.0
2122.HK,99.733739064283,61291409.2,21451052.3,58.0,213.0
1328.HK,99.695701787752,222700.0,331343.9,1624.0,1567.0
0352.HK,99.657664511221,1128000.0,10795397.9,1089.0,406.0
1079.HK,99.61962723469,18973200.0,15705635.0,234.0,294.0
1152.HK,99.581589958159,2906000.0,5814200.0,777.0,603.0
1628.HK,99.543552681628,2740156.4,2614983.15,794.0,850.0
3938.HK,99.505515405097,235200.0,352300.0,1603.0,1544.0
0328.HK,99.46747812856599,3041320.0,6195430.1,762.0,574.0
2271.HK,99.42944085203499,1504400.0,651150.5,980.0,1339.0
1931.HK,99.39140357550399,1745660.0,2459485.1,936.0,878.0
3839.HK,99.35336629897299,1782304.0,1073951.6,931.0,1180.0
0736.HK,99.31532902244199,6210202.2,2134949.3,529.0,923.0
2257.HK,99.27729174591099,3585065.0,1995324.45,713.0,952.0
8293.HK,99.23925446937999,133520.0,375615.0,1782.0,1522.0
1788.HK,99.20121719284899,142412802.6,204958799.2,20.0,13.0
2329.HK,99.16317991631799,4133000.0,2151250.0,662.0,919.0
8232.HK,99.12514263978699,426775.0,478801.25,1419.0,1432.0
1376.HK,99.08710536325599,19969600.0,11351200.0,220.0,388.0
2668.HK,99.04906808672499,5572000.0,15099500.0,566.0,309.0
2312.HK,99.01103081019399,14411484.4,8937861.45,306.0,461.0
1251.HK,98.97299353366299,226400.0,751800.0,1615.0,1300.0
0630.HK,98.93495625713199,392136.0,331440.8,1439.0,1566.0
0620.HK,98.89691898060099,6758800.0,2954285.0,509.0,809.0
1636.HK,98.85888170406999,167040.0,257760.0,1722.0,1661.0
1022.HK,98.82084442753899,11669500.0,9864575.0,363.0,432.0
1747.HK,98.78280715100799,391600.0,717200.0,1441.0,1314.0
9958.HK,98.74476987447699,770200.0,1086200.0,1217.0,1175.0
6628.HK,98.70673259794599,5642233.0,5021624.75,561.0,648.0
0925.HK,98.66869532141499,0.0,11706400.0,2516.0,382.0
8106.HK,98.63065804488399,1519000.0,883000.0,978.0,1244.0
8340.HK,98.59262076835299,63800.0,256995.0,1964.0,1665.0
8050.HK,98.55458349182199,2344200.0,1434300.0,847.0,1068.0
1473.HK,98.51654621529099,2526400.0,5078000.0,828.0,643.0
0202.HK,98.47850893875999,666600.0,3056962.5,1259.0,796.0
8017.HK,98.44047166222899,18992800.0,12463101.2,233.0,361.0
1124.HK,98.40243438569797,4772920.0,5085387.05,621.0,640.0
0745.HK,98.36439710916697,76152.0,72435.75,1925.0,2085.0
8269.HK,98.32635983263597,1066500.0,1881058.15,1113.0,979.0
3836.HK,98.28832255610497,9105239.0,10713710.15,426.0,408.0
1087.HK,98.25028527957397,1137700.0,1415575.0,1086.0,1078.0
1611.HK,98.21224800304297,4324700.0,6502945.0,648.0,558.0
2442.HK,98.17421072651197,257600.0,113500.0,1567.0,1951.0
0643.HK,98.13617344998097,0.0,7353000.0,2516.0,520.0
1949.HK,98.09813617344997,4683600.0,3617700.0,627.0,743.0
1833.HK,98.06009889691897,29262652.2,40880004.7,137.0,104.0
6869.HK,98.02206162038797,32434762.8,45696450.8,121.0,94.0
1150.HK,97.98402434385697,16334860.6,9917018.65,270.0,430.0
1901.HK,97.94598706732597,6732000.0,6966500.0,513.0,540.0
2336.HK,97.90794979079497,1364000.0,1857260.0,1018.0,983.0
0854.HK,97.86991251426397,63240.0,125085.0,1968.0,1928.0
0351.HK,97.83187523773297,296620.0,1149574.0,1524.0,1148.0
1160.HK,97.79383796120197,0.0,5000.0,2516.0,2414.0
1237.HK,97.75580068467097,55085.6,75496.5,2002.0,2076.0
0090.HK,97.71776340813997,122400.0,274900.0,1805.0,1634.0
0376.HK,97.67972613160897,138081764.2,55818244.2,22.0,72.0
2159.HK,97.64168885507797,123200.0,749323.35,1803.0,1302.0
0616.HK,97.60365157854697,28682523.6,33866873.15,141.0,132.0
6816.HK,97.56561430201597,54400.0,461300.0,2004.0,1443.0
0207.HK,97.52757702548497,57323600.0,35066550.0,64.0,127.0
8547.HK,97.48953974895397,8170600.0,12770200.0,457.0,355.0
1050.HK,97.45150247242297,28015886.4,8952969.8,146.0,460.0
1831.HK,97.41346519589197,253000.0,2208450.0,1572.0,907.0
1653.HK,97.37542791936097,3398800.0,1125500.0,729.0,1154.0
1860.HK,97.33739064282997,32124589.6,52602052.25,125.0,80.0
