Stock,RS,Volume SMA 5,Volume SMA 20,Volume SMA 5 Rank,Volume SMA 20 Rank
1177.HK,100.0,207970630.0,184731932.45,4.0,5.0
1378.HK,98.78048780487805,37982951.8,29228539.8,21.0,24.0
6618.HK,97.5609756097561,22115287.0,11579018.15,33.0,57.0
2359.HK,96.34146341463415,7528231.8,12288986.7,63.0,55.0
1093.HK,95.1219512195122,148341464.4,205479539.75,6.0,3.0
2628.HK,93.90243902439023,102980429.6,108050328.35,10.0,11.0
3692.HK,92.6829268292683,18439786.6,13157140.1,38.0,52.0
0017.HK,91.46341463414635,17875793.4,25417751.75,40.0,26.0
0968.HK,90.2439024390244,120879860.0,111037829.1,9.0,9.0
2269.HK,89.02439024390245,51763933.0,58911204.3,17.0,17.0
1928.HK,87.8048780487805,17373775.6,20767617.3,43.0,32.0
2382.HK,86.58536585365853,18577598.8,11004724.4,37.0,58.0
0101.HK,85.36585365853658,9197517.8,12092320.0,59.0,56.0
1929.HK,84.14634146341463,11026828.0,12939847.0,56.0,53.0
2899.HK,82.92682926829268,36354934.6,38499601.45,22.0,21.0
0981.HK,81.70731707317073,82498937.6,96165487.45,13.0,12.0
2318.HK,80.48780487804879,39902444.0,51290105.7,20.0,18.0
1109.HK,79.26829268292683,16160278.0,14538989.1,47.0,46.0
0881.HK,78.04878048780488,15232681.4,14542334.0,49.0,45.0
1997.HK,76.82926829268293,5395572.2,5477260.8,70.0,67.0
0027.HK,75.60975609756098,8580364.2,13327578.6,60.0,51.0
0992.HK,74.39024390243902,88628398.8,90978859.05,12.0,13.0
0241.HK,73.17073170731707,207052501.4,129440646.55,5.0,8.0
0001.HK,71.95121951219512,7578518.8,8073403.8,61.0,62.0
9633.HK,70.73170731707317,6510131.0,7302712.35,65.0,63.0
2331.HK,69.51219512195121,26810301.6,21358744.7,27.0,31.0
0700.HK,68.29268292682927,17273990.2,19200511.15,44.0,35.0
0285.HK,67.07317073170732,31917080.6,31967334.9,23.0,23.0
1113.HK,65.85365853658537,5759684.8,4100419.15,67.0,73.0
0267.HK,64.63414634146342,22679280.6,24322138.9,32.0,27.0
1299.HK,63.41463414634146,25213402.6,26464736.95,28.0,25.0
0288.HK,62.19512195121951,28774511.6,22774454.9,24.0,30.0
0857.HK,60.97560975609756,82197738.6,109102727.3,14.0,10.0
0868.HK,59.756097560975604,10904470.2,16805453.45,57.0,42.0
1044.HK,58.536585365853654,4161994.0,3331904.95,75.0,77.0
0016.HK,57.3170731707317,5768347.4,4272234.45,66.0,72.0
0388.HK,56.09756097560976,5324505.8,5686504.35,72.0,66.0
0012.HK,54.87804878048781,7568850.6,6595283.95,62.0,64.0
0175.HK,53.65853658536586,100165159.4,71879204.3,11.0,15.0
0669.HK,52.4390243902439,3490608.4,3972031.95,77.0,74.0
0939.HK,51.21951219512195,228630652.0,236763813.85,3.0,1.0
6690.HK,50.0,17531032.4,13628229.2,42.0,47.0
2388.HK,48.78048780487805,12559605.4,17070549.35,52.0,41.0
0005.HK,47.5609756097561,14857506.0,18061917.9,50.0,38.0
0688.HK,46.34146341463415,17559357.6,17951762.55,41.0,39.0
0291.HK,45.1219512195122,23100891.0,13381028.45,30.0,49.0
0960.HK,43.90243902439025,19949181.8,16456594.4,34.0,43.0
0762.HK,42.68292682926829,42291709.8,44475793.05,19.0,19.0
1209.HK,41.46341463414634,2272860.0,2746208.6,79.0,78.0
1088.HK,40.243902439024396,19664292.6,18890892.1,36.0,36.0
1038.HK,39.02439024390244,1891718.4,1755489.45,80.0,81.0
0386.HK,37.80487804878049,124939595.8,152567278.25,8.0,6.0
1099.HK,36.58536585365854,5501863.0,4997027.25,69.0,69.0
2313.HK,35.36585365853659,5681626.2,4691499.95,68.0,70.0
0883.HK,34.146341463414636,68558272.4,67268475.65,16.0,16.0
2020.HK,32.926829268292686,12136935.4,9913749.2,53.0,59.0
1398.HK,31.70731707317073,245428684.6,196264143.85,2.0,4.0
9999.HK,30.48780487804878,5367451.6,5334250.8,71.0,68.0
0011.HK,29.268292682926827,1879467.8,2703555.7,81.0,79.0
9888.HK,28.04878048780488,7049623.4,8183923.95,64.0,61.0
