,Symbol,Establishment Date,Vol-Adj Momentum,1 Year CAGR (%),3 Year CAGR (%),5 Year CAGR (%),10 Year CAGR (%),20 Year CAGR (%),Max Period CAGR (%),Max Period Annual Volatility (%),Max Period Sharpe,Max Period Sortino,Max Period MDD (%),Max Period Calmar,5 Year Annual Volatility (%),5 Year Sharpe,5 Year Sortino,5 Year MDD (%),5 Year Calmar,5 Year Peak Date,5 Year Recovery Date,5 Year Recovery Period (days)
iShares MSCI Austria ETF,EWO,18/3/1996,58.82629836,70.01418886,29.008788,17.82962367,14.85914056,4.436557759,7.293552122,25.96777993,0.286315271,0.3524086,-75.68880883,0.098230796,21.33907557,0.75111066,1.021245201,-43.59481878,0.367658533,4/6/2007,14/2/2025,6465
iShares MSCI Spain ETF,EWP,18/3/1996,58.36364783,64.60128587,31.7022649,19.65262005,12.43175918,6.04167992,8.851611181,26.49209496,0.339908716,0.447689026,-61.19423598,0.14715265,19.54409193,0.869396739,1.267787149,-45.30718819,0.375030331,10/12/2007,23/8/2024,6101
iShares MSCI Belgium ETF,EWK,18/3/1996,57.07241505,45.51325044,15.95614718,9.240541394,8.054469577,4.496635872,6.374835,23.47319208,0.253323219,0.325887481,-74.09810922,0.080249073,17.68037244,0.424736722,0.625202771,-35.22764252,0.213170763,15/6/2021,29/4/2025,1414
iShares MSCI South Korea ETF,EWY,12/5/2000,52.86127469,148.1469173,35.85089389,10.96908025,13.93930136,7.471879422,9.382578747,32.3712591,0.345862748,0.479938569,-74.14300034,0.151005659,24.8125516,0.418132133,0.704351054,-49.73418398,0.208607527,8/1/2021,20/10/2025,1746
iShares MSCI EAFE Value ETF,EFV,5/8/2005,49.37742796,44.71906955,22.37695708,14.37076691,11.22041438,5.439764227,6.039947189,22.00565551,0.240666815,0.297864846,-63.93592422,0.082833416,15.57223486,0.761860576,1.095590627,-25.84306006,0.459073802,9/2/2022,13/7/2023,519
WisdomTree Japan Hedged Equity Fund,DXJ,16/6/2006,43.18091082,55.81899236,37.42973716,26.42168946,18.5467917,,9.406341691,22.21564641,0.381195836,0.497333706,-49.63316458,0.170622042,18.6784193,1.199241498,1.587637855,-22.19385351,1.009285545,10/7/2024,19/3/2025,252
iShares MSCI Hong Kong ETF,EWH,18/3/1996,42.17714771,47.46553222,8.631274486,1.292730248,6.842565969,6.318037866,5.244020716,27.36565338,0.213406116,0.297045177,-66.43000219,0.087912052,19.98673188,0.019973392,0.030436282,-42.71187512,0.009346413,28/5/2021,27/1/2026,1705
Invesco S&P Intl Developed Momentum ETF,IDMO,24/2/2012,41.79250737,40.96594152,25.87860277,14.26185614,14.59257268,,9.046075986,19.74837141,0.386651385,0.404876468,-39.37585403,0.193919227,17.42840724,0.682090068,0.985128446,-27.06625548,0.439209018,12/11/2021,1/12/2023,749
iShares MSCI Italy ETF,EWI,18/3/1996,41.60547587,43.44455702,27.33869494,17.14606338,13.65262292,3.604278677,6.801356089,26.89227778,0.268197607,0.351634093,-70.38329366,0.102473814,20.59888022,0.719206952,1.018314003,-51.28505105,0.288872831,7/5/2007,13/2/2025,6492
WisdomTree International Multifactor ETF,DWMF,10/8/2018,40.73016005,29.3023131,16.54259035,10.51206496,,,8.196365908,14.08613171,0.417689119,0.481854608,-29.71645903,0.197992094,10.98604291,0.693194153,1.055285195,-16.99594795,0.448075078,7/9/2021,13/4/2023,583
iShares MSCI Mexico ETF,EWW,18/3/1996,36.84794016,59.44695892,16.00245634,17.47736191,8.832796978,6.119954525,9.494711451,29.59664532,0.353281773,0.483266517,-64.94493829,0.160997233,22.06835841,0.702977095,1.0067381,-38.21718781,0.405931241,11/4/2013,9/5/2023,3680
iShares MSCI United Kingdom ETF,EWU,18/3/1996,35.27372913,36.71818759,18.24131705,13.33683502,9.263893395,5.088208528,6.174285326,22.42059736,0.24586378,0.317198068,-63.99366738,0.086139974,16.08253848,0.703190769,0.972234517,-24.91253064,0.45395198,9/2/2022,13/4/2023,428
iShares MSCI Canada ETF,EWC,18/3/1996,33.46651314,37.5091655,19.55960313,13.89716277,13.20080608,6.730226244,8.98376898,22.1177657,0.364486987,0.46476294,-60.75024038,0.132701331,17.18326456,0.674040591,1.008949982,-24.81223181,0.46679468,30/3/2022,12/7/2024,835
iShares MSCI Intl Momentum Factor ETF,IMTM,27/1/2015,33.21729834,35.88871009,21.54940974,9.425729759,11.76106563,,9.348588201,19.93070838,0.396737439,0.491627669,-30.68315363,0.257706828,17.01900065,0.444026513,0.655392657,-30.68315363,0.246287836,8/11/2021,22/2/2024,836
iShares MSCI Netherlands ETF,EWN,18/3/1996,30.78491727,36.97203075,17.46587542,8.868008621,13.76200696,8.122510923,7.549747494,24.33523193,0.297870537,0.393419507,-65.21690161,0.111148313,22.5096683,0.366493513,0.564647155,-43.56498594,0.18936417,7/9/2021,15/5/2024,981
Capital Group Dividend Value ETF,CGDV,24/2/2022,29.71383357,24.57548268,24.17048223,,,,18.78487239,15.54714472,0.993367318,1.366922712,-21.81388584,0.707990569,,,,,,,,
iShares MSCI Taiwan ETF,EWT,23/6/2000,28.90176496,46.31785098,26.74894673,12.82353164,17.7372484,9.705740632,6.142580497,28.14640676,0.246043206,0.335467505,-64.36280314,0.107596808,21.7044706,0.534553936,0.770893584,-38.88151402,0.298399136,4/1/2022,15/5/2024,862
iShares MSCI Germany ETF,EWG,18/3/1996,28.148597,24.50129707,18.959826,8.731895283,9.34649132,6.109929286,6.52563567,25.30065756,0.257901782,0.344639416,-67.5689317,0.096569303,19.93310646,0.369740169,0.550536756,-43.43596283,0.169676684,7/6/2021,19/9/2024,1200
iShares MSCI Malaysia ETF,EWM,18/3/1996,26.77538545,28.76814491,13.44317107,5.513898081,3.608972334,5.355859819,2.2507528,27.54050087,0.108684434,0.145209586,-89.191913,0.033559363,13.45850326,0.250560855,0.38443382,-43.06595151,0.078302556,27/8/2014,,
iShares MSCI Switzerland ETF,EWL,18/3/1996,26.63404548,27.89082438,14.98371921,9.347741118,10.90947587,8.076928649,7.864500651,20.8541921,0.323730388,0.433524856,-51.61764532,0.130791237,15.63869214,0.461108405,0.725823339,-28.99384949,0.248712486,29/12/2021,17/7/2024,931
iShares MSCI Japan ETF,EWJ,18/3/1996,26.26979073,37.22655341,20.41770659,7.510047486,10.38876207,4.351956507,2.923395687,22.58690987,0.107407082,0.153802846,-58.8938954,0.041192624,17.69642342,0.332982172,0.509255362,-33.14405607,0.177787338,15/9/2021,6/3/2024,903
iShares MSCI Singapore ETF,EWS,18/3/1996,26.10602565,29.22546692,20.6433457,10.98529187,9.103495257,7.040639636,4.068433102,27.06913508,0.171438111,0.233505762,-75.20514284,0.061706969,17.08805838,0.514355298,0.778862629,-29.98678855,0.293106858,24/1/2018,11/9/2024,2422
iShares MSCI Brazil ETF,EWZ,14/7/2000,26.1053938,58.43210898,18.60540272,10.04655014,13.0147302,4.193343528,6.888430225,37.43753611,0.286138704,0.385947708,-77.24913192,0.138672472,27.89024575,0.379509315,0.544295858,-57.26103539,0.184848353,20/5/2008,,
Activebeta World Low Vol Plus Equity ETF,GLOV,9/2/2022,23.67484977,16.70768909,16.80909395,,,,13.05369246,12.86858623,0.785816649,1.079787022,-17.76900124,0.569100603,,,,,,,,
Vanguard Russell 1000 Value ETF,VONV,22/9/2010,22.38640588,17.51959455,14.43776125,11.50084353,12.20139714,,11.56904324,16.69493456,0.56016668,0.685176632,-38.2060184,0.244776778,14.80627419,0.609226626,0.861831901,-18.86627601,0.478121727,12/1/2022,14/12/2023,701
Ping An of China CSI HK Dividend ETF,3070.HK,14/2/2012,22.27495683,31.4689827,24.70613725,17.62522691,11.88357817,,10.22886385,17.71536847,0.469489112,0.618380958,-33.58344756,0.247656903,19.72568678,0.760877051,1.087558828,-29.04346442,0.516771077,26/1/2018,8/5/2023,1928
Invesco S&P 500 Pure Value ETF,RPV,7/3/2006,22.22205641,24.03285832,11.94197689,13.05235484,12.39358773,,9.288320259,24.83885117,0.361720838,0.444644256,-75.30849002,0.119305673,18.29459337,0.607800443,0.926030693,-22.64378491,0.491060218,2/2/2023,21/3/2024,413
