Stock,RS,Volume SMA 5,Volume SMA 20,Volume SMA 5 Rank,Volume SMA 20 Rank
RGC,100.0,382020.0,233060.0,3045.0,3669.0
RGTI,99.98439450686641,163202220.0,120311610.0,7.0,12.0
DRUG,99.96878901373285,96040.0,99650.0,4348.0,4475.0
TMCWW,99.95318352059925,1060340.0,474065.0,1866.0,2901.0
QBTS,99.93757802746566,77536980.0,73111765.0,27.0,24.0
LIDRW,99.92197253433208,236860.0,113465.0,3548.0,4349.0
DGNX,99.90636704119851,1979220.0,994855.0,1190.0,2046.0
QUBT,99.89076154806492,52361080.0,54130495.0,46.0,41.0
EOSEW,99.87515605493134,527080.0,453630.0,2660.0,2959.0
UAMY,99.85955056179775,28482640.0,16124490.0,102.0,177.0
EMP,99.84394506866417,1788013.2,1550733.3,1284.0,1553.0
MVST,99.82833957553059,12804120.0,9406970.0,219.0,289.0
DBVT,99.812734082397,190360.0,119240.0,3757.0,4300.0
BULLW,99.79712858926342,67520.0,37225.0,4684.0,5202.0
MNPR,99.78152309612985,98580.0,93965.0,4325.0,4523.0
BSGM,99.76591760299625,1874976.6,1550760.6,1232.0,1552.0
ABTS,99.75031210986268,58520.0,58835.0,4789.0,4882.0
OKLO,99.73470661672908,23912540.0,27425245.0,125.0,97.0
IDAI,99.71910112359551,348760.0,1640775.0,3127.0,1491.0
QMMM,99.70349563046193,0.0,220560.0,6386.0,3725.0
ZEPP,99.68789013732834,311540.0,274370.0,3246.0,3520.0
LAES,99.67228464419475,70132360.0,36703565.0,33.0,67.0
ARQQ,99.65667915106118,1007980.0,874035.0,1929.0,2202.0
JL,99.64107365792759,73760.0,78550.0,4612.5,4664.0
TMQ,99.625468164794,69269400.0,19836815.0,35.0,134.0
GSRTR,99.60986267166042,200180.0,145275.0,3708.0,4123.0
HOVR,99.59425717852685,2117240.0,1772735.0,1134.0,1409.0
TOI,99.57865168539325,1482980.0,1729665.0,1479.0,1436.0
AGFY,99.56304619225968,21312.4,15828.65,5405.0,5668.0
ONDS,99.54744069912608,51661380.0,54062615.0,49.0,43.0
TDUP,99.53183520599251,1407540.0,1980560.0,1538.0,1285.0
PRCH,99.51622971285893,2190740.0,2172850.0,1105.0,1187.0
QURE,99.50062421972534,3471920.0,7640890.0,756.0,376.0
MFH,99.48501872659176,450080.0,513265.0,2845.0,2810.0
AMPX,99.46941323345818,9563500.0,10333240.0,295.0,259.0
CDTX,99.45380774032459,1245840.0,1325360.0,1682.0,1716.0
TMC,99.43820224719101,22834700.0,12102180.0,128.0,222.0
BE,99.42259675405742,13842280.0,16143980.0,203.0,176.0
ABVX,99.40699126092385,1139420.0,1034175.0,1773.0,1996.0
UMAC,99.39138576779027,3468920.0,4162940.0,759.0,672.0
ABAT,99.37578027465668,22833680.0,16237060.0,129.0,173.0
RR,99.36017478152309,61511860.0,58378570.0,39.0,35.0
LTBR,99.34456928838952,2870440.0,3017230.0,895.0,906.0
GITS,99.32896379525593,30420.0,16905.0,5225.5,5635.0
IONQ,99.31335830212234,40762100.0,38106180.0,72.0,64.0
