Stock,RS,Volume SMA 5,Volume SMA 20,Volume SMA 5 Rank,Volume SMA 20 Rank
PLTR,100.0,55571986.0,60415096.5,7.0,8.0
GEV,99.80119284294234,2433431.2,2900347.8,252.0,241.0
TPR,99.60238568588468,6827171.8,4763612.95,96.0,157.0
UAL,99.40357852882704,6239208.4,5606562.1,110.0,134.0
VST,99.20477137176938,3696900.2,5009840.05,173.0,149.0
JBL,99.00596421471172,1344546.2,1271131.55,361.0,396.0
AXON,98.80715705765407,757725.4,789836.35,443.0,455.0
RCL,98.60834990059642,1604246.6,2083011.65,331.0,309.0
CCL,98.40954274353876,15294286.8,17251441.7,33.0,35.0
AVGO,98.2107355864811,16300737.4,17180174.35,30.0,37.0
DASH,98.01192842942345,3703425.2,3575211.3,172.0,206.0
NFLX,97.8131212723658,2829224.6,3362731.15,231.0,220.0
ORCL,97.61431411530815,10583978.0,9809134.5,54.0,71.0
HWM,97.4155069582505,2143035.6,2854748.9,280.0,243.0
NRG,97.21669980119285,2445560.4,3324815.1,250.0,222.0
EBAY,97.01789264413519,6334197.2,6950414.3,106.0,106.0
RL,96.81908548707754,645955.8,752858.95,459.0,457.0
LYV,96.62027833001989,2383625.6,2160416.4,255.0,298.0
CRWD,96.42147117296223,2483397.4,2700964.35,248.0,256.0
CEG,96.22266401590457,2047557.2,2483759.3,294.0,271.0
EQT,96.02385685884693,6700984.2,9193511.05,99.0,77.0
APH,95.82504970178927,6656851.0,9293987.75,100.0,76.0
WBD,95.62624254473161,48213766.2,65634236.55,9.0,5.0
PODD,95.42743538767395,724431.8,708252.95,446.0,464.0
GLW,95.2286282306163,4239302.6,6062320.65,150.0,125.0
FFIV,95.02982107355865,459436.8,569349.2,479.0,480.0
WDC,94.83101391650099,6234376.4,7713154.1,111.0,93.0
C,94.63220675944333,14525118.6,14928549.65,36.0,42.0
COF,94.43339960238568,3594913.4,4223593.35,183.0,175.0
COIN,94.23459244532803,11409218.6,13054134.65,50.0,49.0
TTWO,94.03578528827038,2140107.2,1960171.8,281.0,323.0
GILD,93.83697813121272,6387778.0,6445404.5,103.0,119.0
GE,93.63817097415506,4635658.2,4462054.55,139.0,168.0
TKO,93.43936381709742,1398338.8,1051129.7,352.0,418.0
TSLA,93.24055666003976,80326348.8,89195122.2,3.0,3.0
BK,93.04174950298211,3227732.2,3434148.05,210.0,215.0
EXPE,92.84294234592446,2234639.8,2108584.95,275.0,306.0
ANET,92.6441351888668,7427569.8,9861437.45,82.0,70.0
STX,92.44532803180915,2175310.0,3689817.5,278.0,194.0
ULTA,92.2465208747515,643537.8,578499.45,460.0,479.0
SYF,92.04771371769384,3177422.4,3764125.6,213.0,192.0
TRMB,91.84890656063618,1607076.2,2080064.05,330.0,311.0
NCLH,91.65009940357854,11547783.6,14814375.9,49.0,43.0
NVDA,91.45129224652088,148705959.0,153841549.75,2.0,1.0
VRSN,91.25248508946322,1028186.0,1221646.5,401.0,402.0
SCHW,91.05367793240556,9259763.4,8398565.85,64.0,86.0
BKNG,90.85487077534792,168210.0,205312.5,498.0,498.0
JCI,90.65606361829026,6725178.6,5711074.65,98.0,131.0
DAL,90.4572564612326,8467723.2,7478175.8,74.0,98.0
ETR,90.25844930417495,2102466.4,2682716.6,288.0,257.0
NTRS,90.05964214711729,1155131.0,1370532.75,387.0,382.0
FOXA,89.86083499005964,3644515.6,3662743.9,178.0,199.0
MS,89.66202783300199,5008575.2,4849738.8,135.0,153.0
META,89.46322067594433,10076179.0,12855334.75,60.0,52.0
GS,89.26441351888667,1668773.8,1860458.45,323.0,330.0
T,89.06560636182903,26163005.8,33455181.45,19.0,13.0
WYNN,88.86679920477137,1560999.0,1837059.75,335.0,335.0
CNP,88.66799204771371,4202906.0,5787431.5,151.0,130.0
FAST,88.46918489065607,5023981.8,5846230.45,134.0,129.0
FOX,88.27037773359841,812555.0,1158083.75,435.0,409.0
WMT,88.07157057654076,14211436.8,14470469.2,38.0,44.0
RJF,87.8727634194831,1005394.2,1058988.55,408.0,416.0
CSCO,87.67395626242545,33564975.6,21827333.9,13.0,23.0
CAH,87.47514910536779,3862699.8,2354029.95,165.0,285.0
WFC,87.27634194831015,14347970.6,15088932.65,37.0,41.0
PWR,87.07753479125249,1117334.8,1317498.7,393.0,391.0
GL,86.87872763419483,710023.0,820000.75,447.0,451.0
CBRE,86.67992047713717,1294578.0,1742249.5,367.0,341.0
DRI,86.48111332007953,849546.2,1023486.55,431.0,423.0
WSM,86.28230616302187,1364103.0,1282225.75,354.0,395.0
NEM,86.08349900596421,7115172.8,10601328.2,92.0,63.0
STT,85.88469184890656,1703921.0,1712015.25,320.0,345.0
PM,85.6858846918489,4431851.8,6791902.95,146.0,110.0
INCY,85.48707753479125,2123609.2,1910622.3,284.0,328.0
JPM,85.2882703777336,6853224.0,7601636.0,95.0,94.0
BA,85.08946322067594,5870062.2,6753645.55,120.0,111.0
DE,84.89065606361828,2325125.4,1379866.35,261.0,381.0
WELL,84.69184890656064,2297647.8,2464111.95,266.0,274.0
MNST,84.49304174950298,6128674.8,6688593.7,116.0,116.0
CTVA,84.29423459244532,4254502.8,4112530.7,149.0,179.0
PAYC,84.09542743538768,646979.0,651399.75,458.0,470.0
TEL,83.89662027833002,1333912.0,2073838.0,363.0,312.0
DELL,83.69781312127238,4415434.0,4656033.5,147.0,162.0
GNRC,83.49900596421472,866458.6,1303539.65,427.0,394.0
