Date,Close,High,Low,Open,Volume
2011-01-20,235.268310546875,236.04349738399904,220.6367088970829,222.8653655092674,307405
2011-01-21,232.55517578125,237.40007527669272,232.55517578125,236.43109537760415,48805
2011-01-24,231.39239501953125,233.91173380052675,223.44676307330656,230.81100118559263,21280
2011-01-25,231.586181640625,232.1675754585089,230.61720180112448,232.1675754585089,7440
2011-01-26,231.0048065185547,242.24497948064047,230.61722046556972,231.19861433050733,20380
2011-01-27,231.39239501953125,233.52414776820726,230.03581433549425,233.52414776820726,15895
2011-01-28,230.61721801757812,232.5551778328519,230.61721801757812,231.00480406644888,6025
2011-01-31,232.55517578125,232.55517578125,227.71027628580728,230.61721598307292,4945
2011-02-01,232.55517578125,234.88072162487853,231.58619588216146,231.58619588216146,13890
2011-02-02,232.3613739013672,233.9117328095363,230.61720719240003,233.9117328095363,4910
2011-02-03,231.7799835205078,232.9427564153102,230.6172106257054,230.81100364392924,6795
2011-02-04,231.97377014160156,232.55516396569945,230.6172042659853,230.81099727886487,4895
2011-02-07,232.55517578125,232.94276182670146,230.81100900579864,231.19860983671,10325
2011-02-08,231.7799835205078,232.5551703788626,230.6172106257054,230.6172106257054,3555
2011-02-09,233.9117431640625,234.49313702127444,231.58619730613466,231.58619730613466,7395
2011-02-10,232.7489776611328,234.49314450295765,230.6172247591071,233.524164566995,21480
2011-02-11,233.52415466308594,234.10554851419042,232.55517476821836,232.55517476821836,12295
2011-02-14,232.55517578125,234.49313557942708,232.55517578125,233.52415568033854,6165
2011-02-15,232.55517578125,232.94276182670146,232.55517578125,232.7489688039757,9905
2011-02-16,232.55517578125,232.7489688039757,231.58619588216146,232.55517578125,7525
2011-02-17,230.61721801757812,232.5551778328519,230.61721801757812,231.586197925215,6145
2011-02-18,229.26065063476562,232.5551763860507,228.87304980284625,232.5551763860507,6830
2011-02-22,227.32269287109375,230.22963260200055,224.9971322150923,230.22963260200055,9120
2011-02-23,225.19091796875,227.71027156837113,224.8033319313281,227.51647854966018,5990
2011-02-24,229.45443725585938,230.2296241126093,222.86537115167448,222.86537115167448,8160
2011-02-25,230.61721801757812,230.81101104201352,227.53586900831365,229.64823810994125,2875
2011-02-28,231.586181640625,231.77997465143332,222.8653630851203,229.26063594000735,14645
2011-03-01,228.48545837402344,232.55517090781834,227.71027151390547,232.16758487048915,3510
2011-03-02,233.9117431640625,234.68693004519176,231.19861125830002,231.39240428221734,13020
2011-03-03,234.88070678710938,235.849686624986,234.29932775565877,235.07451458305187,11105
2011-03-04,235.4621124267578,237.40007219981754,232.55517276716822,235.07452638632975,3840
2011-03-07,234.29934692382812,235.46211986731544,233.1365739803408,235.46211986731544,4440
2011-03-08,236.2373046875,236.43109771213926,232.96214786489446,233.7179510108096,9140
2011-03-09,233.7179412841797,235.65590102084033,232.5551683992752,234.8807141690842,5520
2011-03-10,233.52415466308594,233.91174070684903,231.77998789523235,231.77998789523235,2605
2011-03-11,234.49313354492188,235.84969947769207,232.55517376355888,233.5241536542404,2195
2011-03-14,231.7799835205078,233.64042310928357,230.6172106257054,233.5241502554412,4115
2011-03-15,230.22962951660156,231.3730186984144,227.71027586939454,227.71027586939454,5220
2011-03-16,233.13656616210938,235.84969801077486,228.6792527785138,230.22962650814523,6860
2011-03-17,232.55517578125,234.10554953397562,231.19860983671,232.55517578125,2500
2011-03-18,228.67926025390625,233.17532647425958,228.48546722773227,232.5551799192267,3420
2011-03-21,231.19859313964844,232.74895199494793,228.67923966978088,228.67923966978088,3205
2011-03-22,229.45443725585938,231.77998304064957,229.26064423803678,229.45443725585938,4150
2011-03-23,233.13656616210938,233.52415220178742,227.7102728938591,228.29166673883577,5170
2011-03-24,230.81100463867188,234.10554510451354,230.61721161961287,234.10554510451354,3110
2011-03-25,232.55517578125,235.2683224557899,230.81100900579864,231.77998890488718,2130
2011-03-28,233.13656616210938,234.49313208644213,230.61721254782324,232.36137929729367,3875
2011-03-29,231.97377014160156,234.78382057746256,228.89242131607642,232.94274999145864,3415
2011-03-30,231.0048065185547,233.7179532458299,230.03582660063213,232.9427663543998,3250
2011-03-31,236.0435028076172,236.0435028076172,229.64822973622216,230.03581577096026,54345
2011-04-01,232.55517578125,236.6248884003299,231.19860983671,236.0435093321527,5620
2011-04-04,232.55517578125,234.68692860215282,231.39240285943572,231.77998890488718,3105
2011-04-05,233.33035278320312,233.52414579772767,229.64822636540023,231.39239306703942,4365
2011-04-06,236.2373046875,236.43109771213926,232.55517807751403,234.10555184554815,2945
2011-04-07,233.52415466308594,234.4931345579535,232.3613817463368,234.4931345579535,1500
2011-04-08,230.81100463867188,235.46211102338623,228.3885549367852,233.7179442809359,1825
2011-04-11,228.67926025390625,232.36138689305272,228.09786638992412,230.4234270603925,1740
2011-04-12,226.54750061035156,228.4854603849731,225.772313743411,228.2916673646029,3160
2011-04-13,224.41574096679688,227.7102665689296,221.5088013935765,226.93507972564564,6175
2011-04-14,221.89639282226562,224.8033324662254,220.9274129409457,224.8033324662254,5630
2011-04-15,221.89639282226562,223.2529587419297,221.3149989792898,221.50880678392147,2095
2011-04-18,220.73362731933594,221.89640025879658,219.18325354308172,221.89640025879658,1735
2011-04-19,220.1522216796875,221.70259537300348,218.98944880243016,221.70259537300348,730
2011-04-20,220.92739868164062,222.28396451374795,217.24527241318822,220.34600487618968,2755
2011-04-21,220.92739868164062,222.09017150708385,218.98943904408236,221.89637850041976,2980
2011-04-25,221.12120056152344,225.1909130066147,219.18324084619815,224.80332697773335,1470
2011-04-26,221.31500244140625,221.50881024906974,218.98945660404283,220.3460225449282,3405
2011-04-27,222.2839813232422,222.57467824795066,220.36540527690195,220.92741538854904,2345
2011-04-28,221.50880432128906,222.09018337234176,218.9894507436824,221.31499651881205,3115
2011-04-29,226.7412872314453,227.32268106160708,219.37703438153943,222.09018094652893,2250
2011-05-02,227.12887573242188,227.71026956890927,226.54749668139397,226.9350827154126,2340
2011-05-03,225.77232360839844,228.29167733967202,225.19092973642444,227.51649043886013,2950
2011-05-04,220.1522216796875,228.67924742200674,219.95842866438784,226.15989386673309,5840
2011-05-05,219.5708465576172,221.3149985119423,218.9894527158691,219.76463957638,3180
2011-05-06,224.80332946777344,226.7025365154309,219.95843012579556,220.92740999419112,2045
2011-05-09,226.54750061035156,227.3226874772921,223.446767928049,224.02814698915964,730
2011-05-10,231.7799835205078,232.5551703788626,226.48936167424606,227.90406401419344,1685
2011-05-11,227.7102813720703,232.36138794867696,225.19092766398245,231.77999408205355,1315
2011-05-12,231.586181640625,231.586181640625,227.71026228262292,227.71026228262292,1550
2011-05-13,228.48545837402344,237.2062772830666,227.71027151390547,237.2062772830666,2770
2011-05-16,223.64056396484375,231.39240316788542,222.88476082538398,227.71027658934864,4390
2011-05-17,228.48545837402344,229.64823127147062,223.64055898011054,223.64055898011054,1165
2011-05-18,231.0048065185547,233.89237731949524,227.90407373829453,227.90407373829453,3430
2011-05-19,230.0358123779297,232.36137290843467,228.6792464908962,232.36137290843467,5130
2011-05-20,230.22962951660156,232.1675893112347,229.64823566402768,229.64823566402768,1330
2011-05-23,228.67926025390625,231.5862000028966,228.67926025390625,229.64824017023636,2740
2011-05-24,227.904052734375,230.423406202971,227.1288659143871,228.6792395543629,1945
2011-05-25,228.0978546142578,228.87304146439453,226.02423829178127,228.0978546142578,1630
2011-05-26,229.64822387695312,229.64822387695312,223.07854169318333,226.74128433420688,1640
2011-05-27,227.7102813720703,233.13657484235478,223.44677563503265,228.87305431985692,2835
2011-05-31,227.5164794921875,230.07458579196438,224.60953984310194,227.71027251170125,3245
2011-06-01,221.31500244140625,228.0978617167527,220.92741639699895,227.51648265014177,2175
2011-06-02,222.67156982421875,224.99711552222448,221.5087969752159,222.2839690175785,1170
2011-06-03,218.40806579589844,223.05917232090704,218.40806579589844,220.92741947603727,1990
2011-06-06,222.09019470214844,229.4544480081747,217.43908812915606,217.43908812915606,2620
2011-06-07,221.12120056152344,223.64055410563003,218.98944783175747,223.64055410563003,2100
2011-06-08,219.5708465576172,222.28397839121604,219.5708465576172,220.9274124744166,1910
2011-06-09,219.18324279785156,221.70259636439098,218.02046991539467,218.9894497816853,1825
2011-06-10,218.40806579589844,219.95843956605466,217.8266867211849,218.79566663116753,1450
2011-06-13,217.43907165527344,219.9584251705292,215.3073189499196,219.37703134840584,1680
2011-06-14,218.9894561767578,219.37704222040887,217.82668326034488,218.7956631549323,1355
2011-06-15,215.50112915039062,219.1832558181184,215.30733612271237,217.8266898389104,2100
2011-06-16,217.6328887939453,218.0204748350237,213.17557539424539,216.27630807925155,1295
2011-06-17,216.27630615234375,221.31499856876917,215.88872011471855,218.79565975328626,4835
2011-06-20,224.80332946777344,226.54749618797734,216.2763036688005,216.2763036688005,2335
2011-06-21,218.79566955566406,224.41575606577524,218.79566955566406,223.83436219783053,10775
