Date,Close,High,Low,Open,Volume
2009-01-02,277.2005310058594,278.08899424626276,265.2062772604135,265.2062772604135,5800
2009-01-05,275.4235534667969,278.97740576959427,270.98123808830013,277.2004796181956,69975
2009-01-06,275.4235534667969,282.5312580723916,274.9793219289472,277.2004796181956,98595
2009-01-07,271.8697204589844,277.20049929151344,270.09279418147463,277.20049929151344,69200
2009-01-08,266.5389404296875,271.15894873046875,266.5389404296875,270.09279296874996,69300
2009-01-09,264.76202392578125,268.31587659592594,264.76202392578125,266.5389502608536,11000
2009-01-12,256.7659606933594,267.42752307509056,256.7659606933594,267.42752307509056,46462
2009-01-13,257.6544494628906,261.2083039382408,255.8775222252155,257.6544494628906,9612
2009-01-14,250.5467071533203,257.65797248223254,246.10438965060186,257.65797248223254,48946
2009-01-15,231.0004425048828,243.43892787053034,223.89273658165564,243.43892787053034,28605
2009-01-16,223.89276123046875,241.66202799479166,216.7850545247396,241.66202799479166,25400
2009-01-20,170.58494567871094,204.3465495109558,170.58494567871094,204.3465495109558,48721
2009-01-21,202.56967163085938,202.56967163085938,183.02347524542557,187.46579260575143,63546
2009-01-22,195.4619598388672,202.56966746937147,193.68503293124112,195.46195983886722,9700
2009-01-23,191.9081268310547,195.46198103162976,191.9081268310547,195.46198103162976,20855
2009-01-26,202.56967163085938,206.8342962967722,191.9081099660773,206.8342962967722,7558
2009-01-27,204.3465118408203,204.3465118408203,194.57341779625935,195.46188089121944,48917
2009-01-28,229.2235107421875,236.33121650163517,219.45041532294695,223.89273142260174,83695
2009-01-29,226.55821228027344,231.00053016812194,226.02513413373163,231.00053016812194,5050
2009-01-30,226.3804473876953,228.51275929401584,220.33889698645385,227.44660334085557,20014
2009-02-02,210.03274536132812,225.66970102274678,209.6773600053868,225.59861961335838,21789
2009-02-03,200.792724609375,216.7850655074668,198.12733445969303,213.2312119745575,21880
2009-02-04,202.92152404785156,207.9004774133895,202.5696959412513,206.1235502560101,37530
2009-02-05,192.08575439453125,196.17268533909575,177.6926497636737,195.46191474004107,29264
2009-02-06,200.792724609375,204.34657814228427,195.46194431001106,199.01579784292034,48255
2009-02-09,209.67735290527344,215.68337389370586,207.01196282596914,215.68337389370586,12450
2009-02-10,197.32774353027344,200.79275118343898,195.46197017856892,195.46197017856892,7005
2009-02-11,198.66043090820312,202.56967015684398,198.12735282884302,199.0158162944432,4800
2009-02-12,193.68496704101562,197.23881964727278,186.5772618285013,195.46189334414422,5108
2009-02-13,191.9081268310547,195.46198103162976,191.9081268310547,193.66728899854027,2110
2009-02-17,181.24290466308594,188.3541663774421,178.43180627474797,178.43180627474797,8324
2009-02-18,152.37496948242188,177.69260893257663,151.03871759269015,177.69260893257663,26211
2009-02-19,142.15411376953125,159.92337799072266,120.8274393806979,159.5679927062988,121321
2009-02-20,138.6002655029297,142.15411846454327,105.99366458012507,122.61148449918971,121373
2009-02-23,150.66566467285156,156.36959676199112,139.31109529704665,156.36959676199112,28219
2009-02-24,157.79107666015625,159.89496245431118,138.58250511213635,142.7760474058959,94284
2009-02-25,166.97463989257812,168.21024724535852,148.42190212673611,165.11936611599393,117275
2009-02-26,179.95791625976562,185.55713346427322,175.42362482973672,175.42362482973672,106320
2009-02-27,170.68521118164062,198.94104378729574,166.97466311247453,166.97466311247453,64437
2009-03-02,155.8430633544922,166.97471073695593,155.55735514820665,166.97471073695593,48579
2009-03-03,155.824462890625,163.26410686725788,153.7910785740213,159.5535589839111,67272
2009-03-04,142.8560791015625,163.04145528649937,134.95261743658938,160.67042131648435,44361
2009-03-05,128.00282287597656,139.92481988866083,122.07707504181934,137.2977445768851,31364
2009-03-06,129.86923217773438,139.43502831204927,127.66516487430782,135.67253701670893,13901
2009-03-09,144.71141052246094,145.89136238287992,126.1586655836839,129.8692145714393,53535
2009-03-10,167.34571838378906,170.3141568473596,152.51465725722701,156.19922878244736,15906
2009-03-11,163.26416015625,174.39580743963066,159.65008896182883,173.91344058682972,22727
2009-03-12,171.42730712890625,175.13043788324202,164.74460696551577,166.97093562952753,30653
2009-03-13,170.4997100830078,176.251060477538,166.97468887345707,174.3957861567218,62064
2009-03-16,169.57579040527344,179.96161263237127,169.57579040527344,178.09520708214217,34802
2009-03-17,177.36427307128906,177.36427307128906,166.97473406292903,166.97473406292903,48312
2009-03-18,179.590576171875,182.18796053799716,173.65369762073863,176.0618403594602,25639
2009-03-19,179.77610778808594,192.94855737833785,179.5905803290683,192.94855737833785,19537
2009-03-20,179.2195587158203,183.67221855969163,176.43664631340076,181.01546349400448,31206
2009-03-23,189.23797607421875,192.94852462469362,183.6684390763734,187.38270179898132,42656
2009-03-24,186.6405792236328,197.12287815617285,186.6405792236328,188.032034834147,60449
2009-03-25,181.35304260253906,194.80377977766344,176.23249063500396,192.94850568454282,92600
2009-03-26,182.74453735351562,185.52744908986358,179.96162561716767,179.96162561716767,68500
2009-03-27,184.41427612304688,185.71296820842045,179.9616175446232,181.81689195229973,34700
2009-03-30,165.64442443847656,179.96157009711496,165.1193787488993,179.96157009711496,37941
2009-03-31,177.73153686523438,178.51817123757306,166.59989275019126,167.716771333316,42117
2009-04-01,173.28262329101562,175.3234250642503,170.6852392159897,174.3957878945982,49650
2009-04-02,183.67221069335938,186.4551229765921,175.32347384366122,178.10638612689394,69008
2009-04-03,186.45510864257812,190.16565806830107,181.81692186042443,181.81692186042443,7910
2009-04-06,185.52743530273438,189.79453234360926,185.34190786743164,185.52743530273438,19200
2009-04-07,183.30108642578125,185.52741541070978,181.44581227167416,182.74450417954912,37452
2009-04-08,183.67221069335938,184.41432063555476,179.97279217856737,183.67221069335938,42884
2009-04-09,212.2432861328125,212.2432861328125,202.96691873190284,202.96691873190284,52617
2009-04-13,215.2117919921875,217.07820857624554,205.93542164769667,212.24335348195044,37885
2009-04-14,212.98548889160156,217.06709233725942,209.645995163336,211.63112959840402,15500
2009-04-15,217.067138671875,222.6403910863094,208.9224782554767,210.77403877201752,21054
2009-04-16,220.7777557373047,224.30277872806838,212.06539037151248,218.92248047900802,36699
2009-04-17,221.1488037109375,223.9317165093134,219.29352851202023,222.60704729959818,24416
2009-04-20,205.19337463378906,221.14873649500592,204.45126477977897,221.14873649500592,66274
2009-04-21,207.41964721679688,209.6459761672455,185.5274125373854,200.36960554037623,44264
2009-04-22,210.90753173828125,217.40098994885167,204.0689726759646,204.0801151893561,22902
2009-04-23,221.89080810546875,225.1932054455937,214.0058922656005,222.632917831574,26300
2009-04-24,228.4844512939453,237.2895756011433,214.19512545550742,220.76649232770788,40937
2009-04-27,227.08560180664062,241.176402761747,220.781382595755,220.781382595755,11740
2009-04-28,223.74603271484375,232.73113419244663,217.0670466636544,220.7775944698707,16940
2009-04-29,226.3434600830078,228.1987343459833,224.48818582003236,228.00949274757727,35700
2009-04-30,229.31195068359375,231.9093352382623,222.2619068923506,231.9093352382623,119661
2009-05-01,226.3434600830078,243.78303815497728,226.3434600830078,228.1987343459833,18125
2009-05-04,240.07244873046875,243.96852401898485,232.83688033751028,241.18561309861622,41850
2009-05-05,237.12261962890625,244.1355660113803,232.83694023845783,244.1355660113803,60600
2009-05-06,261.2337951660156,263.50464936872214,244.52518195329833,244.52518195329833,54178
2009-05-07,261.9646911621094,273.8384448691738,256.58068234198026,270.8700064424077,44910
2009-05-08,274.5805969238281,276.4358712273675,264.5621156847155,268.97396341390606,94661
2009-05-11,275.32269287109375,279.68258726628966,271.6863599475574,274.5805831868051,62743
2009-05-12,269.0148010253906,275.5082617397966,269.0148010253906,275.32273429081357,72485
2009-05-13,261.59368896484375,271.24482996427844,254.1725914055574,269.0147865241301,13260
2009-05-14,259.92388916015625,260.851526166438,257.5120329438236,257.5120329438236,22037
2009-05-15,257.90911865234375,264.1910750650661,257.90911865234375,261.1781112454975,7000
2009-05-18,262.7069396972656,267.1595996921345,262.7069396972656,263.44904969641044,17114
2009-05-19,261.59368896484375,266.4248307231047,261.59368896484375,265.62705367652444,27690
2009-05-20,262.7069396972656,270.1280396887138,259.9425754209712,270.1280396887138,10304
2009-05-21,265.3116455078125,267.50085552953976,262.33577837022426,262.33577837022426,4105
2009-05-22,272.7253112792969,274.02400323776976,266.95355587868517,267.89045577457773,7222
2009-05-26,276.4359130859375,276.4359130859375,271.80515497026823,271.98325408321097,8500
2009-05-27,279.7664489746094,283.0970019385928,278.7197037573574,279.44291883665994,30200
2009-05-28,277.6729431152344,279.7664334334438,272.15374136722767,278.81484692516676,32264
2009-05-29,283.57281494140625,284.6195602314584,275.960121922845,275.960121922845,6950
2009-06-01,287.379150390625,288.4727547749976,287.3715302636292,287.9462922815456,28100
2009-06-02,295.3725280761719,296.8988769448353,288.52110345584833,296.89506688068826,61260
2009-06-03,295.3725280761719,295.3725280761719,293.0887198693974,294.9918933750428,8990
2009-06-04,296.9178466796875,297.6524687231124,293.0886632552725,293.8537425738921,13873
2009-06-05,298.8172302246094,301.078200996749,298.79820313834455,301.078200996749,2400
2009-06-08,303.36572265625,305.45540252428884,298.7981082624294,298.7981082624294,18715
2009-06-09,311.54937744140625,311.67499334719224,304.50763830558947,304.50763830558947,24648
2009-06-10,311.51141357421875,326.76342388456254,310.2781377666487,310.5065325008339,21885
2009-06-11,314.02362060546875,319.13554172638237,314.02362060546875,318.20679214948956,7300
2009-06-12,313.9627380371094,319.73314990129995,313.9627380371094,317.77287189180373,7900
2009-06-15,312.88165283203125,315.9267297452384,312.88165283203125,314.0235566744839,3910
2009-06-16,304.8807373046875,312.1242259116882,293.18384183772685,312.1242259116882,14700
2009-06-17,296.89117431640625,303.70454286615706,294.23054221198623,300.9259149664597,15072
2009-06-18,296.8949890136719,296.9026091399674,294.99181600717395,294.99181600717395,8420
2009-06-19,296.8949890136719,304.4810338297214,296.8911789505241,304.1270464383639,10683
2009-06-22,292.96307373046875,292.96307373046875,292.96307373046875,292.96307373046875,100
2009-06-23,291.1854248046875,293.20278323208004,291.1854248046875,292.7117730361574,15802
2009-06-24,295.7530212402344,297.61432961370207,293.08476954511576,293.08857960743944,4865
2009-06-25,300.6593017578125,302.22375021983447,293.75846708732627,302.22375021983447,3300
2009-06-26,298.79437255859375,301.79758534561813,296.89500948428446,301.79758534561813,5717
2009-06-29,299.7496643066406,301.0780749748151,298.71053957131176,301.0780749748151,3545
2009-06-30,298.7867431640625,299.5594425854144,296.89500027525185,299.1826180329692,3400
2009-07-01,299.5860595703125,301.4625852487194,297.8465567640441,298.8019532702876,13246
2009-07-02,294.9308776855469,300.6251555448673,292.707961746136,300.6251555448673,21700
2009-07-06,294.55023193359375,295.37239228794675,291.9466815526484,294.6111232356582,3690
2009-07-07,292.7080383300781,293.09629309737403,285.85661480609707,293.0886729702993,11925
2009-07-08,288.5400085449219,293.0962160716872,288.5400085449219,293.088595946615,5978
2009-07-09,293.0848083496094,293.0886184124375,291.9467147043371,292.8716539200476,3055
2009-07-10,291.1854248046875,291.9466938891442,290.0435211780025,291.1854248046875,3100
2009-07-13,294.9917297363281,296.4495198737734,290.4241158565398,296.4495198737734,13200
2009-07-14,296.8949890136719,298.7848500312449,295.3686405453258,296.85312478323107,2311
2009-07-15,300.7013854980469,302.4142414913902,299.74979883507837,299.74979883507837,8877
2009-07-16,303.5105285644531,303.5105285644531,298.7982686600112,298.7982686600112,11401
2009-07-17,301.8432312011719,302.22005572979907,299.74974094693926,300.7013274261359,5856
2009-07-20,302.6045227050781,302.99277745149794,299.94008036679446,302.985157324833,8080
2009-07-21,302.1476745605469,309.4558619239884,300.70126804421994,309.4558619239884,2600
2009-07-22,304.5076599121094,304.51528003787627,300.31305946255105,300.3244896512013,3230
2009-07-23,311.1687927246094,311.1687927246094,301.9612406075479,301.9612406075479,4700
2009-07-24,310.2172546386719,310.25530881266013,308.89646349118715,310.25530881266013,400
2009-07-27,311.73968505859375,311.73968505859375,310.21714691422943,310.21714691422943,1100
2009-07-28,313.6429443359375,313.6429443359375,313.6391342723905,313.6391342723905,200
2009-07-29,312.88165283203125,314.0235566744839,312.12038360372946,312.12800373028233,37800
2009-07-30,317.0685729980469,317.8298420808753,314.7809556870132,315.9266693738042,18794
2009-07-31,319.7178039550781,333.0552301807054,315.9266754856977,333.0552301807054,2148
2009-08-03,321.6361389160156,323.539311335637,321.25550443209136,323.5278811497184,2000
2009-08-04,321.6361389160156,322.39740788386416,321.6323288540427,321.6361389160156,8400
2009-08-05,320.68463134765625,323.15875609989337,319.92336219312176,323.15875609989337,116407
