Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,other-income,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,791.60700,233.26500,558.34200,43.94500,337.94300,220.39900,-34.04900,186.35000,186.35000,,186.48900,27.11400,164.67400,501.63700,220.39900,172.05800,172.05800,0.96000,0.96000,0.35870,0.55940,27.84200,27.84200,23.54070,20.80250,0.02060,0.82200,0.82200,0.48450,0.52710,131.71400,2.7735,-0.0026
2024-06-30,766.73400,217.25400,549.48000,44.62900,335.34900,214.13100,-120.21200,93.91900,93.91900,,94.04900,,42.91700,486.81000,214.13100,172.01300,172.01300,0.25000,0.25000,0.35420,0.54850,27.92770,27.92770,12.24920,5.59740,0.02030,0.41520,0.41520,0.24850,0.26810,131.67470,2.3932,-0.8313
2024-03-31,769.10800,218.31400,550.79390,47.05500,334.60900,216.18500,2.44400,218.62900,218.62900,,218.78400,0.39200,166.88600,477.85900,216.18500,171.94900,171.94900,0.97000,0.97000,0.34950,0.53730,28.10850,28.10850,28.42630,21.69860,0.02040,0.96210,0.96210,0.58030,0.62590,132.19910,1.98410,-3.07910
2023-12-31,757.21590,222.72600,534.48990,59.28900,344.53520,189.95470,-295.20300,-105.24810,-105.24810,,-319.69510,,-91.92700,455.88480,189.95480,170.90900,170.90900,-0.54000,-0.54000,0.33360,0.50050,25.08590,25.08600,-13.89940,-12.14010,0.02060,-1.41420,-1.41420,-0.86940,-0.94240,131.50130,2.5071,0.2189
2023-09-30,713.78800,217.68700,496.10100,45.98700,315.35700,180.74400,-112.73200,68.01200,68.01200,,68.25400,0.00000,21.85500,431.25700,180.74400,170.89000,170.89000,0.13000,0.13000,0.33080,0.49440,25.32180,25.32180,9.52830,3.06180,0.01940,0.30120,0.30120,0.18560,0.20160,132.52410,2.4447,-1.323
2023-06-30,713.90000,211.83400,502.06600,45.88200,319.43700,182.62900,-263.91500,-81.28600,-81.28600,214.81000,133.70500,,87.26000,435.42800,182.62900,170.86400,170.86400,0.51000,0.51000,0.32990,0.49230,25.58190,25.58190,-11.38620,12.22300,0.01950,0.58860,0.58860,0.36470,0.39440,132.93510,2.7995,0.4495
2023-03-31,700.79500,206.93300,493.86200,48.19600,313.49800,180.36400,-58.86500,121.49900,121.49900,,121.69300,0.00000,75.25600,427.95700,180.36400,170.78400,170.78400,0.44000,0.44000,0.33760,0.50960,25.73710,25.73710,17.33730,10.73870,0.01900,0.53750,0.53750,0.32970,0.35600,132.51730,1.78920,-4.36420
2022-12-31,670.28090,204.35200,465.92900,42.99200,307.47190,158.45700,-63.36100,95.09590,95.09590,,-118.95100,214.21900,54.19900,407.05890,158.45690,161.65900,161.65900,0.36000,0.36000,0.30940,0.44810,23.64040,23.64040,14.18750,8.08600,0.01890,-0.52460,-0.52460,-0.33490,-0.36230,132.79000,2.478,-5.9279
2022-09-30,659.85200,201.18900,458.66300,49.95800,304.88700,153.77600,-94.07200,59.70400,59.70400,,59.74400,323.69900,341.43900,388.66310,153.77600,161.55400,161.55400,2.11000,2.11000,0.33130,0.49540,23.30460,23.30460,9.04810,51.74480,0.01920,0.28120,0.28120,0.17380,0.18800,130.64670,2.2442,-1.7281
2022-06-30,643.76400,196.28400,447.48000,43.39700,285.47500,162.00500,-67.05500,94.95000,94.95000,214.21900,309.38200,,269.28000,390.82600,162.00500,161.41200,161.41200,1.67000,1.67000,0.33430,0.50220,25.16530,25.16530,14.74920,41.82900,0.01940,1.51270,1.51270,0.93060,1.00700,126.67550,2.0764,-1.4087
2022-03-31,615.06500,181.32800,433.73700,40.93100,281.59000,152.14700,-269.75900,-117.61200,-117.61200,,-117.39200,,-151.65000,381.57000,152.14700,158.19800,158.19800,-0.96000,-0.96000,0.33810,0.51080,24.73670,24.73670,-19.12190,-24.65590,0.01870,-0.58200,-0.58200,-0.35740,-0.38520,124.96900,1.20790,-15.03860
2021-12-31,576.92290,175.71700,401.20590,41.65400,280.90790,120.29790,-150.35500,-30.05700,-30.05700,,-23.99500,123.79100,75.46500,346.22390,120.29800,146.92100,147.46000,0.51000,0.50000,0.31610,0.46220,20.85170,20.85170,-5.20990,13.08060,0.01910,-0.12610,-0.12610,-0.07940,-0.08630,120.36920,1.832,-13.3581
2021-09-30,547.75900,165.99500,381.76400,37.93100,248.77300,132.99100,-11.21400,121.77700,121.77700,-0.43500,124.43300,,101.26400,332.52500,132.99100,150.85400,151.56100,0.67000,0.67000,0.35320,0.54620,24.27910,24.27910,22.23190,18.48700,0.01920,0.73370,0.73370,0.43570,0.47450,110.64720,1.9253,-5.7553
2021-06-30,509.61900,143.95500,365.66400,37.88000,227.93200,137.73200,266.78800,404.52000,404.52000,,404.52000,,380.56300,316.91100,137.73200,145.82500,146.05800,2.61000,2.61000,0.35350,0.54670,27.02650,27.02650,79.37700,74.67600,0.01890,2.50160,2.50160,1.49720,1.61740,107.29520,1.5533,-8.5285
2021-03-31,479.84900,137.88800,341.96100,33.99600,214.90900,127.05200,-107.83500,19.21700,19.21700,,22.75400,2.77900,6.10700,298.09400,127.05200,137.31900,137.68800,0.04000,0.04000,0.36640,0.57820,26.47750,26.47750,4.00480,1.27270,0.01900,0.15410,0.15410,0.09020,0.09760,101.40680,1.54010,-15.24250
2020-12-31,463.72000,136.76700,326.95300,32.69000,210.43990,116.51310,180.63100,297.14400,297.14400,,303.04400,,438.02500,282.78510,116.51300,126.10600,126.49000,3.43000,3.42000,0.36020,0.56310,25.12570,25.12570,64.07830,94.45900,0.02030,2.25610,2.25610,1.32750,1.44340,98.26930,1.3427,-1.753
2020-09-30,545.04200,140.44300,404.59900,36.91300,213.74400,190.85500,-100.42000,90.43500,90.43500,1.58600,95.79900,,79.32600,355.40200,190.85500,124.90100,125.82800,0.64000,0.63000,0.38830,0.63480,35.01660,35.01660,16.59230,14.55410,0.02490,0.77730,0.77730,0.43720,0.47550,92.44400,2.471,-8.8203
2020-06-30,436.95600,123.91100,313.04500,31.77500,199.80200,113.24300,130.31800,243.56100,243.56100,,243.56100,,226.60000,269.33200,113.24300,124.33300,124.44800,1.82000,1.82000,0.40490,0.68040,25.91630,25.91630,55.74040,51.85880,0.02180,2.20280,2.20280,1.21360,1.31090,88.76800,1.5927,-2.835
2020-03-31,439.91900,129.10300,310.81600,31.96300,207.45900,103.35700,-69.56300,33.79400,33.79400,,30.67800,,16.84000,264.24800,103.35700,121.43300,121.78500,0.14000,0.14000,0.40120,0.67010,23.49460,23.49460,7.68190,3.82800,0.02230,0.28140,0.28140,0.15570,0.16850,87.69090,1.57050,-5.45750
2019-12-31,408.11400,121.85200,286.26210,29.78200,170.30000,115.96210,100.76300,216.72510,216.72510,,216.05310,,200.84000,248.97710,115.96200,112.20400,112.52400,1.78000,1.77000,0.40030,0.66750,28.41410,28.41410,53.10400,49.21170,0.02220,2.12770,2.12770,1.17480,1.27600,84.05780,1.5682,-11.3756
2019-09-30,390.48400,116.45000,274.03400,27.93000,163.50000,110.53400,-146.53700,-36.00300,-36.00300,,-36.00300,,-49.77300,241.29400,110.53400,112.12000,112.12000,-0.44000,-0.44000,0.42940,0.75270,28.30690,28.30690,-9.22010,-12.74650,0.02290,-0.40480,-0.40220,-0.21110,-0.22950,79.09590,1.7438,-6.3236
2019-06-30,373.85600,105.68900,268.16700,26.43400,160.87100,107.29600,-20.11700,87.17900,87.17900,,87.17900,,76.33000,235.27700,107.29600,111.43300,111.50100,0.68000,0.68000,0.43070,0.75660,28.69980,28.69980,23.31890,20.41700,0.02330,1.04490,1.03780,0.54350,0.59080,75.01360,1.5342,-4.1186
2019-03-31,358.84200,101.50100,257.34100,24.67700,158.76400,98.57700,37.09500,135.67200,135.67200,,136.81800,,123.59800,226.94800,98.57700,111.05400,111.05400,1.11000,1.11000,0.41190,0.70030,27.47090,27.47090,37.80830,34.44360,0.02320,1.65110,1.63970,0.88380,0.96440,75.04900,1.23120,-4.70650
2018-12-31,340.46300,97.68200,242.78100,22.38500,147.37500,95.40600,-79.78900,15.61700,15.61700,,-18.63100,,-29.36000,216.83600,95.40600,103.01000,103.32100,-0.32000,-0.30000,0.41000,0.69490,28.02240,28.02240,4.58700,-8.62350,0.02350,-0.23830,-0.23630,-0.12880,-0.13940,71.01870,1.5908,-1.9965
2018-09-30,341.82300,99.75900,242.06400,22.66000,142.26000,99.80400,78.83700,178.64100,178.64100,,219.35900,,208.94000,216.30400,99.80400,104.17900,105.38500,2.01000,1.99000,0.43430,0.76780,29.19760,29.19760,52.26130,61.12520,0.02420,2.99330,2.96330,1.55510,1.67620,69.96530,1.4034,-2.8717
2018-06-30,325.03400,91.90800,233.12600,22.93900,141.79100,91.33500,-31.87800,59.45700,59.45700,,60.54700,,52.01600,206.97600,91.33500,101.88100,102.23600,0.51000,0.51000,0.44540,0.80320,28.10010,28.10010,18.29260,16.00330,0.02400,0.87560,0.86630,0.44640,0.48040,67.62980,1.2383,-4.6268
2018-03-31,320.13900,91.77100,228.36800,22.42100,136.64000,91.72800,48.64600,140.37400,140.37400,,141.51800,,132.38700,201.74500,91.72800,99.85500,100.12500,1.33000,1.32000,0.43660,0.77510,28.65260,28.65260,43.84780,41.35300,0.02500,2.12850,2.10490,1.10380,1.18580,66.76670,1.28760,-3.80160
2017-12-31,298.79110,88.07300,210.71810,18.91000,126.62400,84.09410,-23.43700,60.65700,60.65700,,45.60700,,36.83100,189.59310,84.09400,91.54600,92.06300,0.40000,0.39000,0.42400,0.73630,28.14480,28.14480,20.30080,12.32670,0.02470,0.71290,0.70470,0.37680,0.40590,64.85670,1.0684,-2.4381
2017-09-30,285.37000,83.46900,201.90100,17.63600,125.42400,76.47700,-31.03100,45.44600,45.44600,,59.54600,,51.27300,181.90800,76.47700,92.59800,93.29600,0.55000,0.55000,0.44980,0.81740,26.79920,26.79920,15.92530,17.96720,0.02470,1.02330,1.01040,0.51580,0.55600,62.47970,1.3634,-1.9425
2017-06-30,273.05900,76.98000,196.07900,19.23400,123.33200,72.74700,-31.95100,40.79600,40.79600,,41.38500,,31.63000,174.05900,72.74700,90.21500,90.74500,0.35000,0.35000,0.45840,0.84620,26.64150,26.64150,14.94040,11.58360,0.02430,0.74320,0.73340,0.36800,0.39720,61.27260,1.2452,-3.9077
2017-03-31,270.87700,77.08700,193.79000,19.22900,116.41200,77.37800,-30.45400,46.92400,46.92400,0.27000,47.55500,,25.66100,171.50100,77.37800,88.14700,88.20000,0.29000,0.29000,0.44910,0.81520,28.56570,28.56570,17.32300,9.47330,0.02490,0.88710,0.87500,0.43750,0.48200,60.46690,1.22050,-3.69210
2016-12-31,249.16200,73.24400,175.91800,17.45800,112.67990,63.23810,-47.28500,15.95310,15.95310,,19.79200,,-25.12700,158.33910,63.23810,76.10300,76.10300,-0.29000,-0.29000,0.43670,0.77530,25.38030,25.38030,6.40270,-10.08460,0.02410,0.38400,0.36850,0.19110,0.20760,61.26630,1.3999,-9.3685
2016-09-30,230.37900,72.00200,158.37700,15.85400,92.98700,65.39000,-37.19400,28.19600,28.19600,,28.46900,,5.45200,144.63300,65.39000,76.65100,77.40200,0.07000,0.07000,0.50260,1.01050,28.38370,28.38370,12.23900,2.36650,0.02480,0.71310,0.66460,0.30630,0.33050,53.94400,1.4548,-2.0184
2016-06-30,226.07600,67.32500,158.75100,15.38400,85.55300,73.19800,-181.31400,-108.11600,-108.11600,,-108.11600,,-127.64800,145.32700,73.19800,74.31900,74.31900,-1.72000,-1.72000,0.48570,0.94450,32.37760,32.37760,-47.82290,-56.46240,0.02470,-2.67650,-2.48070,-1.18230,-1.27570,55.89380,0.9135,-1.5467
2016-03-31,216.08900,65.83700,150.25200,15.18800,86.05400,64.19800,-53.83500,10.36300,10.36300,,9.96600,,-3.81800,136.76400,64.19800,72.58400,72.58400,-0.05000,-0.05000,0.49510,0.98050,29.70910,29.70910,4.79570,-1.76690,0.02410,0.26030,0.23880,0.11110,0.12060,57.26420,1.40230,-0.79520
2015-12-31,223.95500,68.91300,155.04200,15.10200,87.34690,67.69510,-38.08500,29.61000,29.61000,,42.97700,,35.13100,141.50800,67.69500,71.52900,71.52900,0.48000,0.48000,0.47910,0.91960,30.22710,30.22710,13.22140,15.68660,0.02520,1.09840,1.00420,0.48390,0.52310,58.99110,1.3435,-0.9554
2015-09-30,218.61000,68.84600,149.76400,15.14300,83.09600,66.66800,-27.67900,38.98900,38.98900,,39.69900,,32.65900,133.96400,66.66800,71.50000,71.50000,0.46000,0.46000,0.53430,1.14710,30.49630,30.49630,17.83500,14.93940,0.02500,1.16980,1.05560,0.45440,0.49160,51.87600,1.3262,-2.1286
2015-06-30,204.15600,62.25000,141.90600,14.98900,77.16000,64.74600,-26.31600,38.43000,38.43000,,38.43000,,31.29100,128.70000,64.74600,71.41200,71.41200,0.44000,0.44000,0.51690,1.07010,31.71400,31.71400,18.82380,15.32700,0.02390,1.11140,1.00470,0.45080,0.48540,53.35370,0.623,-1.3416
2015-03-31,196.75300,61.22300,135.53000,14.38700,73.30700,62.22300,-37.17200,25.05100,25.05100,,25.05100,-0.04300,17.78600,122.96200,62.22300,71.36600,71.36600,0.25000,0.25000,0.50790,1.03210,31.62490,31.62490,12.73220,9.03980,0.02340,0.73350,0.66230,0.29800,0.32590,52.86980,1.49710,-0.33790
2014-12-31,188.67400,56.88100,131.79300,13.86100,71.83400,59.95910,-73.30900,-13.35000,-13.35000,,-13.35000,7.32000,-16.15400,120.11400,59.95900,71.17000,71.17000,-0.23000,-0.23000,0.48570,0.94440,31.77920,31.77920,-7.07570,-8.56190,0.02320,-0.37840,-0.34270,-0.16410,-0.17630,54.50640,1.1141,-0.7089
2014-09-30,185.61500,57.42300,128.19200,12.60900,70.99700,57.19500,-21.08000,36.11500,36.11500,,36.11500,-0.17200,27.62600,117.57600,57.19500,71.19500,71.19500,0.39000,0.39000,0.47030,0.88800,30.81380,30.81380,19.45690,14.88350,0.02310,1.01370,0.91600,0.45030,0.48520,55.24250,1.552,-0.1825
2014-06-30,176.40200,52.35300,124.04900,13.83600,71.15000,52.89900,-17.43300,35.46600,35.46600,,35.46600,0.65000,27.93200,112.26900,52.89900,71.12600,71.12600,0.39000,0.39000,0.45620,0.83910,29.98780,29.98780,20.10520,15.83430,0.02260,0.98670,0.89230,0.45380,0.48520,55.72930,1.0007,-0.9208
2014-03-31,176.18600,52.50700,123.67900,13.22400,63.64500,60.03400,-19.12300,40.91100,40.91100,,40.91100,-0.16200,32.70900,112.40500,60.03400,71.07300,71.07300,0.46000,0.46000,0.44900,0.81500,34.07420,34.07420,23.22040,18.56500,0.02270,1.13320,1.02530,0.52750,0.56490,56.00440,1.03080,-1.13500
2013-12-31,168.82300,49.89200,118.93100,12.75100,60.83500,58.09610,-17.78300,40.31310,40.31310,,40.31300,-0.14300,36.24700,108.15310,58.09610,68.03800,68.03800,0.51000,0.51000,0.43570,0.77210,34.41240,34.41240,23.87890,21.47040,0.02240,1.12460,1.01690,0.53540,0.57380,55.70300,1.2625,-1.7312
2013-09-30,158.31500,47.68400,110.63100,11.66600,60.53200,50.09900,-17.60300,32.49600,32.49600,,32.49600,-0.04300,24.57900,101.00400,50.09900,70.90000,70.90000,0.35000,0.35000,0.41990,0.72380,31.64510,31.64510,20.52620,15.52540,0.02150,0.90610,0.81930,0.44160,0.47530,55.80250,1.1817,-1.1341
2013-06-30,153.93000,46.27700,107.65300,12.45500,58.79900,48.85400,-16.53800,32.31600,32.31600,,32.31600,0.24900,25.48300,97.15300,48.85400,66.97300,66.97300,0.38000,0.38000,0.42620,0.74260,31.73780,31.73780,20.99400,16.55490,0.02090,0.89640,0.81090,0.43790,0.46540,56.12870,1.4043,-0.6041
2013-03-31,150.08300,45.18600,104.89700,11.64800,57.47700,47.42000,-18.02000,29.40000,29.40000,,29.40000,0.83700,22.44200,96.08600,47.42000,63.16100,63.16100,0.36000,0.36000,0.47780,0.91490,31.59590,31.59590,19.58920,14.95310,0.02120,0.94820,0.84460,0.41460,0.44110,54.97330,0.74790,-0.18680
2012-12-31,150.34300,45.99800,104.34500,12.62200,59.19800,45.14700,-19.99400,25.15300,25.15300,,25.15300,3.65400,21.00000,94.99010,45.14700,62.16000,62.16000,0.33000,0.33000,0.47700,0.91210,30.02940,30.02930,16.73040,13.96810,0.02100,0.80920,0.72100,0.35180,0.37710,55.15840,1.2675,-1.0542
2012-09-30,142.85000,44.20300,98.64700,12.47000,59.05400,39.59300,-17.09200,22.50100,22.50100,,22.50100,-4.19600,10.64600,89.57000,39.59300,62.36400,62.36400,0.17000,0.17000,0.46410,0.86610,27.71650,27.71650,15.75150,7.45260,0.02050,0.72100,0.64270,0.32310,0.34440,54.97130,1.3202,-0.4261
2012-06-30,145.59300,42.10200,103.49100,12.29800,63.03900,40.45200,-19.52400,20.92800,20.92800,,20.92800,4.71300,17.61600,94.35300,40.45200,61.66300,61.66400,0.29000,0.29000,0.46570,0.87150,27.78430,27.78430,14.37430,12.09950,0.02130,0.68370,0.60820,0.30590,0.32500,55.27340,1.5198,-1.0564
