Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.33400,0.33400,0.84800,-0.10600,-0.62000,-9.00700,-9.62700,-9.62700,-9.62700,-9.62700,-0.62000,-0.62000,13.58600,13.58600,-0.70000,-0.70000,8.59200,0.57790,1.36920,100.00000,-185.62880,-185.62880,-2882.33500,-2882.33500,0.00350,0.25870,347.87430,-23.96860,-23.96860,-10.08000,-10.11690,2.95640,-0.1301,-0.1301
2024-06-30,0.33100,0.33100,1.05500,-0.12200,-0.84600,4.74600,3.90000,3.90000,3.90000,3.90000,-0.84600,-0.84600,13.58600,13.58600,0.29000,0.29000,31.31480,0.52000,1.08340,100.00000,-255.58920,-255.58920,1178.24800,1178.24800,0.00320,0.34300,262.38670,7.83260,7.83260,3.75560,3.75950,3.66490,-0.1573,-0.1573
2024-03-31,0.28300,0.28300,1.17800,-0.16300,-1.05800,-1.33700,-2.39500,-2.39500,-2.39500,-2.39500,-1.05800,-1.05800,13.58600,13.58600,-0.17000,-0.17000,15.25990,0.53580,1.15420,100.00000,-373.85160,-373.85160,-846.28970,-846.28970,0.00290,0.43740,205.75970,-5.21880,-5.21880,-2.41580,-2.42260,3.37790,-0.84040,-0.84040
2023-12-31,0.18900,0.18900,0.99700,-0.08500,-0.89300,1.95100,1.05800,1.05800,1.05800,1.05800,-0.89300,-0.89300,13.52600,13.52600,0.08000,0.08000,24.08850,0.48210,0.93100,100.00000,-472.48690,-472.48710,559.78750,559.78840,0.00200,0.51920,173.33330,2.19110,2.19110,1.13100,1.13470,3.55420,-2.5084,-2.5084
2023-09-30,0.04200,0.04200,1.07300,-0.09100,-1.12200,8.19900,7.07700,7.07700,7.07700,7.07700,-1.12200,-1.12200,13.51800,13.51800,0.52000,0.52000,33.31430,0.27620,0.38170,100.00000,-2671.42800,-2671.42800,16850.00000,16850.00000,0.00060,0.30000,300.00000,15.01660,15.01660,10.79880,10.86850,3.48630,-0.5683,-0.5683
2023-06-30,0.01200,0.01200,0.73500,-0.14000,-0.86300,6.80800,5.94500,5.94500,5.94500,5.94500,-0.86300,-0.86300,13.51800,13.51800,0.44000,0.44000,296.01750,0.24490,0.32430,100.00000,-7191.66700,-7191.66700,49541.67000,49541.67000,0.00020,0.03570,2520.00000,14.84360,14.84360,11.19650,11.20850,2.96280,-0.315,-0.315
2023-03-31,0.00600,0.00600,1.03600,-0.10200,-1.13200,0.00100,-1.13100,-1.13100,-1.13100,-1.13100,-1.13200,-1.13200,13.51800,13.51800,-0.08000,-0.08000,47.69310,0.22660,0.29300,100.00000,-18866.67000,-18866.67000,-18850.00000,-18850.00000,0.00010,0.00710,12750.00000,-3.31610,-3.31610,-2.54220,-2.56470,2.52300,-0.40540,-0.40540
2022-12-31,,,0.90600,-0.16000,-1.06600,0.00100,-1.06500,-1.06500,-1.06500,-0.99300,-1.06600,-1.06600,13.51800,13.51800,-0.07000,-0.07000,45.76690,0.14550,0.17020,,,,,,,,,-3.02240,-3.02240,-2.55620,-2.58280,2.60670,-0.2107,-0.2107
2022-09-30,,,0.81900,-0.10400,-0.92300,-0.00200,-0.92500,-0.92500,-0.92500,-0.92500,-0.92300,-0.92300,13.51800,13.51800,-0.07000,-0.07000,53.90530,0.09940,0.11040,,,,,,,,,-2.55310,-2.55310,-2.27780,-2.29930,2.68010,-0.1081,-0.1081
2022-06-30,,,0.65900,-0.06300,-0.72200,0.50000,-0.22200,-0.22200,-0.22200,-0.28000,-0.72200,-0.72200,13.51800,13.51800,-0.02000,-0.02000,59.79570,0.09720,0.10770,,,,,,,,,-0.59750,-0.59750,-0.53470,-0.53940,2.74860,-0.1283,-0.1283
