Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,534.96500,109.71700,425.24800,246.74000,246.74000,178.50800,178.50800,38.24500,140.26300,140.26300,136.71800,127.82600,127.99500,1.07000,1.07000,0.00290,0.63480,42.89940,32.85640,0.01320,4.06140,4.25910,0.44540,4.04950,26.84680,3.3832,3.3277
2024-06-30,524.84000,107.11400,417.72600,237.68200,237.68200,180.04400,180.04400,38.60200,141.44200,141.44200,138.24100,128.45800,128.61100,1.07000,1.07000,0.00130,0.80910,43.67270,33.53260,0.01350,4.47840,4.71790,0.46270,4.47270,24.42960,1.1505,1.0888
2024-03-31,507.31000,109.72200,397.58800,250.48400,250.48400,147.10400,147.10400,31.65200,115.45200,115.45200,111.61900,129.04200,129.18600,0.87000,0.86000,0.00080,0.84620,37.45000,28.41620,0.01290,3.89530,4.11820,0.38010,3.89220,22.80410,1.04870,0.98420
2023-12-31,515.08910,114.18800,400.90110,257.13300,257.13300,143.76810,143.76800,32.30700,111.46100,111.46100,112.48000,129.92200,130.07200,0.84000,0.84000,0.00050,0.98180,36.39490,28.47440,0.01250,3.76020,3.97580,0.35160,3.75840,22.72260,0.9291,0.8148
2023-09-30,508.40900,112.61500,395.79400,239.65500,239.65500,156.13900,156.13900,33.43900,122.70000,122.70000,119.52300,129.90400,130.00900,0.92000,0.92000,0.16230,1.24990,40.64540,31.11370,0.01220,4.72060,5.03220,0.39110,3.95440,19.86270,1.1322,0.9922
2023-06-30,499.66000,99.12500,400.53500,234.08200,234.08200,166.45300,166.45300,35.99000,130.46300,130.46300,126.66100,130.07900,130.20800,0.97000,0.97000,0.27250,1.44630,42.24010,32.14220,0.01200,4.85850,5.16850,0.39740,3.53480,20.45950,0.8069,0.5712
2023-03-31,446.16300,57.23400,388.92900,235.56300,235.56300,153.36600,153.36600,32.81300,120.55300,120.55300,118.39600,130.20400,130.47200,0.91000,0.91000,0.35980,1.60020,40.62970,31.36540,0.01180,4.49420,4.76760,0.37670,2.87700,20.44070,0.88950,0.73590
2022-12-31,432.10610,31.73600,400.37010,232.21700,232.21700,168.15310,168.15300,34.49900,133.65400,133.65400,134.86900,131.53900,131.83800,1.00380,0.99380,0.00390,1.14900,43.68820,35.04060,0.01210,5.38590,5.74260,0.41930,5.36490,19.81160,0.667,0.5378
2022-09-30,404.59000,16.29300,388.29700,228.17400,228.17400,160.12300,160.12300,33.93600,126.18700,126.18700,121.70400,131.08200,131.37280,0.92380,0.92380,0.00080,0.97690,42.92760,32.62780,0.01140,5.32190,5.69290,0.38700,5.31780,17.98110,1.4115,1.2775
2022-06-30,378.61000,5.76900,372.84100,220.66700,220.66700,152.17400,152.17400,32.02100,120.15300,120.15300,114.74200,131.91880,132.21180,0.87620,0.87620,0.00220,0.83740,41.61410,31.37780,0.01090,4.49120,4.76700,0.35940,4.48110,20.17470,1.2282,1.1354
2022-03-31,350.71400,2.99600,347.71800,195.79000,195.79000,151.92800,151.92800,31.90200,120.02600,120.02600,117.08400,132.65810,132.97940,0.87620,0.87620,0.00300,0.78240,42.48830,32.74380,0.01020,4.03670,4.25840,0.34310,4.02440,22.26580,0.93630,0.82040
2021-12-31,348.47200,2.82200,345.65000,196.52800,196.52800,149.12200,149.12200,33.76400,115.35800,115.35800,118.69800,134.12500,134.44000,0.85420,0.85330,0.00360,0.88030,42.27960,33.65370,0.00960,3.34530,3.50220,0.31440,3.33320,26.98890,0.8283,0.7149
2021-09-30,367.59500,2.94400,364.65100,204.23500,204.23500,160.41600,160.41600,34.66200,125.75400,125.75400,121.44700,134.09480,134.37380,0.90700,0.89800,0.00110,0.64670,43.11840,32.64390,0.01080,3.60200,3.76750,0.36450,3.59790,25.87220,1.1901,1.0748
2021-06-30,367.08000,3.15100,363.92900,152.47100,152.47100,211.45800,211.45800,45.20900,166.24900,166.24900,160.84800,134.47300,134.80600,1.19730,1.19730,0.00060,0.66410,51.62750,39.27110,0.01210,4.75840,4.97640,0.49100,4.75540,25.76760,0.9332,0.8664
