Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,57.81900,10.36900,47.45000,0.96600,6.79600,-5.83000,53.28000,-15.72400,37.55600,37.55600,37.55600,37.55600,54.22700,53.28000,71.08400,71.08400,0.53000,0.53000,1.35580,0.39680,0.65770,82.06650,92.14960,92.14960,64.95440,64.95440,0.02850,2.52570,35.63330,3.16610,3.16610,1.85170,1.90990,16.69580,-1.3666,-1.3666
2024-06-30,52.45300,8.36000,44.09300,0.88300,4.58000,-3.69700,47.79000,-16.61000,31.18000,31.18000,31.18000,31.18000,48.71700,47.79000,67.42700,67.42700,0.46000,0.46000,0.52710,0.34230,0.52060,84.06190,91.11010,91.11010,59.44370,59.44370,0.02750,2.37770,37.85100,2.64650,2.64650,1.63260,1.74050,16.56700,-3.5953,-3.5953
2024-03-31,46.49400,6.15300,40.34100,0.73500,,0.73500,39.60600,-11.85100,27.75500,27.75500,27.75500,27.75500,40.50300,39.60600,45.34500,45.34500,0.61000,0.61000,0.15910,0.44630,0.80610,86.76600,85.18520,85.18520,59.69590,59.69590,0.02520,2.93450,30.66980,3.42000,3.42000,1.50480,1.89360,16.63400,-2.00760,-2.00760
2023-12-31,42.69500,5.49900,37.19600,0.59700,,0.59700,36.59900,-13.80500,22.79400,22.79400,22.79400,22.79400,37.35700,36.59900,39.25000,39.25000,0.54000,0.54000,1.17310,0.50260,1.01040,87.12030,85.72200,85.72200,53.38800,53.38800,0.03000,3.28980,27.35730,3.33710,3.33710,1.60110,1.65990,16.41800,-1.4137,-1.4137
2023-09-30,41.19700,5.27600,35.92100,0.53400,,0.53400,35.38700,-21.51500,13.87200,13.87200,13.87200,13.87200,36.13900,35.38700,40.49900,40.49900,0.34000,0.34000,0.91170,0.46580,0.87200,87.19320,85.89700,85.89700,33.67240,33.67240,0.03120,2.96450,30.35970,2.03780,2.03780,1.05040,1.08860,16.40030,0.6055,0.6055
2023-06-30,40.74600,5.26800,35.47800,0.56500,,0.56500,34.91300,-13.91100,21.00200,21.00200,21.00200,21.00200,35.50600,34.91300,38.90500,38.90500,0.54000,0.54000,0.95450,0.49570,0.98310,87.07110,85.68450,85.68450,51.54370,51.54370,0.03080,3.28120,27.42900,3.24640,3.24640,1.58550,1.63710,16.58190,0.1444,0.1444
2023-03-31,36.36600,4.82300,31.54300,0.59900,,0.59900,30.94400,-11.53700,19.40700,19.40700,19.40700,19.40700,31.53500,30.94400,35.92900,35.92900,0.54000,0.54000,1.00670,0.52530,1.10680,86.73760,85.09050,85.09050,53.36580,53.36580,0.02810,2.63770,34.12060,3.25890,3.25890,1.49880,1.54680,16.57100,-2.14010,-2.14010
2022-12-31,29.44700,4.15300,25.29400,0.59700,,0.59700,24.69700,-6.72100,17.97600,17.97600,17.97600,17.97600,25.28600,24.69700,27.18400,27.18400,0.61000,0.61000,0.95170,0.49120,0.96550,85.89670,83.86930,83.86930,61.04530,61.04530,0.02470,2.78990,32.25970,3.03630,3.03630,1.50500,1.54480,16.50110,-7.8261,-7.8261
2022-09-30,20.49400,3.13800,17.35600,0.51100,,0.51100,16.84500,-2.24700,14.59800,14.59800,14.59800,14.59800,17.37300,16.84500,29.53000,29.53000,0.49000,0.49000,2.97260,0.46720,0.87670,84.68820,82.19480,82.19480,71.23060,71.23060,0.02060,2.49140,36.12470,2.78730,2.78730,1.47090,1.48520,16.72980,-6.6455,-6.6455
2022-06-30,12.99100,2.27300,10.71800,0.45700,,0.45700,10.26100,-2.79900,7.46200,7.46200,7.46200,7.46200,10.74700,10.26100,23.52900,23.52900,0.32000,0.32000,2.14710,0.46380,0.86500,82.50330,78.98540,78.98540,57.43980,57.43980,0.01770,2.77410,32.44320,1.91450,1.91450,1.01560,1.02650,16.55050,-4.067,-4.067
