Date,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1.16970,-0.38980,-1.60950,0.35050,-1.25900,-1.25900,-1.25900,-1.25760,-1.55950,-1.60950,171.41600,171.41600,-0.01000,-0.01000,16.21010,-0.92220,-0.92220,-0.91330,-0.92220,0.79610,-0.00380,-0.00890
2024-06-30,1.24960,-0.22390,-1.53260,0.04960,-1.48300,-1.48300,-1.48300,-1.48240,-1.47350,-1.53260,167.76500,167.76500,-0.01000,-0.01000,18.61330,-1.08690,-1.08690,-1.07730,-1.08690,0.79660,-0.0027,-0.0101
2024-03-31,1.43030,-0.24280,-1.72220,0.45170,-1.27060,-1.27060,-1.27060,-1.26910,-1.67310,-1.72220,171.19700,171.19700,-0.01000,-0.01000,29.12510,-0.92260,-0.92260,-0.91700,-0.92260,0.80420,-0.0064,-0.0104
2023-12-31,1.44270,-0.32170,-1.81880,0.29170,-1.52710,-1.52710,-1.52710,-1.52410,-1.76440,-1.81880,170.93600,170.93600,-0.01000,-0.01000,23.21510,-1.09860,-1.09860,-1.08950,-1.09860,0.81270,-0.0114,-0.0144
2023-09-30,1.44590,-0.37210,-1.86860,0.12200,-1.74660,-1.74660,-1.74660,-1.74600,-1.81800,-1.86860,157.73200,157.73200,-0.01000,-0.01000,13.35600,-1.25390,-1.25390,-1.23450,-1.25390,0.81510,-0.00340,-0.01770
2023-06-30,1.49180,-0.34330,-1.89200,0.02730,-1.86470,-1.86470,-1.86470,-1.86400,-1.83510,-1.89200,156.99200,156.99200,-0.02000,-0.02000,3.23020,-1.60790,-1.60790,-1.57620,-1.60790,0.73640,-0.0073,-0.0406
2023-03-31,1.76960,-0.55740,-2.37750,0.10080,-2.27670,-2.27670,-2.27670,-2.27550,-2.32700,-2.37750,157.10500,157.10500,-0.01000,-0.01000,3.44170,-1.95740,-1.95740,-1.90030,-1.95740,0.73990,-0.008,-0.0411
2022-12-31,1.52330,-0.35320,-1.92770,0.05470,-1.87300,-1.87300,-1.87300,-1.87070,-1.87650,-1.92770,156.86500,156.86500,-0.01000,-0.01000,4.49070,-1.60090,-1.60090,-1.54640,-1.60090,0.74500,-0.0099,-0.0448
2022-09-30,1.52690,-0.47700,-2.05890,-0.02680,-2.08570,-2.08570,-2.08570,-2.08520,-2.00390,-2.05890,156.68500,156.68500,-0.01000,-0.01000,5.18480,-1.78060,-1.78060,-1.70870,-1.78060,0.74740,-0.00990,-0.01710
2022-06-30,1.54560,-0.69460,-2.29170,-0.06710,-2.35880,-2.35880,-2.35880,-2.33780,-2.24020,-2.29170,155.62600,155.62600,-0.01000,-0.01000,8.57730,-1.96220,-1.96220,-1.90110,-1.96220,0.76750,-0.0117,-0.035
