Date,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,1.01570,-0.46770,-1.52440,0.08840,-1.43600,-1.43600,-1.43600,-1.40890,-1.48330,-1.52440,155.90600,155.90600,-0.01000,-0.01000,15.75480,-1.16850,-1.16850,-1.14650,-1.16850,0.78720,-0.0065,-0.0228
2021-12-31,0.95150,-0.34380,-1.36480,0.06790,-1.29680,-1.29680,-1.29680,-1.29590,-1.29530,-1.36480,155.53700,155.53700,-0.01000,-0.01000,18.71580,-1.05080,-1.05080,-1.03280,-1.05080,0.79240,-0.0104,-0.0273
2021-09-30,0.97340,-0.61110,-1.59650,0.21650,-1.38010,-1.38010,-1.38010,-1.37820,-1.58460,-1.59650,154.70790,154.70790,-0.01000,-0.01000,20.23970,-1.11380,-1.11380,-1.09470,-1.11380,0.79890,-0.00070,-0.01900
2021-06-30,1.09740,-0.45930,-1.56800,-0.40820,-1.97430,-1.97430,-1.97430,-1.97240,-1.55670,-1.56800,153.29400,153.29400,-0.01000,-0.01000,43.35240,-1.57030,-1.57030,-1.55680,-1.57030,0.81400,-0.0055,-0.0126
2021-03-31,1.06400,-0.52930,-1.60430,-0.08750,-1.69180,-1.69180,-1.69180,-1.68940,-1.59330,-1.60430,153.05400,153.05400,-0.01000,-0.01000,59.81320,-1.35340,-1.35340,-1.34470,-1.35340,0.81260,-0.0108,-0.0181
2020-12-31,0.70340,-0.53730,-1.25180,-0.52430,-1.77600,-1.77600,-1.77600,-1.77440,-1.24070,-1.25180,153.05400,153.05400,-0.01000,-0.01000,42.78320,-1.44090,-1.44090,-1.42750,-1.44090,0.80310,-0.0021,-0.0079
2020-09-30,0.98470,-0.52670,-1.52200,0.39160,-1.13220,-1.13220,-1.13220,-1.13020,-1.51140,-1.52200,152.44760,152.44760,-0.01000,-0.01000,34.99560,-0.86360,-0.86360,-0.85370,-0.86360,0.85740,-0.01160,-0.02030
2020-06-30,1.13300,-0.33360,-1.47170,8.64930,7.43490,7.43490,7.43490,7.43720,-1.46650,-1.47170,146.25500,150.68900,0.05000,0.05000,36.09680,5.73180,5.73180,5.66630,5.73180,0.85170,-0.0019,-0.0089
2020-03-31,0.95090,-0.18820,-1.14170,-0.15260,-1.29420,-1.29420,-1.29420,-1.29080,-1.13920,-1.14170,147.52300,147.52300,-0.00900,-0.00900,20.67970,-1.19050,-1.19050,-1.17430,-1.19050,0.73570,-0.0035,-0.0126
2019-12-31,0.86730,-0.36140,-1.23140,0.27010,-1.21870,-1.21870,-1.21870,-1.21220,-1.22870,-1.23140,146.08900,146.08900,-0.00800,-0.00800,23.05470,-1.16730,-1.16730,-1.15170,-1.16730,0.70870,-0.0101,-0.0379
2019-09-30,0.47130,-0.29090,-0.76390,1.73510,0.97120,0.97120,0.97120,0.97360,-0.76220,-0.76390,142.61100,145.02800,0.00700,0.00700,14.60990,1.03110,1.03110,1.00950,1.03110,0.65900,-0.00190,-0.02910
2019-03-31,0.44510,-0.40120,-0.84860,0.84320,-0.00540,-0.00540,-0.00540,-0.00030,-0.84860,-0.84860,132.86200,132.86200,0.00000,0.00000,25.54370,-0.00680,-0.00680,-0.00680,-0.00680,0.59710,-0.0131,-0.0149
2018-06-30,,,,,,,-0.94500,-0.94500,,,119.99300,119.99300,-0.01000,-0.01000,17.80120,-1.16670,-1.16670,-1.14600,-1.16670,,0.0014,0.0088
2017-06-30,,,,,,,-1.17000,-1.17000,,,77.57900,77.57900,-0.02000,-0.02000,49.72310,-4.91560,-4.91580,-4.85320,-4.91560,,-0.0068,-0.0592
