Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,97.62900,57.99600,39.63300,2.81800,15.45700,-0.38700,18.66200,20.97100,0.63800,21.60900,4.62400,16.98500,,16.98500,17.02300,20.97100,20.97100,6.94900,6.94900,2.45000,2.45000,7.17160,40.59550,21.48030,21.48030,22.13380,17.43640,0.20560,1.92010,46.87180,4.19010,4.23640,3.57730,4.19010,0,0
2024-06-30,89.33000,55.21500,34.11500,3.11400,20.41900,0.30700,23.22600,10.88900,3.68100,14.57000,5.43100,9.13900,,9.13900,9.13100,10.88900,10.88900,6.94900,6.94900,1.31000,1.31000,6.05780,38.18990,12.18960,12.18960,16.31030,10.22170,0.20030,1.72830,52.07370,2.46980,2.49880,2.04930,2.46980,0,0
2024-03-31,88.91700,54.65700,34.26000,2.67300,11.69000,0.04900,14.31400,19.94600,4.17900,24.12500,4.16800,19.95700,,19.95700,19.94400,19.94600,19.94600,6.94890,6.94890,2.87000,2.87000,5.89850,38.53030,22.43220,22.43220,27.13200,22.42990,0.20090,1.75890,51.16870,5.45470,5.52380,4.50890,5.45470,0.00000,
2023-12-31,145.99780,94.51740,51.48040,3.51480,18.84180,-1.10920,23.46580,28.01460,0.24760,28.26220,5.39060,22.87160,,22.87160,22.89820,28.01460,28.01460,6.94890,6.94890,3.28920,3.28920,5.13840,35.26110,19.18840,19.18840,19.35800,15.68390,0.34020,2.62750,34.25290,6.64400,6.73650,5.32870,6.64400,15.2462,14.9653
2023-09-30,130.68500,87.42300,43.26200,2.94100,12.75400,0.56400,15.13100,28.13100,2.44100,30.57200,9.06800,21.50400,,21.50400,21.48600,28.13100,28.13100,6.94890,6.94890,3.09000,3.09000,4.61790,33.10400,21.52580,21.52580,23.39370,16.44110,0.31050,2.16720,41.52800,6.53460,6.60950,5.10890,6.53460,0,0
2023-06-30,181.28200,127.72000,53.56200,2.16400,11.40500,-0.00200,13.57100,39.99100,1.81800,41.80900,7.64100,34.16800,,34.16800,34.16000,39.99100,39.99100,6.94890,6.94890,4.92000,4.92000,3.76570,29.54620,22.06010,22.06010,23.06300,18.84360,0.42410,2.12510,42.35090,10.88980,11.01570,7.99350,10.88980,0,0
2023-03-31,122.44800,78.30600,44.14200,2.16900,9.85200,0.03600,11.98500,32.15700,2.15900,34.31600,7.27400,27.04200,,27.04200,27.07100,32.15700,32.15700,6.94890,6.94890,3.90000,3.90000,4.65110,36.04960,26.26180,26.26180,28.02500,22.10820,0.33660,2.29360,39.23980,9.52130,9.62050,7.43360,9.52130,0.00000,
2022-12-31,110.75760,71.72150,39.03610,2.28690,12.16280,-0.28980,14.73950,24.29660,-0.61820,23.67840,2.71180,20.96660,,20.96660,20.86360,24.29660,24.29660,6.94890,6.94890,3.01760,3.01760,3.98990,35.24460,21.93670,21.93670,21.37860,18.83720,0.33620,1.92880,46.66030,8.55900,8.66050,6.36360,8.55900,9.9001,9.8271
2022-09-30,71.50900,41.79000,29.71900,2.61600,12.31000,0.06400,14.86200,14.85700,2.19300,17.05000,5.80600,11.24400,,11.24400,11.22900,14.85700,14.85700,6.94890,6.94890,1.62000,1.62000,4.24380,41.55980,20.77640,20.77640,23.84320,15.70290,0.25730,1.29460,69.52160,5.31220,5.37370,4.04580,5.31220,0,0
2022-06-30,74.30500,38.93500,35.37000,2.27600,16.32600,0.25700,18.34500,17.02500,1.35400,18.37900,4.97500,13.40400,,13.40400,13.44500,17.02500,17.02500,6.94890,6.94890,1.93000,1.93000,4.66220,47.60110,22.91230,22.91230,24.73450,18.09430,0.26660,1.80020,49.99330,6.16010,6.24510,4.80920,6.16010,0,0
2022-03-31,67.96100,34.70900,33.25200,2.47900,13.53100,-0.12500,16.13500,17.11700,0.69300,17.81000,5.28400,12.52600,,12.52600,12.60300,17.11700,17.11700,6.94890,6.94890,1.81000,1.81000,4.43220,48.92810,25.18650,25.18650,26.20620,18.54450,0.24050,1.58760,56.68880,5.75800,5.82590,4.43360,5.75800,0.00000,
2021-12-31,103.16320,57.81670,45.34650,4.43500,27.58790,-0.29150,32.31440,13.03210,0.56180,13.59390,9.06090,4.53300,,4.53300,4.57930,13.03210,13.03210,6.94890,6.94890,0.66100,0.66100,4.13710,43.95610,12.63250,12.63250,13.17710,4.43890,0.45090,2.75070,32.71950,2.62910,2.66520,1.98140,2.62910,9.608,9.3835
2021-09-30,108.70200,55.88100,52.82100,3.50000,15.28300,-0.04100,18.82400,33.99700,1.00800,35.00500,12.80000,22.20500,,22.20500,22.26200,33.99700,33.99700,6.94900,6.94900,3.20000,3.20000,3.88360,48.59250,31.27540,31.27540,32.20270,20.47980,0.38670,1.56760,57.41270,10.70920,10.85960,7.89940,10.70920,0,0
2021-06-30,73.96500,40.55400,33.41100,3.66900,12.39700,-0.39800,16.46400,16.94700,0.20300,17.15000,4.04200,13.10800,,13.10800,13.06200,16.94700,16.94700,6.94900,6.94900,1.88000,1.88000,4.21650,45.17140,22.91220,22.91220,23.18660,17.65970,0.29230,1.41870,63.43740,6.82440,6.94560,5.18010,6.82440,0,0
2021-03-31,86.71400,47.50400,39.21000,3.30900,12.80000,-0.03000,16.13900,23.07100,0.55100,23.62200,4.17600,19.44600,,19.44600,19.44900,23.07100,23.07100,6.94890,6.94890,2.80000,2.80000,3.50270,45.21760,26.60590,26.60590,27.24130,22.42890,0.34650,1.54650,58.19580,10.84320,11.04800,7.77040,10.84320,0.00000,
2020-12-31,73.02340,41.73700,31.28640,2.86520,9.98100,0.00920,12.83700,18.44940,-0.51360,17.93580,8.64600,9.28980,,9.28980,9.35140,18.44940,18.44940,6.94900,6.94900,1.33840,1.33840,2.98100,42.84440,25.26510,25.26500,24.56170,12.80600,0.31000,1.37660,65.37950,5.90200,6.01600,3.94430,5.90200,8.0421,7.9192
2020-09-30,113.03400,63.55800,49.47600,3.90200,15.47400,-0.63500,20.01100,29.46500,-0.58400,28.88100,7.19600,21.68500,,21.68500,21.68200,29.46500,29.46500,6.94890,6.94890,3.10000,3.10000,2.80480,43.77090,26.06740,26.06740,25.55070,19.18180,0.51660,2.37170,37.94790,15.39140,15.55550,9.90980,15.39140,0,0
2020-06-30,73.68400,42.56400,31.12000,2.71100,14.69600,-0.12500,17.53200,13.58800,0.01800,13.60600,2.74300,10.86300,,10.86300,10.90700,13.58800,13.58800,6.94890,6.94890,1.60000,1.60000,2.83550,42.23440,18.44090,18.44090,18.46530,14.80240,0.42110,1.79880,50.03230,9.31510,9.44320,6.20810,9.31510,0,0
2020-03-31,65.02100,43.37700,21.64400,2.54900,9.76900,-0.13400,12.45200,9.19200,0.79400,9.98600,1.77900,8.20700,,8.20700,8.22200,9.19200,9.19200,6.94890,6.94890,1.18000,1.18000,2.75370,33.28770,14.13700,14.13700,15.35810,12.64510,0.41080,1.92550,46.74200,7.90170,8.00100,5.18510,7.90170,0.00000,
2019-12-31,46.61960,33.45240,13.16720,1.99140,11.55140,0.89280,12.65000,0.51720,-0.26660,-0.53820,0.67480,-1.21300,,-1.21300,-1.09340,0.51720,0.51720,6.94890,6.94890,-0.21960,-0.21960,2.79390,28.24390,1.10940,1.10940,-1.15450,-2.34540,0.32390,1.75880,51.17030,-1.27720,-1.29640,-0.84280,-1.27720,3.036,2.931
2019-09-30,64.86300,46.87700,17.98600,1.96500,7.51300,0.04300,9.43500,8.55100,0.82500,9.37600,1.97100,7.40500,,7.40500,7.48500,8.55100,8.55100,6.94890,6.94890,1.08000,1.08000,2.53450,27.72920,13.18320,13.18320,14.45510,11.53970,0.41660,1.95840,45.95670,7.63210,7.73660,4.75580,7.63210,0,0
