Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,14.07700,14.07700,8.54700,-3.39300,-4.08900,-0.89700,-4.98600,0.00900,-4.99500,-4.99500,-4.99500,-2.17800,-4.08900,11.79900,11.79900,-0.42000,-0.42000,0.83200,,100.00000,-29.04740,-29.04740,-35.41950,-35.48340,0.32110,2.87810,31.27020,-23.20230,-40.28230,-11.39270,-23.20230,1.77930,0.0158,-0.1045
2024-06-30,12.54100,12.54100,8.36900,-4.47300,-4.66900,-0.16200,-4.83100,,-4.83100,-4.83100,-4.83100,-2.99800,-4.66900,11.78500,11.78500,-0.41000,-0.41000,1.02020,,100.00000,-37.22990,-37.22990,-38.52170,-38.52170,0.26130,2.00590,44.86720,-18.49400,-28.56210,-10.06580,-18.49400,2.16050,-0.0586,-0.1797
2024-03-31,16.18100,16.18100,7.75500,-2.98100,0.65500,0.10800,0.76300,0.01500,0.74800,0.74800,0.74800,1.88100,0.65500,11.72800,11.74600,0.06000,0.06000,1.23940,,100.00000,4.04800,4.04800,4.71540,4.62270,0.31740,2.35360,38.23930,2.42200,3.46360,1.46730,2.42200,2.56000,0.19910,0.04410
2023-12-31,14.85900,14.85900,8.59100,-3.67700,-4.17900,0.21600,-3.96300,0.00000,-3.96300,-3.96300,-3.96300,-1.69100,-4.17900,11.57400,11.57400,-0.34000,-0.34000,1.24740,,100.00000,-28.12440,-28.12440,-26.67070,-26.67070,0.27190,1.62780,55.28770,-12.79540,-18.34380,-7.25290,-12.79540,2.58440,0.6099,0.4774
2023-09-30,14.38100,14.38100,7.84900,-3.09100,-4.38500,0.43300,-3.95200,,-3.95200,-3.95200,-3.95200,-0.96500,-4.38500,11.57000,11.57000,-0.34000,-0.34000,1.46690,,100.00000,-30.49160,-30.49160,-27.48070,-27.48070,0.28170,1.68970,53.26400,-11.54210,-15.94060,-7.74130,-11.54210,2.88460,-0.1265,-0.2345
2023-06-30,12.64100,12.64100,8.60200,-2.78800,-5.04100,0.59500,-4.44600,0.01000,-4.45600,-4.45600,-4.45600,-1.90300,-5.04100,11.56300,11.56300,-0.39000,-0.39000,1.47980,,100.00000,-39.87820,-39.87820,-35.17130,-35.25040,0.21360,1.78470,50.42880,-11.71310,-15.62690,-7.53120,-11.71310,3.20610,0.1975,0.0494
2023-03-31,13.37100,13.37100,9.18300,-2.73900,-6.37500,1.42100,-4.95400,0.00600,-4.96000,-4.96000,-4.96000,-3.24500,-6.37500,11.60200,11.60200,-0.43000,-0.43000,1.57760,,100.00000,-47.67780,-47.67780,-37.05030,-37.09520,0.20540,1.03280,87.13930,-11.82760,-15.34270,-7.61780,-11.82760,3.53530,-0.54900,-0.66780
2022-12-31,15.68400,15.68400,13.03400,-2.99000,-7.57000,1.15100,-6.41900,-2.23400,-4.18500,-4.18500,-4.18500,-4.63900,-7.57000,11.94200,11.94200,-0.36000,-0.33000,1.98870,,100.00000,-48.26580,-48.26580,-40.92710,-26.68320,0.22080,1.89880,47.39860,-8.56560,-10.68420,-5.89140,-8.56560,3.99170,-0.3326,-0.4293
2022-09-30,19.85800,19.85800,13.46900,-2.93800,-4.28000,-1.36900,-5.64900,-0.72900,-4.92000,-4.92000,-4.92000,-1.23100,-4.28000,11.94000,11.94000,-0.41000,-0.41000,1.92960,,100.00000,-21.55300,-21.55300,-28.44700,-24.77590,0.26000,2.30530,39.04020,-9.72290,-12.04880,-6.44270,-9.72290,4.13480,-0.362,-0.4674
2022-06-30,23.00800,23.00800,12.94400,-3.13500,-0.36900,5.64000,5.27100,0.90900,4.36200,4.36200,4.36200,2.79000,-0.36900,11.94400,12.60000,0.37000,0.35000,1.79520,,100.00000,-1.60380,-1.60380,22.90940,18.95860,0.28930,3.24930,27.69860,8.26470,10.16050,5.48470,8.26470,4.31240,0.2545,0.1516
2022-03-31,25.04700,25.04700,11.96700,-2.91000,2.96300,2.64400,5.60700,1.64300,3.96400,3.96400,3.96400,6.21300,2.96300,11.95500,12.56300,0.33000,0.32000,1.55240,,100.00000,11.82980,11.82980,22.38590,15.82630,0.30670,2.45580,36.64750,8.73820,11.18640,4.85360,8.73820,3.70440,0.73150,0.56130
2021-12-31,25.25800,25.25800,13.98200,-2.87200,0.90400,-0.76400,0.14000,1.49000,-1.35000,-1.35000,-1.35000,4.18400,0.90400,11.85100,11.93900,-0.13000,1.16000,1.50660,,100.00000,3.57900,3.57910,0.55430,-5.34480,0.33090,2.74720,32.76030,-3.55440,-4.82610,-1.76840,-3.55440,3.11500,0.452,0.437
2021-09-30,22.84100,22.84100,12.80900,-2.70100,2.24900,6.04200,8.29100,1.16700,7.12400,7.12400,7.12400,5.47100,2.24900,11.90000,11.90400,0.60000,0.60000,1.28930,,100.00000,9.84630,9.84630,36.29880,31.18950,0.32690,5.07800,17.72340,19.84460,27.60170,10.19520,19.84460,2.94110,0.0982,0.0681
2021-06-30,22.40400,22.40400,11.80900,-2.50600,-0.31000,-3.09800,-3.40800,1.38200,-4.79000,-4.79000,-4.79000,2.72500,-0.31000,11.90000,11.90000,-0.40000,-0.40000,1.07620,,100.00000,-1.38370,-1.38370,-15.21160,-21.38010,0.29850,2.71330,33.16950,-17.70660,-28.37170,-6.38280,-17.70660,2.21740,1.1357,1.127
2021-03-31,24.20200,24.20200,10.48500,-2.47200,2.82300,14.94900,17.77200,1.71300,16.05900,16.05900,16.05900,6.06400,2.82300,11.69800,15.32500,1.37000,0.07000,0.93220,0.18790,100.00000,11.66430,11.66430,73.43200,66.35400,0.31630,4.30950,20.88420,55.59060,86.15810,20.98800,55.59060,2.36790,0.62110,0.61350
2020-12-31,16.91000,16.91000,8.54700,-4.81700,-3.56000,-0.24900,-3.80900,0.00200,-3.81100,-3.81100,-3.81100,-0.11100,-3.56000,6.12300,6.12300,-0.62000,-0.62000,0.38610,0.86530,100.00000,-21.05260,-21.05260,-22.52510,-22.53700,0.25390,1.68540,53.39860,-15.70320,-27.33860,-5.72140,-15.70320,3.96360,0.7137,0.572
2020-09-30,18.33800,18.33800,8.11400,-2.60000,0.61000,-0.35300,0.25700,0.00700,0.25000,0.25000,0.25000,3.70200,0.61000,6.12300,6.12300,0.04000,0.04000,0.08760,,100.00000,3.32640,3.32640,1.40150,1.36330,0.55130,,,5.00000,5.00000,0.75160,5.00000,0.92660,0.3219,0.1457
2020-06-30,15.43100,15.43100,8.02000,-3.22900,-3.71300,-0.39900,-4.11200,0.00700,-4.11900,-4.11900,-4.11900,-0.10000,-3.71300,6.12300,6.12300,-0.67000,-0.67000,1.19780,,100.00000,-24.06200,-24.06200,-26.64770,-26.69300,0.45680,,,-82.37990,-82.37990,-12.19350,-82.37990,0.94360,1.8315,1.675
2020-03-31,15.75800,15.75800,11.64000,-2.12300,-4.13300,-0.39400,-4.52700,0.00700,-4.53400,-4.53400,-4.53400,-1.01300,-4.13300,6.12300,6.12300,-0.74000,-0.74000,0.33200,,100.00000,-26.22790,-26.22790,-28.72830,-28.77270,0.08900,,,-90.68000,-90.68000,-2.56010,-90.68000,1.02210,-0.24780,-0.42990
2019-12-31,,,-0.00910,-0.17960,-0.17060,2.79770,2.62710,0.17810,2.44900,2.44900,2.44900,-0.17060,-0.17060,4.23200,4.23200,0.10700,0.10700,0.68080,,,,,,,,,,48.98080,48.98080,1.39200,48.98080,0.87110,-0.0704,-0.0704
2019-09-30,,,0.02440,-0.12250,-0.14690,0.88730,0.74040,0.17810,0.56220,0.56220,0.56220,-0.14690,-0.14690,4.23200,4.23200,0.03000,0.03000,1.01310,,,,,,,,,,11.24430,11.24430,0.32060,11.24430,0.99270,-0.0478,-0.0478
2019-06-30,,,0.01730,-0.18760,-0.20490,1.11520,0.91030,0.21950,0.69080,0.69080,0.69080,-0.20490,-0.20490,4.23200,4.23200,0.03300,0.03300,0.79740,,,,,,,,,,13.81650,13.81650,0.39550,13.81650,0.98190,-0.1476,-0.1476
2019-03-31,,,0.12320,-0.15370,-0.27700,1.06070,0.78370,0.21230,0.57140,0.57140,0.57140,-0.27700,-0.27700,4.23220,4.23220,0.03000,0.03000,1.12170,,,,,,,,,,11.42840,11.42850,0.32800,11.42840,0.96880,-0.08020,-0.08020
2018-12-31,,,0.04040,-0.36120,-0.40160,0.99050,0.58890,0.16610,0.42280,0.42280,0.42280,-0.40160,-0.40160,4.29030,4.29030,0.02390,0.02390,1.87270,,,,,,,,,,8.45560,8.45560,0.24370,8.45560,0.95840,-0.0846,-0.0846
2018-09-30,,,0.02160,-0.29540,-0.31700,0.24150,-0.07550,0.05070,-0.12620,-0.12620,-0.12620,-0.31700,-0.31700,4.23200,4.23200,-0.01000,-0.01000,3.40350,,,,,,,,,,-2.52390,-2.52390,-0.07300,-2.52390,0.95080,0.0262,0.0262
2018-06-30,,,0.00060,,-0.00060,,-0.00060,,-0.00060,-0.00060,-0.00060,-0.00060,-0.00060,3.75000,3.75000,-0.00020,-0.00020,,,,,,,,,,,,,,,,-0.0058,-0.0058
2018-03-31,,,0.00100,,-0.00100,,-0.00100,0.00000,-0.00100,-0.00100,-0.00100,-0.00100,-0.00100,3.75000,3.75000,0.00030,0.00030,,,,,,,,,,,,,,,,-0.01910,-0.01910
2017-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
