Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1.38570,1.64560,-0.25980,2.33380,6.11330,-0.18170,9.03940,-9.29930,0.07700,-9.22230,-9.22230,-9.22230,-9.22230,-8.65650,-9.29930,67.84240,67.84240,-0.14000,-0.14000,13.16190,,,-18.75190,-671.08210,-671.08210,-665.52540,-665.52540,0.03310,0.16750,0.51750,173.89780,-23.31660,-25.75640,-22.03830,-23.31660,0.53730,-0.0712,-0.0738
2024-06-30,1.09260,1.42570,-0.33310,2.35870,6.73040,-30.11970,40.39720,-40.73030,0.11810,-40.61220,-40.61220,-40.61220,-40.61220,-39.25940,-40.73030,65.81450,65.81450,-0.62000,-0.62000,9.53400,,,-30.49180,-3727.93000,-3727.93000,-3717.12200,-3717.12200,0.02860,0.13930,0.36130,249.11670,-114.70060,-128.12450,-106.21910,-114.70070,0.54090,-0.0834,-0.0959
2024-03-31,2.00390,2.05710,-0.05330,2.73840,6.31900,-0.01130,10.03920,-10.09240,0.04480,-10.04760,-10.04760,-10.04760,-10.04760,-8.94050,-10.09240,64.72510,64.72510,-0.16000,-0.16000,9.40590,,,-2.65750,-503.64600,-503.64600,-501.40960,-501.40960,0.02600,0.20850,0.41390,217.45480,-13.73760,-22.63830,-13.05190,-13.73760,1.13000,-0.13600,-0.13760
2023-12-31,1.06690,5.31250,-4.24560,3.52060,9.56340,-2.13700,16.16860,-20.41420,0.53360,-19.88060,-19.88060,-19.88060,-19.88060,-19.10310,-20.41420,63.43240,63.43240,-0.32000,-0.32000,7.95610,,,-397.92250,-1913.34400,-1913.34400,-1863.33300,-1863.33300,0.01240,0.59030,0.27870,322.87950,-24.60650,-38.74160,-23.07730,-24.60650,1.24830,-0.0964,-0.1232
2023-09-30,2.18000,2.41760,-0.23750,2.91260,7.29890,-0.02420,11.19500,-11.43250,0.44950,-10.98300,-10.98300,-10.98300,-10.98300,-10.24030,-11.43250,63.32490,63.32490,-0.17000,-0.17000,11.58790,,,-10.89650,-524.42690,-524.42690,-503.80610,-503.80610,0.02160,0.21390,0.31360,287.00550,-11.47940,-17.35220,-10.87560,-11.47940,1.50000,-0.1268,-0.1399
2023-06-30,4.69080,3.71840,0.97240,2.83660,6.77020,,10.58010,-9.60760,0.56270,-9.04490,-9.04490,-9.04490,-9.04490,-8.37650,-9.60760,63.23090,63.23090,-0.14000,-0.14000,10.01030,,,20.72950,-204.81710,-204.81710,-192.82110,-192.82110,0.04240,0.34210,0.71660,125.58630,-8.73580,-12.85000,-8.18080,-8.73580,1.63520,-0.1252,-0.1346
2023-03-31,4.19140,3.31540,0.87600,3.06980,7.67150,-0.01770,11.72320,-10.84720,0.60660,-10.24060,-10.24060,-10.24060,-10.24060,-9.65000,-10.84720,63.21660,63.21660,-0.16000,-0.16000,6.21190,,,20.90030,-258.79910,-258.79910,-244.32600,-244.32600,0.03420,0.30520,1.18870,75.70990,-9.36240,-13.57000,-8.36150,-9.36240,1.73050,-0.06590,-0.10360
2022-12-31,2.89830,3.02440,-0.12620,3.13640,12.25840,-0.03530,11.72590,-11.85200,1.09310,-10.75890,-10.75890,-10.75890,-10.75890,-11.08990,-11.85200,63.70900,63.70900,-0.17000,-0.17000,5.93240,,,-4.35340,-408.93620,-408.93620,-371.22060,-371.22060,0.02210,0.26840,0.81440,110.51750,-9.31590,-13.30980,-8.20840,-9.31590,1.82390,-0.1037,-0.0491
2022-09-30,3.42680,2.55860,0.86820,3.44070,2.49080,-0.04810,10.83360,-9.96540,0.48840,-9.47700,-9.47700,-9.47700,-9.47700,-9.23350,-9.96540,63.77620,63.77620,-0.15000,-0.15000,13.26520,,,25.33600,-290.80580,-290.80580,-276.55350,-276.55350,0.02470,0.20920,1.09900,81.89020,-7.54490,-8.79050,-6.82990,-7.54490,1.97060,-0.1084,-0.135
2022-06-30,3.00780,2.74230,0.26540,2.99610,6.89050,,10.26640,-10.00100,-0.02070,-10.02170,-10.02170,-10.02170,-10.02170,-9.39010,-10.00100,63.73990,63.73990,-0.16000,-0.16000,15.00970,,,8.82410,-332.50620,-332.50620,-333.19400,-333.19400,0.02060,0.23260,1.92320,46.79620,-7.61890,-8.84440,-6.86910,-7.61890,2.05560,-0.0718,-0.1259
2022-03-31,2.50310,2.02740,0.47570,3.10340,7.47730,-0.04960,10.88950,-10.41390,-0.09210,-10.50600,-10.50600,-10.50600,-10.50600,-9.93090,-10.41390,63.69510,63.69510,-0.16000,-0.16000,44.04250,,,19.00350,-416.04790,-416.04790,-419.72780,-419.72780,0.01780,0.16140,1.61320,55.79150,-7.67110,-7.86610,-7.48560,-7.67110,2.15110,-0.10100,-0.10190
2021-12-31,3.31420,3.80070,-0.48640,3.34850,7.64410,-0.11380,10.82850,-11.31500,-0.17780,-11.49280,-11.49280,-11.49280,-11.49280,-10.63910,-11.31500,61.12520,61.12520,-0.17000,-0.17000,32.99850,,,-14.67720,-341.40600,-341.40610,-346.77020,-346.77020,0.02230,0.31280,1.47800,60.89450,-7.99620,-8.19730,-7.74100,-7.99620,2.25730,-0.1437,-0.1495
