Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,36.24600,28.48100,7.76500,3.06900,6.46000,-2.99700,13.65600,-5.89100,-4.72200,-10.61300,,-10.61300,-10.61300,-10.61300,-4.36900,-5.89100,13.42590,13.42590,-0.79000,-0.79000,0.55920,,-2.28460,21.42310,-16.25280,-16.25280,-29.28050,-29.28050,0.60560,1.36980,65.70350,45.14630,37.50970,-17.73090,45.14630,-1.75030,-0.6496,-0.8642
2024-06-30,34.53700,27.20700,7.33000,3.79700,7.19700,-3.57200,15.67000,-8.34000,-3.21700,-11.55700,0.11000,-11.66700,-11.66700,-11.66700,-6.86500,-8.34000,13.42200,13.42200,-0.87000,-0.87000,0.68940,,-3.81930,21.22360,-24.14800,-24.14800,-33.46270,-33.78120,0.48750,1.38000,65.21530,83.64640,54.19960,-16.46860,83.64640,-1.03910,-0.772,-0.8753
2024-03-31,40.09200,30.74100,9.35100,4.24300,8.03300,-4.32100,17.69900,-8.34800,-4.62800,-12.97600,0.03900,-13.01500,-13.01500,-13.01500,-6.89000,-8.34800,13.35900,13.35900,-0.97000,-0.97000,0.82970,,-19.42330,23.32390,-20.82210,-20.82210,-32.36560,-32.46280,0.48090,1.55880,57.73500,483.29110,116.99930,-15.61150,483.28990,-0.20080,-0.72700,-0.83090
2023-12-31,45.05100,34.86700,10.18400,5.83000,21.67200,-5.69000,33.98400,-23.80000,149.40900,125.60900,,127.74900,127.74900,127.74900,-22.70000,-23.80000,2.77020,2.94640,369.52000,367.90000,3.46710,0.87310,7.21250,22.60550,-52.82900,-52.82900,278.81510,283.56530,0.37170,1.32870,67.73320,1330.16400,39796.71000,105.40870,168.80150,0.72150,55.3968,55.9406
2023-09-30,46.04700,36.86900,9.17800,3.66700,5.87700,-5.41800,15.02600,-5.84800,-23.00400,-28.85200,,-28.85200,-28.85200,-28.85200,-5.19800,-5.84800,0.15480,0.15480,-186.40000,-186.40000,0.26790,-0.38930,-0.54820,19.93180,-12.70010,-12.70010,-62.65770,-62.65770,1.15150,1.79040,50.26840,12.33160,12.32990,-72.15350,17.13210,-1509.47700,-21.0291,-21.2299
2023-06-30,43.97700,34.71700,9.26000,3.66800,5.63200,-6.04600,15.40800,-6.14800,-0.27200,-6.42000,,-6.42000,-6.42000,-6.42000,-5.52800,-6.14800,0.15500,0.15500,-41.48000,-41.48000,0.22190,,-0.60010,21.05650,-13.98000,-13.98000,-14.59850,-14.59850,0.95760,1.52350,59.07290,3.12890,3.12840,-13.97990,3.12890,-1323.78100,-49.9226,-49.9226
2023-03-31,49.57800,40.31900,9.25900,3.74200,8.55200,-7.20100,19.56700,-10.30800,-7.44000,-17.74800,0.00000,-17.74800,-17.74800,-17.74800,-9.68800,-10.30800,0.15500,0.15500,-114.66000,-114.66000,,,,18.67560,-20.79150,-20.79150,-35.79810,-35.79810,,,,,,,,,-6.55480,-6.94840
2022-12-31,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,965.6426,969.5414
2022-09-30,52.13400,46.07800,6.05600,4.55200,4.58300,-9.97600,19.18800,-13.13200,-9.92500,-23.05700,0.00000,-23.05700,-23.05700,-23.05700,-12.34400,-13.13200,0.05340,0.05340,-432.18000,-432.18000,,,,11.61620,-25.18890,-25.18890,-44.22640,-44.22640,,,,,,,,,-504.2022,-504.4081
2022-06-30,43.33400,40.07900,3.25500,4.42700,4.88300,-9.66600,19.05100,-15.79600,-2.71700,-18.51300,0.00000,-18.51300,-18.51300,-18.51300,-15.79600,-15.79600,0.05330,0.05330,-347.04000,-347.04000,,,,7.51140,-36.45180,-36.45180,-42.72170,-42.72170,,,,,,,,,-461.4404,-465.1333
2021-12-31,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
