Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,599.61400,287.74600,311.86800,191.62200,,218.21500,93.65300,-27.32200,66.33100,19.89100,46.44000,46.44000,,42.52600,353.34400,93.65300,44.60700,56.14900,0.93000,0.76000,2.32350,0.67040,2.04010,52.01150,15.61890,15.61890,11.06230,7.09220,0.12430,0.92590,97.20270,4.04430,-3.28590,0.96240,1.33320,26.03910,-0.0861,-0.1592
2024-06-30,625.93400,280.72700,345.20700,208.17600,-96.81900,334.41900,10.78800,-32.18400,-21.39600,10.89300,-32.28900,-32.28900,,-29.23400,256.90800,10.78800,44.46600,44.46600,-0.66000,-0.66000,2.12660,0.68480,2.20300,55.15070,1.72350,1.72350,-3.41830,-4.67050,0.12850,0.97300,92.49380,-2.98390,2.15830,-0.66260,-0.94040,24.53840,2.3581,2.15
2024-03-31,596.46100,271.57600,324.88500,188.88100,,214.70700,110.17800,-29.14600,81.03200,23.64900,57.38300,57.38300,,45.80300,345.22600,110.17800,44.06800,44.60000,1.04000,1.03000,1.85380,0.67310,2.12000,54.46880,18.47200,18.47200,13.58550,7.67910,0.12140,0.94820,94.92080,5.18410,-3.75670,1.16830,1.69470,25.13240,3.38270,3.23200
2023-12-31,678.84790,393.91000,284.93790,196.95100,-66.40700,296.38110,-11.44320,-16.56400,-28.00700,11.88100,-39.88800,-39.88800,,-21.80900,303.17970,-11.44310,43.82700,43.99100,-0.49000,-0.50000,1.72070,0.68120,2.19910,41.97380,-1.68570,-1.68570,-4.12570,-3.21260,0.13660,1.02180,88.08400,-3.71420,2.45650,-0.80260,-1.18430,24.65380,1.6578,1.5021
2023-09-30,636.95400,284.90000,352.05400,187.23200,-5.40000,231.20400,120.85000,-29.28200,91.56800,23.67100,67.89700,67.89700,,63.42400,351.79900,120.85000,43.95100,44.04100,1.44000,1.44000,1.46220,0.68320,2.58090,55.27150,18.97310,18.97310,14.37590,9.95740,0.11820,0.96850,92.92520,6.27350,-4.07500,1.25950,1.98730,24.87790,2.4072,2.2511
2023-06-30,678.62800,321.96100,356.66700,194.29800,-24.88200,250.96610,105.70090,-21.44800,84.25300,22.15500,62.09800,62.09800,,70.23900,382.61790,105.70090,43.84200,43.90000,1.60000,1.60000,1.33950,0.69310,2.69140,52.55710,15.57570,15.57570,12.41520,10.35020,0.12410,1.02750,87.59240,5.96950,-3.44110,1.13510,1.83210,23.91160,3.5935,3.3672
2023-03-31,717.44700,326.72900,390.71800,185.60600,,217.41400,173.30400,-25.11200,148.19200,36.89900,111.29300,111.29300,,103.61000,393.29000,173.30400,43.62800,43.83700,2.37000,2.36000,1.73860,0.74040,2.89560,54.45950,24.15570,24.15570,20.65550,14.44150,0.13130,1.02100,88.14770,11.48490,-5.88010,2.03710,2.98150,22.30710,-3.02300,-3.28530
2022-12-31,964.51990,612.43400,352.08590,226.37300,,743.72700,-391.64120,-31.87500,-423.51600,-144.09800,-279.41800,-279.41800,,-264.68900,45.84280,-391.64120,43.13500,43.73100,-6.15000,-6.06000,1.66620,0.76500,3.29400,36.50380,-40.60480,-40.60480,-43.90950,-27.44260,0.17120,1.33560,67.38760,-32.72590,14.65050,-4.95960,-7.69210,19.85200,3.3213,3.0751
2022-09-30,681.84300,293.45900,388.38400,207.97200,,237.70700,150.67700,-32.22900,118.44800,28.45600,89.99200,89.99200,,84.66600,403.41600,150.67700,43.23800,43.73200,1.96000,1.94000,1.76800,0.72630,2.68600,56.96090,22.09850,22.09850,17.37170,12.41720,0.11730,0.97950,91.88750,8.57480,-4.31230,1.54800,2.34680,24.42500,0.4435,0.1708
2022-06-30,738.02500,325.77200,412.25300,231.81900,,259.05000,153.20300,-30.25500,122.94800,33.02800,89.92000,89.92000,,83.42900,394.64700,153.20300,43.19200,43.67900,1.93000,1.91000,1.88060,0.73370,2.78790,55.85900,20.75850,20.75850,16.65910,11.30440,0.12740,0.99140,90.78130,8.87270,-4.52530,1.55200,2.36310,23.61350,0.932,0.7022
2022-03-31,712.15700,284.23700,427.92000,230.65300,,253.24300,174.67700,-22.50900,152.16800,41.63400,110.53400,110.53400,,104.18800,400.67400,174.67700,42.78000,43.71500,2.44000,2.38000,1.88860,0.74120,2.89870,60.08790,24.52790,24.52790,21.36720,14.62990,0.12390,0.92100,97.72360,11.31390,-5.61660,1.92240,2.92790,22.76380,-0.53880,-0.80250
2021-12-31,803.70870,434.40600,369.30270,281.57000,-0.63700,305.67100,63.63170,-23.19000,40.44200,16.41300,24.02900,24.02900,,17.03900,409.43070,63.63190,42.36100,43.43900,0.40000,0.37000,1.89040,0.75650,3.14450,45.94980,7.91730,7.91730,5.03190,2.12000,0.13980,0.98560,91.31410,2.66200,-1.23990,0.41800,0.64810,21.30150,2.2904,2.0002
2021-09-30,810.76600,378.26400,432.50200,220.01100,,244.17610,188.32590,-29.09500,159.23100,40.74400,118.48700,118.48700,,110.65100,490.43090,188.32590,42.50600,43.44000,2.60000,2.55000,2.23580,0.75980,3.19390,53.34490,23.22820,23.22820,19.63960,13.64770,0.14750,1.05080,85.64630,13.33410,-6.25930,2.15610,3.20250,21.03690,-2.011,-2.2664
2021-06-30,771.39200,338.84100,432.55100,198.61800,-142.91800,364.29500,68.25600,-14.33700,53.91900,11.32100,42.59800,42.59800,,35.88500,277.86210,68.25600,42.48100,43.38200,0.84000,0.83000,2.07940,0.78240,3.61780,56.07410,8.84840,8.84840,6.98980,4.65200,0.14080,0.95530,94.21270,5.43660,-2.28210,0.77740,1.18280,18.56080,0.5319,0.2952
2021-03-31,691.74100,280.57200,411.16900,191.53500,-16.05500,241.46100,169.70800,-49.06800,120.64000,25.91500,94.72500,94.72500,,87.02100,352.85600,169.70800,41.93000,43.17100,2.08000,2.02000,2.56780,0.79660,3.92700,59.43970,24.53350,24.53350,17.44010,12.58000,0.13190,0.89020,101.10090,13.12780,-5.46640,1.80580,2.67080,17.09250,2.49160,2.29380
2020-12-31,780.27490,441.21190,339.06300,220.23900,8.18400,257.66800,81.39500,66.73800,148.13300,49.90100,98.23200,98.23200,,94.71100,416.61000,81.39500,51.01600,51.73300,1.99000,1.97000,2.20700,0.81180,4.43060,43.45430,10.43160,10.43160,18.98470,12.13820,0.14870,0.95910,93.84240,15.27470,-5.70090,1.87240,2.87450,15.51170,2.2985,2.0591
2020-09-30,654.01500,333.81600,320.19900,148.76900,,180.72200,139.47700,-19.28600,120.19100,52.19500,67.99600,67.99600,,61.64000,383.26300,139.47700,52.34600,52.90400,1.18000,1.17000,2.43430,0.79530,3.98350,48.95900,21.32630,21.32630,18.37740,9.42490,0.12140,0.85100,105.75530,8.80380,-4.10640,1.26240,1.80220,14.84110,4.1266,3.8852
2020-06-30,646.29100,282.50300,363.78800,155.16300,-130.41100,314.98600,48.80210,-21.86100,26.94100,9.70700,17.23400,17.23400,,14.96100,275.11610,48.80210,52.31100,52.79700,0.29000,0.28000,2.38380,0.80620,4.27890,56.28860,7.55110,7.55110,4.16860,2.31490,0.12180,0.81110,110.96400,2.55260,-0.96470,0.32480,0.49480,12.97330,4.5089,4.3193
2020-03-31,734.37500,344.06000,390.31500,184.64900,,217.34500,172.97000,-65.85600,107.11400,33.58800,73.52600,73.52600,,68.66700,432.38300,172.97000,55.47700,56.06100,1.24000,1.22000,2.16510,0.81590,4.54210,53.14930,23.55340,23.55340,14.58570,9.35040,0.13810,0.88910,101.23160,11.53540,-3.79290,1.38300,2.12390,12.08840,3.53910,3.30880
2019-12-31,785.20400,426.22190,358.98210,174.21100,,317.26310,41.71910,-16.70800,25.01100,24.66300,0.34800,0.34800,,-8.57700,354.75810,41.71910,56.20500,57.03700,-0.13000,-0.13000,2.89710,0.81470,4.52660,45.71830,5.31310,5.31320,3.18530,-1.09230,0.14030,0.91610,98.24560,0.05030,-0.02210,0.00620,0.00930,12.44570,1.4078,1.0224
2019-09-30,718.59700,354.99200,363.60500,159.35700,0.00000,195.16700,168.43800,-36.48500,131.95300,8.72700,123.22600,123.22600,,116.92300,430.28200,168.43800,55.84700,56.60500,2.09000,2.07000,2.71190,0.82360,4.74130,50.59930,23.43980,23.43980,18.36260,16.27100,0.12790,0.88990,101.13220,18.81890,-7.16900,2.19330,3.32010,11.79240,2.034,1.6761
2019-06-30,772.29900,385.62300,386.67600,173.36400,0.00000,216.41900,170.25700,-37.66800,132.58900,-1.39600,133.98500,133.98500,,128.74300,466.90600,170.25700,56.59000,57.33500,2.28000,2.25000,2.65240,0.84390,5.47200,50.06820,22.04550,22.04550,17.16810,16.67010,0.13890,0.92130,97.68990,23.56760,-7.07050,2.40910,3.67900,10.19590,2.0653,1.5846
2019-03-31,784.22100,340.14800,444.07300,172.51200,,199.21000,244.86300,-48.23000,196.63300,46.47600,150.15700,150.15700,,143.39700,478.85800,244.86300,56.58800,57.72500,2.53000,2.48000,2.65820,0.86410,6.42040,56.62600,31.22370,31.22370,25.07370,18.28530,0.14200,0.94520,95.21980,30.98980,-7.37130,2.71930,4.21160,8.52910,2.97420,2.59220
2018-12-31,772.84590,402.37710,370.46890,163.39000,,233.34490,137.12390,-37.47100,99.65300,23.21400,76.43900,76.43900,,71.87900,447.41980,137.12390,58.06600,58.94700,1.31000,1.28000,2.46220,0.89950,9.00780,47.93570,17.74270,17.74270,12.89430,9.30060,0.14640,0.92450,97.35180,22.14290,-3.40370,1.44810,2.22630,6.13890,2.1239,1.6523
2018-09-30,696.87500,346.39800,350.47700,156.24200,-4.48600,185.87800,164.59900,-4.27300,160.32600,43.66600,116.66000,116.66000,,111.25700,408.19200,164.59900,56.87500,57.77900,1.96000,1.93000,2.50890,0.91450,10.73960,50.29270,23.61960,23.61960,23.00640,15.96510,0.13500,0.89580,100.47070,40.00150,-5.73000,2.26000,3.42140,5.16090,3.3946,2.9834
