Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,3.19100,,3.19100,45.26300,10.05400,,,-52.12600,10.00500,-42.12100,,-42.12100,-42.12100,-42.12100,-55.67300,-52.12600,66.29400,66.29400,-0.64000,-0.64000,24.26830,,,100.00000,-1633.53200,-1633.53200,-1319.99400,-1319.99400,0.00390,3.74530,24.03010,-5.35960,-5.55160,-5.11690,-5.35960,11.84590,-0.8303,-0.8385
2024-06-30,2.49800,,2.49800,39.68700,9.12800,,,-46.31700,10.47500,-35.84200,,-35.84200,-35.84200,-35.84200,-50.26000,-46.31700,66.01900,66.01900,-0.54000,-0.54000,29.35770,,,100.00000,-1854.16300,-1854.16300,-1434.82800,-1434.82800,0.00300,1.62840,55.26820,-4.40500,-4.55730,-4.23870,-4.40500,12.27590,-0.3695,-0.373
2024-03-31,0.15600,,0.15600,31.66100,9.10300,,,-40.60800,7.80000,-32.80800,,-32.80800,-32.80800,-32.80800,-43.14600,-40.60800,58.87100,58.87100,-0.56000,-0.56000,31.77220,,,100.00000,-26030.77000,-26030.77000,-21030.77000,-21030.77000,0.00020,0.05840,1540.96100,-3.91220,-4.04330,-3.77600,-3.91220,12.72340,-0.69030,-0.69610
2023-12-31,4.13100,,4.13100,30.42600,8.83200,,,-47.62700,4.32100,-43.30600,,-43.30600,-43.30600,-43.30600,-49.04700,-47.62700,48.44900,48.44900,-0.84000,-0.84000,13.86970,,,100.00000,-1152.91700,-1152.91700,-1048.31800,-1048.31800,0.00890,1.57190,57.25490,-10.09060,-10.77320,-9.30060,-10.09060,7.67980,-0.6327,-0.6458
2023-09-30,1.51700,,1.51700,34.53500,8.22100,,,-41.23900,2.97900,-38.26000,,-38.26000,-38.26000,-38.26000,-42.09900,-41.23900,47.26100,47.26100,-0.81000,-0.81000,8.83510,,0.01720,100.00000,-2718.45800,-2718.45800,-2522.08300,-2522.08300,0.00540,6.01980,14.95060,-15.50760,-17.42830,-13.65180,-15.50760,5.22000,-0.4017,-0.405
2023-06-30,0.26800,,0.26800,26.25200,7.22100,,,-33.20500,2.70300,-30.50200,,-30.50200,-30.50200,-30.50200,-33.60900,-33.20500,47.25300,47.25300,-0.65000,-0.65000,16.92570,,0.00350,100.00000,-12389.92000,-12389.92000,-11381.34000,-11381.34000,0.00090,2.27120,39.62690,-10.99030,-12.18390,-10.19070,-10.99030,5.87330,-0.575,-0.5837
2023-03-31,0.96700,,0.96700,26.79800,6.64000,,,-32.47100,3.11000,-29.36100,,-29.36100,-29.36100,-29.36100,-33.00100,-32.47100,47.21400,47.21400,-0.62000,-0.62000,19.02870,,,100.00000,-3357.91100,-3357.91100,-3036.29800,-3036.29800,0.00300,0.73590,122.29580,-9.69840,-10.65540,-9.04750,-9.69840,6.40790,-0.60510,-0.61750
2022-12-31,1.61300,,1.61300,22.89900,6.59900,0.00000,,-27.88500,1.39800,-26.48700,,-26.48700,-26.48700,-26.48700,-27.73400,-27.88500,46.88800,46.88800,-0.57000,-0.57000,17.07110,,,100.00000,-1728.76700,-1728.76600,-1642.09500,-1642.09500,0.00460,4.64840,19.36140,-8.11980,-8.85810,-7.50900,-8.11980,6.91100,-0.4651,-0.4703
2022-09-30,0.40700,,0.40700,21.57200,6.53100,,,-27.69600,0.91200,-26.78400,,-26.78400,-26.78400,-26.78400,-26.96700,-27.69600,46.91600,46.91600,-0.57000,-0.57000,20.54390,,,100.00000,-6804.91400,-6804.91400,-6580.83600,-6580.83600,0.00110,2.15340,41.79360,-7.75410,-8.41670,-7.25410,-7.75410,7.33430,-0.7468,-0.7525
2022-06-30,0.16300,,0.16300,20.73100,7.15400,-8.67400,,-36.39600,0.39200,-36.00400,,-36.00400,-36.00400,-36.00400,-35.11900,-36.39600,46.75900,46.75900,-0.77000,-0.77000,12.28690,,,100.00000,-22328.83000,-22328.83000,-22088.34000,-22088.34000,0.00040,1.68040,53.55830,-9.86160,-10.65510,-8.93490,-9.86160,7.97760,-0.4755,-0.4899
