Date,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-09-30,118.85400,65.42100,53.43300,-23.38300,28.77300,24.66000,-57.25100,-32.59100,1.02100,-33.61200,-33.61200,-70.83000,-104.44200,26.89400,24.66000,41.26700,41.26700,-2.53000,-2.53000,9.33300,1.24460,-5.08750,44.95680,20.74810,20.74810,-27.42100,-87.87420,0.06690,2.04690,43.96790,8.44480,4.48980,-1.89160,-2.06600,-9.63710,-1.0329,-0.7235
2023-06-30,129.64500,74.74400,54.90100,-24.26200,33.40300,21.49800,-78.53400,-57.03600,2.29100,-59.32700,-59.32700,,-59.32700,35.70800,21.49800,41.00200,41.00200,-1.45000,-1.45000,9.35520,1.10720,-10.33220,42.34720,16.58220,16.58220,-43.99400,-45.76110,0.04720,6.21680,14.47690,22.10620,8.73240,-2.16140,-2.36880,-6.52310,1.609,1.3221
2023-03-31,146.54100,78.65200,67.88900,-30.52500,39.54600,28.34300,-67.11100,-38.76800,20.70300,-59.47100,-59.47100,,-59.47100,41.09400,28.34300,40.78300,40.78300,-1.46000,-1.46000,9.62690,1.09540,-11.48200,46.32770,19.34130,19.34130,-26.45540,-40.58320,0.05590,7.29060,12.34470,25.99080,9.39970,-2.26830,-2.47960,-5.58630,-0.10160,-0.34740
2022-12-31,136.68100,87.08300,49.59800,42.48600,114.90800,-65.31000,-141.05000,-206.36000,-24.50300,-181.85700,-181.85700,,-186.39300,107.55500,-65.30990,40.42800,40.42800,-4.60000,-4.60000,9.24850,1.02960,-34.77680,36.28750,-47.78280,-47.78270,-150.97930,-136.37080,0.04900,5.69880,15.79270,335.93860,45.31520,-6.52010,-9.94580,-1.33600,-0.2023,-0.8664
2022-09-30,121.38900,66.27400,55.11500,-30.88300,36.56600,18.54900,24.27700,42.82600,21.70900,21.11700,21.11700,4.53600,25.65300,15.77300,18.54900,40.47900,40.83500,0.63000,0.63000,10.72810,0.95160,19.68080,45.40360,15.28060,15.28060,35.28000,21.13290,0.04370,9.01250,9.98620,16.96800,-5.02560,0.76030,0.82050,3.07400,2.2587,2.3406
2022-06-30,174.85800,112.64100,62.21700,-39.08000,47.75200,14.46500,-47.53500,-33.07000,-6.99000,-26.08000,-26.08000,,-26.08000,25.19900,14.46500,40.37600,40.37600,-0.65000,-0.65000,0.70430,,18.94300,35.58140,8.27240,8.27240,-18.91250,-14.91500,0.06530,3.76440,23.90800,-22.56450,7.43990,-0.97380,-22.56450,2.85680,2.9564,2.6806
2022-03-31,192.66500,107.26600,85.39900,-36.65100,46.46500,38.93400,-36.49200,2.44200,1.10600,1.33600,1.33600,,1.33600,50.98900,38.93400,40.36800,41.30800,0.03000,0.03000,6.32020,0.93190,13.67970,44.32510,20.20810,20.20810,1.26750,0.69340,0.07580,6.72150,13.38990,0.87440,-0.34100,0.05250,0.05960,3.78660,2.02700,1.75170
2021-12-31,130.67900,77.42800,53.25100,-16.62300,23.89300,29.35800,-66.25500,-36.89700,-8.01800,-28.87900,-28.87900,,-28.87900,38.70500,29.35800,41.15500,43.14300,-0.67000,-0.58000,5.07090,0.92390,12.13620,40.74950,22.46570,22.46570,-28.23480,-22.09920,0.05310,4.11280,21.88310,-18.01220,7.61190,-1.17370,-1.37120,3.92870,2.1363,1.9502
2021-09-30,138.56200,85.53900,53.02300,-29.73400,37.01900,16.00400,-71.41800,-55.41400,-13.37500,-42.03900,-42.03900,,-42.03900,25.12900,16.00400,41.22000,41.22000,-1.02000,-1.02000,4.70200,0.85150,5.73210,38.26660,11.55010,11.55010,-39.99220,-30.33950,0.08700,5.82050,15.46270,-21.28740,56.04160,-2.64040,-3.16210,4.84780,1.6244,1.4266
2021-06-30,142.52800,79.14600,63.38200,-13.69900,21.13400,42.24800,96.44100,138.68900,34.17200,104.51700,104.51700,,104.51700,51.34300,42.24800,41.65500,43.67200,2.51000,2.39000,5.05130,0.79260,3.82120,44.46990,29.64190,29.64190,97.30650,73.33090,0.09230,65.53010,1.37340,39.18870,-1409.16200,6.76720,8.12840,6.39880,1.1955,1.0953
