Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1.62200,0.57800,1.04400,1.86600,,1.86600,-0.82200,-0.20900,-1.03100,0.13800,-1.16900,-1.16900,-1.16900,-0.24400,-0.82200,91.64200,91.64200,-0.01000,-0.01000,0.89030,,0.05200,64.36500,-50.67820,-50.67820,-63.56350,-72.07150,0.00600,1.25150,71.91120,-0.46350,-0.46350,-0.43500,-0.46350,2.74920,0.0053,0.0042
2024-06-30,0.87500,0.52100,0.35400,1.62700,,1.62700,-1.27300,-0.20400,-1.47700,0.01400,-1.49100,-1.49100,-1.49100,-0.75200,-1.27300,91.48700,91.48700,-0.02000,-0.02000,0.81480,,0.04970,40.45720,-145.48570,-145.48570,-168.80000,-170.40000,0.00330,0.67410,133.50860,-0.59180,-0.59180,-0.55670,-0.59180,2.75370,-0.0039,-0.0193
2024-03-31,1.25500,0.76300,0.49200,1.77900,,1.77900,-1.28700,-0.43500,-1.72200,0.01000,-1.73200,-1.73200,-1.73200,-0.52400,-1.28700,91.02900,91.02900,-0.02000,-0.02000,0.85770,,0.05590,39.20320,-102.54980,-102.54980,-137.21120,-138.00800,0.00460,0.90480,99.46610,-0.68510,-0.68510,-0.64000,-0.68510,2.76450,-0.02530,-0.03270
2023-12-31,1.29600,0.68900,0.60700,2.12300,,2.12300,-1.51600,-0.26000,-1.77600,0.09100,-1.86700,-1.86700,-1.86700,-0.82700,-1.51600,55.22370,55.22370,-0.03000,-0.03000,0.85770,,0.05370,46.83640,-116.97520,-116.97530,-137.03700,-144.05860,0.00470,0.46100,195.20830,-0.73830,-0.73830,-0.67640,-0.73830,2.78270,-0.0149,-0.0343
2023-09-30,1.35900,0.78700,0.57200,1.49300,-1.05300,2.54600,-1.97400,-0.12600,-2.10000,0.02700,-2.12700,-2.12700,-2.12700,-1.18700,-1.97400,52.83900,52.83900,-0.04000,-0.04000,4.45770,0.02100,0.02670,42.08980,-145.25390,-145.25390,-154.52540,-156.51210,0.00990,0.63060,142.71520,-1.63240,-1.63240,-1.54330,-1.59810,2.46590,0.0059,-0.0792
2023-06-30,0.95900,0.51400,0.44500,1.79500,-1.30200,3.09700,-2.65200,3.20900,0.55700,1.04400,-0.48700,-0.48700,-0.48700,-2.13800,-2.65200,52.22400,52.22400,-0.01000,-0.01000,2.27640,0.02270,0.06190,46.40250,-276.53810,-276.53810,58.08130,-50.78210,0.00660,0.60540,148.65480,-0.36590,-0.36590,-0.33520,-0.35760,2.51890,0.0152,0.0165
2023-03-31,0.98100,0.39900,0.58200,1.77400,,1.77400,-1.19200,0.03500,-1.15700,0.19900,-1.35600,-1.35600,-1.35600,-0.79300,-1.19200,50.51400,50.51400,-0.03000,-0.03000,1.53060,0.03770,0.08220,59.32720,-121.50870,-121.50870,-117.94090,-138.22630,0.00690,0.58150,154.77060,-1.06200,-1.06200,-0.95960,-1.02200,2.46650,0.00320,-0.05260
2022-12-31,0.62800,0.40300,0.22500,1.93000,-2.04000,3.97000,-3.74500,-1.08300,-4.82800,-0.04100,-4.78700,-4.78700,-4.78700,-3.34200,-3.74500,44.79860,44.79860,-0.10000,-0.10000,1.46360,0.04310,0.08930,35.82800,-596.33760,-596.33760,-768.78960,-762.26100,0.00480,0.41700,215.82800,-4.03760,-4.03760,-3.65730,-3.86370,2.39670,-0.004,-0.0118
2022-09-30,0.65600,0.53700,0.11900,1.33200,-1.62000,2.95200,-2.83300,0.32000,-2.51300,0.02500,-2.53800,-2.53800,-2.53800,-2.29600,-2.83300,44.82800,44.82800,-0.06000,-0.06000,1.37070,0.04880,0.10370,18.14020,-431.85970,-431.85970,-383.07930,-386.89030,0.00590,0.52580,171.17970,-2.55790,-2.55790,-2.29760,-2.43310,2.20910,0.0071,0.0046
2022-06-30,0.46000,0.33600,0.12400,1.43300,,1.43300,-1.30900,-0.09400,-1.40300,-0.03200,-1.37100,-1.37100,-1.37100,-0.97300,-1.30900,44.58400,44.58400,-0.03000,-0.03000,0.67710,,0.10680,26.95650,-284.56520,-284.56520,-305.00000,-298.04350,0.00410,0.39590,227.30810,-1.35410,-1.35410,-1.21230,-1.35410,2.26600,0.0027,0.0029
