Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1326.20000,503.10000,823.10000,571.00000,571.00000,252.10000,,252.10000,52.30000,199.80000,199.80000,,196.60000,108.70000,109.50000,1.81000,1.80000,0.36830,0.58300,31.93160,24.90180,0.00990,3.13070,3.32110,0.24950,1.89030,60.66030,-9.7182,-9.9188
2024-06-30,1262.70000,490.90000,771.79990,523.90000,523.90000,247.89990,,247.90000,54.30000,193.60000,193.60000,,190.40000,108.60000,109.10000,1.75000,1.75000,0.50590,1.02370,33.74170,25.91530,0.00910,3.20580,3.41450,0.24030,1.51040,57.47840,-6.8334,-6.9817
2024-03-31,1184.90000,456.10000,728.80000,497.00000,497.00000,231.80000,,231.80000,54.40000,177.40000,177.40000,,174.20000,108.50000,109.00000,1.61000,1.60000,0.53560,1.15310,32.48320,24.41140,0.00930,3.01850,3.22190,0.23040,1.33490,56.01740,-2.81190,-2.98440
2023-12-31,1129.50000,447.30000,682.20010,471.20000,471.20000,211.00010,,210.99990,63.10000,147.90000,147.90000,,144.70000,108.30000,108.50000,1.33000,1.33000,0.57210,1.33680,31.35680,21.50390,0.00950,2.55750,2.73430,0.20870,1.04130,55.52410,3.1447,2.8931
2023-09-30,1155.80000,439.60000,716.20000,438.30000,438.30000,277.89990,,277.90000,61.30000,216.60000,216.60000,,213.40000,108.30000,108.50000,1.97000,1.97000,0.62640,1.67680,39.46880,30.30820,0.00990,3.97360,4.26880,0.30550,1.40820,52.48780,-5.249,-5.4894
2023-06-30,1119.80000,450.50000,669.30000,409.20000,409.20000,260.10000,,260.10000,44.40000,215.70000,215.70000,,212.50000,108.30000,108.30000,1.96000,1.96000,0.64780,1.83910,40.16990,32.81850,0.00950,4.00190,4.30450,0.31650,1.33640,51.91310,-4.2235,-4.5217
2023-03-31,910.90000,359.00000,551.90000,367.30000,367.30000,184.60000,,184.60000,42.40000,142.20000,142.20000,,139.00000,108.10000,108.30000,1.29000,1.28000,0.75210,3.03350,34.66670,26.10330,0.00750,2.72100,2.93560,0.20010,0.63860,50.41320,3.29920,3.03600
2022-12-31,949.80020,248.60000,701.20020,336.10000,336.10000,365.10020,,364.70000,71.70000,293.00000,293.00000,,289.80000,107.20000,107.60000,2.68000,2.67000,0.57320,1.34280,52.24180,41.51270,0.01030,5.78940,6.26600,0.43260,2.33500,49.17600,7.4204,6.8903
2022-09-30,801.20000,137.30000,663.90000,334.30000,334.30000,329.60000,,329.60000,65.60000,264.00000,264.00000,,260.80000,107.50000,107.90000,2.43000,2.42000,0.58940,1.43560,51.87280,41.04500,0.00920,5.58610,6.08440,0.38170,2.15880,46.09890,4.533,4.1929
2022-06-30,674.60000,54.60000,620.00000,296.40000,296.40000,323.60000,,323.60000,63.40000,260.20000,260.20000,,257.00000,107.30000,107.70000,2.40000,2.39000,0.55160,1.23030,54.61600,43.37550,0.00900,5.57890,6.10230,0.39390,2.35260,45.79710,3.0704,2.8759
2022-03-31,590.80000,35.00000,555.80000,257.60000,257.60000,298.20000,,298.20000,58.10000,240.10000,240.10000,,236.90000,106.00000,106.60000,2.23000,2.22000,0.25620,0.34450,54.53550,43.32480,0.00900,5.09000,5.56640,0.39640,3.56330,46.27990,5.84330,5.59760
2021-12-31,593.69980,32.70000,560.99980,251.10000,251.10000,309.89980,3.20000,310.00000,64.00000,246.00000,246.00000,,242.50010,102.70000,103.30000,2.34000,2.32000,0.32580,0.48320,56.59000,44.26800,0.00980,5.26990,5.68390,0.43940,3.34190,46.54370,5.7707,5.405
2021-09-30,580.90000,32.40000,548.50000,245.00000,245.00000,303.50000,-1.10000,302.40000,65.50000,236.90000,236.90000,,236.90000,103.30000,103.90000,2.29000,2.28000,0.31420,0.45820,56.39690,44.18130,0.01020,5.61440,6.06560,0.44890,3.59900,43.31510,-20.5973,-20.7719
2021-06-30,534.50000,28.00000,506.50000,216.10000,216.10000,290.40000,-14.20000,276.20000,52.40000,223.80000,223.80000,,223.80000,102.70000,103.40000,2.18000,2.17000,0.30320,0.43510,53.01340,42.95590,0.01060,5.54720,6.53660,0.45610,3.86540,38.70320,-11.8528,-11.8817
2021-03-31,353.80000,16.80000,337.00000,102.50000,102.50000,234.50000,-0.10000,234.40000,41.90000,192.50000,192.50000,,192.50000,100.80000,101.40000,1.91000,1.90000,0.12880,0.15210,63.45430,52.11150,0.00850,5.18490,5.63740,0.44360,4.51730,35.88950,0.98720,0.88460
2020-12-31,355.40010,16.80000,338.60000,104.70000,104.70000,233.90010,0.20000,240.60000,47.00000,193.60000,193.60000,,193.60000,100.20000,100.50000,1.94000,1.92000,0.14300,0.16690,64.53860,51.93130,0.01020,5.67160,6.21510,0.53100,4.86040,33.84930,2.1722,2.1652
2020-09-30,325.40000,20.10000,305.30000,138.20000,138.60000,166.70000,-0.10000,166.60000,30.80000,135.80000,135.80000,,135.80000,99.90000,100.10000,1.36000,1.36000,0.16320,0.20110,57.30990,46.71480,0.00870,4.21210,4.64260,0.40740,3.52470,31.97670,1.6625,1.5358
2020-06-30,339.50000,19.80000,319.70000,206.40000,206.80000,112.90000,,112.90000,19.60000,93.30000,93.30000,,93.30000,99.80000,100.00000,0.93000,0.93000,0.16830,0.21050,49.58280,40.97500,0.00710,3.00730,3.32550,0.29240,2.50120,30.76300,1.6147,1.5948
2020-03-31,312.30000,38.20000,274.10000,172.70000,173.10000,101.00000,1.40000,102.40000,18.50000,83.90000,83.90000,,83.90000,101.30000,101.70000,0.83000,0.83000,0.18870,0.24030,45.93990,37.64020,0.00760,2.79700,3.10460,0.28770,2.26910,29.65440,1.21930,1.10620
2019-12-31,331.40700,43.41500,287.99200,139.35400,139.35400,148.63800,-0.94400,154.27400,26.18100,128.09300,128.09300,,128.09300,102.70000,103.10000,1.26000,1.25000,0.11540,0.13600,54.32280,45.10400,0.01060,4.24610,4.71090,0.47760,3.75610,29.42430,1.745,1.5602
2019-09-30,335.04900,49.18600,285.86300,126.18900,126.57600,159.28700,-3.37900,155.90800,28.53300,127.37500,127.37500,,127.37500,102.04100,102.45100,1.25000,1.24000,0.11740,0.13820,55.27480,45.15880,0.01070,4.35760,4.85230,0.48390,3.84600,28.47910,2.0261,1.9716
2019-06-30,317.06600,48.16700,268.89900,121.44600,121.83300,147.06600,0.62000,147.68600,24.75000,122.93600,122.93600,,122.93600,103.01900,103.50100,1.19000,1.19000,0.11960,0.14070,56.38270,46.93380,0.01030,4.31160,4.81560,0.48560,3.79610,27.50750,1.7428,1.6843
2019-03-31,306.57800,43.83200,262.74600,115.93000,116.31700,146.42900,-0.09700,146.33200,25.53600,120.79600,120.79600,,120.79600,104.03300,104.47500,1.16000,1.16000,0.12090,0.14300,56.67170,46.78210,0.01090,4.44000,4.98780,0.50770,3.90340,26.03890,1.44830,1.41820
2018-12-31,295.57990,38.45100,257.12890,115.28300,115.68800,141.44090,,139.96700,20.86900,119.09800,119.09800,,119.09800,104.70000,105.40000,1.13000,1.14000,0.24570,0.33430,56.18250,47.80580,0.01080,4.55660,5.14560,0.51540,3.43700,24.90480,1.3747,1.4356
2018-09-30,269.63400,31.17800,238.45600,119.51000,119.90800,118.54800,0.06700,118.61500,7.49200,111.12300,111.12300,,111.12300,104.76800,105.44800,1.06000,1.05000,0.12610,0.15270,51.02690,47.80390,0.01050,4.46570,5.07680,0.50110,3.90250,23.50620,1.4117,1.3503
2018-06-30,265.04600,27.49400,237.55200,107.32800,107.72700,129.82500,0.17900,130.00400,25.32500,104.67900,104.67900,,104.67900,104.69100,105.42000,1.00000,0.99000,0.15420,0.18990,55.90320,45.01320,0.01090,4.37680,5.00440,0.48990,3.70190,22.58950,1.5079,1.4959
2018-03-31,246.34000,20.47700,225.86300,104.97900,105.37700,120.48600,1.22800,121.71400,20.81400,100.90000,100.90000,,100.90000,104.53000,105.32400,0.97000,0.96000,0.22450,0.29890,55.35900,45.89220,0.01060,4.39890,5.06170,0.48600,3.41140,21.66770,0.83850,0.83300
2017-12-31,242.14700,17.43000,224.71700,100.02400,100.43200,124.28500,0.03400,124.31900,34.97300,89.34600,89.34600,,89.34600,104.17900,104.99700,0.85000,0.85000,0.25590,0.35560,56.58140,40.66410,0.01080,4.00710,4.63180,0.43950,2.98160,21.13720,1.0722,1.2626
2017-09-30,228.29200,16.25300,212.03900,93.54100,94.03000,118.00900,-0.26600,117.74300,34.89900,82.84400,82.84400,,82.84400,104.22100,104.94200,0.79000,0.79000,0.14800,0.18590,56.87000,40.01370,0.01040,3.86110,4.49150,0.41580,3.28940,20.33910,0.9131,0.8887
2017-06-30,217.55400,14.21000,203.34400,90.70100,91.18900,112.15500,-0.23100,111.92400,31.96400,79.96000,79.96000,,79.96000,104.16200,105.04500,0.77000,0.76000,0.15420,0.19820,55.86590,39.91140,0.01060,3.88410,4.55090,0.42430,3.28500,19.52660,0.831,0.807
2017-03-31,202.86400,12.95600,189.90800,91.93100,92.62000,97.28800,0.54300,97.83100,24.48900,73.34200,73.34200,,73.34200,103.98700,104.83600,0.71000,0.70000,0.15710,0.20450,52.69420,39.50380,0.01020,3.72490,4.40000,0.40470,3.13980,18.67620,0.83910,0.81460
2016-12-31,197.95100,12.14200,185.80900,82.96100,83.65800,102.15100,-5.98700,96.16400,26.36400,69.80000,69.80000,,69.80000,103.04200,103.84300,0.67000,0.66000,0.19150,0.25890,52.03430,37.76870,0.01070,3.69010,4.39370,0.40580,2.98360,18.00240,0.6514,0.6388
