Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-06-30,0.36690,0.51310,-0.14620,,-1.33540,1.33540,-1.48160,0.28930,-1.19240,-1.19240,-1.19240,-0.24780,-1.44020,-1.44770,-1.48160,1.56140,1.56140,-0.92000,-0.92000,0.70590,,-1.14650,-39.85220,-403.82460,-403.82460,-325.01310,-392.54410,0.13350,0.54750,0.98670,91.21600,615.90070,424.18300,-43.38500,615.88530,-0.08110,-0.4214,-0.3837
2024-03-31,0.60580,0.75200,-0.14620,,-1.46450,1.46450,-1.61080,-0.04320,-1.65390,-1.65390,-1.65390,,-1.65390,-1.54250,-1.61080,1.29540,1.29540,-1.28000,-1.28000,0.56270,,-0.50710,-24.13970,-265.90550,-265.90550,-273.03360,-273.03360,0.18830,0.62230,1.52360,59.07030,287.69150,246.89330,-51.41420,287.69170,-0.44280,-0.3139,-0.2875
2023-12-31,1.35400,1.17870,0.17530,,-2.31820,2.31820,-2.14300,-0.00570,-2.14860,-2.14860,-2.14860,,-2.14860,-2.10300,-2.14300,1.16820,1.16820,-1.84000,-1.84000,0.99030,,0.02130,12.94540,-158.27010,-158.27010,-158.68780,-158.68780,0.29610,0.94020,1.19870,75.07830,-217.81450,-243.07230,-46.98650,-217.81490,0.76830,-1.99980,-2.26260
2023-09-30,1.16330,1.27220,-0.10890,,-2.73800,2.73800,-2.84690,0.13810,-2.71210,-2.71210,-2.71210,,-2.57310,-2.80230,-2.84690,0.73240,0.73240,-3.29000,-3.29000,1.32070,,0.01840,-9.36070,-244.73010,-244.73000,-233.13950,-221.18660,0.26190,1.64620,2.32850,38.65090,-161.97850,-173.36820,-61.06960,-161.97850,2.23650,-3.4751,-3.456
2023-06-30,0.26800,0.26250,0.00550,,-1.88230,1.88220,-1.87670,-0.01290,-1.88630,-1.88630,-1.88630,-0.13900,-2.02530,-1.81340,-1.87670,0.77010,0.77010,-2.63000,-2.63000,2.69260,0.00090,0.00940,2.07030,-700.20850,-700.20850,-703.77910,-755.65780,0.04280,0.20520,1.23790,72.70400,-45.31420,-46.63040,-30.15190,-45.27280,5.35740,-0.788,-0.8058
2023-03-31,0.78120,0.74450,0.03660,,-1.98290,1.98300,-1.94630,-0.02160,-1.96790,-1.96790,-1.96790,,-1.96790,-1.90750,-1.94630,0.70290,0.70290,-2.80000,-2.80000,3.74180,0.00120,0.00760,4.68910,-249.15300,-249.15300,-251.91480,-251.91480,0.09820,0.60540,1.85300,48.56990,-33.10760,-33.81890,-24.74570,-33.06940,7.72930,-2.3648,-2.3639
2022-12-31,1.13630,1.06080,0.07550,,-2.27720,2.27720,-2.20170,0.01850,-2.18320,-2.18320,-2.18320,,-2.18320,-2.12790,-2.20170,0.67640,0.67640,-3.23000,-3.23000,4.70610,0.00270,0.00730,6.64690,-193.74950,-193.74950,-192.12480,-192.12480,0.11310,0.97330,1.73780,51.78980,-27.51320,-27.98040,-21.72570,-27.43980,11.58410,-2.82880,-2.85320
2022-09-30,0.60080,0.64390,-0.04310,,-2.73780,2.73790,-2.78090,-0.35500,-3.13590,-3.13590,-3.13590,,-3.13590,-2.02150,-2.78090,0.55330,0.55330,-4.93000,-4.93000,6.34780,0.00350,0.00690,-7.17560,-462.85980,-462.85980,-521.94260,-521.94260,0.05130,0.67930,1.74020,51.71830,-32.18710,-32.65630,-26.77670,-32.07390,14.41240,-3.2078,-3.166
2022-06-30,0.77400,0.85770,-0.08370,,-2.54660,2.54660,-2.63030,-0.00360,-2.63390,-2.63390,-2.63390,,-2.63390,-2.50120,-2.63030,0.55240,0.55240,-4.77000,-4.77000,6.50590,0.00360,0.00740,-10.80760,-339.81860,-339.81860,-340.28780,-340.28780,0.06250,1.25650,1.34850,66.74140,-25.87950,-28.19240,-21.25720,-25.78710,18.27910,-2.3336,-2.4051
2022-03-31,0.71510,0.71410,0.00100,,-3.19650,3.19650,-3.19550,-0.02820,-3.22370,-3.22370,-3.22370,,-3.22370,-3.06600,-3.19550,0.52290,0.52290,-6.17000,-6.17000,5.12270,0.00430,0.00910,0.13720,-446.87720,-446.87720,-450.82070,-450.82070,0.05430,1.13120,1.10540,81.41790,-30.79030,-33.52770,-24.49870,-30.65680,19.72620,-4.8759,-5.187
2021-12-31,1.01930,1.00390,0.01540,,-2.81120,2.81120,-2.79580,-0.00840,-2.80420,-2.80420,-2.80420,,-2.80420,-2.75910,-2.79580,0.51480,0.51480,-5.45000,-5.45000,8.55360,0.00440,0.00940,1.50810,-274.30070,-274.30070,-275.12340,-275.12340,0.07150,2.61290,1.28160,70.22500,-22.82410,-22.82410,-19.67040,-22.72320,23.59710,-3.06870,-3.07450
2021-09-30,0.48460,0.65390,-0.16930,,,2.77400,-2.94330,-0.56000,-3.50330,-3.50330,-3.50330,,-3.50330,-2.85360,-2.94330,0.46940,0.46940,-5.59440,-5.59440,10.77200,0.00520,0.01100,-34.94450,-607.39580,-607.39560,-722.96220,-722.96220,0.03530,1.14030,0.87270,103.12380,-28.68640,-28.68640,-25.49200,-28.53850,23.96230,-4.9286,-4.8969
