Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.19400,0.19400,0.08100,1.24100,,-1.12800,0.40500,-0.72300,-0.72300,-0.72300,,-0.72300,-1.12800,-1.12800,2.52600,2.52600,-0.29000,-0.29000,5.06860,,100.00000,-581.44330,-581.44330,-372.68040,-372.68040,0.02180,4.40910,20.41240,-8.81920,-8.81920,-8.12540,-8.81920,3.23900,-0.6718,-0.6718
2024-06-30,,,0.10500,1.27900,,-1.38400,0.06200,-1.32200,-1.32200,-1.32200,,-1.32200,-1.38400,-1.38400,2.51000,2.51000,-0.53000,-0.53000,3.67780,,,,,,,,,,-15.05180,-15.05180,-13.13460,-15.05180,3.49090,-0.4359,-0.4359
2024-03-31,,,0.04400,1.57400,,-1.61800,0.07600,-1.54200,-1.54200,-1.54200,,-1.54200,-1.61800,-1.61800,2.49400,2.49400,-0.62000,-0.62000,4.17350,,,,,,,,,,-15.53970,-15.53970,-13.56920,-15.53970,3.96920,-0.75020,-0.75020
2023-12-31,,,0.02400,1.77200,,-1.79600,0.10100,-1.69500,-1.69500,-1.69500,0.00100,-1.69400,-1.79600,-1.79600,2.33800,2.33800,-0.32000,0.06000,3.84660,,,,,,,,,,-15.01590,-15.01600,-12.67390,-15.01600,4.56270,-2.0143,-2.0143
2023-09-30,,,0.58000,2.13100,-3.30400,-6.01500,0.10700,-5.90800,-5.90800,-5.90800,13.47400,7.56600,-6.01500,-6.01500,2.43500,2.78600,3.10000,2.72000,4.21360,,,,,,,,,,-45.89440,-45.89450,-38.83270,-45.89450,5.26500,-1.477,-1.477
2023-06-30,,,0.33900,1.52600,,-1.86500,0.06200,-1.80300,-1.80300,-1.80300,-2.37800,-4.18100,-1.86500,-1.86500,2.28200,2.28200,-1.83000,-1.83000,1.43780,,,,,,,,,,-35.00980,-35.00970,-17.85680,-35.00970,2.13870,-2.7398,-2.7398
2023-03-31,,,0.57200,2.70300,,-3.27500,0.08800,-3.18700,-3.18700,-3.18700,-3.76700,-6.95400,-3.27500,-3.27500,2.17600,2.17600,-3.20000,-3.20000,1.10680,,,,,,,,,,-81.19750,-81.19750,-27.81950,-81.19750,1.80360,-2.85570,-2.85570
2022-12-31,-0.72000,-0.72000,-15.39600,2.28100,,12.39500,0.13200,12.52700,12.52700,12.52700,-19.74300,-7.21600,12.39500,12.39500,2.17300,2.17300,-3.29000,-3.29000,1.94310,,100.00000,-1721.52800,-1721.52800,-1739.86100,1002.22200,-0.03980,-7.50000,-12.00000,119.85250,119.85260,69.29030,119.85270,4.80330,-3.2482,-3.2482
2022-09-30,,,1.41400,3.10400,,-4.51800,0.11100,-4.40700,-4.40700,-4.40700,-6.08900,-10.49600,-4.51800,-4.51800,2.17400,2.17400,-4.83000,-4.83000,2.53910,,,,,,,,,,-26.67030,-26.67030,-17.59070,-26.67030,7.59830,-4.5557,-4.5557
2022-06-30,0.30600,0.30600,10.21800,3.52100,,-13.43300,0.04500,-13.38800,-13.38800,-13.38800,,-13.38800,-13.41600,-13.43300,2.17300,2.17300,-6.16000,-6.16000,3.21550,,100.00000,-4389.87000,-4389.87000,-4375.16300,-4375.16300,0.00870,1.34800,66.76470,-52.78970,-52.78970,-38.02010,-52.78970,11.66560,-4.9737,-4.9737
2022-03-31,0.71100,0.71100,9.74300,3.95200,,-12.98400,0.00600,-12.97800,-12.97800,-12.97800,,-12.97800,-12.93600,-12.98400,2.17130,2.17130,-6.00000,-6.00000,4.51330,,100.00000,-1826.16000,-1826.16000,-1825.31600,-1825.31600,0.01530,3.13220,28.73420,-35.04350,-35.04350,-27.89470,-35.04350,17.04750,-5.91130,-5.91130
2021-12-31,0.53200,0.53200,10.45800,4.41300,,-14.33900,3.56300,-10.77600,-10.77600,-10.77600,,-10.77600,-14.29100,-14.33900,1.95720,1.95720,-4.40000,-4.40000,5.00290,,100.00000,-2695.30200,-2695.30200,-2025.56400,-2025.56400,0.00900,5.32000,16.91730,-22.33550,-22.33550,-18.16250,-22.33550,22.22810,-5.7743,-5.7029
2021-09-30,0.34800,0.34800,7.03200,4.60100,,-11.28500,-0.00500,-11.29000,-11.29000,-11.29000,,-11.29000,-11.23700,-11.28500,2.16460,2.16460,-5.20000,-5.20000,5.60830,0.06220,100.00000,-3242.81600,-3242.81600,-3244.25300,-3244.25300,0.00510,2.20250,40.86210,-20.02230,-20.02240,-16.66620,-20.02230,26.03880,-1.7014,-1.8483
