Date,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,2.83600,0.87400,-3.71000,0.22700,-3.48300,,-3.48300,-3.48300,-3.48300,-3.71000,-3.71000,17.53200,17.53200,-0.20000,-0.20000,4.57390,,-21.34450,-21.34450,-16.66750,-21.34450,,0.5027,0.5027
2024-06-30,2.92800,0.84000,-3.76800,0.13700,-3.63100,,-3.63100,-3.63100,-3.63100,-3.76800,-3.76800,14.30400,14.30400,-0.26000,-0.26000,3.12330,,-36.36460,-36.36460,-24.96560,-36.36460,0.69540,-0.5027,-0.5027
2024-03-31,3.11200,0.93600,-4.04800,0.18000,-3.86800,,-3.86800,-3.86800,-3.86800,-4.04800,-4.04800,14.20760,14.20760,-0.28000,-0.28000,3.82830,,-29.01510,-29.01510,-21.47820,-29.01510,0.93760,0.00000,
2023-12-31,3.09700,0.75100,-3.84800,0.43100,-3.41700,,-3.41700,-3.41700,-3.41700,-3.83200,-3.84800,11.75000,11.75000,-0.20000,-0.20000,4.31930,,-20.10350,-20.10360,-15.42590,-20.10360,,-0.3266,-0.3267
2023-09-30,3.37700,0.99000,-4.36700,0.23100,-4.13600,-0.05500,-4.08100,-4.08100,-4.08100,-4.34800,-4.36700,11.82200,11.82200,-0.34000,-0.34000,4.16500,,-22.61820,-22.61820,-17.42680,-22.61820,1.45450,-0.3591,-0.359
2023-06-30,5.02000,3.17500,-8.19500,0.25900,-7.93600,0.03400,-7.97000,-7.97000,-7.97000,-8.17900,-8.19500,11.08370,11.08370,-0.72000,-0.72000,4.05930,,-36.24210,-36.24210,-27.62660,-36.24210,1.77310,-0.6733,-0.6735
2023-03-31,6.88700,2.16200,-9.04900,0.31700,-8.73200,0.02100,-8.75300,-8.75300,-8.75300,-9.03300,-9.04900,11.04900,11.04900,-0.80000,-0.80000,4.82750,,-31.31220,-31.31220,-24.99930,-31.31220,2.40320,-0.65040,-0.65050
2022-12-31,5.89500,2.74700,-8.64200,0.38000,-8.26200,0.01000,-8.27200,-8.27200,-8.27200,-8.62800,-8.64200,11.37900,11.37900,-0.73200,-0.73200,6.18400,,-22.83630,-22.83630,-19.20910,-22.83630,3.11410,-0.5079,-0.508
2022-09-30,5.42300,2.89400,-8.31700,0.23700,-8.08000,,-8.08000,-8.08000,-8.08000,-8.30000,-8.31700,11.43870,11.43870,-0.70000,-0.70000,8.89630,,-18.10690,-18.10690,-16.08950,-18.10690,3.89700,-0.4572,-0.4609
2022-06-30,2.91400,3.34000,-6.25400,-0.48000,-6.73400,-0.54400,-6.19000,-6.19000,-6.19000,-6.24000,-6.25400,11.40870,11.40870,-0.54000,-0.54000,12.47840,,-11.94150,-11.94150,-10.97950,-11.94150,4.53430,-0.4996,-0.5006
