Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,4774.91100,4184.67000,590.24070,271.27730,375.38270,646.66000,-56.41940,-88.62910,-145.04840,91.62720,-236.67560,,-236.67560,-248.61130,813.38870,-56.41940,1000.00000,1000.00000,-0.24850,-0.24850,0.65020,0.50840,1.79240,12.36130,-1.18160,-1.18160,-3.03770,-5.20660,0.20580,1.79080,2.14730,41.91400,-4.05240,-5.05270,-1.01990,-1.99230,5.84040,0.5047,0.1425
2024-06-30,4695.73900,4266.21700,429.52200,240.71460,254.37860,495.09300,-65.57080,-237.26920,-302.84030,26.71830,-329.55860,,-329.55860,-354.56890,772.86710,-65.57080,1000.00000,1000.00000,-0.35460,-0.35460,0.68320,0.52760,1.76860,9.14710,-1.39640,-1.39640,-6.44930,-7.55090,0.19130,1.97760,1.75290,51.34250,-5.12880,-6.34490,-1.34230,-2.42280,6.42570,0.6618,0.8045
2024-03-31,4202.38000,4028.07000,174.31030,271.79760,278.05840,549.85600,-375.54590,-415.93280,-791.47840,-182.45760,-609.02080,,-609.02080,-626.52560,647.79570,-375.54590,768.75520,768.75520,-1.62960,-1.62960,0.73490,0.54030,1.79470,4.14790,-8.93650,-8.93650,-18.83410,-14.90880,0.14550,1.49440,1.73450,51.88820,-7.97950,-9.73450,-2.10810,-3.66820,7.63230,-0.43000,-1.33010
2023-12-31,5916.72400,5225.60300,691.12110,272.52720,313.19920,585.72500,105.39550,-90.20400,15.19130,-25.24000,40.43100,,40.43100,46.54870,1017.42400,105.39580,715.63140,715.63140,0.06480,0.06480,0.68440,0.56600,1.90430,11.68080,1.78130,1.78130,0.25680,0.78670,0.20680,2.58410,2.21100,40.70590,0.57620,0.72230,0.14130,0.25010,9.80450,0.5668,-0.1042
2023-09-30,3828.22900,3798.36500,29.86400,276.90640,282.62160,559.52900,-529.66410,-275.50480,-805.16880,-184.85040,-620.31840,,-620.31840,-576.02080,305.78960,-529.66410,715.63200,715.63200,-0.80480,-0.80480,0.72160,0.57690,1.97710,0.78010,-13.83570,-13.83570,-21.03240,-15.04670,0.12750,1.41790,1.96580,45.78380,-8.72200,-10.83740,-2.06570,-3.68990,9.93830,1.1049,0.4476
2023-06-30,3790.85700,3928.95400,-138.09770,271.96480,295.11360,567.07900,-705.17600,3.47200,-701.70400,-142.68800,-559.01600,,-559.01600,-686.50000,103.77910,-705.17600,715.63140,715.63140,-0.95920,-0.95920,0.80700,0.56910,1.84600,-3.64290,-18.60200,-18.60200,-18.51040,-18.10940,0.12680,1.83150,1.31740,68.31770,-7.34710,-8.98720,-1.86980,-3.16620,10.63220,0.8505,-0.1347
2023-03-31,3528.84500,3835.59200,-306.74730,282.32400,289.61520,571.93900,-878.68650,-301.18480,-1179.87100,-257.39120,-922.48000,,-922.48000,-971.02160,-64.12970,-878.68650,715.63140,715.63140,-1.35680,-1.35680,0.77230,0.53320,1.64310,-8.69260,-24.90010,-24.90010,-33.43510,-27.51670,0.12040,1.70590,1.70370,52.82540,-10.95190,-13.10720,-3.14670,-5.11230,11.77000,-0.64110,-1.67800
2022-12-31,3903.25800,4026.65100,-123.39260,210.27580,234.35280,444.62800,-568.02100,-686.45080,-1254.47000,178.41510,-1432.88500,,-1432.88500,-1289.78700,191.06960,-568.02050,715.63140,715.63140,-1.80230,-1.75830,0.67640,0.45950,1.33500,-3.16120,-14.55250,-14.55250,-32.13910,-33.04390,0.15630,2.00230,2.20540,40.80830,-18.08410,-21.39790,-5.73610,-9.77470,11.07200,1.1836,-0.1554
2022-09-30,4739.94900,4704.41100,35.53760,244.72280,322.32900,567.05200,-531.51420,-237.65210,-769.16630,-227.34460,-541.82170,,-541.82170,-552.65770,41.58170,-531.51420,715.63200,764.72600,-0.77210,-0.77210,0.78720,0.41610,1.08440,0.74970,-11.21350,-11.21350,-16.22730,-11.65960,0.16870,1.48770,2.16050,41.65720,-5.41900,-6.22570,-1.92860,-3.16440,13.97160,0.6589,-0.6417
2022-06-30,4485.85400,4265.39500,220.45950,254.54400,356.59120,611.13500,-390.67580,-18.99680,-409.67280,-104.04800,-305.62480,,-305.62480,-323.68320,529.36740,-390.67580,715.63200,800.51800,-0.45240,-0.49640,0.80060,0.35420,0.96770,4.91450,-8.70910,-8.70910,-9.13250,-7.21560,0.14640,1.12900,1.89880,47.39870,-2.61120,-2.96250,-0.99730,-1.68640,16.35520,0.3255,-0.6547
2022-03-31,5177.18400,4522.93500,654.24900,258.14160,365.43040,623.57200,30.67730,-0.72640,29.95040,-13.47200,43.42240,,43.42240,16.03280,968.66770,30.67730,715.63140,715.63140,0.02240,0.02240,0.90380,0.35980,0.89280,12.63720,0.59250,0.59250,0.57850,0.30970,0.16910,1.33670,1.66840,53.94320,0.36780,0.41330,0.14180,0.23550,16.49700,0.77730,-0.40360
2021-12-31,8648.18400,7333.34000,1314.84300,332.15180,499.94410,832.09600,482.74800,-208.22620,274.52080,65.78770,208.73310,,208.73310,199.99460,1866.68700,482.74760,715.63140,797.60940,0.27950,0.39710,0.94230,0.37090,0.86520,15.20370,5.58210,5.58210,3.17430,2.31260,0.25180,2.43200,2.04590,43.98980,1.57100,1.76800,0.60790,0.98840,18.56580,2.3243,1.3645
2021-09-30,5778.55700,4732.17600,1046.38100,253.89040,369.37040,623.26100,423.11960,63.37040,486.49040,115.71440,370.77600,,370.77600,335.62240,1140.20500,423.11960,715.63140,715.63140,0.46880,0.26800,0.95460,0.37040,0.92920,18.10800,7.32220,7.32220,8.41890,5.80810,0.19210,1.65210,1.65330,54.43580,3.17190,3.54680,1.23240,1.99700,16.33430,1.1374,0.4234
2021-06-30,6269.01300,4963.96200,1305.05100,265.59990,408.49740,674.09800,630.95360,-135.93240,495.02160,113.57100,381.45060,,381.45060,326.73690,1593.26100,630.95360,715.63000,715.63000,0.45680,0.45680,0.96010,0.40840,1.01410,20.81750,10.06460,10.06460,7.89630,5.21190,0.19180,2.02570,1.62520,55.37900,3.08000,3.38450,1.16680,1.82220,17.30590,1.8202,0.7372
2021-03-31,6194.48500,5086.16700,1108.31800,248.19750,389.39490,637.59200,470.72610,-179.76240,290.96370,51.73380,239.22990,,239.22990,205.20990,1458.02500,470.72610,715.63200,715.63200,0.28670,0.28670,1.01380,0.44760,1.09200,17.89200,7.59910,7.59910,4.69710,3.31280,0.18910,2.40310,1.55370,57.92630,2.00780,2.21880,0.73030,1.10910,16.64990,1.21010,0.49640
2020-12-31,5968.96600,4856.25700,1112.70900,216.59750,347.73990,564.33700,548.37210,-209.93120,338.44080,-158.33520,496.77600,,496.77600,454.71440,1419.46500,548.37300,715.63200,715.63200,0.63520,0.63680,1.00840,0.46620,1.12430,18.64160,9.18710,9.18710,5.67000,7.61800,0.21270,2.79650,2.03750,44.17240,4.87530,5.29980,1.77060,2.60240,14.23850,1.2289,0.893
2020-09-30,5390.11700,4713.84200,676.27440,218.83440,325.95200,544.78700,131.48780,-174.95120,-43.46320,-52.36000,8.89680,,8.89680,24.30160,1531.08000,131.48780,715.63200,715.63200,0.03400,0.03400,0.97490,0.49520,1.19380,12.54660,2.43940,2.43940,-0.80630,0.45090,0.18980,2.45540,1.71470,52.48600,0.09130,0.09770,0.03130,0.04610,13.60970,1.1522,-0.435
2020-06-30,4245.61700,4143.06700,102.54930,230.01360,286.15440,516.16800,-413.61870,-121.53920,-535.15760,-132.09360,-403.06400,,-403.06400,-391.29680,-170.38270,-413.61870,715.63200,715.63200,-0.54680,-0.54680,0.88050,0.48960,1.21920,2.41540,-9.74230,-9.74230,-12.60490,-9.21650,0.15140,2.53940,1.80000,50.00030,-4.16360,-4.47710,-1.43730,-2.12520,13.52740,-0.031,0.3287
2020-03-31,3779.39900,3556.87700,222.52250,213.54320,298.51440,512.05700,-289.53520,53.63680,-235.89840,-76.78080,-159.11760,,-159.11760,-159.19280,504.41850,-289.53520,715.63200,715.63200,-0.22240,-0.22400,0.90590,0.48350,1.16640,5.88780,-7.66090,-7.66090,-6.24170,-4.21210,0.13160,1.92460,1.59950,56.26610,-1.58320,-1.70240,-0.55430,-0.81780,14.04420,0.20650,-0.64180
