Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-06-30,,,3.08600,4.37100,,-7.45700,-8.63100,-16.08800,,-16.08800,-16.08800,-16.08800,-7.13100,-7.45700,24.16900,24.16900,-0.67000,-0.67000,0.02430,-0.17480,-0.32480,,,,,,,,,23.07620,23.07620,-102.81190,27.10930,-2.70530,-0.2312,-0.232
2024-03-31,,,3.23600,4.38500,,-7.62100,2.23900,-5.38200,,-5.38200,-5.38200,-5.38200,-7.29500,-7.62100,21.93600,21.93600,-0.25000,-0.25000,0.04290,-0.22600,-0.30360,,,,,,,,,9.77570,9.77570,-32.98600,11.98450,-2.45900,-0.18390,-0.18230
2023-12-31,,,4.09100,5.34300,,-9.43400,-24.16500,-33.59900,,-33.59200,-33.59200,-33.60600,-9.13400,-9.43400,15.42700,15.42700,-1.68000,-1.68000,0.04890,-0.20360,-0.25420,,,,,,,,,57.23340,57.23340,-203.82260,68.88830,-2.68140,-0.3025,-0.3033
2023-09-30,,,3.92900,2.97400,,-6.90300,-26.27400,-33.17700,,-33.17700,-33.17700,-33.17700,-6.60300,-6.90300,13.39800,13.39800,-2.48000,-2.48000,0.26640,-0.56720,-0.48320,,,,,,,,,81.64030,81.64030,-131.66520,127.94340,-1.85650,-0.3359,-0.336
2023-06-30,,,4.04900,2.56200,,-6.61100,-1.23800,-7.84900,,-7.84900,-7.84900,-7.84900,-6.31200,-6.61100,13.31700,13.31700,-0.59000,-0.59000,0.01200,,-0.04880,,,,,,,,,91.91780,91.91780,-12.34010,91.91780,-1.99050,-0.4152,-0.4164
2023-03-31,,,3.59900,3.19900,,-6.79800,-1.52400,-8.32200,,-8.32200,-8.32200,-8.32200,-6.49400,-6.79800,13.31300,13.31300,-0.63000,-0.63000,0.08370,,,,,,,,,,,157.04040,157.04050,-4.73710,157.04040,-1.23530,-0.36910,-0.37010
2022-12-31,0.07400,0.07400,12.62500,4.18220,,-16.65310,-6.34500,-22.99810,0.00840,-23.00650,-23.00650,-23.02050,-16.34710,-16.65310,6.35600,6.35600,-3.24000,-3.24000,0.02370,,7.45680,75.67570,-22504.24000,-22504.24000,-31078.55000,-31108.82000,0.00450,2.55170,35.27030,-1471.95100,-1471.94700,-140.88510,-1471.94700,0.11750,-0.742,-0.7418
2022-09-30,0.00300,0.00300,4.12100,1.87400,,-5.99200,-0.70100,-6.69300,,-6.69300,-6.69300,-6.69300,-5.99200,-5.99200,6.08900,6.08900,-1.10000,-1.10000,0.41340,,,100.00000,-199733.30000,-199733.30000,-223100.00000,-223100.00000,0.00000,,,171.37530,171.37490,-3.84930,171.37530,-0.91040,-2.7853,-2.8112
2022-06-30,,,,0.91960,-0.04930,-0.96900,1.90970,0.94070,-0.01540,0.95610,0.95610,0.95610,-0.96900,-0.96900,21.45200,21.45200,0.04000,0.04000,0.62930,,,,,,,,,,,-22.70830,-22.70830,0.55070,-22.70830,-0.98150,-0.0085,-0.0085
2022-03-31,,,,0.68310,-0.04880,-0.73190,2.73530,2.00340,,2.00340,2.00340,2.00340,-0.73190,-0.73190,21.45200,21.45200,0.09000,0.09000,0.95900,,,,,,,,,,,-22.53200,-22.53200,1.15270,-22.53200,-2.07260,-0.01310,-0.01310
2021-12-31,,,,1.35460,-0.05150,-1.40610,0.06690,-1.33910,,-1.33910,-1.33910,-1.33910,-1.40610,-1.40610,15.08300,15.08300,0.12000,0.12000,1.33920,,,,,,,,,,,12.29170,12.29170,-0.76880,12.29170,-2.53960,-0.038,-0.038
2021-09-30,,,,0.73720,-0.06680,-0.80400,5.49830,4.69420,,4.69420,4.69420,4.69420,-0.80400,-0.80400,21.45300,21.45300,0.22000,0.22000,3.56430,,,,,,,,,,,-49.12550,-49.12550,2.69040,-49.12550,-2.22690,0.0523,0.0523
2021-06-30,,,,0.22950,-0.03290,-0.26240,-4.04760,-4.31000,,-4.31000,-4.31000,-4.31000,-0.26240,-0.26240,10.71000,10.71000,-0.40000,-0.40000,11.64910,,,,,,,,,,,-86.20060,-86.19990,-2.46660,-86.20060,0.80440,-0.1153,-0.1153
2021-03-31,,,,0.00170,-0.03400,-0.03570,,-0.03570,,-0.03570,-0.03570,-0.03570,-0.03570,-0.03570,2.79800,2.79800,-0.01000,-0.01000,,,-5.90020,,,,,,,,,334.21400,334.21400,-12.76230,334.21400,-0.00250,0.00000,
