Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,119.83900,60.18000,59.65900,0.41200,18.56000,-1.02100,20.02100,39.63800,-2.88900,36.74900,0.84000,35.90900,35.90900,35.90900,41.79400,39.63800,234.57100,244.80400,0.15000,0.15000,7.08810,0.32210,0.48030,49.78260,33.07600,33.07600,30.66530,29.96440,0.30680,0.35030,2.39010,37.65550,15.48540,15.75820,9.19290,10.49720,0.98100,0.1003,0.0962
2024-06-30,107.19100,49.73800,57.45300,0.56000,16.60800,-0.94200,18.25200,39.20100,-3.35000,35.85100,3.78900,32.06200,32.06200,32.06200,41.44000,39.20100,232.41800,242.16700,0.14000,0.13000,6.87440,0.42690,0.75100,53.59870,36.57120,36.57120,33.44590,29.91110,0.28480,0.27660,3.55960,25.28360,17.02990,17.40040,8.51810,9.75940,0.80790,0.1887,0.1804
2024-03-31,81.87500,42.76700,39.10800,0.45000,15.63900,-1.00500,17.28700,21.82100,-3.42000,18.40100,0.59500,17.80600,17.80600,17.80600,24.15200,21.82100,228.87500,236.41400,0.08000,0.08000,5.20680,0.47730,0.92010,47.76550,26.65160,26.65160,22.47450,21.74780,0.23330,0.24060,1.65000,54.54520,11.58450,11.88220,5.07470,6.05560,0.66320,-0.00940,-0.01930
2023-12-31,73.90300,42.81700,31.08600,0.44600,15.53400,-0.68600,16.85300,14.23300,-31.87700,-17.64400,,-17.64400,-17.64400,-17.64400,17.00400,14.23300,223.97700,223.97700,-0.08000,-0.08000,5.16030,0.50940,1.04590,42.06320,19.25900,19.25900,-23.87460,-23.87450,0.22450,0.24760,2.69510,33.39360,-13.04970,-13.45050,-5.36000,-6.40250,0.59810,0.0769,0.0709
2023-09-30,67.27500,42.62200,24.65300,0.59600,14.72600,-0.46700,15.96800,8.68500,-6.12000,2.56500,0.00000,2.56500,2.56500,2.56500,11.46200,8.68500,225.27700,233.76100,0.01000,0.01000,6.54140,0.50090,1.01010,36.64510,12.90970,12.90970,3.81270,3.81270,0.19280,0.26130,2.14810,41.89790,1.69380,1.73980,0.73500,0.84530,0.67020,0.0557,0.0531
2023-06-30,60.12300,43.43300,16.69000,1.40300,14.24800,-1.33300,17.16300,-0.47300,-5.89800,-6.37100,,-6.37100,-6.37100,-6.37100,2.27700,-0.47300,222.68300,222.68300,-0.03000,-0.03000,6.34630,0.50630,1.03240,27.75980,-0.78670,-0.78670,-10.59660,-10.59660,0.17530,0.26850,1.63680,54.98470,-4.34100,-4.46850,-1.85730,-2.14300,0.65370,-0.027,-0.0309
2023-03-31,56.91400,40.40100,16.51300,0.85500,14.51200,-1.78000,17.32600,-0.81300,-5.97600,-6.78900,,-6.78900,-6.78900,-6.78900,1.67200,-0.81300,221.92200,221.92200,-0.03000,-0.03000,7.19040,0.51520,1.06910,29.01400,-1.42850,-1.42850,-11.92850,-11.92850,0.16700,0.24640,2.14620,41.93460,-4.66100,-4.80500,-1.99220,-2.25980,0.65530,-0.06630,-0.07510
2022-12-31,49.98180,35.80490,14.17690,1.07460,13.89490,-5.08750,20.23530,-6.05840,-6.17330,-12.23170,,-12.23170,-12.23170,-12.23170,-3.66390,-6.05840,197.87500,197.87500,-0.05000,-0.05000,6.88620,0.50260,1.01620,28.36420,-12.12130,-12.12130,-24.47240,-24.47240,0.14340,0.21930,3.22360,27.91920,-8.04860,-8.29660,-3.51020,-4.00370,0.68510,-0.0353,-0.0538
2022-09-30,41.09010,31.43350,9.65660,1.04190,12.89310,-4.85950,18.97340,-9.31670,-5.58280,-14.89950,,-14.89950,-14.89950,-14.89950,-6.50940,-9.31670,196.38400,196.38400,-0.08000,-0.08000,5.04260,0.60230,1.52140,23.50110,-22.67390,-22.67390,-36.26050,-36.26050,0.13670,0.19290,1.96580,45.78260,-14.84240,-15.57500,-4.95730,-5.90350,0.51010,-0.0676,-0.0848
2022-06-30,33.90500,26.13560,7.76940,0.87340,11.97040,-3.92150,16.94420,-9.17470,-4.59020,-13.76490,,-13.76490,-13.76490,-13.76490,-7.14390,-9.17470,196.35300,196.35300,-0.07000,-0.07000,7.93590,0.56840,1.32220,22.91520,-27.06010,-27.06010,-40.59850,-40.59850,0.11420,0.17890,1.79550,50.12670,-12.03220,-12.57070,-4.63570,-5.19270,0.58260,-0.065,-0.0851
2022-03-31,29.10310,25.44110,3.66200,0.62410,13.69960,-3.97460,18.47710,-14.81510,-10.19280,-25.00790,,-25.00790,-25.00790,-25.00790,-12.67570,-14.81510,195.87200,195.87200,-0.13000,-0.13000,7.59670,0.53440,1.15310,12.58300,-50.90550,-50.90550,-85.92850,-85.92850,0.09450,0.18280,1.13550,79.25850,-19.70160,-20.52290,-8.11860,-9.17250,0.64650,-0.13280,-0.14730
2021-12-31,26.38320,22.87200,3.51120,0.72890,11.69810,-4.09710,16.70270,-13.19140,-3.45840,-16.64980,,-16.64980,-16.64980,-16.64980,-11.20620,-13.19140,139.57900,139.57900,-0.07000,-0.07000,6.87100,0.42020,0.72900,13.30850,-49.99930,-49.99930,-63.10750,-63.10750,0.09550,0.18340,0.92320,97.48300,-11.79390,-12.25020,-6.02700,-6.83770,0.72100,-0.2153,-0.2385
2021-09-30,20.68060,20.29520,0.38530,0.77060,10.72680,-3.14620,14.82240,-14.43710,-3.27590,-17.71300,,-17.71300,-17.71300,-17.71300,-12.56460,-14.43710,133.77000,133.77000,-0.13000,-0.13000,5.40510,0.49630,0.99030,1.86330,-69.80990,-69.80990,-85.65030,-85.65030,0.08670,0.17780,1.01410,88.74700,-17.23380,-18.19640,-7.42240,-8.68030,0.74310,-0.0758,-0.0941
2021-06-30,17.83060,18.83260,-1.00200,1.15890,10.43820,-2.80330,14.57920,-15.58120,-3.32410,-18.90530,,-18.90530,-18.90530,-18.90530,-13.82660,-15.58120,127.41600,127.41600,-0.15000,-0.15000,9.42220,0.47500,0.90810,-5.61980,-87.38490,-87.38490,-106.02740,-106.02740,0.07660,0.18890,0.75730,118.84150,-16.94120,-17.83900,-8.12040,-8.89480,0.84620,-0.2267,-0.2598
