,Announcement Date,Fiscal Quarter End,Estimated EPS,Actual EPS
0,2024-08-09,2024-06-30,--,$0.17
1,2024-05-10,2024-03-31,--,$0.42
2,2024-02-06,2023-12-31,--,$0.30
3,2023-12-13,2023-09-30,--,$0.21
4,2023-08-09,2023-06-30,--,$0.22
5,2023-05-12,2023-03-31,--,$0.33
6,2023-02-10,2022-12-31,--,$0.24
7,2022-12-16,2022-09-30,--,$0.03
8,2022-08-12,2022-06-30,--,$-0.07
9,2022-05-13,2022-03-31,--,$0.03
10,2022-02-11,2021-12-31,--,$-0.02
11,2021-12-17,2021-09-30,--,$-0.03
12,2021-08-11,2021-06-30,--,$0.16
13,2021-05-14,2021-03-31,--,$0.16
14,2021-02-12,2020-12-31,--,$0.11
15,2020-12-18,2020-09-30,--,$-0.04
16,2020-08-06,2020-06-30,--,$0.29
17,2020-05-04,2020-03-31,--,$-0.04
18,2020-01-31,2019-12-31,--,$0.17
19,2019-12-11,2019-09-30,--,$0.00
20,2019-08-02,2019-06-30,--,$0.17
21,2019-05-03,2019-03-31,--,$0.51
22,2019-02-01,2018-12-31,--,$0.02
23,2018-12-13,2018-09-30,--,$0.25
24,2018-08-02,2018-06-30,--,$0.18
25,2018-05-03,2018-03-31,--,$0.26
26,2018-02-02,2017-12-31,--,$0.16
27,2017-12-06,2017-09-30,--,$0.07
28,2017-08-03,2017-06-30,--,$0.18
29,2017-05-05,2017-03-31,--,$0.23
30,2017-02-03,2016-12-31,--,$0.10
31,2016-12-02,2016-09-30,--,$0.12
32,2016-08-09,2016-06-30,--,$0.22
33,2016-05-09,2016-03-31,--,$0.11
34,2016-02-10,2015-12-31,--,$0.11
35,2015-12-08,2015-09-30,--,$-0.15
36,2015-08-06,2015-06-30,--,$0.02
37,2015-05-08,2015-03-31,--,$0.08
38,2015-02-06,2014-12-31,--,$-0.08
