Date,revenue,gross-profit,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-12-31,8918.74000,8918.74000,7232.72700,1686.01400,,2124.86000,574.45040,1550.41000,1550.41000,,1232.40500,3688.75000,3817.75000,0.33960,0.27840,0.84210,6.66200,28.25190,16.38590,0.00390,1.67390,1.88960,0.07990,0.26430,32.11720,2.3809,1.854
2024-09-30,8515.02800,8515.02800,5152.97700,3362.05100,-459.11180,2902.93900,535.84720,2367.09200,2367.09200,,2034.13800,3662.00000,3662.00000,0.55660,0.55660,0.85010,7.19800,34.09200,23.88880,0.00430,2.54080,2.86570,0.11890,0.38100,25.57530,-12.7166,-12.7166
2024-06-30,7981.52100,7981.52100,5540.61900,2440.90200,5.04840,2445.95000,538.91670,1907.03300,1907.03300,,1561.21800,3728.75000,3728.75000,0.41880,0.41880,0.85670,7.53400,32.62630,20.82490,0.00380,2.10350,2.36120,0.09580,0.30140,24.45990,12.7166,12.7166
2024-03-31,8817.10000,8817.10000,5944.85300,2872.24700,15.21720,2887.46400,589.66650,2297.79700,2297.79700,,1965.55500,3745.75000,3745.75000,0.52500,0.52500,0.86020,7.71060,35.35710,24.06830,0.00410,2.50480,2.80810,0.11490,0.35030,24.31500,0.00000,
2023-12-31,6984.73400,6984.73400,6820.80500,163.92970,,154.85640,-22.72520,177.58150,177.58130,,-125.10500,3861.25000,3973.75000,-0.02080,-0.06060,0.84930,7.02890,2.45980,-1.98720,0.00340,0.19870,0.22280,0.00970,0.02990,23.59470,-0.2902,-0.828
2023-09-30,7922.00200,7922.00200,5547.17400,2374.82900,11.39310,2386.22100,434.20370,1952.01800,1952.01800,,1612.75700,3851.25000,3851.25000,0.41900,0.41900,0.86460,7.95800,32.36050,21.87120,0.00370,2.23560,2.53990,0.09690,0.30270,22.91900,-7.7147,-7.7147
2023-06-30,7869.44900,7869.44900,5414.08100,2455.36800,3.75630,2459.12500,441.99130,2017.13300,2017.13300,,1662.78900,3880.75000,3880.75000,0.43080,0.43080,0.86270,7.92010,33.21500,22.45900,0.00380,2.35030,2.68780,0.10400,0.32270,22.06870,7.7147,7.7147
2023-03-31,8791.50800,8791.50800,5629.38300,3162.12500,-6.07400,3156.05000,681.50280,2474.54700,2474.54800,,2165.98800,3942.50000,3942.50000,0.54920,0.54920,0.85490,7.56650,38.70100,26.56040,0.00440,2.88300,3.28600,0.13240,0.41840,21.86660,0.00000,
2022-12-31,6720.76200,6720.76200,5252.09300,1468.66900,,1474.47900,-94.39780,1568.87600,1568.87700,,1203.58700,4083.25000,4216.75000,0.30880,0.25930,0.85110,7.16020,24.16870,19.72840,0.00330,1.83140,2.07860,0.08380,0.27270,21.59100,8.8677,8.3555
2022-09-30,7009.08800,7009.08800,4688.82100,2320.26700,-1.17780,2319.08800,293.27220,2025.81600,2025.81600,,1780.83400,4037.00000,4037.00000,0.44290,0.44290,0.85860,7.76070,35.35010,27.14540,0.00320,2.52930,2.88440,0.09960,0.35770,20.16460,-18.7389,-18.7389
2022-06-30,8421.89400,8421.89400,6548.68800,1873.20600,8.78850,1881.99500,262.39950,1619.59500,1619.59500,,1344.64100,4171.00000,4171.00000,0.32140,0.32140,0.84430,6.91420,23.03320,16.45670,0.00410,1.82730,2.06890,0.08120,0.28440,21.44660,18.7389,18.7389
2022-03-31,8716.33300,8716.33300,5705.33300,3011.00000,-13.41800,2997.58100,823.86520,2173.71600,2173.71600,,1883.88700,4170.50000,4170.50000,0.45080,0.45080,0.83880,6.74460,35.15340,22.09280,0.00420,2.33320,2.63900,0.10830,0.37620,22.23280,0.00000,
2021-12-31,6928.81700,6928.81700,4993.82100,1934.99600,16.52760,1951.52300,144.90200,1806.62200,1806.62200,,1207.09000,4246.25000,4355.00000,0.36010,0.31060,0.83780,6.33960,28.06320,17.35820,0.00370,1.87120,2.11390,0.09490,0.30360,23.05330,15.4463,14.9032
2021-09-30,7535.68800,7535.68800,4961.28200,2574.40600,129.61660,2704.02300,437.11130,2266.91200,2266.91200,,1993.88900,4265.50000,4265.50000,0.46880,0.46880,0.84170,6.52900,36.68850,27.05330,0.00380,2.35660,2.66820,0.11690,0.37310,22.83390,-12.7025,-12.7025
2021-06-30,7569.08700,7569.08700,3992.11700,3576.97000,29.35380,3606.32400,367.62140,3238.70300,3238.70300,,2946.56300,4285.00000,4285.00000,0.68760,0.68760,0.84370,6.52900,41.53250,33.93430,0.00450,3.40160,3.86680,0.16830,0.53160,22.40560,12.7025,12.7025
2021-03-31,8136.10000,8136.10000,5009.90700,3126.19300,182.02800,3308.22100,683.98400,2624.23700,2624.23700,,2618.72100,4796.19200,4796.19200,0.54610,0.54610,0.84220,6.57060,41.04360,32.48930,0.00420,2.87600,3.26400,0.13790,0.45390,21.15020,0.00000,
2020-12-31,6552.57100,6552.57100,5742.13500,810.43600,28.29500,838.72920,208.75680,629.97250,629.97270,,283.40820,4325.00000,4417.00000,0.06710,0.05670,0.83640,6.03270,14.33900,4.84520,0.00340,0.73360,0.83250,0.03640,0.12000,19.78840,16.7164,16.3315
2020-09-30,6722.52700,6722.52700,5264.08500,1458.44200,23.25240,1481.69500,423.71040,1057.98400,1057.98400,,789.28980,4364.28600,4364.28600,0.18090,0.18090,0.84210,6.37610,24.95650,13.29420,0.00320,1.18600,1.34500,0.05760,0.18730,20.56310,-16.6557,-16.6557
2020-06-30,6623.92400,6623.92400,6146.17800,477.74660,-32.26340,445.48310,52.11780,393.36530,393.36530,,111.68100,4503.26600,4503.26600,0.02480,0.02480,0.83240,5.98300,9.66350,2.42260,0.00270,0.45580,0.51650,0.02290,0.07640,19.90050,16.6557,16.6557
2020-03-31,8048.52300,8048.52300,6889.21800,1159.30500,10.24800,1169.55300,90.95100,1078.60200,1078.60200,,775.00500,4319.50000,4319.50000,0.17920,0.17920,0.82810,6.11020,21.90500,14.51540,0.00290,1.20980,1.37150,0.05830,0.20800,20.57640,0.00000,
2019-12-31,6828.35600,6828.35600,5494.81900,1333.53700,26.55980,1360.09600,244.15400,1115.94300,1115.94300,,1859.22700,4300.00000,4370.50000,0.18700,0.17700,0.81990,5.33480,22.09370,30.20170,0.00420,1.33100,1.51880,0.07660,0.23980,19.36060,-3.5921,-4.1026
2019-09-30,6832.60700,6832.60700,6562.55800,270.04880,33.29370,303.34260,331.70390,-28.36130,-28.36130,,-360.06520,4294.11800,4294.11800,-0.08390,-0.08390,0.83440,5.95190,4.84250,-5.74800,0.00390,-0.03410,-0.03880,-0.00180,-0.00560,19.25600,-0.8726,-0.8726
2019-06-30,7120.20700,7120.20700,5186.51400,1933.69300,34.71390,1968.40700,381.85290,1586.55400,1586.55400,,1329.41400,4308.44500,4308.44500,0.30900,0.30900,0.83150,5.82170,30.26890,20.44290,0.00410,1.79370,2.02950,0.10010,0.30230,20.51660,0.8726,0.8726
2019-03-31,6840.73000,6840.73000,4905.21500,1935.51500,-3.90750,1931.60800,323.02000,1608.58800,1608.58800,,1351.99500,4277.75000,4277.75000,0.31780,0.31780,0.83350,6.02520,30.87010,21.60700,0.00400,1.87450,2.13070,0.10350,0.31210,20.02780,0.00000,
2018-12-31,6484.11800,6484.11800,6023.81300,460.30420,49.12780,509.43050,172.56630,336.86450,336.86450,,-296.42790,4268.75000,4345.75000,-0.00130,-0.01200,0.83370,5.89750,9.03000,-5.25440,0.00370,0.39570,0.45220,0.02230,0.06580,19.87560,2.612,2.1869
2018-09-30,6683.08700,6683.08700,4805.46400,1877.62300,26.06000,1903.68300,312.72000,1590.96300,1590.96300,,1305.60600,3795.45500,3795.45500,0.34400,0.34400,0.83300,6.02470,29.96920,20.55380,0.00420,1.87030,2.12700,0.10430,0.31240,19.86630,-0.4412,-0.4412
2018-06-30,7588.93600,7588.93600,5000.31400,2588.62200,-9.52700,2579.09500,589.31300,1989.78200,1989.78200,,1676.75200,4266.75000,4331.25000,0.39300,0.39300,0.83070,5.98600,35.80200,23.27600,0.00460,2.31450,2.64390,0.12720,0.39190,20.09620,0.4412,0.4412
2018-03-31,7456.19300,7456.19300,7811.05100,-354.85790,26.44040,-328.41760,423.04640,-751.46400,-751.46400,,-825.21880,4259.25000,4259.25000,-0.23380,-0.23380,0.84440,6.46230,-4.65480,-11.69630,0.00440,-0.87620,-1.00330,-0.04730,-0.13640,20.09830,0.00000,
2017-12-31,6708.63000,6708.63000,6449.77700,258.85250,-70.78440,188.06760,1486.76200,-1298.69400,-1298.69400,-48.18210,-1683.95100,4249.00000,4321.00000,-0.42880,-0.41880,0.80400,5.27970,3.15920,-28.28750,0.00410,-1.52640,-1.73240,-0.08890,-0.29910,20.25190,18.1079,17.7581
2017-09-30,6772.49200,6772.49200,5320.58900,1451.90300,-2.61840,1449.28400,424.18080,1025.10400,1025.10400,,763.26360,3939.18900,3939.18900,0.19380,0.19380,0.79070,4.90910,24.79840,13.06000,0.00390,1.16790,1.32070,0.06810,0.24440,20.60090,-10.3359,-10.3359
2017-06-30,6468.67600,6468.67600,5934.09600,534.58010,308.21490,842.79510,390.06450,452.73060,452.73060,-1965.66900,-1791.73900,4247.25000,4323.25000,-0.40000,-0.40000,0.77320,4.60200,14.54430,-30.92030,0.00400,0.53420,0.60470,0.03120,0.12120,19.89990,10.3359,10.3359
2017-03-31,7212.95000,7212.95000,5135.65000,2077.30000,6.19350,2083.49300,585.90510,1497.58800,1497.58800,-815.06460,235.35300,4231.00000,4231.00000,0.05200,0.05200,0.75080,3.94660,31.75980,3.58760,0.00440,1.69410,1.89860,0.10040,0.42210,20.82480,0.00000,
2016-12-31,6128.34100,6128.34100,7157.85200,-1029.51000,1349.36400,319.85380,-110.38230,430.23580,430.23570,80.59730,196.04330,4215.00000,4261.00000,0.03290,0.02730,0.73240,3.50020,6.05400,3.71060,0.00320,0.44480,0.49880,0.02620,0.11900,22.80750,3.5897,3.1607
2016-09-30,7152.23200,7152.23200,6712.27600,439.95560,659.27660,1099.23200,430.76240,668.46970,668.46970,274.47970,543.70620,3986.11600,3986.11600,0.13640,0.13640,0.74560,3.76640,17.97290,8.88980,0.00350,0.72590,0.81310,0.03840,0.18470,21.74080,-6.3403,-6.3403
2016-06-30,8569.22300,8569.22300,5373.70100,3195.52100,-1373.19900,1822.32300,670.09830,1152.22500,1152.22500,208.06050,971.42730,4047.61000,4047.61000,0.24000,0.24000,0.74510,3.75950,23.15830,12.34500,0.00410,1.15670,1.29390,0.05940,0.29490,23.55840,6.3403,6.3403
2016-03-31,7222.74500,7222.74500,6115.19000,1107.55400,28.65600,1136.21000,355.33440,780.87600,780.87600,237.84480,661.95360,4211.00000,4211.00000,0.15470,0.15470,0.72710,3.48850,17.24660,10.04790,0.00370,0.79720,0.89280,0.04360,0.21760,23.26230,0.00000,
2015-06-30,10035.04000,10035.04000,8016.39400,2018.64900,703.00440,2721.65300,603.45040,2118.20300,2118.20300,,1755.21400,4091.40700,4091.40700,0.42900,0.42900,0.69080,4.16900,29.34280,18.92340,0.00510,2.10900,2.41000,0.11560,0.65220,23.95150,4.5517,4.5517
2015-03-31,9861.48000,9861.48000,7571.40000,2290.08100,,2027.02000,927.85000,1099.17000,709.87800,0.00000,709.87800,4008.62000,4008.62000,0.18000,0.18000,0.71450,4.22420,20.79310,7.28190,0.00450,0.69790,0.69790,0.03310,0.19930,,0.00000,
