Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,4261.32800,2316.55300,1944.77500,1104.27900,1104.27900,840.49660,840.49700,198.61240,641.88460,641.88460,,602.24640,246.66670,246.66670,2.44020,2.44020,0.46520,2.31370,43.21820,30.96740,0.00510,2.53290,2.60990,0.16870,1.35450,102.37800,-8.3388,-8.5488
2024-06-30,4524.88100,2255.03500,2269.84600,1397.01400,1397.01500,872.83150,872.83140,199.77510,673.05630,673.05630,,652.04650,246.33300,246.33300,2.53260,2.53260,0.46310,2.27420,38.45330,28.72650,0.00640,2.73560,2.81780,0.18900,1.46880,99.80950,-13.4048,-13.5542
2024-03-31,5280.75200,2617.03800,2663.71400,1748.54800,1748.54800,915.16550,915.16560,244.03680,671.12880,671.12880,,630.99360,249.00000,249.00000,2.53440,2.53440,0.47070,2.33770,34.35680,23.68850,0.00660,2.47290,2.54800,0.16620,1.30900,109.64090,-0.70920,-0.81490
2023-12-31,4025.85400,2323.13600,1702.71800,1694.37300,1694.37300,8.34450,8.34540,-0.88620,9.23160,9.23150,,-34.05900,245.00000,245.00000,-0.17880,-0.17880,0.48130,2.34640,0.49010,-2.00030,0.00440,0.03570,0.03680,0.00240,0.01850,103.21700,20.4305,20.2038
2023-09-30,4907.41000,2441.85400,2465.55600,1468.13300,1468.13300,997.42290,997.42320,262.93040,734.49280,734.49280,,693.25360,246.00000,246.00000,2.81760,2.81760,0.48630,2.47520,40.45430,28.11750,0.00630,2.76360,2.84810,0.18890,1.41960,106.64160,20.6285,20.531
2023-06-30,4551.40500,2283.65400,2267.75100,1565.18200,1565.18100,702.56960,702.56960,168.81760,533.75200,533.75200,,473.96160,242.66700,242.66700,1.95360,1.95360,0.48300,2.49890,30.98090,20.90010,0.00590,2.04090,2.10460,0.13820,1.05510,107.76440,-24.5525,-24.6168
2023-03-31,4559.29300,2168.25400,2391.03900,1374.78200,1374.78200,1016.25700,1016.25700,258.95920,757.29760,757.29760,,706.61760,242.66700,242.66700,2.91360,2.91360,0.48710,2.52090,42.50270,29.55270,0.00630,2.90340,2.99150,0.19800,1.48920,107.47540,-11.37860,-11.45070
2022-12-31,4083.76200,1933.32100,2150.44100,1417.90400,1417.90400,732.53710,732.53570,199.90430,532.63140,532.63140,,432.11480,242.66700,242.66700,1.91740,1.91740,0.47340,2.57940,34.06440,20.09420,0.00560,2.12230,2.18080,0.13970,1.11760,103.41380,77.5579,77.3334
2022-09-30,3240.77300,1106.40200,2134.37100,1232.62500,1232.62500,901.74580,901.74560,248.37610,653.36950,653.36950,,614.31020,242.66700,242.66700,2.53100,2.53100,0.51760,3.33080,42.24880,28.78180,0.00610,2.99850,3.08530,0.18590,1.44650,89.78600,0.0525,-0.0145
2022-06-30,3190.60000,925.60080,2264.99900,1222.73200,1222.73220,1042.26700,1042.26700,252.80160,789.46560,789.46560,,738.19680,248.65200,248.65200,2.96880,2.96880,0.51540,3.06600,46.01620,32.59150,0.00580,3.34450,3.43590,0.20350,1.62070,97.26450,-35.5089,-35.5698
2022-03-31,2845.76500,762.47360,2083.29100,1151.23000,1151.22940,932.06180,932.06160,234.08400,697.97760,697.97760,,671.35040,242.57200,242.57200,2.70480,2.70480,0.47650,2.68430,44.73990,32.22550,0.00560,2.97760,3.06010,0.18730,1.55880,96.58960,18.79970,18.73340
