Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,76.12500,,76.12500,62.14500,-5.90000,,-0.14700,47.92700,47.78000,0.88700,46.89300,46.89300,1.43900,-0.88300,8.60400,-0.14700,171.54200,171.54200,-0.01000,-0.01000,0.10650,0.11920,-0.19310,-0.19310,62.76520,-1.15990,0.02150,2.77780,2.42290,1.32360,1.68760,14.25410,0.2093,0.2092
2024-06-30,390.33600,,390.33600,256.59900,-3.80700,,121.83300,8.81000,130.64300,-0.00700,130.65000,130.65000,-0.72200,76.76300,130.51400,121.83300,170.35800,172.06600,0.44000,0.44000,0.10780,0.12090,31.21230,31.21230,33.46940,19.66590,0.11140,7.92620,6.91390,3.73030,4.77120,14.05910,0.1416,0.1414
2024-03-31,74.39300,,74.39300,68.78000,-5.95200,,-9.50600,-5.89400,-15.40000,1.24600,-16.64600,-16.64600,-14.12000,-44.28800,0.32500,-9.50600,161.04300,161.04300,-0.28000,-0.28000,0.12770,0.14640,-12.77810,-12.77810,-20.70090,-59.53250,0.02150,-0.97450,-0.85710,-0.48060,-0.58010,15.05750,-0.16770,-0.18670
2023-12-31,350.31000,,350.31000,187.75700,-8.66800,,144.78100,-3.92500,140.85600,-3.92100,144.77700,144.77700,-33.52900,100.60700,214.22400,144.78100,159.86800,169.72000,0.66000,0.74000,0.12990,0.14920,41.32940,41.32940,40.20900,28.71940,0.09830,8.53320,7.53430,4.06390,5.05670,15.24900,0.2506,-0.0056
2023-09-30,262.70300,,262.70300,143.72200,-6.41400,,103.24800,256.43900,359.68700,0.05900,359.62800,359.62800,-80.85100,261.82800,233.28400,103.24800,160.56400,170.58500,1.60000,1.51000,0.51290,1.05300,39.30220,39.30220,136.91770,99.66690,0.03820,16.32080,14.20290,5.23320,5.84250,18.34520,0.545,0.1831
2023-06-30,189.87400,,189.87400,114.13800,-6.77800,,57.60500,-11.88100,45.72400,2.77000,42.95400,42.95400,-95.47000,-22.41100,212.70400,57.60500,158.08900,158.08900,-0.14000,-0.14000,0.56650,1.30690,30.33850,30.33850,24.08120,-11.80310,0.01770,1.28820,1.33980,0.39930,0.45090,25.38730,0.4565,-1.746
2023-03-31,18.49600,,18.49600,31.08700,-16.65800,,-36.12400,-144.51400,-180.63800,1.09800,-181.73600,-181.73600,-110.60800,-212.47300,117.63200,-36.12400,158.44600,158.44600,-1.34000,-1.34000,0.56180,1.28180,-195.30710,-195.30710,-976.63280,-1148.75100,0.00170,-5.42250,-5.60240,-1.69160,-1.91830,25.62850,0.12450,-0.90520
2022-12-31,-384.54700,,-384.54700,73.58700,100.23800,,314.62600,0.48200,315.10800,30.90400,284.20400,284.20400,-321.44900,-19.35600,465.75700,314.62600,154.49500,154.49500,0.00000,0.00000,0.11300,0.12740,-81.81730,-81.81730,-81.94270,5.03350,-0.03490,7.74580,6.95630,2.57700,5.64020,27.94670,0.5002,-0.88
2022-09-30,429.85200,105.98700,323.86500,176.28400,-66.42100,388.29900,-64.43400,25.90800,-38.52600,-7.84100,-30.68500,-30.68500,-90.30200,-63.27300,84.73800,-64.43400,162.39800,162.39800,-0.39000,-0.39000,0.53610,1.15560,-14.98980,-14.98980,-8.96260,-14.71970,0.03660,-0.80570,-0.79760,-0.26140,-0.30890,28.24970,0.7184,0.8965
2022-06-30,416.63200,97.29000,319.34200,128.21400,-56.33100,339.89700,-20.55500,-46.25600,-66.81100,-2.51800,-64.29300,-64.29300,-3.78800,-37.32100,137.95700,-20.55500,153.98300,153.98300,-0.24000,-0.24000,0.54840,1.21440,-4.93360,-4.93360,-16.03600,-8.95780,0.03510,-1.73420,-1.69190,-0.54130,-0.63650,27.79650,0.4722,-5.9457
2022-03-31,232.83400,84.00300,148.83100,73.07500,-53.76000,255.40200,-106.57100,-149.88100,-256.45200,-7.41300,-249.03900,-249.03900,-94.64500,-262.31600,120.48200,-106.57100,142.48500,142.48500,-1.84000,-1.84000,0.55410,1.24260,-45.77130,-45.77130,-110.14370,-112.66220,0.02070,-7.61890,-7.40840,-2.21720,-2.69340,27.57150,0.00880,-5.18050
2021-12-31,-322.11200,,-322.11200,5.30900,64.33100,,336.62500,-99.76500,236.86000,87.94500,148.91500,148.91500,-191.78000,-20.68600,483.19300,336.62500,122.86400,122.86400,-0.07000,-0.07000,0.49730,0.98940,-104.50560,-104.50560,-73.53340,6.42200,-0.02270,3.66950,3.58740,1.04890,1.52380,34.51890,0.5268,-0.8779
