Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,9.77400,2.82700,,-12.60100,1.03300,-11.56800,-11.56800,-11.56800,-11.56800,-12.39900,-12.60100,31.07130,31.07130,-0.37000,-0.37000,10.25400,0.00030,0.00060,,,,,,,-30.27640,-30.27640,-14.08770,-30.26690,1.22480,-0.3695,-0.3696
2024-06-30,,,8.82500,3.59300,,-12.41800,1.06500,-11.35300,-11.35300,-11.35300,-11.35300,-12.22900,-12.41800,30.10300,30.10300,-0.38000,-0.38000,8.95020,0.00030,0.00060,,,,,,,-25.89940,-25.89940,-12.63400,-25.89110,1.43480,-0.2454,-0.2453
2024-03-31,,,6.63500,2.96200,,-9.59700,0.92700,-8.67000,-8.67000,-8.67000,-8.67000,-9.38100,-9.59700,27.88650,27.88650,-0.31000,-0.31000,10.58690,0.00040,0.00060,,,,,,,-19.76880,-19.76880,-9.81300,-19.76110,1.49190,-0.26440,-0.26480
2023-12-31,,,8.11800,2.30600,,-10.42400,1.01900,-9.32400,-9.32400,-9.32400,-9.32400,-10.22500,-10.34300,26.60400,26.60400,-0.33000,-0.33000,9.21390,0.00050,0.00080,,,,,,,-25.63020,-25.63020,-11.44820,-25.61680,1.31650,-0.3066,-0.3068
2023-09-30,,,11.62200,2.72900,,-14.35100,1.07500,-13.27600,-13.27600,-13.27600,-13.27600,-14.15100,-14.35100,27.05840,27.05840,-0.49000,-0.49000,9.87040,,0.00000,,,,,,,-30.46140,-30.46140,-14.92630,-30.46140,1.58990,-0.3772,-0.3781
2023-06-30,,,11.08100,4.56100,,-15.64200,0.46100,-15.18100,-15.18100,-15.18100,-15.18100,-15.43300,-15.64200,26.21800,26.21800,-0.58000,-0.58000,10.44010,,0.00000,,,,,,,-28.60180,-28.60180,-15.32650,-28.60180,1.96700,-0.5087,-0.5104
2023-03-31,,,7.84900,3.73500,,-11.58400,0.54700,-11.03700,-11.03700,-11.03700,-11.03700,-11.40200,-11.58400,25.69660,25.69660,-0.43000,-0.43000,12.53130,,0.00010,,,,,,,-19.29280,-19.29280,-10.81780,-19.29280,2.22350,-0.58670,-0.58970
2022-12-31,0.00000,0.00000,7.33300,3.95800,,-11.29100,0.64400,-10.64700,-10.64700,-10.64700,-10.64700,-11.13000,-11.29100,24.14200,24.14200,-0.43000,-0.43000,10.43870,,0.00010,,,,,,0.00000,-16.01510,-16.01510,-9.32380,-16.01510,2.58930,-0.2946,-0.2958
2022-09-30,0.04500,0.04500,6.77100,3.07300,,-9.79900,0.32500,-9.47400,-9.47400,-9.47400,-9.47400,-9.57800,-9.79900,25.16460,25.16460,-0.38000,-0.38000,13.58360,0.00000,0.00010,100.00000,-21775.55000,-21775.55000,-21053.33000,-21053.33000,0.00040,-13.29590,-13.29590,-8.11020,-13.29570,2.82620,-0.2802,-0.2824
2022-06-30,0.04500,0.04500,4.66200,3.23300,,-7.85000,0.08300,-7.76700,-7.76700,-7.76700,-7.76700,-7.67000,-7.85000,23.73190,23.73190,-0.33000,-0.33000,18.83110,0.00000,0.00030,100.00000,-17444.44000,-17444.44000,-17260.00000,-17260.00000,0.00040,-9.93460,-9.93460,-6.37680,-9.93440,3.14350,1.1939,1.1825
