Date,revenue,gross-profit,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share
2024-07-31,2.45740,2.45740,2.45740,-0.13930,2.31810,2.31810,2.31810,2.31810,2.45740,2.45740,9.19100,9.19100,0.25000,0.25000,1.56920,100.00000,100.00000,100.00000,94.33030,94.33030,0.81140,211.00260,211.00260,76.53930,211.00260,0.11950
2024-04-30,2.23280,2.23280,2.23280,-0.19890,2.03390,2.03390,2.03390,2.03390,2.23280,2.23280,9.19100,9.19100,0.22000,0.22000,1.38660,100.00000,100.00000,100.00000,91.09320,91.09320,0.87610,286.24730,286.24730,79.80280,286.24730,0.07730
2024-01-31,0.42490,0.42490,0.42490,-0.24580,0.17910,0.17910,0.17910,0.17910,0.42490,0.42490,9.19100,9.19100,0.02000,0.02000,2.12020,100.00000,100.00000,100.00000,42.14660,42.14660,0.43610,34.79010,34.79010,18.38110,34.79010,0.05600
2023-10-31,-0.00060,-0.00060,-0.00060,-0.15740,-0.15800,-0.15800,-0.15800,-0.15800,-0.00060,-0.00060,9.19100,9.19100,-0.02000,-0.02000,,,,,,,-0.00070,-19.86400,-19.86400,-19.86400,-19.86400,0.08650
2023-07-31,2.49080,2.49080,2.49080,-0.19990,2.29090,2.29090,2.29090,2.29090,2.49080,2.49080,9.19100,9.19100,0.25000,0.25000,1.49390,100.00000,100.00000,100.00000,91.97500,91.97500,0.86390,240.34700,240.34700,79.45710,240.34700,0.10370
2023-04-30,9.76000,9.76000,9.76000,-0.25550,9.50460,9.50460,9.50460,9.50460,9.76000,9.76000,9.19100,9.19100,1.03000,1.03000,1.06140,100.00000,100.00000,100.00000,97.38270,97.38270,0.95290,1604.71200,1604.71300,92.79620,1604.71200,0.06440
2023-01-31,9.76590,9.76590,9.76590,-0.22990,9.53600,9.53600,9.53600,9.53600,9.76590,9.76590,9.19100,9.19100,1.04000,1.04000,1.08030,100.00000,100.00000,100.00000,97.64620,97.64620,0.98360,1292.41400,1292.41400,96.04750,1292.41400,0.08030
2022-10-31,7.03730,7.03730,7.03730,-0.15330,6.88410,6.88410,6.88410,6.88410,7.03730,7.03730,9.19100,9.19100,0.74000,0.74000,1.05770,100.00000,100.00000,100.00000,97.82170,97.82170,0.97830,1754.25100,1754.25000,95.69880,1754.21100,0.04270
2022-07-31,4.44270,4.44270,4.44270,-0.15010,4.29260,4.29260,4.29260,4.29260,4.44270,4.44270,9.19100,9.19100,0.47000,0.47000,1.07320,100.00000,100.00000,100.00000,96.62230,96.62230,0.97920,1387.36100,1387.36300,94.61170,1387.36100,0.03370
2022-04-30,3.77360,3.77360,3.77360,-0.21360,3.56000,3.56000,3.56000,3.56000,3.77360,3.77360,9.19100,9.19100,0.39000,0.39000,1.07000,100.00000,100.00000,100.00000,94.33960,94.33960,1.00980,1456.19200,1456.19200,95.26540,1456.19200,0.02660
2022-01-31,2.54650,2.54650,2.54650,-0.19470,2.35180,2.35180,2.35180,2.35180,2.54650,2.54650,9.19100,9.19100,0.26000,0.26000,1.07700,100.00000,100.00000,100.00000,92.35350,92.35350,1.02910,1329.26000,1329.25900,95.03930,1329.26000,0.01930
2021-10-31,1.43790,1.43790,1.43790,-0.13530,1.30270,1.30270,1.30270,1.30270,1.43790,1.43790,9.19100,9.19100,0.14000,0.14000,1.09540,100.00000,100.00000,100.00000,90.59280,90.59280,1.02020,1061.20100,1061.20100,92.42530,1061.20100,0.01340
2021-07-31,1.48090,1.48090,1.48090,-0.11730,1.36360,1.36360,1.36360,1.36360,1.48090,1.48090,9.19100,9.19100,0.15000,0.15000,1.07740,100.00000,100.00000,100.00000,92.08080,92.08080,0.99700,1277.26000,1277.25900,91.80280,1277.26000,0.01160
2021-04-30,1.40020,1.40020,1.40020,-0.20170,1.19840,1.19840,1.19840,1.19840,1.40020,1.40020,9.19100,9.19100,0.13000,0.13000,1.09460,100.00000,100.00000,100.00000,85.59360,85.59360,0.99410,984.28600,984.28610,85.09040,984.28600,0.01320
2021-01-31,0.28340,0.28340,0.28340,-0.17160,0.11180,0.11180,0.11180,0.11180,0.28340,0.28340,9.19100,9.19100,0.01000,0.01000,1.57120,100.00000,100.00000,100.00000,39.45890,39.45890,0.49070,53.25990,53.25990,19.36270,53.25990,0.02280
2020-10-31,0.34860,0.34860,0.34860,-0.13000,0.21860,0.21860,0.21860,0.21860,0.34860,0.34860,9.19100,9.19100,0.03000,0.03000,3.53400,100.00000,100.00000,100.00000,62.71950,62.71950,0.53670,46.94310,46.94310,33.65970,46.94310,0.05070
2020-07-31,1.39960,1.39960,1.39960,-0.12150,1.27810,1.27810,1.27810,1.27810,1.39960,1.39960,9.19100,9.19100,0.14000,0.14000,1.42630,100.00000,100.00000,100.00000,91.31630,91.31630,0.97070,296.57980,296.57980,88.63810,296.57980,0.04690
2020-04-30,1.27580,1.27580,1.27580,-0.23390,1.04190,1.04190,1.04190,1.04190,1.27580,1.27580,9.19100,9.19100,0.11000,0.11000,1.16200,100.00000,100.00000,100.00000,81.66500,81.66500,1.08600,635.97690,635.97670,88.68820,635.97690,0.01780
2020-01-31,1.02600,1.02600,1.02600,-0.27820,0.74770,0.74770,0.74770,0.74770,1.02600,1.02600,9.19100,9.19100,0.08000,0.08000,1.18070,100.00000,100.00000,100.00000,72.88130,72.88130,1.18180,562.67360,562.67370,86.13120,562.67360,0.01450
