Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,50669.00000,31713.00000,18956.00000,154.00000,1191.00000,-6744.00000,12467.00000,6489.00000,6489.00000,1993.00000,4496.00000,4496.00000,4487.00000,10867.00000,6653.00000,1800.33600,1807.03000,2.49000,2.48000,1.06910,0.11650,0.16460,37.41140,12.80670,13.13030,12.80670,8.85550,0.19550,3.26100,2.58630,34.79820,2.86310,2.95190,1.73440,2.52970,87.38010,5.4581,3.1499
2024-06-30,51181.00000,32055.00000,19126.00000,263.00000,1048.00000,-6662.00000,12090.00000,7036.00000,7036.00000,2593.00000,4443.00000,4443.00000,4434.00000,11153.00000,7149.00000,1825.84200,1833.43100,2.43000,2.43000,1.15700,0.11800,0.14470,37.36930,13.74730,13.96810,13.74730,8.66340,0.19640,3.05960,2.46630,36.49170,2.77230,2.85650,1.70460,2.44510,87.62730,3.465,1.283
2024-03-31,48716.00000,28865.00000,19851.00000,129.00000,1010.00000,-6581.00000,11929.00000,7922.00000,7922.00000,2371.00000,5551.00000,5551.00000,5501.00000,12131.00000,8040.00000,1842.37700,1849.11600,2.99000,2.97000,1.22980,0.11760,0.13510,40.74840,16.26160,16.50380,16.26160,11.29200,0.18620,2.90330,2.38640,37.71370,3.43380,3.53720,2.12150,3.02990,87.52310,3.69260,1.48120
2023-12-31,47180.00000,29539.00000,17641.00000,254.00000,969.00000,-6554.00000,14151.00000,3490.00000,3490.00000,1247.00000,2243.00000,2243.00000,2259.00000,9864.00000,3610.00000,1873.00000,1880.00000,1.23000,1.22000,1.27500,0.11140,0.12870,37.39080,7.39720,7.65150,7.39720,4.78800,0.18030,3.43000,2.36840,38.00110,1.38520,1.42680,0.85730,1.23080,86.79500,6.5948,4.2846
2023-09-30,54080.00000,33349.00000,20731.00000,301.00000,1163.00000,-6390.00000,11993.00000,8738.00000,8738.00000,2183.00000,6555.00000,6555.00000,6526.00000,12877.00000,8852.00000,1870.96300,1877.10400,3.48000,3.48000,1.25460,0.10800,0.12370,38.33400,16.15750,16.36830,16.15750,12.06730,0.20490,3.53720,2.45900,36.60080,3.94290,4.05820,2.48360,3.51730,88.06680,5.1471,2.6606
2023-06-30,48896.00000,30025.00000,18871.00000,169.00000,1128.00000,-6096.00000,11034.00000,7837.00000,7837.00000,1829.00000,6008.00000,6008.00000,6010.00000,11478.00000,7957.00000,1867.16500,1875.50800,3.22000,3.20000,1.43360,0.11280,0.13510,38.59420,16.02790,16.27330,16.02790,12.29140,0.19420,3.26430,2.53540,35.49680,3.77150,3.88680,2.38620,3.34630,85.31180,3.4086,1.3838
2023-03-31,50793.00000,30503.00000,20290.00000,190.00000,881.00000,-6059.00000,10771.00000,9519.00000,9519.00000,2914.00000,6605.00000,6605.00000,6574.00000,13160.00000,9634.00000,1891.69500,1900.78500,3.48000,3.46000,1.43330,0.11220,0.14460,39.94650,18.74080,18.96720,18.74080,12.94270,0.19850,3.30410,2.67040,33.70330,4.11700,4.24180,2.58120,3.65500,84.69680,3.79050,2.19230
2022-12-31,56473.00000,33434.00000,23039.00000,453.00000,1454.00000,-6437.00000,13231.00000,9808.00000,9808.00000,3430.00000,6378.00000,6378.00000,6353.00000,14695.00000,9931.00000,1931.00000,1940.00000,3.34000,3.33000,1.47170,0.11770,0.14560,40.79650,17.36760,17.58540,17.36760,11.24960,0.21910,4.05410,2.76070,32.60040,3.98020,4.10110,2.47490,3.51180,83.66790,6.4422,4.4655
2022-09-30,66644.00000,39797.00000,26847.00000,116.00000,1028.00000,-6565.00000,12038.00000,14809.00000,14809.00000,3571.00000,11238.00000,11238.00000,11231.00000,19138.00000,14937.00000,1932.23800,1940.00200,5.81000,5.78000,1.39640,0.11830,0.14810,40.28420,22.22110,22.41310,22.22110,16.85220,0.25660,4.42090,2.96640,30.33940,7.04020,7.25200,4.32670,6.20720,82.55260,7.968,6.401
2022-06-30,68762.00000,41566.00000,27196.00000,196.00000,863.00000,-6305.00000,11193.00000,16003.00000,16003.00000,4288.00000,11715.00000,11715.00000,11622.00000,19832.00000,16132.00000,1947.70300,1957.10900,5.98000,5.95000,1.30850,0.12960,0.16970,39.55090,23.27300,23.46060,23.27300,16.90180,0.26660,5.38770,2.56000,35.15600,7.57950,7.81530,4.54180,6.59750,78.96150,7.0154,5.395
2022-03-31,54373.00000,34651.00000,19722.00000,209.00000,967.00000,-5702.00000,10668.00000,9054.00000,9054.00000,2777.00000,6277.00000,6277.00000,6259.00000,12844.00000,9190.00000,1935.66800,1944.54200,3.23000,3.22000,1.43280,0.16480,0.19940,36.27170,16.65170,16.90180,16.65170,11.51120,0.21830,5.31050,2.33810,38.49250,4.26720,4.39790,2.52040,3.56410,74.86720,4.14240,3.13440
2021-12-31,48129.00000,29120.00000,19009.00000,192.00000,1271.00000,-5593.00000,12024.00000,6985.00000,6985.00000,1903.00000,5082.00000,5082.00000,5055.00000,11953.00000,7140.00000,1916.00000,1920.00000,2.63000,2.63000,1.25930,0.18190,0.22420,39.49590,14.51310,14.83510,14.51310,10.50300,0.20090,4.28550,2.61300,34.44310,3.63160,3.74900,2.12160,2.97100,72.51510,4.9319,3.573
2021-09-30,44710.00000,25909.00000,18801.00000,158.00000,657.00000,-5453.00000,10746.00000,8055.00000,8055.00000,1940.00000,6115.00000,6115.00000,6111.00000,12533.00000,8229.00000,1918.00600,1921.09500,3.19000,3.19000,1.27590,0.21320,0.27320,42.05100,18.01610,18.40530,18.01610,13.66810,0.18630,4.22730,2.69870,33.34890,4.47260,4.62140,2.54850,3.51890,70.92550,4.4683,3.4748
