Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,3.04500,3.20600,-6.25100,2.15500,-4.09600,-4.09600,-4.09600,-4.09600,-6.12800,-6.25100,88.94300,88.94300,-0.05000,-0.05000,3.60850,,,,,,,,-14.70740,-14.70740,-10.61860,-14.70740,0.28460,-0.1119,-0.1121
2024-06-30,,,4.86800,2.53300,-7.40100,17.25600,9.85500,9.85500,9.85500,3.04300,-7.51400,-7.40100,37.91500,94.05300,0.08000,-0.15000,3.36650,,,,,,,,-66.38150,-66.38150,22.04650,-66.38150,-0.34070,0.0491,0.049
2024-03-31,,,6.81300,2.39100,-9.20400,-11.75900,-20.96300,-20.96300,-20.96300,-21.17100,-8.92000,-9.20400,34.91300,34.91300,-0.61000,-0.61000,1.70650,,,,,,,,85.71720,85.71720,-40.01720,85.71720,-0.65030,-0.18490,-0.18510
2023-12-31,,,4.23300,2.07900,-6.31200,-1.48600,-7.79800,-7.79800,-7.79800,-7.79800,-6.23000,-6.31200,24.53900,24.53900,0.11000,0.11000,0.76420,,,,,,,,204.72560,204.72570,-54.95030,204.72570,-0.10960,-0.3209,-0.3209
2023-09-30,,,3.37200,2.56600,-5.93800,1.60500,-4.33300,-4.33300,-4.33300,-4.40500,-5.85900,-5.93800,32.63300,32.63300,-0.13000,-0.13000,1.20140,,,,,,,,-127.81710,-126.17940,-22.28680,-126.17940,0.09880,0.1942,0.1946
2023-06-30,,,2.26700,2.05500,-4.32200,0.48400,-3.83800,-3.83800,-3.83800,-4.44100,-4.24400,-4.32200,15.23500,15.23500,-0.29000,-0.29000,1.42230,,,,,,,,19.81210,-56.19330,-16.77230,-56.19330,0.44830,-0.361,-0.3618
2023-03-31,0.67500,0.67500,3.03000,1.84700,-4.20200,-10.37300,-14.57500,-14.57500,-14.57500,-14.76700,-4.15700,-4.20200,15.23200,15.23200,-0.97000,-0.97000,1.63960,,100.00000,-622.51840,-622.51840,-2159.25900,-2187.70400,0.02480,96.63840,-138.58510,-53.58060,-138.58510,0.69040,-0.25740,-0.25740
2022-12-31,,,3.84000,1.48500,-5.32500,-0.00300,-5.32800,-5.32800,-5.32800,-5.32800,-5.28300,-5.32500,15.05700,15.05700,-0.35000,-0.35000,0.80510,,,,,,,,1143.34000,1143.34800,-189.07030,1143.34800,-0.03060,-0.4043,-0.4043
2022-09-30,0.95100,0.95100,4.80300,1.70200,-5.55400,-0.00300,-5.55700,-5.55700,-5.55700,-5.55700,-5.51400,-5.55400,15.06200,15.06200,-0.37000,-0.37000,1.80410,,100.00000,-584.01680,-584.01680,-584.33230,-584.33230,0.09340,-120.12540,-120.12540,-54.60350,-120.12540,0.30660,-0.2357,-0.2357
2022-06-30,,,1.86000,1.77600,-3.63600,,-3.63600,-3.63600,-3.63600,-3.63600,-3.59600,-3.63600,15.02900,15.02900,-0.24000,-0.24000,4.43190,,,,,,,,-36.69020,-36.69020,-28.37080,-36.69020,0.65870,-0.2024,-0.2024
2022-03-31,,,1.93300,1.60400,-3.53700,,-3.53700,-3.53700,-3.53700,-3.53700,-3.49800,-3.53700,15.00500,15.00500,-0.24000,-0.24000,6.43800,,,,,,,,-26.70640,-26.70640,-22.44290,-26.70640,0.88170,-0.19710,-0.19720
2021-12-31,,,1.36100,1.39100,-2.75200,0.00000,-2.75200,-2.75200,-2.75200,-2.75200,-2.39000,-2.75200,11.67600,11.67600,-0.25000,-0.25000,8.74630,,,,,,,,-16.69500,-16.69500,-14.68200,-16.69500,1.09920,-0.1859,-0.1884
2021-09-30,,,3.77600,0.93900,-4.71500,-0.48600,-5.20100,-5.20100,-5.20100,-5.20100,-5.02300,-4.71500,14.16700,14.16700,-0.37000,-0.37000,25.20000,0.00540,,,,,,,-27.37800,-27.37800,-26.29160,-27.37800,1.26880,-0.2065,-0.2065
2021-06-30,,,0.49300,0.28600,-0.77900,-0.32100,-1.10000,-1.10000,-1.10000,-1.10000,-0.52900,-0.77900,8.77100,8.77100,-0.13000,-0.13000,0.17850,-0.97570,,,,,,,26.17800,26.17800,-120.48190,26.17800,-0.47910,-0.023,-0.023
2021-03-31,,,0.45000,0.28100,-0.73100,-0.23300,-0.96400,-0.96400,-0.96400,-0.96400,-0.53400,-0.73100,8.57600,8.57600,-0.11000,-0.11000,,,,,,,,,,,,,,-0.07850,-0.07850
2020-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,0.1082,0.1082
2020-09-30,,,0.30400,0.32200,-0.62600,-0.07600,-0.70200,-0.70200,-0.70200,-0.70200,-0.62600,-0.62600,8.51400,8.51400,-0.08000,-0.08000,,,,,,,,,,,,,,-0.0829,-0.0829
2020-06-30,,,0.18200,0.15400,-0.33600,-0.00200,-0.33800,-0.33800,-0.33800,-0.33800,-0.33600,-0.33600,8.48300,8.48300,-0.04000,-0.04000,,,,,,,,,,,,,,-0.0253,-0.0253
2019-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,0,0
