Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,127.06000,127.06000,11.05700,-1.03900,114.96400,-49.08400,65.88000,,65.88000,65.88000,62.88500,113.64300,114.96400,51.64700,51.83300,1.22000,1.21000,8.13230,90.48010,90.48010,51.84950,49.49240,0.00950,5.00280,5.00280,0.49150,5.00280,23.85960,0.759,0.759
2024-06-30,129.92500,129.92500,10.94200,-1.98800,116.99500,-165.34500,-48.35000,,-48.35000,-48.35000,-51.34600,118.06800,116.99500,48.77000,48.77000,-1.05000,-1.05000,6.52100,90.04810,90.04810,-37.21380,-39.51970,0.01290,-4.16350,-4.16350,-0.48100,-4.16350,23.81410,0.5642,0.5642
2024-03-31,141.48000,141.48000,11.24000,-10.84600,119.39400,-104.87800,14.51600,,14.51600,14.51600,11.52100,119.83000,119.39400,48.77000,48.98800,0.24000,0.24000,7.82260,84.38930,84.38930,10.26010,8.14320,0.01160,1.16400,1.16400,0.11890,1.16400,25.58080,1.97620,1.97620
2023-12-31,146.19700,146.19700,11.09500,-1.79100,133.31100,-33.66900,99.64200,,99.64200,99.64200,96.64600,133.50900,133.31100,43.05400,43.05400,2.01000,2.01000,7.86530,91.18590,91.18590,68.15600,66.10670,0.01180,7.83860,7.83850,0.80720,7.83850,26.04940,1.5266,1.5266
2023-09-30,153.63600,153.63600,10.98100,-1.73200,140.92300,-320.09100,-179.16800,,-179.16800,-179.16800,-182.16300,140.66000,140.92300,46.50600,46.50600,-3.92000,-3.92000,9.30720,91.72530,91.72530,-116.61850,-118.56790,0.01100,-14.49530,-14.49520,-1.28770,-14.49520,25.22810,0.428,0.428
2023-06-30,134.61200,134.61200,10.65300,-2.03600,121.92300,-78.96100,42.96200,,42.96200,42.96200,39.96600,124.25300,121.92300,39.74000,40.07600,1.00000,1.00000,7.49700,90.57370,90.57370,31.91540,29.68980,0.01070,3.34860,3.34860,0.34260,3.34860,31.01860,-0.3384,-0.3384
2023-03-31,118.45800,118.45800,10.40300,-1.46000,106.59500,-137.95400,-31.35900,,-31.35900,-31.35900,-34.35400,107.84900,106.59500,36.91700,36.91700,-0.95000,-0.95000,9.10490,89.98550,89.98550,-26.47270,-29.00100,0.00890,-2.58070,-2.58070,-0.23670,-2.58070,31.64360,1.46870,1.46870
2022-12-31,72.65400,72.65400,10.06000,-3.14300,59.45100,-20.04110,39.41000,,39.41000,39.41000,36.41400,60.54800,59.45100,23.59400,23.59400,2.23000,2.23000,6.26200,81.82760,81.82760,54.24340,50.11970,0.00770,3.54290,3.54290,0.41760,3.54290,34.14070,4.5831,4.5831
2022-09-30,73.96800,73.96800,9.94300,-1.58400,62.44100,-206.75600,-144.31500,,-144.31500,-144.31500,-147.31000,65.56700,62.44100,24.65000,24.65000,-5.98000,-5.98000,8.73810,84.41620,84.41620,-195.10460,-199.15370,0.00680,-15.28530,-15.28520,-1.32210,-15.28520,35.60430,4.1385,4.1385
2022-06-30,48.44000,48.44000,9.70700,-1.64700,37.08600,-95.67700,-58.59100,,-58.59100,-58.59100,-61.58700,42.68900,37.08600,21.30280,21.30280,-2.90000,-2.90000,6.88070,76.56070,76.56070,-120.95590,-127.14080,0.00550,-6.02380,-6.02380,-0.66150,-6.02380,43.97750,0.8869,0.8869
2022-03-31,33.37000,33.37000,9.54900,,23.82100,-90.25500,-66.43400,,-66.43400,-66.43400,-69.42900,30.50600,23.82100,19.24520,19.24520,-3.60000,-3.60000,6.30180,71.38450,71.38450,-199.08300,-208.05810,0.00380,-6.50080,-6.50080,-0.76300,-6.50080,50.91300,-4.34930,-4.34930
2021-12-31,21.64800,21.64800,8.71000,-3.01000,9.92800,-30.70000,-20.77200,,-20.77200,-20.77200,-23.76800,19.60200,9.92800,15.89700,16.06200,-2.06000,-1.96000,3.45220,45.86110,45.86100,-95.95350,-109.79310,0.00410,-1.81630,-1.81630,-0.39360,-1.81630,60.73370,-0.7048,-0.7048
2021-09-30,22.03500,22.03500,9.57500,-1.44000,11.02000,22.96200,33.98200,,33.98200,33.98200,30.98700,21.27700,11.02000,16.80520,16.98540,1.85000,1.80000,3.01690,50.01140,50.01140,154.21830,140.62630,0.00440,2.97130,2.97130,0.68130,2.97130,65.19810,-0.9912,-0.9912
2021-06-30,18.22000,18.22000,9.39300,-1.34300,7.48400,-76.65800,-69.17400,,-69.17400,-69.17400,-72.17000,19.86400,7.48400,15.21280,15.21280,-4.75000,-4.75000,3.30290,41.07570,41.07570,-379.65980,-396.10320,0.00350,-6.24010,-6.24010,-1.34650,-6.24010,66.70090,0.8454,0.8454
2021-03-31,18.57500,18.57500,10.04400,,8.53100,62.79600,71.32700,,71.32700,71.32700,68.84100,24.32600,8.53100,13.19280,13.40360,5.20000,5.15000,3.70990,45.92730,45.92730,383.99460,370.61110,0.00350,6.94400,6.94390,1.33330,6.94390,73.63550,1.58140,1.58140
2020-12-31,22.26400,22.26400,5.17500,,11.49400,69.92000,81.41400,,81.41400,81.41400,79.09300,27.89400,11.49400,12.61400,12.61400,8.65000,8.75000,4.83430,51.62590,51.62600,365.67570,355.25070,0.00400,8.67680,8.67670,1.47370,8.67670,71.85660,2.1533,2.1533
2020-09-30,25.73000,25.73000,9.52200,,16.20800,42.17800,58.38600,,58.38600,58.38600,56.06600,29.76600,16.20800,12.94480,13.05440,4.35000,4.30000,5.05540,62.99260,62.99260,226.91800,217.90130,0.00430,6.54360,6.54350,0.98220,6.54350,68.92240,4.4454,4.4454
2020-06-30,28.55000,28.55000,10.57600,,17.97400,33.77400,51.74800,,51.74800,51.74800,49.42800,27.20800,17.97400,12.74820,12.86800,3.90000,3.85000,4.97820,62.95620,62.95620,181.25390,173.12790,0.00510,6.07920,6.07920,0.93010,6.07920,65.79410,-11.3764,-11.3764
2020-03-31,92.85800,92.85800,9.95200,,82.90600,-489.56500,-406.65900,,-406.65900,-406.65900,-409.48600,97.12000,82.90600,11.77680,11.77680,-34.75000,-34.75000,4.40760,89.28260,89.28260,-437.93640,-440.98080,0.01830,-51.72170,-51.72130,-8.02850,-51.72130,66.76600,-15.66180,-15.66180
2019-12-31,100.51600,100.51600,8.54400,,92.24700,16.43400,108.68100,,108.68100,108.68100,104.99000,110.89700,92.24700,11.56660,11.56660,9.25000,9.25000,7.90320,91.77350,91.77340,108.12310,104.45100,0.00760,7.56460,7.56460,0.81880,7.56460,122.00920,5.9854,5.9854
