Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,102.40000,102.40000,86.90000,75.80000,-60.30000,11.70000,-48.60000,0.60000,-49.20000,-49.20000,-49.20000,-62.70000,-60.30000,72.10000,72.10000,-0.68000,-0.68000,4.16640,0.00100,0.00100,100.00000,-58.88670,-58.88670,-47.46090,-48.04690,0.08770,6.91890,13.00780,-8.39590,-8.39590,-4.21560,-8.38730,8.52980,-1.7735,-1.7832
2024-06-30,76.50000,76.50000,93.70000,31.30000,-48.50000,13.50000,-35.00000,0.20000,-35.20000,-35.20000,-35.20000,-51.20000,-48.50000,71.90000,71.90000,-0.49000,-0.49000,3.61950,0.00120,0.00320,100.00000,-63.39870,-63.39870,-45.75160,-46.01310,0.05980,7.65000,11.76470,-5.86470,-5.86470,-2.75090,-5.85790,8.74930,0.7033,0.695
2024-03-31,25.30000,25.30000,84.30000,24.30000,-83.30000,14.00000,-69.30000,0.10000,-69.40000,-69.40000,-69.40000,-86.70000,-83.30000,71.70000,71.70000,-0.97000,-0.97000,4.94310,0.00110,0.00110,100.00000,-329.24900,-329.24900,-273.91310,-274.30830,0.02090,3.56340,25.25690,-11.38270,-11.38270,-5.72320,-11.36960,8.92680,-1.35980,-1.36120
2023-12-31,-43.10000,-43.10000,95.10000,27.10000,-165.30000,12.10000,-153.20000,1.60000,-154.80000,-154.80000,-154.80000,-169.30000,-165.30000,55.50000,55.50000,-2.65000,-2.65000,4.97940,0.00120,0.00120,100.00000,383.52670,383.52670,355.45250,359.16470,-0.03300,-5.98610,-15.03480,-23.45450,-23.45450,-11.86570,-23.42620,9.70590,-1.3739,-1.3744
2023-09-30,34.60000,34.60000,85.90000,22.60000,-73.90000,10.00000,-63.90000,,-63.90000,-64.00000,-64.00000,-76.30000,-73.90000,54.10000,54.10000,-1.18000,-1.18000,3.25560,0.00170,0.00220,100.00000,-213.58380,-213.58380,-184.68210,-184.97110,0.03270,1.67960,53.58380,-13.99830,-13.99830,-6.04740,-13.97380,8.31270,-1.5239,-1.5438
2023-06-30,54.50000,54.50000,103.40000,25.70000,-74.60000,9.00000,-65.60000,-0.30000,-65.30000,-66.60000,-66.60000,-75.70000,-74.60000,53.40000,53.40000,-1.25000,-1.25000,3.44310,0.00190,0.00220,100.00000,-136.88070,-136.88070,-120.36700,-122.20180,0.05030,11.35420,7.92660,-14.36580,-14.36580,-6.14670,-14.33800,8.68160,-1.6578,-1.669
2023-03-31,32.50000,32.50000,95.30000,24.90000,-87.70000,6.50000,-81.20000,-0.40000,-80.80000,-81.90000,-81.90000,-88.80000,-87.70000,53.30000,53.30000,-1.54000,-1.54000,4.05870,0.00180,0.00200,100.00000,-269.84620,-269.84620,-249.84610,-252.00000,0.02760,6.91490,13.01540,-16.02740,-16.02740,-6.96550,-15.99920,9.56930,-1.71110,-1.73170
2022-12-31,37.90000,37.90000,98.20000,15.10000,-75.40000,6.20000,-69.20000,10.80000,-80.00000,-82.90000,-82.90000,-73.60000,-75.40000,53.20000,53.20000,-1.55000,-1.55000,4.20260,0.00180,0.00180,100.00000,-198.94470,-198.94470,-182.58580,-218.73360,0.02990,4.73750,18.99740,-14.67520,-14.67520,-6.53370,-14.64920,10.61840,-1.3384,-1.359
2022-09-30,33.20000,33.20000,77.50000,20.00000,-64.30000,3.20000,-61.10000,2.20000,-63.30000,-66.20000,-66.20000,-61.00000,-64.30000,53.20000,53.20000,-1.24000,-1.24000,5.33400,0.00160,0.00160,100.00000,-193.67470,-193.67470,-184.03610,-199.39760,0.02490,4.88240,18.43370,-10.65170,-10.65170,-4.95950,-10.63450,11.68230,-1.2518,-1.2933
2022-06-30,33.80000,33.80000,75.30000,24.30000,-65.80000,1.70000,-64.10000,3.40000,-67.50000,-70.00000,-70.00000,-60.90000,-65.80000,53.20000,53.20000,-1.32000,-1.32000,5.77830,0.00150,0.00150,100.00000,-194.67460,-194.67460,-189.64500,-207.10060,0.02400,4.17280,21.56810,-10.43840,-10.43840,-4.97510,-10.42290,12.60530,-1.4734,-1.4995
2022-03-31,26.50000,26.50000,64.00000,20.20000,-57.70000,1.10000,-56.60000,4.50000,-61.10000,-63.40000,-63.40000,-52.00000,-57.70000,53.00000,53.00000,-1.20000,-1.20000,6.12180,0.00140,0.00140,100.00000,-217.73580,-217.73580,-213.58490,-239.24530,0.01780,3.95520,22.75470,-8.76540,-8.76540,-4.25990,-8.75330,13.62150,-1.07740,-1.11700
2021-12-31,33.30000,33.30000,61.90000,18.90000,-47.50000,1.50000,-46.00000,,-46.00000,-52.90000,-52.90000,-41.40000,-47.50000,50.00000,50.00000,-1.01000,-1.01000,5.93240,0.00130,0.00130,100.00000,-142.64260,-142.64260,-138.13810,-158.85880,0.02110,1.29570,69.45950,-6.76730,-6.76730,-3.34470,-6.75870,14.74910,-0.7618,-0.7996
