Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1.26900,1.26900,16.77400,4.62600,-20.13100,0.96300,-19.16800,0.09100,-19.25900,-19.25900,-19.25900,-19.93900,-20.13100,6.27200,6.27200,-3.07000,-3.07000,3.80900,0.00370,0.00400,100.00000,-1586.36700,-1586.36700,-1510.48100,-1517.65200,0.01440,-38.44420,-38.44420,-21.77980,-38.30050,15.06650,-3.1983,-3.2025
2024-06-30,1.06100,1.06100,21.09900,6.37600,-26.41400,31.66400,5.25000,0.18900,5.06100,5.06100,5.06100,-26.65600,-26.41400,6.25780,6.26590,0.75000,0.75000,4.22550,0.00300,0.00310,100.00000,-2489.53800,-2489.53800,494.81620,477.00280,0.00980,7.52800,7.52800,4.65120,7.50530,21.06540,-3.0995,-3.1006
2024-03-31,0.98600,0.98600,16.36600,6.66600,-22.04600,-12.79300,-34.83900,0.02400,-34.86300,-34.86300,-34.86300,-21.45600,-22.04600,6.24620,6.24620,-5.50000,-5.50000,6.25340,0.00360,0.00370,100.00000,-2235.90300,-2235.90300,-3533.36700,-3535.80100,0.00770,-58.30320,-58.30320,-27.25760,-58.09240,19.75590,-3.64160,-3.65260
2023-12-31,2.68100,2.68100,22.25700,6.42100,-25.99700,-1.92500,-27.92200,-0.03000,-27.89200,-27.89200,-27.89200,-25.22200,-25.99700,2.57040,2.57040,0.37000,0.37000,5.90160,0.00250,0.00260,100.00000,-969.67570,-969.67570,-1041.47700,-1040.35800,0.01770,-30.29100,-30.29110,-18.40730,-30.21530,30.65250,1.6456,1.6451
2023-09-30,3.23900,3.23900,15.86700,6.44300,-19.07100,1.05900,-18.01200,0.02900,-18.04100,-18.04100,-18.04100,-18.39000,-19.07100,1.74000,1.74000,-10.37000,-10.37000,3.32220,0.00340,0.00450,100.00000,-588.79280,-588.79280,-556.09750,-556.99290,0.03770,-32.90890,-32.90890,-21.01410,-32.79650,31.50420,-11.5509,-11.5618
2023-06-30,6.88600,6.88600,16.78100,9.24600,-19.14100,1.10700,-18.03400,0.75700,-18.79100,-18.79100,-18.79100,-18.52900,-19.14100,1.72860,1.72860,-10.75000,-10.75000,3.46160,0.00290,0.00380,100.00000,-277.96980,-277.96980,-261.89370,-272.88700,0.06490,-26.98500,-26.98500,-17.70560,-26.90660,40.01740,-7.7848,-7.7767
2023-03-31,2.72300,2.72300,18.13500,8.50600,-23.91800,1.00200,-22.91600,0.03900,-22.95500,-22.95500,-22.95500,-23.34100,-23.91800,1.71640,1.71640,-13.25000,-13.25000,3.89720,0.00240,0.00370,100.00000,-878.36940,-878.36940,-841.57180,-843.00400,0.02240,-27.08550,-27.08560,-18.85610,-27.02020,49.34200,-13.04300,-13.04710
2022-12-31,3.53700,3.53700,19.10000,7.11900,-22.68200,0.84500,-21.83700,0.04900,-21.88600,-21.88600,-21.88600,-21.86000,-22.68200,1.70780,1.70780,-12.50000,-12.50000,4.03110,0.00220,0.00330,100.00000,-641.27800,-641.27810,-617.38770,-618.77280,0.02410,-21.06450,-21.06450,-14.91960,-21.01800,60.51540,-9.8845,-9.9385
2022-09-30,4.10600,4.10600,17.79100,5.26300,-18.94800,0.28400,-18.66400,-0.04300,-18.62100,-18.62100,-18.62100,-18.11100,-18.94800,1.71050,1.71050,-11.00000,-11.00000,4.91450,0.00140,0.00260,100.00000,-461.47110,-461.47110,-454.55430,-453.50710,0.02500,-15.26150,-15.26150,-11.34950,-15.23980,71.24330,-9.959,-9.9596
2022-06-30,3.69300,3.69300,16.51000,7.57600,-20.39300,0.51600,-19.87700,0.04700,-19.92400,-19.92400,-19.92400,-19.52800,-20.39300,1.70660,1.70660,-11.75000,-11.75000,5.29760,0.00150,0.00250,100.00000,-552.20680,-552.20680,-538.23450,-539.50710,0.02020,-14.54510,-14.54510,-10.91590,-14.52380,79.99730,-14.6257,-14.8203
2022-03-31,2.57100,2.57100,31.67600,6.45200,-35.55700,-0.00500,-35.56200,0.05300,-35.61500,-35.61500,-35.61500,-34.56500,-35.55700,1.70050,1.70050,-21.00000,-21.00000,4.71700,0.00150,0.00240,100.00000,-1383.00300,-1383.00300,-1383.19700,-1385.25900,0.01220,-23.29510,-23.29510,-16.92170,-23.26000,89.52180,-12.01670,-12.31960
