Date,cost-goods-sold,gross-profit,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-06-30,,,,,,,,,,,,,,0.00000,,,,,,,,,
2022-12-31,,,,,,,,,,,,,,0.00000,,,,,,,,0.1855,0.1855
2022-06-30,0.55400,-0.55400,-0.55400,-0.98060,-1.53460,-1.53460,-1.53460,-1.53460,-0.55400,-0.55400,3.90400,3.90400,-0.21000,-0.21000,0.01780,-0.41270,15.83650,15.83650,-4.56120,15.83650,-2.48220,-0.1594,-0.1594
2022-03-31,0.40250,-0.40250,-0.40250,0.61940,0.21690,0.21690,0.21690,0.21690,-0.40250,-0.40250,3.90400,3.90400,0.03000,0.03000,0.00770,-0.41760,-2.67390,-2.67390,0.64650,-2.67390,-2.07740,-0.02610,-0.02610
2021-12-31,,,-9.45650,-2.35500,-11.81150,-11.81150,-11.81150,-11.13560,-9.45650,-9.45650,240.03000,240.03000,0.02000,0.02000,0.19980,-0.45760,21.28660,21.28670,-84.97660,21.28670,-0.23120,0.043,0.043
2021-09-30,0.23350,-0.23350,-0.23350,0.01410,-0.21940,-0.21940,-0.21940,-0.21940,-0.23350,-0.23350,3.90400,3.90400,-0.01000,-0.01000,0.03290,-1.01920,7.30890,7.30890,-0.15480,7.30890,-0.76900,-0.0155,-0.0155
2021-06-30,0.96650,-0.96650,-0.96650,0.02240,-0.94410,-0.94410,-0.94410,-0.94410,-0.96650,-0.96650,3.90400,3.90400,-0.05000,-0.05000,0.09470,0.33600,-18.88150,-18.88150,-0.67210,-18.88150,1.06790,-0.014,-0.014
2021-03-31,0.10990,-0.10990,-0.10990,0.02010,-0.08980,-0.08980,-0.08980,-0.08980,-0.10990,-0.10990,3.90400,3.90400,-0.01000,-0.01000,0.75150,0.04000,-1.79630,-1.79630,-0.06460,-1.79630,1.09000,-0.03890,-0.03890
2020-12-31,0.29390,-0.29390,-0.29390,0.00350,-0.29040,-0.29040,-0.29040,-0.29040,-0.29390,-0.29390,3.90400,3.90400,-0.08000,-0.08000,1.85170,,16.60640,16.60650,-0.20900,16.60640,-0.44800,0.0586,0.0586
2020-09-30,0.20790,-0.20790,-0.20790,0.03590,-0.17200,-0.17200,-0.17200,-0.17200,-0.20790,-0.20790,3.90400,3.90400,-0.01000,-0.01000,6.15020,,-3.43940,-3.43930,-0.12350,-3.43940,1.15580,-0.0356,-0.0356
2020-06-30,0.17160,-0.17160,-0.17160,-0.24590,-0.41750,-0.41750,-0.41750,-0.41750,-0.17160,-0.17160,3.90400,3.90400,-0.12000,-0.12000,15.43030,,-8.34990,-8.34990,-0.29950,-8.34990,1.16120,-0.0232,-0.0232
2020-03-31,0.09480,-0.09480,-0.09480,0.87360,0.77880,0.77880,0.77880,0.77880,-0.09480,-0.09480,3.90400,3.90400,0.00000,0.00000,363.53800,,15.57570,15.57570,0.55820,15.57570,1.16500,-0.09350,-0.09350
2019-12-31,0.00900,-0.00900,-0.00900,,-0.00900,-0.00900,-0.00900,-0.00900,-0.00900,-0.00900,3.00000,3.00000,-0.00300,-0.00300,,,,,,,,-0.0031,-0.0031
2019-09-30,0.00040,-0.00040,-0.00040,,-0.00040,-0.00040,-0.00040,-0.00040,-0.00040,-0.00040,3.00000,3.00000,-0.00010,-0.00010,,,,,,,,-0.0001,-0.0001
2019-06-30,,,,,,,,,,,,,,0.00000,1.07530,9.83090,,,,,0.00290,0,0
2019-03-31,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3.00000,3.00000,0.00000,0.00000,,,,,,,,0.00000,
