Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,441.00000,441.00000,64.00000,-44.00000,215.00000,-55.00000,160.00000,160.00000,160.00000,160.00000,338.00000,333.00000,280.06600,280.06600,0.57000,0.57000,2.95590,0.54710,1.20820,100.00000,48.75280,75.51020,36.28120,36.28120,0.02910,0.56470,159.38780,2.39840,2.39840,1.05620,1.08610,23.81940,0.2893,0.2893
2024-06-30,439.00000,439.00000,64.00000,-45.00000,215.00000,-110.00000,105.00000,105.00000,105.00000,105.00000,335.00000,330.00000,280.06600,280.06600,0.37000,0.37000,2.33640,0.54260,1.18620,100.00000,48.97500,75.17090,23.91800,23.91800,0.02910,0.81000,111.11620,1.56550,1.56550,0.69530,0.71610,23.94790,1.3425,1.3425
2024-03-31,434.00000,434.00000,63.00000,-43.00000,212.00000,-39.00000,173.00000,173.00000,173.00000,173.00000,332.00000,328.00000,280.06600,280.06600,0.62000,0.62000,2.25740,0.53800,1.16470,100.00000,48.84790,75.57600,39.86180,39.86180,0.02860,0.69000,130.43780,2.53960,2.53960,1.14180,1.17320,24.32280,1.66390,1.66390
2023-12-31,447.00000,447.00000,66.00000,-41.00000,222.00000,-132.00000,90.00000,90.00000,90.00000,90.00000,344.00000,340.00000,280.27700,280.27700,0.31000,0.31000,1.88110,0.54450,1.19540,100.00000,49.66440,76.06260,20.13420,20.13420,0.02890,0.83400,107.91950,1.31410,1.31410,0.58180,0.59860,24.45500,0.4748,0.4748
2023-09-30,465.00000,465.00000,67.00000,-47.00000,234.00000,31.00000,265.00000,265.00000,265.00000,265.00000,355.00000,351.00000,280.06600,280.06600,0.95000,0.95000,1.75130,0.53490,1.15010,100.00000,50.32260,75.48390,56.98930,56.98930,0.03020,0.94320,95.41940,3.80200,3.80200,1.72260,1.76830,24.88700,0.864,0.864
2023-06-30,462.00000,462.00000,68.00000,-47.00000,229.00000,-87.00000,142.00000,142.00000,142.00000,142.00000,351.00000,347.00000,280.06600,280.06600,0.51000,0.51000,1.69160,0.54120,1.17980,100.00000,49.56710,75.10820,30.73590,30.73590,0.02980,1.17860,76.36360,2.05350,2.05350,0.91680,0.94210,24.69060,2.7199,2.7199
2023-03-31,456.00000,456.00000,67.00000,-46.00000,229.00000,-30.00000,199.00000,199.00000,199.00000,199.00000,347.00000,343.00000,280.91900,280.91900,0.71000,0.71000,1.85640,0.55410,1.24270,100.00000,50.21930,75.21930,43.64040,43.64040,0.02840,0.95000,94.73690,2.84980,2.84980,1.23930,1.27070,24.93340,0.87930,0.87930
2022-12-31,449.00000,449.00000,69.00000,-42.00000,229.00000,-162.00000,67.00000,67.00000,67.00000,67.00000,341.00000,338.00000,283.50800,283.50800,0.24000,0.24000,1.73140,0.55350,1.23990,100.00000,51.00220,75.27840,14.92210,14.92210,0.02780,1.02280,87.99560,0.95550,0.95550,0.41550,0.42660,24.88890,2.4533,2.4533
2022-09-30,411.00000,411.00000,73.00000,-40.00000,202.00000,-329.00000,-127.00000,-127.00000,-127.00000,-127.00000,302.00000,298.00000,283.17600,283.17600,-0.45000,-0.45000,2.11220,0.56070,1.27610,100.00000,49.14840,72.50610,-30.90020,-30.90020,0.02460,0.69660,129.19710,-1.77370,-1.77370,-0.75980,-0.77930,25.30230,1.152,1.152
2022-06-30,379.00000,379.00000,71.00000,-37.00000,188.00000,-261.00000,-73.00000,-73.00000,-73.00000,-73.00000,275.00000,271.00000,283.87600,283.87600,-0.26000,-0.26000,2.49240,0.55420,1.24300,100.00000,49.60420,71.50400,-19.26120,-19.26120,0.02200,0.55090,163.37730,-0.97500,-0.97500,-0.42470,-0.43470,26.41190,2.1283,2.1283
2022-03-31,396.00000,396.00000,74.00000,-40.00000,205.00000,20.00000,225.00000,225.00000,225.00000,225.00000,285.00000,282.00000,284.32400,284.32400,0.79000,0.79000,3.71020,0.55870,1.26630,100.00000,51.76770,71.21210,56.81820,56.81820,0.02200,0.38370,234.54550,2.89690,2.89690,1.25100,1.27830,27.33530,-1.82890,-1.82890
2021-12-31,364.00000,364.00000,71.00000,-34.00000,186.00000,-5.00000,181.00000,181.00000,181.00000,181.00000,261.00000,259.00000,211.67000,211.67000,-1.15000,-1.15000,3.14930,0.54180,1.18270,100.00000,51.09890,71.15390,49.72530,49.72530,0.02110,0.50560,178.02200,2.34150,2.34150,1.05060,1.07280,27.16640,-1.9457,-1.9457
2021-09-30,360.00000,360.00000,69.00000,-35.00000,186.00000,84.00000,270.00000,270.00000,270.00000,270.00000,258.00000,256.00000,285.12500,285.12500,0.95000,0.95000,2.02050,0.52330,1.09770,100.00000,51.66670,71.11110,75.00000,75.00000,0.02170,0.68180,132.00000,3.49020,3.49020,1.62450,1.66380,27.13650,-4.6913,-4.6913
2021-06-30,206.00000,206.00000,36.00000,-8.00000,116.00000,749.00000,865.00000,865.00000,865.00000,865.00000,164.00000,162.00000,150.35600,150.35600,5.75000,5.75000,2.83620,0.50220,1.00880,100.00000,56.31070,78.64080,419.90290,419.90290,0.01310,0.44300,203.15530,11.30280,11.30280,5.50150,5.62670,26.84040,0.1031,0.1031
