Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,328.41900,312.84100,15.57800,8.49300,-33.93600,42.96100,-27.38300,20.97800,-6.40500,-0.11400,-6.29100,-6.29100,-2.89300,-27.27600,-27.38300,6.36200,6.36200,-0.45000,-0.45000,1.05360,4.74330,-8.33780,-8.33780,-1.95030,-0.88090,0.27770,12.26090,7.34040,-6.16810,-20.23350,-0.53190,-6.16810,7.46600,-3.7993,-3.8735
2024-06-30,509.89800,491.70100,18.19700,5.51600,-33.65500,40.21400,-22.01700,-13.42100,-35.43800,0.07400,-35.51200,-35.51200,-16.42400,-21.90000,-22.01700,6.16200,6.16200,-2.67000,-2.67000,1.07430,3.56880,-4.31790,-4.31790,-6.95000,-3.22100,0.41020,20.86580,4.31330,-34.61920,-112.10310,-2.85720,-34.61920,7.59510,-13.1938,-13.1536
2024-03-31,854.58200,831.97200,22.61000,7.81100,-40.43900,54.44700,-31.83700,10.71800,-21.11900,0.15600,-21.27500,-21.27500,-8.16500,-31.78000,-31.83700,4.39600,4.39600,-1.86000,-1.86000,1.06580,2.64570,-3.72550,-3.72550,-2.47130,-0.95540,0.54240,22.99920,3.91320,-16.25500,-35.46890,-1.35030,-16.25500,10.01550,8.72450,8.32170
2023-12-31,214.51400,196.91000,17.60400,11.66300,-44.03500,96.09790,-78.49390,-0.15600,-78.65000,0.04300,-78.69300,-78.69300,-26.69900,-38.23090,-78.49400,3.56330,3.56330,-7.30000,-7.30000,1.10050,8.20650,-36.59150,-36.59150,-36.66430,-12.44630,0.22190,7.23150,12.44560,-57.98450,-121.41550,-8.13900,-57.98440,12.34440,-2.2853,-2.7692
2023-09-30,204.77400,189.42800,15.34600,7.44700,-33.47500,68.20600,-52.86000,1.34200,-51.51800,0.23100,-51.74900,-51.74900,-17.33100,-25.57600,-52.86000,3.65400,3.65400,-4.74000,-4.74000,1.16950,7.49410,-25.81380,-25.81380,-25.15850,-8.46350,0.24180,9.43700,9.53690,-24.51690,-50.32140,-6.11160,-24.51690,19.21210,7.0956,6.615
2023-06-30,347.62900,331.81000,15.81900,7.56600,-55.30000,66.90700,-51.08800,0.72900,-50.35900,0.15200,-50.51100,-50.51100,-16.84800,-47.26700,-51.08800,3.59300,3.59300,-4.69000,-4.69000,1.15010,4.55050,-14.69610,-14.69610,-14.48640,-4.84650,0.33960,16.54200,5.44070,-19.43660,-40.30050,-4.93400,-19.43660,23.66240,-7.4194,-7.9666
2023-03-31,13.21900,0.36300,12.85600,6.70900,-44.28100,58.30400,-45.44800,0.60700,-44.84100,0.01800,-44.85900,-44.85900,-13.97600,-42.38500,-45.44800,3.27500,3.27500,-4.27000,-4.27000,3.34930,97.25400,-343.80810,-343.80810,-339.21630,-105.72660,0.03200,0.52060,172.89200,-15.04010,-19.67660,-10.85340,-15.04010,28.04230,-14.42470,-15.56030
2022-12-31,16.44400,0.84100,15.60300,8.41800,-55.43600,347.57790,-331.97490,3.07500,-328.90000,-2.47600,-326.42400,-326.42400,-98.94800,-50.58700,-331.97500,2.84670,2.84670,-46.00000,-45.50000,3.54360,94.88570,-2018.82100,-2018.82200,-2000.12200,-601.72710,0.03610,0.64980,138.50280,-97.12860,-123.46350,-71.66250,-97.12860,31.77580,-10.6586,-14.0329
2022-09-30,13.21300,0.35300,12.86000,7.79200,-45.86700,1607.76100,-1594.90100,1.74700,-1593.15400,-0.60600,-1592.54800,-1592.54800,-468.13200,-40.79900,-1594.90100,3.06370,3.06370,-152.75000,-152.75000,2.49070,97.32840,-12070.70000,-12070.70000,-12057.47000,-3542.96500,0.01500,0.59770,150.57440,-241.72550,-518.29960,-181.27130,-241.72550,62.38050,-9.4404,-11.6135
2022-06-30,14.03500,0.46300,13.57200,9.76900,-41.25600,57.12300,-43.55100,10.81000,-32.74100,-5.10000,-27.64100,-27.64100,-3.89700,-37.45300,-43.55100,2.84900,2.84900,-1.25000,-1.25000,2.42070,96.70110,-310.30280,-310.30280,-233.28110,-27.76630,0.00560,0.64250,140.07550,-1.24250,-8.64060,-1.10650,-1.24250,210.84250,-18.0056,-22.8855
2022-03-31,12.53200,,12.53200,9.43500,-45.73200,,-48.48600,2.02700,-46.45900,-3.13800,-43.32100,-43.32100,-7.12800,-42.63500,-48.48600,2.28660,10.34470,-3.00000,-3.50000,5.87200,100.00000,-386.89760,-386.89760,-370.72300,-56.87840,0.00530,0.64410,139.73990,-1.91240,-12.20050,-1.81720,-1.91240,215.19490,-3.20510,-3.50690
2021-12-31,13.66400,,13.66400,9.31600,-109.97900,,-111.57500,-79.14700,-203.53500,10.95300,-214.48800,-214.48800,-93.65600,-105.63600,-111.57500,2.16070,2.16070,-34.80000,-34.80000,6.29790,100.00000,-816.56180,-816.56190,-1489.57100,-685.42160,0.00570,0.75320,119.49500,-9.34930,-56.65540,-8.88410,-9.34930,217.71610,-62.1561,-69.4125
2021-09-30,9.14200,,9.14200,4.44900,-31.28500,,-29.86200,1.02700,-28.83500,0.01200,-28.84700,-28.84700,-28.84700,-25.46400,-29.86200,,,,0.00000,0.13730,100.00000,-326.64620,-326.64620,-315.41240,-315.54360,0.04390,,,68.46330,68.46330,-13.85280,68.46330,-203.19740,0,0
2021-06-30,8.48600,,8.48600,8.95600,-41.25600,,-44.76000,0.21700,-31.73000,0.16100,-31.89100,-31.89100,-31.89100,-41.76200,-44.76000,,,,0.00000,0.25500,100.00000,-527.45700,-527.45700,-373.90990,-375.80720,0.04070,,,-637.81990,-637.81990,-15.29980,-637.81990,12.69170,1.6898,8.7231
2021-03-31,8.14500,,8.14500,6.10900,-27.65200,,-28.41000,-0.38700,-28.79700,0.02300,-28.82000,-28.82000,-28.82000,-25.06800,-28.41000,0.57640,0.57640,-50.00000,-50.00000,0.39880,100.00000,-348.80290,-348.80290,-353.55430,-353.83670,0.03900,,,-576.39960,-576.40000,-13.81410,-576.39970,10.43760,-1.68980,-8.72310
2020-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
2020-09-30,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
