Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,182.85400,126.37100,56.48300,20.90500,39.55300,100.85500,-39.32500,95.80800,3.48500,99.29300,14.21900,85.07400,85.07400,,85.07400,97.52100,95.80800,28.70500,29.36400,2.96000,2.90000,2.83510,30.88970,52.39590,52.39590,54.30180,46.52560,0.21200,0.78020,1.03120,87.27910,15.45870,16.54970,9.86210,15.45870,19.12990,3.6468,3.5922
2024-06-30,143.90000,112.07700,31.82300,19.85100,48.94300,-8.20000,78.68200,-46.85900,2.71300,-44.14600,1.02900,-45.17500,-45.17500,,-45.17500,-45.29900,-46.85900,28.88300,28.88300,-1.56000,-1.56000,2.59880,22.11470,-32.56360,-32.56360,-30.67830,-31.39330,0.19080,0.59320,0.97850,91.98200,-9.83350,-10.67660,-5.99070,-9.83350,16.01870,0.649,0.5676
2024-03-31,164.58600,116.34900,48.23700,20.22700,48.59600,-1.06200,69.88500,-21.64800,2.85000,-18.79800,-0.14800,-18.65000,-18.65000,,-18.65000,-20.16000,-21.64800,29.39500,29.39500,-0.63000,-0.63000,2.88000,29.30810,-13.15300,-13.15300,-11.42140,-11.33150,0.20540,0.55070,0.95260,94.47580,-3.64710,-3.92560,-2.32750,-3.64710,17.59010,0.58480,0.49940
2023-12-31,188.67400,123.03800,65.63600,19.59200,47.65900,-3.85400,68.51000,-2.87410,2.45400,-0.42000,1.24900,-1.66900,-1.66900,,-1.66900,-1.20410,-2.87400,29.35500,29.35500,-0.08000,-0.08000,2.82950,34.78800,-1.52330,-1.52330,-0.22260,-0.88460,0.22270,0.49440,1.01950,88.27560,-0.31170,-0.33430,-0.19700,-0.31170,18.08130,1.917,1.8415
2023-09-30,197.84500,128.91100,68.93400,20.73800,47.22900,-0.17800,69.58200,-0.64800,2.28000,1.63200,86.43100,-84.79900,-84.79900,,-84.79900,0.97700,-0.64800,29.52400,29.52400,-2.87000,-2.87000,2.84970,34.84240,-0.32750,-0.32750,0.82490,-42.86130,0.23480,0.45890,0.98480,91.38970,-15.91610,-17.07910,-10.06560,-15.91610,17.99470,0.8884,0.8209
2023-06-30,173.41300,119.11300,54.30000,20.83100,49.01800,,72.07800,-17.77800,7.99900,-9.77900,-1.19200,-8.58700,-8.58700,,-8.58700,-15.92300,-17.77800,29.31900,29.31900,-0.29000,-0.29000,2.77440,31.31250,-10.25180,-10.25180,-5.63910,-4.95180,0.18720,0.36710,0.96610,93.15700,-1.40140,-1.49240,-0.92680,-1.40140,20.84140,-1.1828,-1.2074
2023-03-31,180.90800,120.52600,60.38200,22.13400,50.11500,-0.10800,72.35700,-11.97500,1.40600,-10.56900,-0.85700,-9.71200,-9.71200,,-9.71200,-9.96400,-11.97500,29.04000,29.04000,-0.33000,-0.33000,2.51580,33.37720,-6.61940,-6.61940,-5.84220,-5.36850,0.18310,0.35740,0.93960,95.78680,-1.57010,-1.67140,-0.98290,-1.57010,21.28860,0.31410,0.28420
2022-12-31,249.10300,187.40700,61.69600,20.25000,49.95800,-3.66600,73.87400,-12.17800,2.06600,-10.11200,-4.06800,-6.04400,-6.04400,,-6.04400,-9.95300,-12.17800,29.00700,29.00700,-0.23000,-0.23000,2.41140,24.76730,-4.88870,-4.88870,-4.05940,-2.42630,0.24430,0.62550,0.89770,100.25430,-0.97350,-1.03630,-0.59270,-0.97350,21.47690,-0.1703,-0.2264
2022-09-30,249.58700,181.05800,68.52900,22.16700,48.15200,-0.36100,70.68000,-2.15100,0.63800,-1.51300,-4.31400,2.80100,2.80100,,2.80100,0.29600,-2.15100,28.89100,29.02900,0.10000,0.10000,2.51230,27.45700,-0.86180,-0.86180,-0.60620,1.12230,0.24830,0.60740,0.96030,93.72170,0.44970,0.47860,0.27860,0.44970,21.55530,-0.5262,-0.5981
2022-06-30,223.22400,161.80300,61.42100,22.20500,48.69300,-0.57300,71.47100,-10.05000,-0.82000,-10.87000,-2.33600,-8.53400,-8.53400,,-8.53400,-7.45900,-10.05000,28.89100,28.89100,-0.30000,-0.30000,2.61990,27.51540,-4.50220,-4.50220,-4.86950,-3.82310,0.22880,0.53790,1.02460,87.84260,-1.38490,-1.47550,-0.87480,-1.38490,21.44750,0.179,0.1411
