Date,revenue,gross-profit,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-06-30,6.23490,6.23490,2.53300,3.70190,-1.09330,2.60860,,2.60860,2.60860,2.60860,3.81950,3.70190,2.02000,2.02000,1.29000,1.29000,1.74990,0.35610,0.55310,100.00000,59.37370,59.37370,41.83860,41.83860,0.02530,2.91770,30.84670,1.69170,1.69170,1.05910,1.08920,76.33830,-4.0087,-4.0087
2024-03-31,4.65880,4.65880,2.52020,2.13870,3.23360,5.37230,,5.37230,5.37230,5.37230,2.52670,2.13870,2.04900,2.04900,2.62000,2.62000,2.39020,0.35370,0.54720,100.00000,45.90560,45.90560,115.31390,115.31390,0.01880,4.00220,22.48760,3.48240,3.48240,2.16890,2.25070,76.37220,4.4105,4.4105
2023-12-31,5.72170,5.72170,2.47070,3.25100,1.05310,4.30400,,4.30400,4.53380,4.53380,2.96910,3.25100,2.07300,2.07300,2.19000,2.19000,5.73490,0.35880,0.55960,100.00000,56.81840,56.81840,75.22330,79.23970,0.02410,3.48150,25.85070,3.00850,3.00850,1.90620,1.92900,73.15570,3.25820,3.25820
2023-09-30,5.67780,5.67780,2.30770,3.37010,3.98490,7.35500,,7.35500,7.34150,7.34150,2.48610,3.37010,2.09200,2.09200,3.53000,3.53000,0.90760,0.36480,0.57430,100.00000,59.35510,59.35510,129.53960,129.30280,0.02370,4.87780,18.45110,5.00430,5.00430,3.06290,3.17870,70.73560,-2.1395,-2.1395
2023-06-30,4.83880,4.83880,2.20480,2.63400,6.28270,8.91670,,8.91670,8.91670,8.91670,2.66500,2.63400,2.09100,2.09100,4.26000,4.26000,1.53470,0.37500,0.59990,100.00000,54.43480,54.43480,184.27410,184.27410,0.02080,4.42740,20.32810,6.37110,6.37110,3.83610,3.98220,66.99600,-2.2939,-2.2939
2023-03-31,4.91240,4.91240,1.75630,3.15610,3.55210,6.70820,,6.70820,6.70820,6.70820,3.04390,3.15610,2.09500,2.09500,3.20000,3.20000,3.83210,0.37560,0.60140,100.00000,64.24740,64.24740,136.55600,136.55600,0.02300,4.93720,18.22890,5.11490,5.11490,3.13570,3.19400,62.69160,-3.2287,-3.2287
2022-12-31,4.70320,4.70320,1.82140,2.88180,1.05660,3.93850,,3.93850,3.95190,3.95190,2.94320,2.88180,2.10100,2.10100,1.88000,1.88000,12.65630,0.38500,0.62610,100.00000,61.27360,61.27360,83.73960,84.02550,0.02290,1.97410,45.59150,3.16930,3.16930,1.92420,1.94910,59.37750,-2.23560,-2.23560
2022-09-30,5.09520,5.09520,2.01920,3.07600,-7.24490,-4.16890,,-4.16890,-4.65340,-4.65340,3.10690,3.07600,2.32400,2.32400,-1.59000,-1.59000,1.24760,0.39220,0.64510,100.00000,60.37030,60.37030,-81.82040,-91.32970,0.02330,4.44450,20.24970,-3.85070,-3.85070,-2.12610,-2.34070,57.49070,1.8911,1.8911
2022-06-30,3.65860,3.65860,2.24900,1.40960,-10.63880,-9.22920,,-9.22920,-9.22920,-9.22920,1.43640,1.40960,2.20200,2.20200,-4.19000,-4.19000,12.21230,0.37620,0.60320,100.00000,38.52850,38.52850,-252.26340,-252.26340,0.01740,2.15160,41.82930,-7.14990,-7.14990,-4.39570,-4.45980,58.75330,-6.7284,-6.7284
2022-03-31,3.65720,3.65720,1.28590,2.37130,0.60140,2.97270,,2.97270,2.97270,2.97270,2.41880,2.37130,2.39800,2.39800,1.24000,1.24000,3.39140,0.35880,0.55960,100.00000,64.83940,64.83940,81.28260,81.28260,0.01600,3.70600,24.28510,2.13920,2.13920,1.29760,1.37170,62.93490,-3.8275,-3.8275
2021-12-31,3.13320,3.13320,1.44550,1.68780,2.63070,4.31850,,4.31850,4.80300,4.80300,1.73160,1.68780,2.51700,2.51700,1.91000,1.91000,4.73350,0.34330,0.52280,100.00000,53.86710,53.86710,137.82840,153.29210,0.01300,0.67520,133.30190,3.23440,3.23440,1.99570,2.12390,58.99760,-3.94210,-3.94210
2021-09-30,4.36750,4.36750,2.03000,2.33750,-5.48420,-3.14670,,-3.14670,-7.04040,-7.04040,2.37600,2.33750,2.67800,2.67800,-2.63000,-2.63000,23.46590,0.35020,0.53890,100.00000,53.52070,53.52070,-72.04680,-161.19850,0.01940,1.66860,53.93790,-4.89960,-4.89960,-3.12780,-3.18380,57.08940,8.457,8.457
2021-06-30,8.68370,8.68370,1.99290,6.69080,0.27790,6.96870,,6.96870,6.96870,6.96870,6.90580,6.69080,2.68300,2.68300,2.60000,2.60000,28.17640,0.33060,0.49380,100.00000,77.05060,77.05060,80.25070,80.25070,0.03680,18.76320,4.79660,4.44780,4.44780,2.95350,2.97750,58.48400,-1.4159,-1.4159
2021-03-31,6.45440,6.45440,1.50730,4.94710,2.84030,7.78740,,7.78740,7.78740,7.78740,4.85550,4.94710,2.71700,2.71700,2.87000,2.87000,59.27710,0.33830,0.51130,100.00000,76.64650,76.64650,120.65260,120.65260,0.02810,8.02050,11.22120,5.15120,5.15120,3.39300,3.40850,55.90870,-0.853,-0.853
2020-12-31,12.80120,12.80120,2.45390,10.34740,-20.67900,-10.33160,,-10.33160,-6.43790,-6.43790,10.50480,10.34740,2.72400,2.72400,-2.36000,-2.36000,24.78980,0.34880,0.53560,100.00000,80.83110,80.83110,-80.70770,-50.29090,0.05720,37.06830,2.42800,-4.46510,-4.46510,-2.87430,-2.90770,52.93010,29.33370,29.33370
2020-09-30,4.42010,4.42010,3.01640,1.40370,0.11170,1.51540,,1.16600,1.27350,1.27350,1.60550,1.40370,2.72400,2.72400,0.47000,0.47000,12.84270,0.50060,1.00230,100.00000,31.75710,31.75710,34.28480,28.81120,0.01440,5.94450,15.14000,0.84550,0.84550,0.41600,0.42230,55.29350,1.5855,1.5855
2020-06-30,4.30910,4.30910,2.64160,1.66750,5.55090,7.21840,-0.34940,7.56780,7.60380,7.60380,1.91940,1.66750,2.72400,2.72400,2.79000,2.79000,8.03060,0.50230,1.00930,100.00000,38.69670,38.69670,167.51470,176.45850,0.01400,2.06750,43.52990,5.09140,5.09140,2.47720,2.53390,54.82600,4.5962,4.5962
2020-03-31,5.30120,5.30120,5.08470,0.21650,-78.99090,-78.77440,,-78.77440,-78.86010,-78.86010,1.29630,0.21650,2.72400,2.72400,-28.95000,-28.95000,11.67860,0.54700,1.20760,100.00000,4.08340,4.08340,-1485.97100,-1487.58700,0.01660,9.93410,9.05970,-55.63620,-55.63630,-24.75890,-25.20180,52.04030,5.3823,5.3823
2019-12-31,7.49120,7.49120,-0.72550,8.21670,-3.98910,4.22760,,4.22760,4.16980,4.16980,9.43540,8.21670,2.72400,2.72400,1.53000,1.53000,13.01300,0.48100,0.92680,100.00000,109.68440,109.68440,56.43460,55.66300,0.01730,3.93350,22.88010,1.89020,1.89020,0.96570,0.98100,80.99360,17.20300,17.20300
2019-09-30,8.11600,8.11600,11.01680,-2.90080,-33.93080,-36.83150,,-36.83150,-31.64760,-31.64760,-1.90000,-2.90080,2.72400,2.72400,-11.76000,-11.76000,3.91910,0.53770,1.16310,100.00000,-35.74110,-35.74110,-453.81260,-389.93990,0.01670,3.82830,23.50920,-14.62240,-14.62240,-6.50830,-6.75990,79.45390,18.3419,18.3419
2019-06-30,11.39400,11.39400,8.38340,3.01060,-33.25140,-30.24090,,-30.24090,-30.24090,-30.24090,3.61770,3.01060,2.72400,2.72400,-11.10000,-11.10000,2.69570,0.51720,1.07110,100.00000,26.42240,26.42240,-265.40980,-265.40980,0.02130,2.94290,30.58240,-12.19000,-12.19000,-5.66630,-5.88570,91.08200,40.7617,40.7617
2019-03-31,12.58690,12.58690,17.28290,-4.69600,-19.91320,-24.60920,,-24.60920,-24.60920,-24.60920,-4.05990,-4.69600,2.72370,2.72370,-9.00000,-9.00000,4.30760,0.58860,1.43100,100.00000,-37.30870,-37.30870,-195.51480,-195.51480,0.01810,1.93920,46.41120,-8.84200,-8.84200,-3.53820,-3.63720,102.18490,4.7988,4.7988
2018-12-31,14.20180,14.20180,6.43360,7.76820,-12.66180,-4.89350,,-4.89350,-10.07740,-10.07740,8.26020,7.76820,2.72370,2.72370,-3.60000,-3.60000,6.19500,0.56540,1.30080,100.00000,54.69880,54.69880,-34.45690,-70.95860,0.01990,2.66530,33.76770,-3.29700,-3.29700,-1.41050,-1.43300,112.22010,2.01960,2.01960
2018-09-30,15.20970,15.20970,7.91360,7.29610,-31.04690,-23.75080,,-23.75080,-23.53540,-23.53550,7.92370,7.29610,2.72400,2.72400,-8.53000,-8.53000,7.94350,0.56060,1.27600,100.00000,47.97020,47.97010,-156.15510,-154.73940,0.02050,2.26180,39.79130,-7.32780,-7.32780,-3.17360,-3.21970,117.92000,-17.0289,-17.0289
2018-06-30,13.94490,13.94490,6.28640,7.65850,-34.32440,-26.66600,,-26.66600,-26.66600,-26.66600,8.26120,7.65850,2.72370,2.72370,-9.80000,-9.80000,10.99430,0.54780,1.21160,100.00000,54.91950,54.91950,-191.22320,-191.22320,0.01770,2.62160,34.32980,-7.61530,-7.61530,-3.38070,-3.44330,128.56100,34.7138,34.7138
2018-03-31,17.03510,17.03510,5.96150,11.07360,-40.01880,-28.94520,0.02390,-28.96910,-28.77860,-28.77860,12.06190,11.07360,2.72370,2.72370,-10.60000,-10.60000,8.51730,0.53160,1.13510,100.00000,65.00450,65.00450,-169.91520,-168.93740,0.02060,1.65430,54.40480,-7.52830,-7.52830,-3.48370,-3.52600,140.35130,21.8007,21.8007
2017-12-31,20.63090,20.63090,6.55850,14.07240,-45.95090,-31.87850,0.13400,-32.01250,-31.94400,-31.94400,14.47780,14.07240,2.72370,2.72370,-11.80000,-11.80000,5.01930,0.52650,1.11190,100.00000,68.21030,68.21030,-154.51870,-154.83600,0.02290,2.00590,44.86800,-7.60990,-7.60990,-3.54920,-3.60340,154.11740,-10.59140,-10.59140
2017-09-30,22.14750,22.14750,6.38740,15.76010,-34.21130,-18.45120,,-18.45120,-12.15280,-12.15280,16.13360,15.76010,2.72370,2.72370,-4.80000,-4.80000,11.01790,0.51410,1.05790,100.00000,71.15970,71.15970,-83.31060,-54.87200,0.02310,2.13600,42.13500,-2.63940,-2.63940,-1.26650,-1.28260,169.04550,10.8719,10.8719
2017-06-30,23.69560,23.69560,6.80540,16.89010,-13.89150,2.99860,,2.99860,2.99860,2.99860,17.26470,16.89010,2.72370,2.72370,1.20000,1.20000,10.32440,0.51750,1.07260,100.00000,71.27970,71.27970,12.65460,12.65460,0.02340,2.06450,43.59350,0.62300,0.62300,0.29640,0.30060,176.70740,18.8399,18.8399
2017-03-31,24.35700,24.35700,7.17120,17.18580,-29.43380,-12.24810,,-12.24810,-12.24810,-12.24810,19.01540,17.18580,2.72370,2.72370,-4.40000,-4.40000,9.91820,0.51800,1.07480,100.00000,70.55780,70.55780,-50.28560,-50.28560,0.02380,2.09750,42.90820,-2.51490,-2.51490,-1.19790,-1.21210,178.80650,-7.6112,-7.6112
2016-12-31,26.05610,26.05610,7.94370,18.11240,-5.22120,12.89120,0.26720,12.62400,6.32560,6.32560,18.75960,18.11240,2.72370,2.72370,2.40000,2.40000,9.10130,0.49770,0.99100,100.00000,69.51300,69.51300,49.47480,24.27680,0.02520,2.23740,40.22500,1.23730,1.23730,0.61240,0.62140,187.70800,2.03440,2.03440
2016-09-30,27.19550,27.19550,10.74030,16.45520,-74.55340,-58.09830,,-58.09830,-3.22810,-3.22810,17.18750,16.45520,2.77000,2.77000,-1.40000,-1.40000,11.64240,0.49250,0.97030,100.00000,60.50700,60.50690,-213.63210,-11.86990,0.02640,2.45560,36.65100,-0.62450,-0.62450,-0.31310,-0.31690,189.78560,43.3291,43.3291
2016-06-30,28.41230,28.41230,9.77790,18.63440,-4.61200,14.02230,,14.02230,14.02230,14.02230,19.32230,18.63440,2.73820,2.73820,5.20000,5.20000,1.62220,0.49100,0.96480,100.00000,65.58550,65.58550,49.35310,49.35310,0.02660,2.49660,36.04930,2.62410,2.62410,1.31410,1.33560,195.15550,5.6983,5.6983
2016-03-31,30.71390,30.71390,8.21840,22.49550,-22.04760,0.44800,,0.44800,0.44800,0.44800,23.19200,22.49550,2.78810,2.78810,0.20000,0.20000,2.39480,0.48830,0.95410,100.00000,73.24220,73.24220,1.45850,1.45850,0.02890,2.42500,37.11270,0.08350,0.08350,0.04220,0.04270,196.03450,27.4037,27.4037
2015-12-31,34.42730,34.42730,11.79140,22.63600,-6.97010,15.66590,,15.66590,-39.20430,-39.20430,23.19520,22.63600,2.81500,2.81500,-14.00000,-14.00000,2.52320,0.51080,1.04400,100.00000,65.75000,65.75000,45.50420,-113.87560,0.02950,2.90820,30.94720,-6.96700,-6.96700,-3.35910,-3.40850,200.27580,22.08720,22.08720
2015-09-30,36.60750,36.60750,12.28830,24.31920,-79.62330,-55.30410,,-55.30410,-16.59810,-16.59810,24.76130,24.31920,2.88130,2.88130,-5.80000,-5.80000,1.84190,0.49480,0.97930,100.00000,66.43240,66.43240,-151.07310,-45.34070,0.02940,3.18020,28.30010,-2.67750,-2.67750,-1.33420,-1.35270,220.07570,-7.75,-7.75
2015-06-30,35.96380,35.96380,12.56330,23.40050,-15.02750,8.37300,,8.37300,8.37300,8.37300,23.59310,23.40050,2.89300,2.89300,2.80000,2.80000,3.57730,0.46850,0.88160,100.00000,65.06680,65.06680,23.28180,23.28180,0.02830,2.04720,43.96330,1.25810,1.25810,0.65920,0.66870,230.52670,6.524,6.524
2015-03-31,36.77590,36.77590,12.77460,24.00130,-12.21810,11.78320,,11.78320,11.78320,11.78320,24.05470,24.00130,2.92500,2.92500,4.00000,4.00000,3.03880,0.46130,0.85640,100.00000,65.26360,65.26360,32.04050,32.04050,0.02890,2.46200,36.55580,1.74280,1.74280,0.92630,0.93880,233.50650,8.5313,8.5313
2014-12-31,39.84890,39.84890,13.10240,26.74650,-6.35650,20.39000,,20.39000,-18.31590,-18.31590,26.95850,26.74650,2.93670,2.93670,-6.20000,-6.20000,3.50540,0.46140,0.85680,100.00000,67.11980,67.11980,51.16830,-45.96340,0.03070,2.81910,31.92560,-2.65520,-2.65520,-1.41060,-1.43000,234.89680,-14.42240,-14.42240
2014-09-30,38.25190,38.25190,12.23300,26.01890,-18.32990,7.68900,,7.68900,8.83420,8.83420,26.25180,26.01890,2.36840,2.36840,2.60000,2.60000,0.93160,0.41670,0.71450,100.00000,68.01980,68.01980,20.10090,23.09480,0.02890,1.30480,68.97360,1.21040,1.21040,0.66720,0.70600,248.53380,-70.6261,-70.6261
2014-06-30,38.07170,38.07170,12.02960,26.04210,-9.45360,16.58850,,16.58850,16.58850,16.58850,26.40500,26.04210,2.52520,2.52520,6.60000,6.60000,1.52910,0.38190,0.61790,100.00000,68.40270,68.40270,43.57170,43.57170,0.03460,1.31770,68.30160,2.50870,2.50870,1.50720,1.55060,252.93860,-14.6754,-14.6754
2014-03-31,31.39800,31.39800,10.22910,21.16890,-8.72690,12.44200,,12.44200,12.44200,12.44200,21.52010,21.16890,2.19420,2.19420,5.60000,5.60000,2.67290,0.40740,0.68750,100.00000,67.42110,67.42110,39.62670,39.62670,0.03120,2.45140,36.71370,2.11870,2.11870,1.23820,1.25560,253.75500,-56.2997,-56.2997
2013-12-31,31.66820,31.66820,10.09710,21.57110,-4.54020,17.03090,,17.03090,14.29350,14.29350,21.95890,21.57110,2.00820,2.00820,7.20000,7.20000,4.70250,0.41610,0.71270,100.00000,68.11590,68.11590,53.77900,45.13510,0.03580,3.49850,25.72540,2.80320,2.80320,1.61440,1.63670,253.67940,-27.19170,-27.19170
2013-09-30,27.47310,27.47310,8.95290,18.52030,3.58120,22.10140,,22.10140,15.12510,15.12510,18.84430,18.52030,1.51230,1.51230,8.20000,8.20000,1.79580,0.33430,0.50210,100.00000,67.41230,67.41230,80.44750,55.05430,0.03540,2.85950,31.47360,2.96670,2.96670,1.94810,1.97500,253.94590,-50.1502,-50.1502
2013-06-30,23.59110,23.59110,7.52620,16.06260,-12.90570,3.15690,,3.15690,3.15690,3.15690,16.28760,16.06260,1.63290,1.63290,2.00000,2.00000,0.95520,0.39830,0.66200,100.00000,68.08740,68.08740,13.38160,13.38160,0.03250,2.03970,44.12450,0.75120,0.75120,0.43550,0.45200,252.96220,-54.6482,-54.6482
2013-03-31,20.20740,20.20740,6.72890,13.32990,-1.80680,11.52320,,11.52320,11.52320,11.52320,13.47940,13.32990,1.43350,1.43350,8.00000,8.00000,0.94830,0.39090,0.64190,100.00000,65.96530,65.96530,57.02430,57.02430,0.03160,2.57020,35.01630,3.15290,3.15290,1.80090,1.92030,254.66400,-7.4165,-7.4165
2012-12-31,17.71950,17.71950,5.78510,11.93440,-2.31730,9.61710,,9.61710,9.61260,9.61260,12.02390,11.93440,1.23840,1.23840,7.80000,7.80000,1.25790,0.31140,0.45220,100.00000,67.35190,67.35190,54.27430,54.24880,0.03310,2.91470,30.87750,2.64270,2.64270,1.79820,1.81970,253.81890,-98.04360,-98.04360
2012-09-30,14.06540,14.06540,4.84300,9.22230,-0.77900,8.44340,,8.44340,7.33690,7.33700,9.35300,9.22230,0.89600,0.89600,7.60000,8.20000,0.54380,0.27550,0.38020,100.00000,65.56770,65.56770,60.02960,52.16330,0.03380,3.56980,25.21180,2.53570,2.53570,1.76470,1.83730,250.40170,-18.3634,-18.3634
2012-06-30,12.25240,12.25240,4.26290,7.98950,-3.14980,4.83970,,4.83970,4.83970,4.83970,8.14100,7.98950,0.86600,0.86600,5.60000,5.60000,1.13320,0.40530,0.68160,100.00000,65.20780,65.20780,39.50050,39.50050,0.03290,3.73860,24.07340,2.21830,2.21830,1.29830,1.31920,251.92900,-58.9597,-58.9597
