Date,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-06-30,,,,,,,,,,,,,0.00000,,,,,,,,,,
2022-12-31,394.13770,-678.36210,-33.86290,-267.27210,-267.13620,-267.13620,-236.94100,-678.36210,-233.41420,101.44200,101.44200,-2.53520,-2.53520,1.20450,0.05680,0.11180,-84.28890,-507.11290,-34.62670,-79.50120,2.41980,-0.7637,-0.9901
2022-09-30,1.29890,-1.29890,5.70060,4.40170,4.40170,4.40170,4.40170,-1.29890,-1.29890,12.35000,12.35000,0.08000,0.08000,0.03640,,-0.01750,-17.69380,-17.69380,1.05620,-17.69380,-2.01440,-0.0051,-0.0051
2022-06-30,1.05550,-1.05550,10.90650,9.84620,9.84620,9.84620,2.26230,-1.05550,-1.05550,12.35000,12.35000,0.18000,0.18000,0.08010,,-0.01870,-35.92620,-35.92620,2.37200,-35.92620,-2.21920,-0.0475,-0.0475
2022-03-31,1.63280,-1.63280,1.91960,0.28660,0.28660,0.28660,0.28660,-1.63280,-1.63280,12.35000,12.35000,0.01000,0.01000,0.17210,,-0.00020,-0.78300,-0.78300,0.06900,-0.78300,-2.96410,-0.02340,-0.02340
2021-12-31,,,,,,3.46030,-1.40690,,,38.45100,38.45100,-0.02000,-0.02000,0.19800,,-0.00020,-9.37940,-9.37940,0.83360,-9.37940,-2.98730,0.0799,0.0799
2021-09-30,0.27410,-0.27410,5.58170,5.30760,5.30760,5.30760,5.30760,-0.27410,-0.27410,12.35000,12.35000,0.10000,0.10000,2.82190,,0.00000,1.42050,1.42050,1.27860,1.42050,30.25480,-0.0128,-0.0128
2021-06-30,-0.15460,0.15460,-6.47370,-6.31910,-6.31910,-6.31910,-1.45190,0.15460,0.15460,12.35000,12.35000,-0.12000,-0.12000,3.73700,,0.00140,-126.38270,-126.38380,-1.52230,-126.38270,0.28710,0.0031,0.0031
2021-03-31,0.68520,-0.68520,19.11540,18.43020,18.43020,18.43020,18.43020,-0.68520,-0.68520,11.96000,11.96000,0.45000,0.45000,2.13040,,0.00140,368.60370,368.60440,4.43850,368.60370,0.29790,-0.07020,-0.07020
2020-12-31,,,,,,,,,,,,,0.00000,,,,,,,,,0,0
2020-06-30,0.53100,-0.53100,12.64200,12.11100,12.11100,12.11100,12.11100,-0.53100,-0.53100,,,,0.00000,,,,,,,,,0,0
