Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,68.82900,30.75700,38.07200,22.44500,-4.03900,26.48400,11.58800,11.58800,2.27300,9.31500,9.31500,9.31500,11.76300,11.58800,1.88400,1.89300,4.94000,4.92000,16.83590,16.83590,16.83590,13.53350,0.19550,3.43330,3.63920,2.64640,3.43330,144.00900,4.1122,3.3209
2024-06-30,65.38200,27.45500,37.92700,22.46200,-4.19800,26.66000,11.26700,11.26700,2.39600,8.87100,8.87100,8.87100,11.51900,11.26700,1.88400,1.88600,4.71000,4.70000,17.23260,17.23260,17.23260,13.56800,0.19210,3.38830,3.60340,2.60660,3.38830,138.96820,4.4726,3.3567
2024-03-31,53.45900,20.78000,32.67900,23.04700,-3.83500,26.88200,5.79700,5.79700,1.27200,4.52500,4.52500,4.52500,5.69100,5.79700,1.88800,1.88900,2.40000,2.40000,10.84380,10.84380,10.84380,8.46440,0.16220,1.78180,1.90080,1.37330,1.78180,134.79940,0.76070,-0.41080
2023-12-31,53.68300,20.50400,33.17900,22.49200,-4.47400,26.96600,6.21300,6.21300,0.37700,5.83600,5.83600,5.83600,6.31200,6.21300,1.89300,1.89300,3.08000,3.08000,11.57350,11.57350,11.57350,10.87120,0.16240,2.32000,2.48020,1.76550,2.32000,133.02640,7.4782,6.1911
2023-09-30,61.41000,25.64400,35.76600,23.29200,-3.86400,27.15600,8.61000,8.61000,1.52600,7.08400,7.08400,7.08400,8.67400,8.61000,1.89100,1.89100,3.75000,3.75000,14.02050,14.02050,14.02050,11.53560,0.18500,2.80370,3.00070,2.13430,2.80370,133.61610,0.3608,-0.4643
2023-06-30,58.31400,21.59400,36.72000,23.06100,-3.81300,26.87400,9.84600,9.84600,2.26100,7.58500,7.58500,7.58500,10.00000,9.84600,1.89500,1.89600,4.00000,4.00000,16.88450,16.88450,16.88450,13.00720,0.17650,3.06770,3.29320,2.29510,3.06770,130.75250,2.9853,1.6092
2023-03-31,51.34300,20.39400,30.94900,25.22000,-4.16800,29.38800,1.56100,1.56100,0.38000,1.18100,1.18100,1.18100,1.66700,1.56100,1.89700,1.89700,0.62000,0.62000,3.04030,3.04030,3.04030,2.30020,0.15860,0.48830,0.52590,0.36470,0.48830,127.41730,-6.90140,-7.98630
2022-12-31,65.49400,25.20800,40.28600,25.98600,-5.02600,31.01200,9.27400,9.27400,1.74800,7.52600,7.52600,7.52600,10.20900,9.27400,1.89700,1.89800,3.97000,3.97000,14.16010,14.16010,14.16010,11.49110,0.19280,3.12270,3.36880,2.21510,3.12270,127.04850,8.3721,7.4417
2022-09-30,77.99800,35.44400,42.55400,25.86000,-6.60600,32.46600,10.08800,10.08800,2.17500,7.91300,7.91300,7.91300,10.93200,10.08800,1.89700,1.89700,4.17000,4.17000,12.93370,12.93370,12.93370,10.14510,0.23440,3.31030,3.57910,2.37770,3.31030,126.01000,6.3351,5.5579
2022-06-30,70.90200,35.13600,35.76600,25.18600,-7.62700,32.81300,2.95300,2.95300,0.67400,2.27900,2.27900,2.27900,4.00900,2.95300,1.89700,1.89900,1.20000,1.20000,4.16490,4.16490,4.16490,3.21430,0.21800,0.97740,1.06070,0.70080,0.97740,122.91990,3.6587,2.8472
2022-03-31,68.99800,30.03300,38.96500,25.62200,-5.55000,31.17200,7.79300,7.79300,1.60800,6.18500,6.18500,6.18500,8.80900,7.79300,1.89600,1.90300,3.26000,3.25000,11.29450,11.29450,11.29450,8.96400,0.21010,2.66030,2.85190,1.88340,2.66030,122.55770,0.70890,0.24860
2021-12-31,91.04300,41.02300,50.02000,20.60000,-5.52800,26.12800,23.89200,23.89200,4.98000,18.91200,18.91200,18.91200,24.83600,23.89200,1.89400,1.90000,9.98000,9.94000,26.24250,26.24250,26.24250,20.77260,0.27460,8.25540,8.87320,5.70520,8.25540,120.89020,8.5479,9.4226
2021-09-30,81.41600,39.56300,41.85300,18.63200,-4.78400,23.41600,18.43700,18.43700,3.93400,14.50300,14.50300,14.50300,19.23500,18.43700,1.89400,1.90000,7.66000,7.63000,22.64540,22.64540,22.64540,17.81350,0.24270,5.91220,6.15930,4.32370,5.91220,129.51690,10.1017,9.7241
2021-06-30,84.96100,35.78200,49.17900,19.12500,-4.76600,23.89100,25.28800,25.28800,5.50600,19.78200,19.78200,19.78200,26.12700,25.28800,1.89400,1.89900,10.44000,10.42000,29.76420,29.76420,29.76420,23.28360,0.26810,8.52900,8.91250,6.24160,8.52900,122.45930,4.3399,4.7941
2021-03-31,72.07800,32.13300,39.94500,18.89500,-3.73500,22.63000,17.31500,17.31500,3.49200,13.82300,13.82300,13.82300,18.16400,17.31500,1.89400,1.89700,7.30000,7.29000,24.02260,24.02260,24.02260,19.17780,0.24390,6.49350,6.81760,4.67720,6.49350,112.39330,4.34260,3.49920
2020-12-31,77.12600,34.21500,42.91100,17.92000,-3.58000,21.50000,21.41100,21.41100,4.77600,16.63500,16.63500,16.63500,22.17000,21.41100,1.89200,1.89600,8.80000,8.79000,27.76110,27.76110,27.76110,21.56860,0.27260,8.30000,8.72540,5.87960,8.30000,105.93130,6.4042,5.9143
2020-09-30,67.63300,30.62000,37.01300,15.03100,-3.12500,18.15600,18.85700,18.85700,3.55600,15.30100,15.30100,15.30100,19.57300,18.85700,1.89200,1.89500,8.09000,8.07000,27.88140,27.88140,27.88140,22.62360,0.23340,7.18600,7.53630,5.28090,7.18600,112.54070,3.1119,2.6982
2020-06-30,61.74800,26.08300,35.66500,14.70500,-3.03800,17.74300,17.92200,17.92200,3.42700,14.49500,14.49500,14.49500,18.75100,17.92200,1.89200,1.89500,7.66000,7.65000,29.02440,29.02440,29.02440,23.47450,0.22060,7.30360,7.69200,5.17850,7.30360,104.89690,7.4088,7.006
