Date,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-12-31,2716.00100,1554.40000,1161.60100,-474.90010,726.50000,435.10110,-101.90000,333.20000,75.00000,258.20000,258.20000,,258.29990,648.10110,435.10080,220.50000,225.00000,1.10000,1.10000,1.50760,0.38690,0.65200,42.76880,16.01990,16.01990,12.26800,9.51030,0.04230,0.69710,129.09830,1.27950,7.64060,0.40180,0.78450,80.71840,3.2456,3.0539
2024-09-30,2806.80000,1621.90000,1184.90000,-494.00000,688.70000,496.20000,-92.90000,403.30000,89.20000,314.10000,314.10000,,312.60000,706.20000,496.20000,219.30000,223.90000,1.43000,1.39000,1.05920,0.38960,0.67580,42.21530,17.67850,17.67850,14.36870,11.13720,0.04900,0.70370,127.90080,2.57260,-7.24230,0.54870,1.57040,55.65000,4.1568,3.9937
2024-06-30,2775.40000,1620.10000,1155.30000,-465.00000,695.40000,459.89990,-94.30000,365.60000,80.20000,285.40000,285.40000,,283.40000,671.49990,459.89990,218.80000,222.90000,1.30000,1.27000,1.04100,0.40180,0.71370,41.62640,16.57060,16.57060,13.17290,10.21110,0.04400,0.66420,135.49290,2.46050,-6.06510,0.45300,1.47190,52.94070,0.5218,0.3797
2024-03-31,3256.70000,1725.90000,1530.80000,-474.30000,665.90000,864.89990,-92.20000,772.70000,160.00000,612.70000,612.70000,,608.40000,1072.60000,864.89990,217.50000,222.00000,2.80000,2.74000,1.04650,0.41320,0.73010,47.00460,26.55760,26.55760,23.72650,18.68150,0.05340,0.78500,114.65070,5.40100,-12.73910,1.00480,3.16910,51.91850,3.55540,3.42160
2023-12-31,2431.90000,1428.20000,1003.70000,-489.40000,1007.70000,-3.99930,-78.20000,-82.20000,-42.60000,-39.60000,-39.60000,,-32.20000,185.70070,-3.99930,214.90000,219.30000,-0.17000,-0.17000,1.03380,0.39310,0.73650,41.27230,-0.16450,-0.16450,-3.38010,-1.32410,0.04710,0.64220,140.13490,-0.36610,0.74810,-0.07670,-0.22220,49.90910,3.1878,2.9753
2023-09-30,2492.00000,1424.50000,1067.50000,-461.40000,630.60000,436.90010,-72.80000,364.10000,80.90000,283.20000,283.20000,,280.70000,608.60010,436.90010,215.70000,220.20000,1.30000,1.28000,1.04250,0.36430,0.64010,42.83710,17.53210,17.53210,14.61080,11.26410,0.04680,0.66110,136.13040,2.69460,-7.99100,0.53230,1.71290,48.68000,4.0635,3.7986
2023-06-30,2441.90000,1413.00000,1028.90000,-468.60000,653.70000,375.20000,-77.80000,297.40000,61.60000,235.80000,235.80000,,234.50000,550.90000,375.20000,214.90000,219.00000,1.09000,1.07000,1.03530,0.36580,0.68330,42.13520,15.36510,15.36510,12.17900,9.60320,0.04490,0.65710,136.97000,2.25860,-6.21490,0.43370,1.43230,48.44550,0.0385,-0.23
2023-03-31,2706.10000,1415.50000,1290.60000,-415.70000,616.90000,673.70000,-67.90000,605.80000,119.20000,486.60000,486.60000,,486.50000,833.10000,673.70000,212.80000,217.00000,2.29000,2.24000,1.06210,0.37920,0.69550,47.69230,24.89560,24.89560,22.38650,17.97790,0.06000,0.76740,117.28500,4.93590,-14.97690,1.07910,3.06420,46.02380,1.97470,1.83780
2022-12-31,2028.30000,1174.90000,853.39980,-401.30000,667.39900,186.00010,-64.00000,122.00000,-13.50000,135.50000,135.50000,,135.49990,340.00010,186.00000,210.30000,214.70000,0.64000,0.62000,1.04440,0.37710,0.66540,42.07470,9.17020,9.17020,6.01490,6.68050,0.05290,0.69670,129.17180,1.47440,-3.69080,0.35320,0.91850,43.37050,2.8365,2.6381
2022-09-30,2044.00000,1181.80000,862.20000,-353.50000,482.80000,379.39990,-64.40000,315.00000,58.70000,256.30000,256.30000,,255.80000,524.89990,379.39990,210.70000,215.00000,1.21000,1.19000,1.05970,0.39190,0.72400,42.18200,18.56160,18.56160,15.41100,12.51470,0.05290,0.12050,746.59490,2.97020,-7.86080,0.66280,1.80600,40.93500,2.9825,2.755
2022-06-30,2043.00000,1161.10000,881.90000,-358.50000,465.00000,416.90000,-64.60000,352.30000,67.20000,285.10000,285.10000,,284.20000,557.20000,416.90000,210.20000,214.30000,1.35000,1.33000,1.05270,0.38560,0.72770,43.16690,20.40630,20.40630,17.24430,13.91090,0.05110,0.11070,812.86350,3.21720,-8.47120,0.71290,1.97670,42.13890,-0.3593,-0.6078
