Date,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-09-30,9.01800,17.28300,-26.30100,2.84800,-23.45300,0.58600,-24.03900,-24.03900,-24.03900,-25.97600,-26.30100,107.16800,107.16800,-0.22000,-0.22000,10.05990,-10.18120,-10.18120,-9.14370,-10.18120,2.20320,-0.148,-0.1496
2023-06-30,9.45400,15.59000,-25.04400,3.62300,-21.42100,0.20000,-21.62100,-21.62100,-21.62100,-24.71000,-25.04400,107.16400,107.16400,-0.20000,-0.20000,12.61890,-8.46210,-8.46210,-7.75510,-8.46210,2.38420,-0.1803,-0.1807
2023-03-31,10.83100,15.13800,-25.96900,2.36200,-23.60700,0.43800,-24.04500,-24.04500,-24.04500,-25.64500,-25.96900,107.16200,107.16200,-0.22000,-0.22000,11.41950,-8.76190,-8.76190,-7.94660,-8.76190,2.56080,-0.16450,-0.16470
2022-12-31,10.57700,18.66800,-29.24500,10.61900,-18.62600,-0.35000,-18.27600,-18.27600,-18.27600,-28.92800,-29.24500,107.92300,107.92300,-0.17000,-0.17000,13.24470,-6.22380,-6.22380,-5.71200,-6.22380,2.74320,-0.2871,-0.2893
2022-09-30,8.25800,16.29100,-24.54900,2.65800,-21.89100,0.00600,-21.89700,-21.89700,-21.89700,-24.26900,-24.54900,108.35400,108.35400,-0.20000,-0.20000,14.72000,-7.14190,-7.14190,-6.22350,-7.14190,2.82960,-0.1454,-0.154
2022-06-30,28.59100,14.55100,-43.14200,0.75600,-42.38600,0.00500,-42.39100,-42.39100,-42.39100,-43.00400,-43.14200,107.92300,107.92300,-0.39000,-0.39000,15.80470,-12.99550,-12.99550,-11.40120,-12.99550,3.01050,-0.3644,-0.3675
2022-03-31,12.32900,16.08800,-28.41700,0.69700,-27.72000,0.00600,-27.72600,-27.72600,-27.72600,-28.14600,-28.41700,107.27500,107.27500,-0.26000,-0.26000,15.35090,-7.60090,-7.60090,-6.70550,-7.60090,3.40040,-0.12210,-0.12530
2021-12-31,7.65400,14.38200,-22.03600,-0.19400,-22.23000,-1.03500,-21.19500,-21.19500,-21.19500,-21.78900,-22.03600,34.39500,34.39500,2.83000,2.83000,26.48070,-5.47200,-5.47200,-4.97140,-5.47200,3.61070,1.6888,1.669
2021-09-30,4.65500,8.88900,-13.54400,0.03500,-13.50900,-0.39700,-13.11200,-13.11200,-13.11200,-13.40300,-13.54400,20.69100,20.69100,-0.63000,-0.63000,5.43610,5.18130,5.18130,-9.23860,5.18130,-11.61530,-1.8272,-1.8316
2021-06-30,93.03000,6.46100,-99.49100,0.03800,-99.45300,0.97500,-100.42800,-100.42800,-100.42800,-99.42000,-99.49100,20.47700,20.47700,-4.90000,-4.90000,,,,,,,-4.5351,-4.537
2021-03-31,53.35300,7.14600,-60.49900,-0.09100,-60.59000,0.97500,-61.56500,-61.56500,-61.56500,-60.43300,-60.49900,20.47700,20.47700,-3.01000,-3.01000,,,,,,,-0.09330,-0.09470
2020-12-31,,,,,,,,,,,,,,,0.00000,,,,,,,4.7996,4.8323
2020-09-30,116.91500,2.12900,-119.04400,-1.19400,-120.23800,,-120.23800,-120.23800,-120.23800,-119.04400,-119.04400,10.26600,10.26600,-11.71000,-11.71000,,,,,,,-4.7996,-4.8323
