,Announcement Date,Fiscal Quarter End,Estimated EPS,Actual EPS
0,2025-02-18,2024-12-31,$0.63,$0.66
1,2024-10-31,2024-09-30,$1.46,$1.50
2,2024-08-01,2024-06-30,$0.89,$0.96
3,2024-04-24,2024-03-31,$0.72,$0.54
4,2024-02-22,2023-12-31,$0.28,$0.26
5,2023-11-01,2023-09-30,$1.49,$1.64
6,2023-08-02,2023-06-30,$0.85,$0.92
7,2023-04-26,2023-03-31,$0.67,$0.57
8,2023-02-16,2022-12-31,$0.23,$0.26
9,2022-11-02,2022-09-30,$1.34,$1.42
10,2022-08-03,2022-06-30,$0.71,$0.89
11,2022-04-27,2022-03-31,$0.69,$0.66
12,2022-02-23,2021-12-31,$0.35,$0.38
13,2021-11-03,2021-09-30,$1.25,$1.23
14,2021-08-04,2021-06-30,$0.71,$0.67
15,2021-04-28,2021-03-31,$0.60,$0.74
16,2021-02-24,2020-12-31,$0.34,$0.36
17,2020-10-28,2020-09-30,$1.21,$1.22
18,2020-07-29,2020-06-30,$0.62,$0.69
19,2020-05-11,2020-03-31,$0.47,$0.57
20,2020-02-19,2019-12-31,$0.33,$0.34
21,2019-10-30,2019-09-30,$1.16,$1.26
22,2019-07-31,2019-06-30,$0.69,$0.68
23,2019-05-01,2019-03-31,$0.47,$0.41
24,2019-02-20,2018-12-31,$0.24,$0.30
25,2018-10-31,2018-09-30,$1.42,$1.89
26,2018-08-01,2018-06-30,$0.63,$0.90
27,2018-04-25,2018-03-31,$0.66,$0.58
28,2018-02-23,2017-12-31,$0.21,$0.38
29,2017-10-24,2017-09-30,$1.12,$1.18
30,2017-08-02,2017-06-30,$0.60,$1.56
31,2017-04-26,2017-03-31,$0.53,$0.50
32,2017-02-15,2016-12-31,$0.06,$0.16
33,2016-10-25,2016-09-30,$0.98,$1.16
34,2016-08-02,2016-06-30,$0.52,$1.56
35,2016-04-26,2016-03-31,$0.59,$0.68
36,2016-02-18,2015-12-31,$0.77,$0.79
37,2015-11-02,2015-09-30,$0.97,$0.95
38,2015-08-04,2015-06-30,$0.57,$0.42
39,2015-04-28,2015-03-31,$0.65,$0.84
40,2015-02-05,2014-12-31,$0.42,$0.38
