Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share
2024-09-30,1070.00000,407.00000,663.00000,28.00000,341.00000,322.00000,-959.00000,-637.00000,27.00000,-664.00000,-664.00000,-674.00000,635.00000,322.00000,0.51160,0.47050,0.97080,61.96260,30.09350,30.09350,-59.53270,-62.99070,0.02500,0.48700,184.79440,-4.68070,-4.93610,-1.54870,-2.47840,78.96850
2024-06-30,1032.00000,419.00000,613.00000,22.00000,334.00000,279.00000,-612.00000,-333.00000,6.00000,-339.00000,-339.00000,-342.00000,591.00000,279.00000,0.40190,0.46390,0.95520,59.39920,27.03490,27.03490,-32.26740,-33.13950,0.02420,0.51170,175.90120,-2.28450,-2.41370,-0.79550,-1.22480,82.60360
2024-03-31,1149.00000,484.00000,665.00000,21.00000,366.00000,299.00000,225.00000,524.00000,33.00000,491.00000,491.00000,491.00000,644.00000,299.00000,0.38930,0.44980,0.90480,57.87640,26.02260,26.02260,45.60490,42.73280,0.02600,0.59840,150.39160,3.06570,3.23690,1.10990,1.68660,89.15150
2023-12-31,1503.00000,466.00000,1037.00000,-6.00000,383.00000,654.00000,-1191.00000,-537.00000,-35.00000,-502.00000,-502.00000,-747.00000,1043.00000,654.00000,0.39570,0.45290,0.93830,68.99540,43.51300,43.51300,-35.72850,-49.70060,0.03040,0.63100,142.63470,-2.93070,-3.08450,-1.01580,-1.60330,95.34560
2023-09-30,1029.00000,388.00000,641.00000,26.00000,346.00000,295.00000,1102.00000,1397.00000,27.00000,1370.00000,1370.00000,1340.00000,615.00000,295.00000,0.44630,0.41780,0.77540,62.29350,28.66860,28.66860,135.76290,130.22350,0.02350,0.50270,179.03790,7.71480,8.08550,3.12780,4.49170,98.84660
2023-06-30,940.00000,308.00000,632.00000,32.00000,359.00000,273.00000,105.00000,378.00000,18.00000,360.00000,360.00000,291.00000,600.00000,273.00000,0.38860,0.43640,0.83480,67.23410,29.04260,29.04260,40.21280,30.95750,0.02130,0.45590,197.42550,2.18260,2.29340,0.81440,1.23010,91.80820
2023-03-31,1079.00000,304.00000,775.00000,36.00000,342.00000,433.00000,-1290.00000,-857.00000,63.00000,-920.00000,-920.00000,-1065.00000,739.00000,433.00000,0.33980,0.44210,0.88630,71.82580,40.12980,40.12980,-79.42540,-98.70250,0.02490,0.53500,168.23910,-5.85580,-6.23390,-2.12720,-3.26690,91.22200
2022-12-31,970.00000,294.00000,676.00000,37.00000,346.00000,330.00000,743.00000,1073.00000,-5.00000,1078.00000,1078.00000,953.00000,639.00000,330.00000,0.47250,0.42460,0.81520,69.69070,34.02060,34.02060,110.61860,98.24740,0.02240,0.50100,179.62890,6.40750,6.69520,2.49030,3.68670,97.69000
2022-09-30,905.00000,293.00000,612.00000,37.00000,325.00000,287.00000,245.00000,532.00000,15.00000,517.00000,517.00000,480.00000,575.00000,287.00000,0.32580,0.47110,0.98980,67.62430,31.71270,31.71270,58.78450,53.03870,0.02220,0.49970,180.09940,3.76600,4.04790,1.26700,1.99180,79.71280
2022-06-30,1003.00000,296.00000,707.00000,43.00000,329.00000,378.00000,829.00000,1207.00000,70.00000,1137.00000,1137.00000,1046.00000,664.00000,378.00000,0.30390,0.47640,1.00930,70.48850,37.68690,37.68690,120.33900,104.28710,0.02400,0.57610,156.22130,8.22240,8.88350,2.72210,4.30540,80.29160
2022-03-31,993.00000,291.00000,702.00000,52.00000,348.00000,354.00000,-1198.00000,-844.00000,38.00000,-882.00000,-882.00000,-976.00000,650.00000,354.00000,0.24040,0.46240,0.99030,70.69490,35.64960,35.64960,-84.99500,-98.28800,0.02310,0.61790,145.64960,-6.35450,-6.90520,-2.04770,-3.41600,80.59120
