Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,286.62500,227.38100,59.24400,46.78600,46.78600,12.45800,5.50400,17.96200,7.54100,10.42100,10.42100,,10.42100,9.53600,12.45800,90.06800,93.82200,0.12000,0.11000,2.62050,,20.66950,4.34640,4.34640,6.26670,3.63580,0.43430,1.02100,88.14710,2.39630,2.49530,1.57900,2.39630,4.92260,0.5105,0.4907
2024-06-30,304.08700,235.80600,68.28100,47.59400,47.59400,20.68700,4.38000,25.06700,8.58200,16.48500,16.48500,,16.48500,21.44100,20.68700,93.86800,97.84000,0.18000,0.17000,2.58340,,22.45440,6.80300,6.80300,8.24340,5.42110,0.43530,1.03500,86.95420,3.61360,3.75420,2.35960,3.61360,5.02910,0.5879,0.5787
2024-03-31,278.07800,215.67200,62.40600,43.88300,43.88300,18.52300,3.99200,22.51500,5.61700,16.89800,16.89800,,16.89800,19.23900,18.52300,96.48500,101.05300,0.18000,0.17000,3.30960,,22.44190,6.66110,6.66110,8.09660,6.07670,0.35010,0.93560,96.19180,2.95620,3.01900,2.12740,2.95620,5.94700,0.25460,0.24620
2023-12-31,269.94000,213.04600,56.89400,43.09400,43.09400,13.80000,2.46200,16.26200,2.79200,13.47000,13.47000,,13.47000,17.13500,13.80000,95.02100,100.67200,0.13000,0.13000,3.44400,,21.07650,5.11220,5.11220,6.02430,4.99000,0.35680,1.11610,80.64090,2.43390,2.48730,1.78030,2.43390,5.74400,0.3771,0.3703
2023-09-30,280.89100,218.26700,62.62400,44.43500,44.43500,18.18900,2.74200,20.93100,5.03300,15.89800,15.89800,,15.89800,16.06700,18.18900,95.50200,100.88000,0.17000,0.16000,3.16040,,22.29480,6.47550,6.47550,7.45160,5.65980,0.38660,1.04510,86.11500,3.08460,3.15740,2.18830,3.08460,5.38190,0.5346,0.5252
2023-06-30,279.37300,218.73200,60.64100,45.45700,45.45700,15.18400,1.98300,17.16700,2.17600,14.99100,14.99100,,14.99100,15.71100,15.18400,94.73900,100.61600,0.16000,0.15000,2.89390,,21.70610,5.43500,5.43500,6.14480,5.36590,0.40990,1.05440,85.35620,3.19300,3.27590,2.19960,3.19300,4.93350,0.7545,0.747
2023-03-31,258.39400,199.75400,58.64000,43.62900,43.62900,15.01100,1.32000,16.33100,-1.34700,17.67800,17.67800,,17.67800,15.55200,15.01100,93.83300,100.16600,0.19000,0.18000,2.54790,,22.69400,5.80940,5.80940,6.32020,6.84150,0.39770,0.82490,109.10490,4.16540,4.28540,2.72080,4.16540,4.49960,0.20930,0.19680
2022-12-31,214.32100,169.82700,44.49400,41.18800,41.18800,3.30600,0.83500,4.14100,0.73300,3.40800,3.40800,,3.40800,3.75200,3.30600,92.19500,99.95700,0.04000,0.03000,2.71950,,20.76050,1.54250,1.54260,1.93210,1.59010,0.39470,0.89280,100.81150,0.90410,0.93370,0.62760,0.90410,4.04030,0.515,0.5078
2022-09-30,205.37100,159.37600,45.99500,34.74000,34.74000,11.25500,0.28400,11.53900,-1.67200,13.21100,13.21100,,13.21100,11.66000,11.25500,92.31600,99.82000,0.14000,0.13000,2.56180,,22.39610,5.48030,5.48030,5.61860,6.43270,0.40230,0.79590,113.07900,3.80880,3.94650,2.58810,3.80880,3.74440,0.2092,0.1968
2022-06-30,195.00400,151.11700,43.88700,35.04900,35.04900,8.83800,0.06500,8.90300,0.13500,8.76800,8.76800,,8.76800,9.22400,8.83800,91.96500,99.67300,0.10000,0.09000,2.45950,,22.50570,4.53220,4.53220,4.56550,4.49630,0.42130,0.84830,106.08890,2.81910,2.93440,1.89420,2.81910,3.37860,0.1928,0.1879
2022-03-31,172.21700,139.26800,32.94900,33.00700,33.00700,-0.05800,-0.08400,-0.14200,-5.11300,4.97100,4.97100,,4.97100,0.30600,-0.05800,91.41000,99.93600,0.05000,0.05000,2.40080,,19.13230,-0.03370,-0.03370,-0.08250,2.88650,0.41450,0.86930,103.53680,1.77780,1.85990,1.19630,1.77780,3.04790,-0.11270,-0.12060
2021-12-31,127.55300,102.43800,25.11500,25.30300,25.30300,-0.18800,-0.21000,-0.39800,-15.47800,15.08000,15.08000,,15.08000,0.12800,-0.18800,89.10600,100.35800,0.17000,0.15000,2.61620,,19.68990,-0.14740,-0.14740,-0.31200,11.82250,0.35620,0.94790,94.94200,5.98840,6.30060,4.21150,5.98840,2.76460,0.0878,0.0817
2021-09-30,122.28400,93.79200,28.49200,19.42700,19.42700,9.06500,0.05200,9.11700,-7.67900,16.79600,16.79600,,16.79600,9.33200,9.06500,89.57100,100.37000,0.19000,0.17000,2.43510,,23.29990,7.41310,7.41310,7.45560,13.73520,0.36320,0.90460,99.49210,7.49440,7.94100,4.98870,7.49440,2.48990,0.2411,0.234
