Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,4894.00000,3400.00000,1494.00000,461.00000,461.00000,1033.00000,72.00000,1105.00000,327.00000,778.00000,778.00000,777.00000,1171.00000,1033.00000,4141.80700,4150.53800,0.19000,0.19000,2.19340,30.52720,21.10750,21.10750,22.57870,15.87660,0.28910,0.90980,98.91910,7.17840,8.42540,4.59590,7.17840,2.61670,0.2167,0.202
2024-06-30,4714.00000,3259.00000,1455.00000,461.00000,461.00000,994.00000,88.00000,1082.00000,318.00000,764.00000,764.00000,763.00000,1132.00000,994.00000,4140.27300,4148.07800,0.18000,0.18000,1.89250,30.86550,21.08610,21.08610,22.95290,16.18580,0.27300,0.90310,99.66060,7.63770,8.53820,4.42390,7.63770,2.41510,0.27720,0.26370
2024-03-31,4564.00000,3219.00000,1345.00000,428.00000,428.00000,917.00000,316.00000,1233.00000,273.00000,960.00000,960.00000,959.00000,1057.00000,917.00000,4138.56800,4144.68000,0.24000,0.23000,2.30530,29.46980,20.09200,20.09200,27.01580,21.01230,0.27620,0.88600,101.57540,9.05230,10.03870,5.81010,9.05230,2.56160,0.2204,0.2044
2023-12-31,4663.00000,3274.00000,1389.00000,433.00000,433.00000,956.00000,79.00000,1035.00000,301.00000,734.00000,734.00000,733.00000,1097.00000,956.00000,4138.96400,4143.56600,0.18000,0.18000,1.98630,29.78770,20.50180,20.50180,22.19600,15.71950,0.29880,0.88500,101.69630,7.59210,8.54180,4.70330,7.59210,2.33570,0.1705,0.1604
2023-09-30,4718.00000,3271.00000,1447.00000,447.00000,447.00000,1000.00000,60.00000,1060.00000,309.00000,751.00000,751.00000,751.00000,1141.00000,1000.00000,4138.63700,4142.82000,0.18000,0.18000,1.98310,30.66980,21.19540,21.19540,22.46720,15.91780,0.30070,0.92600,97.19160,7.68600,8.61930,4.78680,7.68600,2.36080,0.1759,0.1617
2023-06-30,4617.00000,3211.00000,1406.00000,445.00000,445.00000,961.00000,57.00000,1018.00000,294.00000,724.00000,724.00000,724.00000,1104.00000,961.00000,4137.23500,4142.20800,0.17000,0.17000,1.66630,30.45270,20.81440,20.81440,22.04900,15.68120,0.28840,0.92820,96.95910,7.93770,9.00610,4.52300,7.93770,2.20400,0.19270,0.16880
2023-03-31,4554.00000,3165.00000,1389.00000,432.00000,432.00000,957.00000,71.00000,1028.00000,283.00000,745.00000,745.00000,744.00000,1093.00000,957.00000,4180.89800,4187.73100,0.18000,0.18000,1.80880,30.50070,21.01450,21.01450,22.57360,16.33730,0.29740,0.91910,97.92490,8.07680,9.16470,4.86550,8.07680,2.23000,0.1939,0.1711
2022-12-31,4659.00000,3230.00000,1429.00000,428.00000,428.00000,1001.00000,84.00000,1085.00000,285.00000,800.00000,800.00000,800.00000,1138.00000,1001.00000,4190.55000,4195.92000,0.19000,0.19000,1.75730,30.67180,21.48530,21.48530,23.28830,17.17110,0.30600,0.94480,95.25440,8.86330,10.09080,5.25420,8.86330,2.16430,0.1538,0.1376
2022-09-30,4555.00000,3170.00000,1385.00000,406.00000,406.00000,979.00000,65.00000,1044.00000,295.00000,749.00000,749.00000,748.00000,1107.00000,979.00000,4194.61800,4199.83000,0.18000,0.18000,2.00720,30.40620,21.49290,21.49290,22.91990,16.42150,0.29120,0.95750,93.99120,7.58330,8.50650,4.78900,7.58330,2.35450,0.1562,0.1402
2022-06-30,4444.00000,3144.00000,1300.00000,412.00000,412.00000,888.00000,80.00000,968.00000,279.00000,689.00000,689.00000,689.00000,1011.00000,888.00000,4193.74800,4199.49200,0.16000,0.16000,1.86990,29.25290,19.98200,19.98200,21.78220,15.50410,0.29250,0.96070,93.68590,7.33990,8.24460,4.53500,7.33990,2.23800,0.17740,0.15620
2022-03-31,4281.00000,2956.00000,1325.00000,405.00000,405.00000,920.00000,78.00000,998.00000,245.00000,753.00000,753.00000,752.00000,1038.00000,920.00000,4209.54700,4218.52500,0.18000,0.18000,1.99980,30.95070,21.49030,21.49030,23.31230,17.56600,0.27520,0.94690,95.04560,7.53450,8.41150,4.84090,7.53450,2.38350,0.1975,0.1779
