Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2021-12-31,4250.00000,2856.00000,1394.00000,396.00000,396.00000,998.00000,61.00000,1059.00000,283.00000,776.00000,776.00000,774.00000,1118.00000,998.00000,4190.86600,4198.92400,0.18000,0.18000,1.94490,32.80000,23.48240,23.48240,24.91770,18.21180,0.28960,0.97450,92.35060,8.26680,9.32130,5.28860,8.26680,2.23970,0.1891,0.1729
2021-09-30,3998.00000,2675.00000,1323.00000,382.00000,382.00000,941.00000,65.00000,1006.00000,272.00000,734.00000,734.00000,733.00000,1056.00000,941.00000,4210.06500,4218.29400,0.17000,0.17000,2.16730,33.09160,23.53680,23.53680,25.16260,18.33420,0.27970,1.00480,89.57230,7.74510,8.74120,5.13470,7.74510,2.26150,0.1872,0.1705
2021-06-30,3782.00000,2509.00000,1273.00000,377.00000,377.00000,896.00000,77.00000,973.00000,268.00000,705.00000,705.00000,704.00000,1009.00000,896.00000,4245.51700,4253.31100,0.17000,0.17000,2.09180,33.65940,23.69120,23.69120,25.72710,18.61450,0.25680,0.97350,92.45110,7.24640,8.17580,4.78620,7.24640,2.29360,0.21910,0.20290
2021-03-31,3612.00000,2357.00000,1255.00000,371.00000,371.00000,884.00000,67.00000,951.00000,254.00000,697.00000,697.00000,697.00000,998.00000,884.00000,4242.41700,4250.73200,0.17000,0.16000,2.54500,34.74530,24.47400,24.47400,26.32890,19.29680,0.24360,0.98450,91.42030,6.63680,7.42520,4.70150,6.63680,2.47390,0.2007,0.1879
2020-12-31,3516.00000,2275.00000,1241.00000,348.00000,348.00000,893.00000,77.00000,970.00000,263.00000,707.00000,707.00000,705.00000,1005.00000,893.00000,4242.86700,4250.60700,0.17000,0.17000,2.60500,35.29580,25.39820,25.39820,27.58820,20.05120,0.25350,0.95570,94.17240,7.16970,8.12080,5.09770,7.16970,2.32390,0.1949,0.1815
2020-09-30,3312.00000,2125.00000,1187.00000,347.00000,347.00000,840.00000,70.00000,910.00000,255.00000,655.00000,655.00000,653.00000,955.00000,840.00000,4241.90800,4248.96200,0.15000,0.15000,2.77140,35.83940,25.36230,25.36230,27.47590,19.71620,0.24780,0.95720,94.02170,6.76440,7.51230,4.90160,6.76440,2.28240,0.1865,0.1586
2020-06-30,3121.00000,2071.00000,1050.00000,342.00000,342.00000,708.00000,57.00000,765.00000,201.00000,564.00000,564.00000,558.00000,808.00000,708.00000,4241.10100,4246.27900,0.13000,0.13000,2.25230,33.64310,22.68500,22.68500,24.51140,17.87890,0.23940,0.90830,99.08360,6.40330,7.18290,4.32610,6.40330,2.07670,0.18440,0.17140
2020-03-31,3196.00000,2131.00000,1065.00000,390.00000,390.00000,675.00000,78.00000,753.00000,160.00000,593.00000,593.00000,590.00000,778.00000,675.00000,4257.75500,4265.14400,0.14000,0.14000,2.61590,33.32290,21.12020,21.12020,23.56070,18.46060,0.26070,0.94440,95.29410,6.81530,7.65060,4.83690,6.81530,2.05180,0.1583,0.1373
2019-12-31,3243.00000,2159.00000,1084.00000,373.00000,373.00000,711.00000,110.00000,821.00000,194.00000,627.00000,627.00000,626.00000,814.00000,711.00000,4239.60800,4245.71600,0.15000,0.15000,2.54180,33.42580,21.92410,21.92410,25.31610,19.30310,0.26780,0.94190,95.55040,7.31020,8.03020,5.17750,7.31020,2.02300,0.1832,0.1586
2019-09-30,3210.00000,2140.00000,1070.00000,374.00000,374.00000,696.00000,83.00000,779.00000,207.00000,572.00000,572.00000,569.00000,799.00000,696.00000,4249.34400,4255.82300,0.13000,0.13000,2.54220,33.33330,21.68220,21.68220,24.26790,17.72590,0.26700,0.97540,92.27100,6.65970,7.31270,4.75830,6.65970,2.02600,0.1245,0.0946
2019-06-30,3131.00000,2122.00000,1009.00000,367.00000,367.00000,642.00000,100.00000,742.00000,196.00000,546.00000,546.00000,546.00000,740.00000,642.00000,4302.17700,4308.28600,0.13000,0.13000,2.08290,32.22610,20.50460,20.50460,23.69850,17.43850,0.25220,0.96220,93.53560,6.62860,7.33770,4.39720,6.62860,1.92840,0.14620,0.11260
2019-03-31,3060.00000,2028.00000,1032.00000,373.00000,373.00000,659.00000,94.00000,753.00000,170.00000,583.00000,583.00000,582.00000,734.00000,659.00000,4347.13000,4353.42100,0.14000,0.14000,2.83850,33.72550,21.53600,21.53600,24.60780,19.01960,0.24980,1.04760,85.91180,6.20210,6.63400,4.75840,6.20210,2.16790,0.1339,0.1072
2018-12-31,2987.00000,1956.00000,1031.00000,356.00000,356.00000,675.00000,40.00000,715.00000,213.00000,502.00000,502.00000,502.00000,757.00000,675.00000,4347.67300,4352.73100,0.12000,0.12000,3.08180,34.51620,22.59790,22.59790,23.93710,16.80620,0.25160,1.06000,84.90790,5.38630,5.77140,4.22840,5.38630,2.14350,0.1401,0.1227
2018-09-30,2921.00000,1884.00000,1037.00000,345.00000,345.00000,692.00000,105.00000,797.00000,216.00000,581.00000,581.00000,581.00000,757.00000,692.00000,4347.05500,4352.20800,0.13000,0.13000,3.30490,35.50150,23.69050,23.69050,27.28520,19.89050,0.25880,1.06030,84.88530,6.46420,6.76050,5.14710,6.46420,2.06740,0.1006,0.0826
2018-06-30,2831.00000,1819.00000,1012.00000,342.00000,342.00000,670.00000,68.00000,738.00000,204.00000,534.00000,534.00000,534.00000,735.00000,670.00000,4346.65700,4350.71000,0.12000,0.12000,2.93210,35.74710,23.66660,23.66660,26.06850,18.86260,0.24820,1.05590,85.23140,6.02570,6.31280,4.68170,6.02570,2.03880,0.14500,0.12690
2018-03-31,2805.00000,1793.00000,1012.00000,319.00000,319.00000,693.00000,82.00000,775.00000,204.00000,571.00000,571.00000,571.00000,764.00000,693.00000,4510.66500,4515.14800,0.13000,0.13000,3.54570,36.07840,24.70590,24.70590,27.62920,20.35650,0.22890,1.05060,85.66850,5.73290,5.95850,4.65930,5.73290,4.58290,0.1173,0.0954
2017-12-31,2755.00000,1773.00000,982.00000,313.00000,313.00000,669.00000,149.00000,818.00000,22.00000,796.00000,796.00000,796.00000,746.00000,669.00000,4550.15000,4552.76300,0.17000,0.17000,3.28620,35.64430,24.28310,24.28310,29.69150,28.89290,0.23170,1.04750,85.91650,8.34030,8.97710,6.69530,8.34030,2.19590,0.1454,0.1312
2017-09-30,2728.00000,1743.00000,985.00000,326.00000,326.00000,659.00000,137.00000,796.00000,218.00000,578.00000,578.00000,578.00000,730.00000,659.00000,4571.73100,4575.05300,0.13000,0.13000,3.69010,36.10700,24.15690,24.15690,29.17890,21.18770,0.20130,1.01450,88.71340,5.21470,5.55930,4.26540,5.21470,2.42420,0.0964,0.0826
2017-06-30,2651.00000,1692.00000,959.00000,321.00000,321.00000,638.00000,116.00000,754.00000,213.00000,541.00000,541.00000,541.00000,708.00000,638.00000,4571.31600,4574.11600,0.12000,0.12000,3.39370,36.17500,24.06640,24.06640,28.44210,20.40740,0.20120,1.04170,86.40140,5.09940,5.45200,4.10530,5.09940,2.32080,0.14080,0.12200
2017-03-31,2569.00000,1615.00000,954.00000,320.00000,320.00000,634.00000,108.00000,742.00000,199.00000,543.00000,543.00000,543.00000,701.00000,634.00000,4571.27900,4572.79300,0.12000,0.12000,3.83250,37.13510,24.67890,24.67890,28.88280,21.13660,0.19990,1.04350,86.25150,5.10480,5.45510,4.22440,5.10480,2.32690,0.1196,0.0977
2016-12-31,2551.00000,1601.00000,950.00000,310.00000,310.00000,640.00000,121.00000,761.00000,214.00000,547.00000,547.00000,547.00000,704.00000,640.00000,4571.30300,4572.45800,0.12000,0.12000,,37.24030,25.08820,25.08820,29.83140,21.44260,,,,,,,,,0.1196,0.0995
2016-09-30,2587.00000,1638.00000,949.00000,305.00000,305.00000,644.00000,113.00000,757.00000,218.00000,539.00000,539.00000,539.00000,707.00000,644.00000,4571.28300,4571.89800,0.12000,0.12000,3.92950,36.68340,24.89370,24.89370,29.26170,20.83490,0.21790,1.11460,80.74600,5.53960,5.97030,4.53890,5.53960,2.12850,0.1209,0.101
2016-06-30,2501.00000,1592.00000,909.00000,307.00000,307.00000,602.00000,112.00000,714.00000,203.00000,511.00000,511.00000,511.00000,662.00000,602.00000,4571.24400,4571.53600,0.11000,0.11000,3.54400,36.34550,24.07040,24.07040,28.54860,20.43180,0.22100,1.11400,80.78770,5.63020,6.10300,4.51530,5.63020,1.98540,0.09890,0.07090
2016-03-31,2446.00000,1516.00000,930.00000,305.00000,305.00000,625.00000,115.00000,740.00000,207.00000,533.00000,533.00000,533.00000,687.00000,625.00000,4571.23200,4571.43800,0.11500,0.11500,3.90490,38.02130,25.55190,25.55190,30.25350,21.79070,0.21500,1.12870,79.73430,5.71640,6.19260,4.68450,5.71640,2.03970,0.1229,0.0978
2015-12-31,2407.00000,1512.00000,895.00000,296.00000,296.00000,599.00000,121.00000,720.00000,196.00000,524.00000,524.00000,524.00000,655.00000,599.00000,4571.23800,4571.46400,0.11500,0.11500,3.81810,37.18320,24.88580,24.88580,29.91280,21.76980,0.22350,1.15110,78.18450,5.97010,6.50120,4.86490,5.97010,1.92000,0.1037,0.0812
2015-09-30,2392.00000,1488.00000,904.00000,294.00000,294.00000,610.00000,121.00000,731.00000,212.00000,519.00000,519.00000,519.00000,665.00000,610.00000,4571.22800,4571.42600,0.11500,0.11500,3.72980,37.79260,25.50170,25.50170,30.56020,21.69730,0.22130,1.13420,79.35200,5.93620,6.45200,4.80110,5.93620,1.91260,0.1052,0.0855
2015-06-30,2256.00000,1434.00000,822.00000,281.00000,281.00000,541.00000,119.00000,660.00000,184.00000,476.00000,476.00000,476.00000,590.00000,541.00000,4571.22100,4571.34500,0.10500,0.10500,3.53730,36.43620,23.98050,23.98050,29.25530,21.09930,0.21310,1.06360,84.61440,5.62510,6.14830,4.49610,5.62510,1.85110,0.07550,0.05250
2015-03-31,2159.00000,1317.00000,842.00000,287.00000,287.00000,555.00000,141.00000,696.00000,198.00000,498.00000,498.00000,498.00000,601.00000,555.00000,4571.22000,4571.28600,0.11000,0.11000,4.14890,38.99950,25.70630,25.70630,32.23720,23.06620,0.20340,1.07470,83.74710,5.68360,6.09920,4.69150,5.68360,3.83350,-0.0053,-0.0284
2014-12-31,2218.00000,1360.00000,858.00000,266.00000,266.00000,592.00000,136.00000,728.00000,206.00000,522.00000,522.00000,522.00000,635.00000,592.00000,4571.22000,4571.31000,0.11500,0.11500,4.26960,38.68350,26.69070,26.69070,32.82240,23.53470,0.22120,1.16610,77.17760,6.35420,6.65820,5.20540,6.35420,1.79710,0.1332,0.1129
2014-09-30,2201.00000,1353.00000,848.00000,273.00000,273.00000,575.00000,144.00000,719.00000,208.00000,511.00000,511.00000,511.00000,622.00000,575.00000,4571.22000,4571.24000,0.11000,0.11000,4.42140,38.52790,26.12450,26.12450,32.66700,23.21670,0.22030,1.13400,79.36850,6.23780,6.54880,5.11560,6.23780,1.79210,0.1545,0.1341
2014-06-30,2133.00000,1344.00000,789.00000,253.00000,253.00000,536.00000,139.00000,675.00000,193.00000,482.00000,482.00000,482.00000,575.00000,536.00000,4571.22000,4571.22000,0.10500,0.10500,4.37440,36.99020,25.12890,25.12890,31.64560,22.59730,0.22160,1.05750,85.10550,6.10130,6.43780,5.00780,6.10130,1.72820,0.10170,0.08530
2014-03-31,2092.00000,1318.00000,774.00000,240.00000,240.00000,534.00000,139.00000,673.00000,186.00000,487.00000,487.00000,487.00000,592.00000,534.00000,4571.22100,4571.22100,0.10750,0.10750,4.71130,36.99810,25.52580,25.52580,32.17020,23.27920,0.21970,1.12290,80.14820,6.13890,6.47950,5.11450,6.13890,3.47080,0.1297,0.1015
2013-12-31,2100.00000,1341.00000,759.00000,233.00000,233.00000,526.00000,117.00000,643.00000,180.00000,463.00000,463.00000,463.00000,584.00000,526.00000,4571.22000,4571.22000,0.10250,0.10250,4.53120,36.14290,25.04760,25.04760,30.61910,22.04760,0.24050,1.12300,80.14290,6.40300,6.79180,5.30170,6.40300,1.58190,0.0959,0.0689
2013-09-30,2066.00000,1337.00000,729.00000,278.00000,278.00000,451.00000,81.00000,532.00000,149.00000,383.00000,383.00000,383.00000,505.00000,451.00000,4571.22400,4571.22400,0.08380,0.08380,4.40920,35.28560,21.82960,21.82960,25.75020,18.53820,0.24600,1.12530,79.98060,5.55070,5.90500,4.56120,5.55070,1.50940,0.1212,0.0967
2013-06-30,1991.00000,1296.00000,695.00000,227.00000,227.00000,468.00000,103.00000,571.00000,153.00000,418.00000,418.00000,418.00000,524.00000,468.00000,4571.22400,4571.22400,0.09130,0.09130,5.00320,34.90710,23.50580,23.50580,28.67910,20.99450,0.24490,1.09160,82.45100,6.11830,6.51290,5.14150,6.11830,1.49460,0.09140,0.07240
2013-03-31,1938.00000,1261.00000,677.00000,220.00000,220.00000,457.00000,125.00000,582.00000,138.00000,444.00000,444.00000,444.00000,514.00000,457.00000,4571.19200,4571.20000,0.09750,0.09750,5.61740,34.93290,23.58100,23.58100,30.03100,22.91020,0.22700,1.10490,81.45510,6.05650,6.43570,5.19970,6.05650,1.60370,0.0917,0.0665
2012-12-31,1911.00000,1203.00000,708.00000,217.00000,217.00000,491.00000,92.00000,583.00000,149.00000,434.00000,434.00000,434.00000,545.00000,491.00000,4571.20100,4571.20300,0.09500,0.09500,5.49190,37.04870,25.69340,25.69340,30.50760,22.71060,0.24020,1.14360,78.69700,6.37020,6.81000,5.45570,6.37020,1.49040,0.1056,0.0827
2012-09-30,1797.00000,1114.00000,683.00000,211.00000,211.00000,472.00000,129.00000,601.00000,170.00000,431.00000,431.00000,431.00000,522.00000,472.00000,4571.18200,4571.18900,0.09380,0.09380,5.98750,38.00780,26.26600,26.26600,33.44460,23.98440,0.22810,1.10110,81.73620,6.32610,6.54220,5.47020,6.32610,1.49040,0.0987,0.0807
2012-06-30,1752.00000,1059.00000,693.00000,204.00000,204.00000,489.00000,87.00000,576.00000,160.00000,416.00000,416.00000,416.00000,535.00000,489.00000,4571.17200,4571.18500,0.09130,0.09130,5.46450,39.55480,27.91100,27.91100,32.87670,23.74430,0.24620,1.09360,82.29450,6.86810,7.12080,5.84600,6.86810,1.32500,0.08420,0.06670
2012-03-31,1771.00000,1041.00000,730.00000,202.00000,202.00000,528.00000,131.00000,659.00000,196.00000,463.00000,463.00000,463.00000,577.00000,528.00000,4570.92000,4571.16800,0.10130,0.10130,6.34470,41.21970,29.81370,29.81370,37.21060,26.14340,0.23500,1.16210,77.44780,7.04080,7.29480,6.14300,7.04080,1.43860,0.0894,0.0643
2011-12-31,1806.00000,1030.00000,776.00000,216.00000,216.00000,560.00000,82.00000,642.00000,184.00000,458.00000,458.00000,458.00000,605.00000,560.00000,4571.01600,4571.17600,0.10000,0.10000,5.74870,42.96790,31.00780,31.00780,35.54820,25.35990,0.26420,1.25680,71.61130,7.80370,8.05630,6.69980,7.80370,1.28390,0.0965,0.0856
2011-09-30,1746.00000,1025.00000,721.00000,231.00000,231.00000,490.00000,85.00000,575.00000,164.00000,411.00000,411.00000,411.00000,541.00000,490.00000,4570.87400,4571.14400,0.09000,0.09000,6.05030,41.29440,28.06420,28.06420,32.93240,23.53950,0.24780,1.24010,72.57730,6.78550,7.01130,5.83310,6.78550,1.32510,0.0993,0.082
2011-06-30,1671.00000,1022.00000,649.00000,214.00000,214.00000,435.00000,99.00000,534.00000,150.00000,384.00000,384.00000,384.00000,485.00000,435.00000,4570.66800,4571.17100,0.08380,0.08380,6.58040,38.83900,26.03230,26.03230,31.95690,22.98030,0.23380,1.19020,75.61940,6.18560,6.38620,5.37360,6.18560,1.35820,0.08250,0.07000
2011-03-31,1602.00000,936.00000,666.00000,202.00000,202.00000,464.00000,92.00000,556.00000,154.00000,402.00000,402.00000,402.00000,513.00000,464.00000,4569.44000,4570.94700,0.08870,0.08870,6.50980,41.57300,28.96380,28.96380,34.70660,25.09360,0.22850,1.21180,74.26970,6.56650,6.78370,5.73470,6.56650,1.33940,0.056,0.0398
2010-12-31,1585.00000,906.00000,679.00000,200.00000,200.00000,479.00000,65.00000,544.00000,147.00000,397.00000,397.00000,397.00000,527.00000,479.00000,4569.97500,4571.04700,0.08630,0.08630,6.24400,42.83910,30.22080,30.22080,34.32180,25.04730,0.24170,1.33420,67.45740,6.97100,7.21820,6.05370,6.97100,1.24610,0.0795,0.0591
2010-09-30,1496.00000,855.00000,641.00000,189.00000,189.00000,452.00000,57.00000,509.00000,135.00000,374.00000,374.00000,374.00000,499.00000,452.00000,4569.05100,4570.87100,0.08130,0.08130,6.31640,42.84760,30.21390,30.21390,34.02410,25.00000,0.22190,1.28630,69.96660,6.38330,6.60310,5.54730,6.38330,1.28220,0.0746,0.0599
2010-06-30,1358.00000,800.00000,558.00000,174.00000,174.00000,384.00000,53.00000,437.00000,111.00000,326.00000,326.00000,326.00000,429.00000,384.00000,4568.28900,4570.66100,0.07130,0.07130,5.97950,41.08980,28.27690,28.27690,32.17970,24.00590,0.22210,1.28600,69.98530,6.16960,6.39970,5.33120,6.16960,1.15660,0.07390,0.06280
2010-03-31,1296.00000,744.00000,552.00000,162.00000,162.00000,390.00000,55.00000,445.00000,96.00000,349.00000,349.00000,349.00000,440.00000,390.00000,4563.80800,4568.92800,0.07500,0.07500,6.55350,42.59260,30.09260,30.09260,34.33640,26.92900,0.21080,1.34300,67.01390,6.51000,6.75570,5.67660,6.51000,1.17360,0.0694,0.0624
2009-12-31,1232.00000,700.00000,532.00000,150.00000,150.00000,382.00000,50.00000,432.00000,98.00000,334.00000,334.00000,334.00000,437.00000,382.00000,4564.82400,4569.46600,0.07380,0.07380,5.93260,43.18180,31.00650,31.00650,35.06490,27.11040,0.22090,1.37350,65.52760,6.93230,7.22160,5.98780,6.93230,1.05530,0.0702,0.0628
2009-09-30,1154.00000,662.00000,492.00000,142.00000,142.00000,350.00000,49.00000,399.00000,82.00000,317.00000,317.00000,317.00000,398.00000,350.00000,4562.74400,4568.37600,0.07000,0.07000,5.83210,42.63430,30.32930,30.32930,34.57540,27.46970,0.22240,1.33560,67.38300,7.09010,7.33630,6.11030,7.09010,0.97970,0.0935,0.0844
2009-06-30,1122.00000,643.00000,479.00000,141.00000,141.00000,338.00000,55.00000,393.00000,80.00000,313.00000,313.00000,313.00000,384.00000,338.00000,4560.92000,4566.54400,0.06880,0.06880,5.69160,42.69160,30.12480,30.12480,35.02670,27.89660,0.23250,1.25360,71.79150,7.54580,7.83090,6.48700,7.54580,0.90480,0.08470,0.07820
2009-03-31,1121.00000,650.00000,471.00000,141.00000,141.00000,330.00000,51.00000,381.00000,60.00000,321.00000,321.00000,321.00000,375.00000,330.00000,4557.25300,4565.03700,0.07130,0.07130,5.81010,42.01610,29.43800,29.43800,33.98750,28.63520,0.25660,1.28560,70.00890,8.48310,8.81380,7.34720,8.48310,0.82570,0.3091,0.2462
