Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,other-income,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-06-30,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,,,
2022-12-31,7.66600,6.85700,0.80900,1.13300,13.01500,,14.14800,-13.33900,6.21900,-7.12000,-7.12000,,-7.12000,-7.12000,-11.33100,-13.33900,0.06160,0.06160,-74.00000,-74.00000,0.43500,,-2.38050,10.55310,-174.00200,-174.00210,-92.87760,-92.87760,0.04830,0.62290,0.22210,405.28170,14.71070,6.24420,-4.48170,14.71070,-410.26680,-54.3054,-54.4165
2022-09-30,17.55200,9.45100,8.10100,1.61200,13.59700,,15.20900,-7.10800,-28.59300,-35.70100,-35.70100,,-35.70100,-35.70100,-5.01600,-7.10800,0.06380,0.06380,-600.00000,-600.00000,0.42940,,-2.47370,46.15430,-40.49680,-40.49680,-203.40130,-203.40130,0.11170,0.75100,0.48750,184.63020,77.56540,31.54640,-22.71170,77.56540,,-54.3892,-54.3941
2022-06-30,18.34600,8.99500,9.35100,1.47200,17.03800,,18.51000,-9.15900,-2.55200,-11.71100,-11.71100,,-11.71100,-11.71100,-5.64200,-9.15900,0.05680,0.05680,-200.00000,-200.00000,0.54840,,-7.16130,50.97020,-49.92370,-49.92370,-63.83410,-63.83410,0.10920,0.76760,0.54350,165.59200,98.08210,14.51470,-6.97220,98.08210,,-285.7578,-288.6071
2022-03-31,18.23600,8.03400,10.20200,3.06200,20.37800,,23.44000,-13.23800,-3.89900,-17.13700,-17.13700,,-17.13700,-17.13700,-12.70100,-13.23800,0.05250,0.05250,-326.00000,-326.00000,0.98210,1.06460,-16.47850,55.94430,-72.59270,-72.59270,-93.97350,-93.97350,0.10920,0.56290,0.70320,127.99190,326.85600,22.76250,-10.25870,-21.11660,,-79.11480,-79.36240
2021-12-31,22.07100,19.33400,2.73700,5.86800,17.56800,,23.43600,-20.69900,-3.67400,-24.37300,-24.37300,,-24.37300,-24.37300,-9.50600,-20.69900,0.04650,0.04650,-468.00000,-468.00000,1.09430,0.90400,9.42200,12.40090,-93.78370,-93.78370,-110.43000,-110.43000,0.12180,1.30550,0.69680,129.17090,-274.62530,38.82970,-13.45180,-26.35060,168.45650,-325.44,-325.518
2021-09-30,21.60900,9.22900,12.38000,5.81800,23.96000,,29.77800,-17.39800,-3.98900,-21.38700,-21.38700,,-21.38700,-21.38700,-15.05600,-17.39800,0.04680,0.04680,-500.00000,-500.00000,1.01780,0.87850,7.23140,57.29100,-80.51280,-80.51280,-98.97270,-98.97270,0.11600,0.70370,0.71940,125.09790,-185.18470,30.19100,-11.47770,-22.49720,,-404.9912,-405.4357
2021-06-30,21.50200,10.59000,10.91200,10.32800,25.47000,,35.79800,-24.88600,-4.23500,-29.12100,-29.12100,,-29.12100,-29.12100,-20.76400,-24.88600,0.04670,0.04670,-600.00000,-600.00000,1.24400,0.73760,2.81120,50.74880,-115.73810,-115.73810,-135.43390,-135.43390,0.10560,1.20850,0.71440,125.97990,-98.44500,53.29520,-14.29790,-25.83020,,-382.0651,-381.9662
2021-03-31,20.57500,10.25300,10.32200,7.48400,20.99000,,28.47400,-18.15200,-4.71100,-22.86300,-22.86300,,-22.86300,-22.86300,-17.66000,-18.15200,0.04300,0.04300,-532.00000,-532.00000,1.69080,0.60870,1.55590,50.16770,-88.22360,-88.22360,-111.12030,-111.12030,0.09350,1.10600,0.88280,101.94610,-43.10440,69.25870,-10.38650,-16.86500,,-285.54270,-287.59110
2020-12-31,21.46100,10.65200,10.80900,6.18900,24.32800,,30.51700,-19.70800,-4.62300,-24.33100,-24.33100,,-24.33100,-24.33100,-24.19300,-19.70800,0.03640,0.03640,-699.99980,-699.99980,0.96260,0.85440,5.87030,50.36580,-91.83170,-91.83170,-113.37310,-113.37310,0.11910,1.63220,0.74890,120.16910,-175.49790,32.87310,-13.49920,-25.54440,361.06050,-371.5315,-373.1028
2020-09-30,20.94300,10.33700,10.60600,4.32300,20.74300,,25.06600,-14.46000,-4.17800,-18.63800,-18.63800,,-18.63800,-18.63800,-9.03200,-14.46000,0.03730,0.03730,-500.00000,-500.00000,1.79930,0.73630,2.79220,50.64220,-69.04450,-69.04450,-88.99390,-88.99390,0.12390,2.02690,1.68570,53.39060,-64.83690,30.44930,-11.02960,-17.09720,,-215.4594,-219.6929
2020-06-30,20.89900,14.18800,6.71100,3.21400,15.99700,,19.21100,-12.50000,-3.54700,-16.04700,-16.04700,,-16.04700,-16.04700,-12.08300,-12.50000,0.03580,0.03580,-400.00000,-400.00000,1.70390,0.69600,2.28960,32.11160,-59.81150,-59.81150,-76.78360,-76.78360,0.12560,2.98690,1.12540,79.97030,-46.39740,35.71320,-9.64540,-14.10420,,-445.367,-443.8458
2020-03-31,1.05600,1.71500,-0.65900,2.76500,13.59200,,16.35700,-17.01600,-0.14100,-17.15700,-17.15700,,-17.15700,-17.15700,-16.66600,-17.01600,0.03530,0.03530,-500.00000,-500.00000,5.83120,0.64170,1.79080,-62.40530,-1611.36400,-1611.36400,-1624.71600,-1624.71600,0.00740,0.61980,0.61500,146.33520,-39.30850,-61.72470,-11.95780,-14.08480,,-301.21910,-308.08050
2019-12-31,1.59000,0.78800,0.80200,2.27600,10.29000,,12.56600,-11.76400,0.07300,-11.69100,-11.69100,,-11.69100,-11.69100,-11.51100,-11.76400,0.02970,0.02970,-399.99990,-399.99990,5.01260,,,50.44030,-739.87430,-739.87430,-735.28310,-735.28310,0.02150,0.41870,1.30760,68.83020,-19.48440,-27.14100,-15.77750,-19.48440,1701.21900,-424.8579,-425.7572
2019-09-30,1.40100,0.62900,0.77200,2.79900,7.81700,,10.61600,-9.84400,0.00900,-9.83500,-9.83500,,-9.83500,-9.83500,-9.55600,-9.84400,0.02840,0.02840,-300.00000,-300.00000,2.21920,,,55.10350,-702.64100,-702.64100,-701.99860,-701.99860,0.03480,0.32080,1.64240,54.79660,-43.03970,-56.10060,-24.43780,-43.03970,,-313.5146,-313.5497
