Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,6.99700,1.93700,5.06000,1.84500,10.65500,,12.50000,-7.44000,0.71600,-6.72400,-0.02700,-6.69700,-6.69700,-6.69700,-5.90800,-7.44000,979.94960,979.94960,-0.01000,-0.01000,10.82220,,72.31670,-106.33130,-106.33130,-96.09830,-95.71250,0.03270,0.35680,2.93130,30.70320,-3.30160,-6.33750,-3.12780,-3.30160,0.20700,-0.0049,-0.006
2024-06-30,6.13100,1.76900,4.36200,1.50600,11.89900,-16.02400,29.42900,-25.06700,0.99300,-24.07400,-0.14300,-23.93100,-23.93100,-23.93100,-23.65900,-25.06700,979.95000,979.95000,-0.02400,-0.02400,11.38760,,71.14660,-408.85660,-408.85660,-392.66020,-390.32780,0.02790,0.32120,2.90980,30.92970,-11.46580,-21.76670,-10.88360,-11.46580,0.21300,-0.0069,-0.0081
2024-03-31,6.26200,2.14500,4.11700,1.77100,12.73200,,14.50300,-10.38600,1.06000,-9.32600,-0.16600,-9.16000,-9.16000,-9.16000,-8.99800,-10.38600,979.95000,979.95000,-0.00900,-0.00900,11.49710,,65.74580,-165.85760,-165.85760,-148.93010,-146.27910,0.02570,0.42370,2.57800,34.91060,-3.95010,-7.92980,-3.75870,-3.95010,0.23660,-0.00770,-0.01010
2023-12-31,7.33700,2.26400,5.07300,3.10000,13.36300,,16.46300,-11.39000,-10.55600,-21.94600,0.45800,-22.40400,-22.40400,-22.40400,-10.01300,-11.39000,979.95000,979.95000,-0.02300,-0.02300,11.05870,,69.14270,-155.24060,-155.24060,-299.11410,-305.35640,0.02900,0.44190,3.33800,26.96200,-9.33430,-18.20380,-8.84840,-9.33430,0.24490,-0.0051,-0.0072
2023-09-30,6.34700,1.98500,4.36200,0.86700,9.44300,,10.31000,-5.94800,3.53700,-2.41100,-1.92000,-0.49100,-0.49100,-0.49100,-4.82100,-5.94800,979.94960,979.94960,0.00000,0.00000,17.12080,,68.72540,-93.71360,-93.71360,-37.98650,-7.73590,0.02310,0.53120,2.60980,34.48560,-0.18820,-0.37720,-0.17850,-0.18820,0.26620,-0.0031,-0.0097
2023-06-30,6.02000,1.97200,4.04800,0.85900,9.93100,,10.79000,-6.74200,1.41600,-5.32600,-0.07700,-5.24900,-5.24900,-5.24900,-5.86600,-6.74200,979.95000,979.95000,-0.00500,-0.00500,19.36550,,67.24250,-111.99340,-111.99340,-88.47180,-87.19270,0.02190,0.54270,3.07770,29.24250,-2.02290,-3.56040,-1.91030,-2.02290,0.26480,-0.0038,-0.0057
2023-03-31,5.48200,1.64700,3.83500,0.91800,10.42900,,11.34700,-7.51200,1.33500,-6.17700,0.20800,-6.38500,-6.38500,-6.38500,-6.80300,-7.51200,979.95000,979.95000,-0.00700,-0.00700,15.14050,,69.95620,-137.03030,-137.03030,-112.67790,-116.47210,0.01960,0.60040,3.62330,24.83950,-2.42720,-4.23840,-2.28360,-2.42720,0.26840,-0.00430,-0.00530
2022-12-31,6.15700,1.94600,4.21100,0.69300,8.65500,,9.34800,-5.13700,1.27800,-3.85900,-1.04900,-2.81000,-2.81000,-2.81000,-4.40500,-5.13700,979.95000,979.95000,-0.00300,-0.00300,15.81120,,68.39370,-83.43350,-83.43350,-62.67660,-45.63910,0.02200,0.70870,3.30310,27.24700,-1.05090,-1.73870,-1.00500,-1.05090,0.27290,-0.0024,-0.0031
2022-09-30,4.77600,1.26500,3.51100,1.21500,8.88800,,10.10300,-6.59200,0.94000,-5.65200,-0.65700,-4.99500,-4.99500,-4.99500,-5.83800,-6.59200,979.95000,979.95000,-0.00500,-0.00500,17.83650,,73.51340,-138.02350,-138.02350,-118.34170,-104.58540,0.01690,0.52710,2.65780,33.86310,-1.85840,-3.08770,-1.76940,-1.85840,0.27430,-0.0028,-0.0041
2022-06-30,4.24600,1.24000,3.00600,0.31900,8.56700,,8.88600,-5.88000,0.22500,-5.65500,-0.38200,-5.27300,-5.27300,-5.27300,-5.04300,-5.88000,979.90000,979.90000,-0.00500,-0.00500,43.50160,,70.79610,-138.48330,-138.48330,-133.18420,-124.18750,0.01540,0.25730,5.82440,15.45220,-1.98070,-2.76310,-1.91410,-1.98070,0.27170,-0.0042,-0.0046
2022-03-31,3.75100,1.01100,2.74000,0.35100,6.70300,,7.05400,-4.31400,0.09900,-4.21500,-0.27800,-3.93700,-3.93700,-3.93700,-3.49500,-4.31400,979.90000,979.90000,-0.00400,-0.00400,48.19090,,73.04720,-115.00930,-115.00930,-112.37000,-104.95870,0.01350,0.28040,4.62520,19.45880,-1.46330,-2.03660,-1.41620,-1.46330,0.27460,-0.00250,-0.00270
2021-12-31,4.08000,1.01900,3.06100,0.70100,8.12500,,8.82600,-5.76500,0.14200,-5.62300,,-3.29000,-3.29000,-35.32900,-4.93700,-5.76500,956.53400,956.53400,0.00100,0.00100,46.17670,,75.02450,-141.29900,-141.29900,-137.81860,-865.90680,0.01460,0.35780,5.33330,16.87500,-1.21450,-1.69220,-1.17330,-1.21450,0.27640,-0.0053,-0.0054
2021-09-30,0.02300,0.01800,0.00500,0.28900,6.12400,,6.41300,-6.40800,0.06200,-6.34600,,-6.34600,-6.34600,-6.34600,-6.30100,-6.40800,978.49400,978.49400,-0.00600,-0.00600,56.38870,,21.73910,-27860.87000,-27860.87000,-27591.30000,-27591.30000,0.00010,0.01260,0.08670,1038.11900,-2.33690,-2.34100,-2.28680,-2.33690,0.27720,-0.0051,-0.0052
2021-06-30,0.01600,0.03600,-0.02000,0.27100,5.03800,,5.30900,-5.32900,0.61800,-4.71100,,-4.71100,-4.71100,-4.71100,-5.22800,-5.32900,973.65700,973.65700,-0.00500,-0.00500,81.68190,,-125.00000,-33306.25000,-33306.25000,-29443.75000,-29443.75000,0.00010,0.04530,0.05870,1534.30300,-1.70650,-1.70880,-1.68040,-1.70650,0.28230,-0.0015,-0.0015
2021-03-31,0.01400,0.00600,0.00800,0.41200,3.46800,,3.88000,-3.87200,-0.16500,-4.03700,,-4.03700,-4.03700,-4.03700,-3.76900,-3.87200,890.24600,890.24600,-0.04000,-0.04000,141.94600,0.00190,57.14290,-27657.14000,-27657.14000,-28835.71000,-28835.71000,0.00000,0.01940,0.05730,1571.40000,-1.45460,-1.45630,-1.43940,-1.45460,0.28550,-0.00300,-0.00300
