Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,59.57000,42.25900,17.31100,15.09900,,16.75700,0.55400,0.37100,0.92500,-1.40100,2.32600,2.32600,2.32600,2.21200,0.55400,20.59800,20.93900,0.11000,0.11000,1.44940,29.05990,0.93000,0.93000,1.55280,3.90470,0.40790,3.22780,36.77160,2.44750,2.41220,4.28740,1.59280,2.41200,4.66700,0.3528,0.2924
2024-06-30,67.95200,49.98100,17.97100,11.86400,,13.58500,4.38600,0.32600,4.71200,0.95800,3.75400,3.75400,3.75400,6.10700,4.38600,20.51300,20.94200,0.18000,0.18000,1.33150,26.44660,6.45460,6.45460,6.93430,5.52450,0.44500,1.95850,30.05400,2.99460,4.01400,7.38120,2.45820,4.01360,4.54010,-0.40670,-0.43930
2024-03-31,66.50400,48.32700,18.17700,20.11700,,22.01200,-3.83500,0.35500,-3.48000,1.53600,-5.01600,-5.01600,-5.01600,-1.94000,-3.83500,20.39600,20.39600,-0.25000,-0.24000,1.29780,27.33220,-5.76660,-5.76660,-5.23280,-7.54240,0.39150,1.69240,20.25710,4.44290,-5.18600,-9.36340,-2.95260,-5.18550,4.57380,0.3492,0.2876
2023-12-31,65.31700,47.43400,17.88300,19.18700,,20.95700,-3.07400,0.42900,-2.64500,-0.61800,-2.02700,-2.02700,-2.02700,-1.30400,-3.07400,20.42500,20.42500,-0.10000,-0.10000,1.31970,27.37880,-4.70630,-4.70630,-4.04950,-3.10330,0.37680,1.37180,33.84300,2.65930,-2.02600,-3.59330,-1.16930,-2.02580,4.72850,-0.1272,-0.1839
2023-09-30,70.99900,50.93700,20.06200,17.47400,,19.18700,0.87500,0.40500,1.28000,0.56500,0.71500,0.71500,0.71500,2.58800,0.87500,20.38300,20.78000,0.04000,0.03000,1.38210,28.25670,1.23240,1.23240,1.80280,1.00710,0.43640,2.69480,32.65820,2.75580,0.71240,1.26460,0.43950,0.71230,4.74670,-0.0379,-0.0841
2023-06-30,78.24400,55.71800,22.52600,22.97600,,24.65400,-2.12800,0.70000,-1.42800,-0.29200,-1.13600,-1.13600,-1.13600,-0.45000,-2.12800,20.33300,20.33300,-0.06000,-0.06000,1.33070,28.78940,-2.71970,-2.71970,-1.82510,-1.45190,0.42460,1.72370,41.31150,2.17860,-1.08980,-1.89600,-0.61650,-1.08980,4.92410,0.02760,-0.02910
2023-03-31,62.40700,45.02500,17.38200,16.60000,,17.59400,-0.21200,0.66500,0.45300,0.66900,-0.21600,-0.21600,-0.21600,0.78200,-0.21200,20.27500,20.33900,-0.01000,-0.01000,2.26790,27.85260,-0.33970,-0.33970,0.72590,-0.34610,0.37260,2.36690,35.86610,2.50930,-0.19640,-0.20750,-0.12900,-0.19640,5.21560,0.4765,0.3818
2022-12-31,58.87000,43.63200,15.23800,15.06600,,16.00700,-0.76900,0.55800,-0.21100,0.00100,-0.21200,-0.21200,-0.21200,0.17200,-0.76900,20.30100,20.30100,-0.01000,-0.01000,4.31330,25.88420,-1.30630,-1.30630,-0.35840,-0.36010,0.35650,1.94770,30.28290,2.97200,-0.15870,-0.16600,-0.12840,-0.15870,6.33800,0.6394,0.5903
2022-09-30,65.26000,46.94300,18.31700,13.73800,,14.59600,3.72100,0.24700,3.96800,1.08700,2.88100,2.88100,2.88100,4.57900,3.72100,20.26100,20.34400,0.14000,0.14000,4.52200,28.06770,5.70180,5.70180,6.08030,4.41460,0.38550,1.37980,41.04400,2.19280,2.08550,2.17770,1.70210,2.08540,6.55470,-0.0633,-0.1297
2022-06-30,70.04200,50.24400,19.79800,15.73400,,16.48700,3.31100,-0.07600,3.23500,0.54800,2.68700,2.68700,2.68700,4.06400,3.31100,20.20800,20.29100,0.13000,0.13000,5.61520,28.26590,4.72720,4.72720,4.61870,3.83630,0.42520,2.22560,39.30530,2.28980,1.91670,1.92840,1.63110,1.91650,6.68290,0.31440,0.26600
