Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-12-31,654.00000,367.00000,287.00000,,0.00000,287.00000,-7.00000,280.00000,76.00000,204.00000,204.00000,,204.00000,,287.00000,63.80000,65.10000,3.20000,3.13000,,,,,,,,,,,,,,
2024-09-30,424.00000,,424.00000,335.00000,,89.00000,23.00000,112.00000,32.00000,80.00000,80.00000,,80.00000,98.00000,89.00000,64.27200,65.51200,1.24000,1.22000,,1.05330,20.99060,20.99060,26.41510,18.86790,0.02620,1.72490,-1.48230,0.49430,1.72490,72.46880,3.2738,3.1049
2024-06-30,583.00000,,583.00000,300.00000,,283.00000,-6.00000,277.00000,73.00000,204.00000,204.00000,,204.00000,291.00000,283.00000,64.61700,65.76800,3.16000,3.10000,,0.90140,48.54200,48.54200,47.51290,34.99140,0.03690,4.44060,-3.54290,1.29250,4.44060,71.22480,-2.4904,-2.613
2024-03-31,564.00000,,564.00000,317.00000,,247.00000,-15.00000,232.00000,51.00000,181.00000,181.00000,,181.00000,255.00000,247.00000,64.62900,66.26700,2.80000,2.73000,,0.93920,43.79430,43.79430,41.13480,32.09220,0.03820,4.10900,-3.35740,1.22500,4.10900,68.08350,0.42250,0.30180
2023-12-31,404.00000,,404.00000,332.00000,,72.00000,-3.00000,69.00000,23.00000,46.00000,46.00000,,46.00000,82.00000,72.00000,67.07000,68.54900,0.68000,0.65000,,0.73590,17.82180,17.82180,17.07920,11.38610,0.02850,1.07430,-0.95670,0.32400,1.07430,66.28480,1.6623,1.6427
2023-09-30,574.00000,,574.00000,301.00000,,273.00000,79.00000,352.00000,77.00000,275.00000,275.00000,,275.00000,283.00000,273.00000,66.42400,67.66800,4.14000,4.06000,,0.73120,47.56100,47.56100,61.32400,47.90940,0.04270,6.38940,-6.54760,2.04810,6.38940,65.41030,9.2368,9.1392
2023-06-30,486.00000,,486.00000,278.00000,,208.00000,-10.00000,198.00000,56.00000,142.00000,142.00000,,142.00000,217.00000,208.00000,67.64900,68.60600,2.10000,2.07000,,0.65600,42.79840,42.79840,40.74070,29.21810,0.03700,3.48120,-4.62540,1.08030,3.48120,61.01900,-0.0984,-0.6687
2023-03-31,330.00000,,330.00000,261.00000,,69.00000,-34.00000,35.00000,-2.00000,37.00000,37.00000,,37.00000,78.00000,69.00000,69.00800,70.47900,0.54000,0.52000,,0.67110,20.90910,20.90910,10.60610,11.21210,0.02610,0.92820,-1.43410,0.29230,0.92820,58.61770,2.27020,2.19920
2022-12-31,303.00000,,303.00000,292.00000,,11.00000,-21.00000,-10.00000,-11.00000,1.00000,1.00000,,1.00000,19.00000,11.00000,71.88500,73.81800,0.26000,0.33000,,0.65890,3.63040,3.63040,-3.30030,0.33000,0.02370,0.02460,-0.03850,0.00780,0.02460,58.62720,7.8903,7.8521
2022-09-30,510.00000,,510.00000,316.00000,,194.00000,-41.00000,153.00000,40.00000,113.00000,113.00000,,113.00000,203.00000,194.00000,71.17500,72.87800,1.59000,1.55000,,0.65120,38.03920,38.03920,30.00000,22.15690,0.03980,2.75270,-4.90660,0.88180,2.75270,58.22700,8.4022,8.3312
2022-06-30,599.00000,,599.00000,328.00000,,271.00000,-66.00000,205.00000,54.00000,151.00000,151.00000,,151.00000,280.00000,271.00000,72.70900,74.32700,2.08000,2.03000,,0.66190,45.24210,45.24210,34.22370,25.20870,0.04650,3.74040,-7.14290,1.17100,3.74040,56.38270,22.6446,22.5627
2022-03-31,1052.00000,,1052.00000,338.00000,,714.00000,152.00000,866.00000,208.00000,658.00000,658.00000,,658.00000,725.00000,714.00000,73.86400,76.56800,8.91000,8.59000,,0.67140,67.87070,67.87070,82.31940,62.54750,0.07260,16.54510,-32.42980,4.54110,16.54510,53.81600,12.09380,12.05460
2021-12-31,625.00000,,625.00000,381.00000,,244.00000,-13.00000,231.00000,61.00000,170.00000,170.00000,-15.00000,157.00000,256.00000,244.00000,82.24700,85.80600,2.55000,2.47000,,0.79300,39.04000,39.04000,36.96000,25.12000,0.04400,5.04900,-19.85980,1.19680,5.04900,45.62330,40.056,39.9802
2021-09-30,860.00000,,860.00000,402.00000,,458.00000,-44.00000,414.00000,104.00000,310.00000,310.00000,-11.00000,270.00000,472.00000,458.00000,78.94400,82.07100,3.42000,3.29000,,0.63680,53.25580,53.25580,48.13950,31.39540,0.03970,9.50920,-76.35470,1.43110,9.50920,43.40880,-8.1104,-8.2225
