Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,68.73100,39.45700,29.27400,17.74100,-2.92600,34.24000,-4.96600,5.16900,0.20300,0.20300,0.20300,0.20300,8.60700,-4.96600,39.27200,39.82800,0.01000,0.01000,1.01860,0.19970,0.24960,42.59210,-7.22530,-7.22530,0.29540,0.29540,0.06760,1.96380,45.82950,0.03270,0.03270,0.02000,0.02610,15.18780,0.2108,-5.416
2024-06-30,57.30800,36.51000,20.79800,17.79200,-2.78100,30.90500,-10.10700,12.91500,2.80800,2.80800,2.80800,2.80800,0.22500,-10.10700,31.15300,31.70800,0.09000,0.09000,3.26500,0.01220,0.01240,36.29160,-17.63630,-17.63630,4.89980,4.89980,0.07400,2.01020,44.77230,0.49020,0.49020,0.36250,0.48420,15.29960,0.7146,-0.2348
2024-03-31,67.43900,33.20600,34.23300,18.22700,-2.78400,31.52800,2.70500,7.56200,10.26700,10.26700,10.26700,10.26700,13.22200,2.70500,30.80000,31.42500,0.33000,0.33000,1.35750,0.05310,0.05600,50.76140,4.01100,4.01100,15.22410,15.22410,0.09800,2.19520,40.99840,2.20450,2.20450,1.49190,2.08750,15.05370,0.80180,0.79610
2023-12-31,91.97300,34.43600,57.53700,18.98800,-2.18200,255.74500,-198.20800,4.47900,-193.72900,-193.72900,-193.72900,-193.72900,36.36700,-198.20800,30.26500,30.26500,-6.55000,-6.49000,1.41090,0.05600,0.05930,62.55860,-215.50670,-215.50680,-210.63690,-210.63680,0.13220,2.85400,31.53470,-40.88850,-40.88850,-27.85010,-38.59930,15.40810,0.6398,0.6139
2023-09-30,69.87400,35.68100,34.19300,17.01700,-2.18500,29.81800,4.37500,4.10400,8.47900,8.47900,8.47900,8.47900,14.99100,4.37500,30.75000,31.28500,0.28000,0.27000,0.85970,0.03550,0.03680,48.93520,6.26130,6.26130,12.13470,12.13470,0.07750,2.13870,42.08260,1.24200,1.24200,0.94060,1.19800,22.20120,0.7531,0.6749
2023-06-30,60.47200,39.37300,21.09900,16.17200,-2.15900,29.87400,-8.77500,6.22900,-2.54600,-2.54600,-2.54600,-2.54600,2.76800,-8.77500,30.75000,30.75000,-0.08000,-0.08000,0.94350,0.02980,0.03070,34.89050,-14.51080,-14.51080,-4.21020,-4.21020,0.06710,1.98800,45.27240,-0.37000,-0.37000,-0.28260,-0.35900,22.37500,0.5715,0.3689
2023-03-31,158.39900,35.39100,123.00800,31.12500,-2.11800,44.18100,78.82700,4.98200,83.80900,83.80900,83.80900,83.80900,89.76500,78.82700,28.78300,29.32800,2.91000,2.86000,0.98560,0.00990,0.01000,77.65710,49.76480,49.76480,52.91010,52.91010,0.17460,4.98470,18.05520,11.82870,11.82870,9.23970,11.71130,23.04150,0.58470,0.54710
2022-12-31,42.35900,33.77900,8.58000,46.61700,-1.54700,35.65400,-27.07400,4.79300,-22.28100,-22.28100,-22.28100,-22.28100,-16.03900,-27.07400,25.00000,25.00000,-0.90000,-0.90000,0.50200,0.18720,0.23030,20.25540,-63.91560,-63.91560,-52.60040,-52.60040,0.04580,0.80990,111.13010,-7.06300,-4.27220,-2.40970,-3.47250,16.96060,1.3085,1.2936
2022-09-30,120.69900,32.86100,87.83800,25.05800,-1.53800,37.20800,50.63000,5.08800,55.71800,55.71800,55.71800,55.71800,61.24200,50.63000,25.00000,25.00000,2.23000,2.23000,,,,72.77440,41.94730,41.94730,46.16280,46.16280,,,,,,,,,1.4072,-0.868
2022-06-30,92.87700,36.26800,56.60900,24.62400,-1.49300,36.05400,20.55500,3.92300,24.47800,24.47800,24.47800,24.47800,30.49200,20.55500,25.00000,25.00000,0.98000,0.98000,,,,60.95050,22.13140,22.13140,26.35530,26.35530,,,,,,,,,1.5929,1.5688
2022-03-31,-9.53800,25.11300,-34.65100,23.88300,-1.47700,35.14000,-69.79100,4.20800,-65.58300,-65.58300,-65.58300,-65.58300,-60.01100,-69.79100,25.00000,25.00000,-2.62000,-2.62000,,,,363.29420,731.71530,731.71530,687.59700,687.59700,,,,,,,,,1.14660,0.94280
2021-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
2020-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
