Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,56.24200,14.69400,41.54800,7.53300,21.48100,30.29600,11.25200,-1.29100,9.96100,1.68800,8.27300,8.27300,,8.27300,13.19300,11.25200,38.69500,39.45800,0.21000,0.21000,1.76360,73.87360,20.00640,20.00640,17.71100,14.70970,0.19440,1.12870,1.95010,46.15220,4.25160,9.15790,2.85990,4.25160,5.13280,0.3457,0.2978
2024-06-30,60.92400,20.58300,40.34100,8.34100,22.06700,32.70400,7.63700,0.85200,8.48900,1.93600,6.55300,6.55300,,6.55300,9.70000,7.63700,38.52900,39.00700,0.17000,0.17000,1.53540,66.21530,12.53530,12.53530,13.93380,10.75600,0.21240,1.64570,1.39100,64.70210,3.66950,8.52940,2.28440,3.66950,4.72610,0.0493,-0.008
2024-03-31,64.84300,17.44800,47.39500,8.25900,22.93400,33.28500,14.11000,0.39200,14.50200,1.03400,13.46800,13.46800,,13.46800,16.19200,14.11000,38.06000,38.46300,0.35000,0.35000,1.45560,73.09190,21.76030,21.76030,22.36480,20.77020,0.23400,1.19560,2.00240,44.94520,7.88210,19.90720,4.85960,7.88210,4.52420,0.70090,0.62180
2023-12-31,62.92800,19.46200,43.46600,8.73400,28.07600,41.64900,1.81700,-0.45900,1.35800,0.91700,0.44100,0.44100,,0.44100,3.77200,1.81700,40.19300,40.19300,0.01000,0.01000,1.27440,69.07260,2.88750,2.88750,2.15800,0.70080,0.21760,1.25130,0.97730,92.08670,0.27710,0.80730,0.15250,0.27710,4.24160,0.075,-0.0123
2023-09-30,58.83800,18.16900,40.66900,10.13300,28.22300,45.46300,-4.79400,0.94000,-3.85400,0.27900,-4.13300,-4.13300,,-4.13300,-3.10500,-4.79400,40.45400,40.45400,-0.10000,-0.10000,1.59930,69.12030,-8.14780,-8.14780,-6.55020,-7.02440,0.20810,1.17550,1.52170,59.14600,-2.33080,-5.58230,-1.46200,-2.33080,4.45340,-0.1839,-0.2466
2023-06-30,55.73300,21.43900,34.29400,10.09000,35.53900,52.05800,-17.76400,0.61400,-17.15000,0.60100,-17.75100,-17.75100,,-17.75100,-16.24800,-17.76400,40.39900,40.39900,-0.44000,-0.44000,1.64380,61.53270,-31.87340,-31.87340,-30.77170,-31.85010,0.18660,1.42900,1.46070,61.61270,-9.51290,-22.00260,-5.94380,-9.51290,4.66740,-0.4887,-0.5726
2023-03-31,57.60700,18.32100,39.28600,9.46300,36.66400,47.41600,-8.13000,0.46300,-7.66700,0.68900,-8.35600,-8.35600,,-8.35600,-6.81100,-8.13000,40.05700,40.05700,-0.21000,-0.21000,1.81800,68.19660,-14.11290,-14.11290,-13.30920,-14.50520,0.18160,1.17140,1.78430,50.43920,-4.19200,-8.91160,-2.63340,-4.19200,4.98960,0.33050,0.25380
2022-12-31,56.62200,18.66700,37.95500,8.13900,31.75900,41.96400,-4.00900,1.40800,-2.60100,0.49600,-3.09700,-3.09700,,-3.09700,-2.63400,-4.00900,40.14300,40.14300,-0.08000,-0.08000,1.79030,67.03230,-7.08030,-7.08030,-4.59360,-5.46960,0.16900,1.54860,0.86930,103.52660,-1.52330,-3.08730,-0.92430,-1.52330,5.11780,0.2009,0.1406
2022-09-30,57.14700,18.71600,38.43100,9.54100,27.07800,44.05600,-5.62500,-0.97600,-6.60100,0.60000,-7.20100,-7.20100,,-7.20100,-3.97700,-5.62500,39.72300,39.72300,-0.18000,-0.18000,2.15790,67.24940,-9.84300,-9.84300,-11.55090,-12.60080,0.19080,1.97700,1.30660,68.87920,-3.69430,-7.52530,-2.40410,-3.69430,4.91460,-0.0634,-0.1016
2022-06-30,52.79000,17.28400,35.50600,11.95900,27.88000,43.74400,-8.23800,-0.64000,-8.87800,0.47200,-9.35000,-9.35000,,-9.35000,-6.29200,-8.23800,40.15700,40.15700,-0.23000,-0.23000,2.15720,67.25900,-15.60520,-15.60520,-16.81760,-17.71170,0.16920,1.72890,1.32430,67.96120,-4.57570,-9.75950,-2.99770,-4.57570,5.16050,-0.3732,-0.3923
