Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1.08060,0.33800,0.74260,3.51340,,3.51440,-2.77180,-12.64120,-15.41290,0.00100,-15.41390,-15.41390,-15.41390,-2.18980,-2.77180,3.16290,3.16290,-4.87000,-4.87000,0.16800,-0.46720,68.71920,-256.50010,-256.50010,-1426.32000,-1426.41400,0.14780,28.90410,3.11380,67.46970,61.61330,-210.80580,67.46970,-5.30870,5.341,5.341
2024-06-30,1.06820,0.33000,0.73820,4.31900,,4.32030,-3.58210,-0.57640,-4.15850,0.00660,-4.16510,-4.16510,-4.16510,-3.20080,-3.58210,0.54180,0.54180,-7.50000,-7.50000,0.04430,-0.50550,69.10610,-335.33940,-335.33940,-389.29930,-389.91950,0.27840,40.83170,2.20420,13.07770,12.24300,-108.55100,13.07770,-43.10320,-0.9383,-0.9383
2024-03-31,1.07950,0.38140,0.69810,4.30890,,4.31050,-3.61240,-0.88880,-4.50120,-0.00090,-4.50030,-4.50030,-4.50030,-3.04740,-3.61240,0.34710,0.34710,-13.00000,-13.00000,0.06070,-0.54490,64.66980,-334.64520,-334.64520,-416.98210,-416.89570,0.24320,31.13560,2.89060,14.59110,13.63140,-101.38460,14.59110,-76.26150,-6.09830,-6.09830
2023-12-31,1.08250,0.31190,0.77060,3.96780,,3.96940,-3.19880,-3.19110,-6.38990,,-6.37280,-6.37280,-6.37280,-1.69950,-3.19880,0.13710,0.13710,-48.17000,-48.17000,0.07930,-0.50710,71.18290,-295.50090,-295.50080,-590.28470,-588.70680,0.20470,10.30480,8.73380,19.99230,18.71730,-120.50300,19.99230,-12.32980,-8.8874,-8.8874
2023-09-30,1.10840,0.34120,0.76730,2.83810,,2.83960,-2.07240,1.29140,-0.78100,0.00130,-0.78230,-0.78230,-0.78230,-1.10460,-2.07240,2.39410,2.39410,-0.33000,-0.33000,0.05980,-0.13300,69.22170,-186.96680,-186.96680,-70.45850,-70.57860,0.03080,,,4.52460,4.52460,-2.17040,4.52460,-95.21360,28.8966,28.8966
2023-06-30,1.19330,0.37930,0.81400,2.92920,,2.93080,-2.11670,-1.35680,-3.47360,0.01250,-3.48610,-3.48610,-3.48610,-1.52200,-2.11670,0.12920,0.12920,-27.00000,-27.00000,0.02480,-0.14050,68.21530,-177.38260,-177.38260,-291.08520,-292.13040,0.02200,,,21.29570,21.29570,-6.42300,21.29570,-142.34600,-19.7343,-19.7343
2023-03-31,1.17710,0.41220,0.76480,3.17010,,3.17250,-2.40760,-1.35420,-3.76180,0.00330,-3.76510,-3.76510,-3.76510,-1.91950,-2.40760,0.12760,0.12760,-29.50000,-29.50000,0.15460,-0.08730,64.97840,-204.54610,-204.54610,-319.59650,-319.87480,0.02200,,,25.72170,25.72170,-7.02490,25.72170,-127.28610,-11.58830,-11.58830
2022-12-31,,,,7.58330,-0.13300,,-9.68280,-21.86400,-26.21390,,-25.99020,-25.99020,-25.99020,-9.68280,-4.34990,0.12880,0.12880,-138.00000,-138.00000,0.04870,-0.56750,,,,,,,,,107.78010,98.87610,-474.33140,107.78010,-187.05830,-33.8604,-33.9443
2022-09-30,,,,1.11850,-0.05610,,-1.17450,2.38810,1.21360,0.21260,1.00100,1.00100,1.00100,-1.17450,-1.17450,0.11500,0.11500,1.50000,1.50000,0.15570,,,,,,,,,,-9.71200,-9.71200,0.43250,-9.71200,-89.62090,-2.7321,-2.7321
2022-06-30,,,,0.23380,-0.06490,,-0.29880,3.15790,2.85920,0.01110,2.84810,2.84810,2.84810,-0.29880,-0.29880,0.11500,0.11500,5.00000,5.00000,0.24560,,,,,,,,,,-26.81140,-26.81140,1.23420,-26.81140,-92.37100,-2.1075,-2.1075
2022-03-31,,,,0.33960,-0.04940,,-0.38900,7.06160,6.67260,,6.67260,6.67260,6.67260,-0.38900,-0.38900,0.11500,0.11500,11.50000,11.50000,0.43950,,,,,,,,,,-49.53400,-49.53400,2.89150,-49.53400,-117.13700,-1.41860,-1.41860
2021-12-31,,,,0.55920,-0.05040,,-0.60960,-0.48620,-1.09580,,-1.09580,-1.09580,4.30000,-0.60960,-0.60960,0.11500,0.11500,-2.00000,-2.00000,0.64180,,,,,,,,,,5.44000,5.44010,-0.47440,5.44000,-175.15960,-1.2738,-1.2738
2021-09-30,,,,0.19760,-0.05040,,-0.24800,6.22630,5.97830,0.00000,5.97830,5.97830,5.97830,-0.24800,-0.24800,0.11500,0.11500,10.50000,10.50000,1.05680,,,,,,,,,,-31.38620,-31.38620,2.58550,-31.38620,-165.63080,-1.0528,-1.0528
2021-06-30,,,,1.35360,-0.04990,,-1.40340,-2.89530,-4.29870,,-4.29870,-4.29870,-0.85970,-1.40340,-1.40340,0.11500,0.11500,-7.50000,-7.50000,1.28450,,,,,,,,,,-85.97370,-85.97390,-1.85750,-85.97370,28.56310,-4.9348,-4.9348
2021-03-31,,,,0.36990,-0.04940,,-0.41930,11.46270,11.04340,,11.04340,11.04340,2.20870,-0.41930,-0.41930,0.11500,0.11500,19.00000,19.00000,6.52960,,,,,,,,,,220.86820,220.86830,4.75940,220.86820,30.03830,-1.54470,-1.54470
2020-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
