Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,3000.13100,2093.96400,906.16720,457.89700,-69.94800,604.64300,301.52440,10.89000,312.41400,82.48800,229.92600,229.92600,229.57400,317.29840,301.52440,141.02700,140.41700,1.63000,1.63000,1.71860,30.20430,10.05040,10.05040,10.41340,7.65210,0.58020,1.37810,65.30590,9.74610,9.77890,4.44650,9.74610,16.85470,0.6658,0.5771
2024-06-30,2439.00100,1639.40800,799.59290,434.42900,-66.66900,575.67400,223.91890,12.00200,235.92100,60.77000,175.15100,175.15100,175.46900,238.89790,223.91890,141.01300,141.71600,1.24000,1.24000,1.71070,32.78360,9.18080,9.18080,9.67290,7.19430,0.50940,1.32270,68.04030,8.04030,8.06960,3.65790,8.04030,15.49020,0.9248,0.8675
2024-03-31,2206.67800,1433.28000,773.39790,419.94100,-62.26800,558.62200,214.77600,18.40600,233.18200,62.78200,170.40000,170.40000,169.15200,229.93700,214.77600,143.19400,144.12500,1.18000,1.17000,1.84720,35.04810,9.73300,9.73300,10.56710,7.66550,0.49170,1.40340,64.12900,7.75370,7.78180,3.79660,7.75370,15.57310,1.78250,1.71190
2023-12-31,2277.76800,1513.60400,764.16420,418.67090,-66.57500,564.76600,199.39870,16.97800,216.37600,57.23100,159.14500,159.14500,158.71900,220.78470,199.39870,149.14100,150.18600,1.07000,1.14000,2.01550,33.54880,8.75410,8.75410,9.49950,6.96820,0.50350,1.48620,60.55660,6.65490,6.67700,3.51790,6.65490,16.62250,0.9294,0.862
2023-09-30,2190.00100,1402.11100,787.89000,418.65400,-79.17300,571.82100,216.06900,15.82200,231.89100,61.04800,170.84300,170.84300,171.35300,231.67600,216.06900,148.00100,147.09900,1.16000,1.16000,2.10670,35.97670,9.86620,9.86620,10.58860,7.82430,0.47840,1.50100,59.95820,6.85710,6.87900,3.73170,6.85710,17.13700,1.4326,1.3742
2023-06-30,2239.75200,1419.18300,820.56900,434.87200,-63.48900,572.07200,248.49690,17.68600,266.18300,70.39000,195.79300,195.79300,196.80000,264.00300,248.49690,150.43500,151.56300,1.31000,1.30000,2.20540,36.63660,11.09480,11.09480,11.88450,8.78670,0.49070,1.57330,57.20540,7.65380,7.67760,4.28990,7.65380,17.37580,1.1361,1.0652
2023-03-31,2592.58900,1719.10200,873.48720,456.23200,-68.39300,597.51800,275.96900,24.60900,300.57800,74.58000,225.99800,225.99800,226.01100,291.23000,275.96900,154.16400,155.47200,1.47000,1.45000,2.41870,33.69170,10.64450,10.64450,11.59370,8.71760,0.48620,1.61590,55.69800,7.17370,7.19180,4.23810,7.17370,20.62950,3.51450,3.44940
2022-12-31,3441.52700,2425.56600,1015.96100,518.00290,-99.04100,686.25500,329.70610,-8.65800,321.04790,106.31100,214.73700,214.73700,219.27610,344.62810,329.70610,163.01000,164.42700,1.34000,1.47000,2.19960,29.52070,9.58020,9.58020,9.32860,6.37150,0.61560,1.63290,55.11740,6.89690,6.91450,3.84120,6.89690,20.17680,2.8879,2.7795
2022-09-30,4362.14600,3194.27300,1167.87300,505.58000,-67.46800,640.95000,526.92290,7.93300,534.85600,120.69400,414.16200,414.16200,414.20900,542.10990,526.92290,162.02900,163.25000,2.56000,2.54000,2.06470,26.77290,12.07940,12.07940,12.26130,9.49550,0.66020,1.58720,56.70350,11.86240,11.88940,6.26800,11.86240,21.94080,4.2219,4.1181
2022-06-30,4603.31200,3440.94800,1162.36400,514.10900,-76.42100,656.38200,505.98190,2.82600,508.80800,126.58200,382.22600,382.22600,377.80500,520.23600,505.98190,165.09200,166.47400,2.29000,2.27000,1.85580,25.25060,10.99170,10.99170,11.05310,8.20720,0.62540,1.32670,67.83920,10.81180,10.83610,5.19250,10.81180,21.69790,3.396,3.1654
